Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,virus,treatment,tissue,GEO Accession
SRR12749251,54603320,5023505440,8,2297,SRX9221362,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP285941,PRJNA666679,33299180,"",SRS7455064,SAMN16320133,simple,10090,Mus musculus,GSM4811944,GEO,SRA1136343,10,2020,Yap,Hippocampal cells WT non-transduced control,Hippocampal cells WT non-transduced control_biorep1,Hippocampal cells WT non-transduced control,C57BL/6,Non-transduced control for Cre1,4-hour kainic acid,CA1 region of hippocampus,GSM4811944
SRR12749252,49393526,4544204392,8,2021,SRX9221362,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP285941,PRJNA666679,33299180,"",SRS7455064,SAMN16320133,simple,10090,Mus musculus,GSM4811944,GEO,SRA1136343,10,2020,Yap,Hippocampal cells WT non-transduced control,Hippocampal cells WT non-transduced control_biorep1,Hippocampal cells Cre-injected,C57BL/6,Cre-GFP,4-hour kainic acid,CA1 region of hippocampus,GSM4811945
SRR12749253,58170384,5351675328,8,2450,SRX9221363,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP285941,PRJNA666679,33299180,"",SRS7455065,SAMN16320132,simple,10090,Mus musculus,GSM4811945,GEO,SRA1136343,10,2020,Yap,Hippocampal cells Cre-injected,Hippocampal cells Cre-injected_biorep1,Hippocampal cells WT non-transduced control,C57BL/6,Non-transduced control for Cre1,4-hour kainic acid,CA1 region of hippocampus,GSM4811946
SRR12749254,48112027,4426306484,8,1978,SRX9221363,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP285941,PRJNA666679,33299180,"",SRS7455065,SAMN16320132,simple,10090,Mus musculus,GSM4811945,GEO,SRA1136343,10,2020,Yap,Hippocampal cells Cre-injected,Hippocampal cells Cre-injected_biorep1,Hippocampal cells Cre-injected,C57BL/6,Cre-GFP,4-hour kainic acid,CA1 region of hippocampus,GSM4811947
SRR12749255,48009852,4416906384,8,2004,SRX9221363,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP285941,PRJNA666679,33299180,"",SRS7455065,SAMN16320132,simple,10090,Mus musculus,GSM4811945,GEO,SRA1136343,10,2020,Yap,Hippocampal cells Cre-injected,Hippocampal cells Cre-injected_biorep1,Hippocampal cells WT non-transduced control,C57BL/6,Non-transduced control for Cre3,4-hour kainic acid,CA1 region of hippocampus,GSM4811948
SRR12749256,47578861,4377255212,8,2001,SRX9221363,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP285941,PRJNA666679,33299180,"",SRS7455065,SAMN16320132,simple,10090,Mus musculus,GSM4811945,GEO,SRA1136343,10,2020,Yap,Hippocampal cells Cre-injected,Hippocampal cells Cre-injected_biorep1,Hippocampal cells Cre-injected,C57BL/6,Cre-GFP,4-hour kainic acid,CA1 region of hippocampus,GSM4811949
SRR12749257,57807050,5318248600,8,2452,SRX9221363,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP285941,PRJNA666679,33299180,"",SRS7455065,SAMN16320132,simple,10090,Mus musculus,GSM4811945,GEO,SRA1136343,10,2020,Yap,Hippocampal cells Cre-injected,Hippocampal cells Cre-injected_biorep1,Hippocampal cells Uninfected control,C57BL/6,Non-transduced control for Del1,4-hour kainic acid,CA1 region of hippocampus,GSM4811950
SRR12749258,55421829,5098808268,8,2385,SRX9221363,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP285941,PRJNA666679,33299180,"",SRS7455065,SAMN16320132,simple,10090,Mus musculus,GSM4811945,GEO,SRA1136343,10,2020,Yap,Hippocampal cells Cre-injected,Hippocampal cells Cre-injected_biorep1,Hippocampal cells DeltaCre-injected,C57BL/6,deltaCre-GFP,4-hour kainic acid,CA1 region of hippocampus,GSM4811951
SRR12749259,54040695,4971743940,8,2360,SRX9221363,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP285941,PRJNA666679,33299180,"",SRS7455065,SAMN16320132,simple,10090,Mus musculus,GSM4811945,GEO,SRA1136343,10,2020,Yap,Hippocampal cells Cre-injected,Hippocampal cells Cre-injected_biorep1,Hippocampal cells Uninfected control,C57BL/6,Non-transduced control for Del2,4-hour kainic acid,CA1 region of hippocampus,GSM4811952
SRR12749260,56188308,5169324336,8,2297,SRX9221363,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP285941,PRJNA666679,33299180,"",SRS7455065,SAMN16320132,simple,10090,Mus musculus,GSM4811945,GEO,SRA1136343,10,2020,Yap,Hippocampal cells Cre-injected,Hippocampal cells Cre-injected_biorep1,Hippocampal cells DeltaCre-injected,C57BL/6,deltaCre-GFP,4-hour kainic acid,CA1 region of hippocampus,GSM4811953
SRR12749261,57896585,5326485820,8,2389,SRX9221363,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP285941,PRJNA666679,33299180,"",SRS7455065,SAMN16320132,simple,10090,Mus musculus,GSM4811945,GEO,SRA1136343,10,2020,Yap,Hippocampal cells Cre-injected,Hippocampal cells Cre-injected_biorep1,Hippocampal cells WT non-transduced control,C57BL/6,Non-transduced control for Cre1,4-hour kainic acid,CA1 region of hippocampus,GSM4811944
SRR12749262,55373771,5094386932,8,2304,SRX9221363,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP285941,PRJNA666679,33299180,"",SRS7455065,SAMN16320132,simple,10090,Mus musculus,GSM4811945,GEO,SRA1136343,10,2020,Yap,Hippocampal cells Cre-injected,Hippocampal cells Cre-injected_biorep1,Hippocampal cells Cre-injected,C57BL/6,Cre-GFP,4-hour kainic acid,CA1 region of hippocampus,GSM4811945
SRR12749263,55169533,5075597036,8,2323,SRX9221363,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP285941,PRJNA666679,33299180,"",SRS7455065,SAMN16320132,simple,10090,Mus musculus,GSM4811945,GEO,SRA1136343,10,2020,Yap,Hippocampal cells Cre-injected,Hippocampal cells Cre-injected_biorep1,Hippocampal cells WT non-transduced control,C57BL/6,Non-transduced control for Cre1,4-hour kainic acid,CA1 region of hippocampus,GSM4811946
SRR12749264,48214946,4435775032,8,1976,SRX9221363,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP285941,PRJNA666679,33299180,"",SRS7455065,SAMN16320132,simple,10090,Mus musculus,GSM4811945,GEO,SRA1136343,10,2020,Yap,Hippocampal cells Cre-injected,Hippocampal cells Cre-injected_biorep1,Hippocampal cells Cre-injected,C57BL/6,Cre-GFP,4-hour kainic acid,CA1 region of hippocampus,GSM4811947
SRR12749265,21877814,2012758888,8,937,SRX9221364,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP285941,PRJNA666679,33299180,"",SRS7455066,SAMN16320131,simple,10090,Mus musculus,GSM4811946,GEO,SRA1136343,10,2020,Yap,Hippocampal cells WT non-transduced control,Hippocampal cells WT non-transduced control_biorep2,Hippocampal cells WT non-transduced control,C57BL/6,Non-transduced control for Cre3,4-hour kainic acid,CA1 region of hippocampus,GSM4811948
SRR12749266,16317973,1501253516,8,687,SRX9221364,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP285941,PRJNA666679,33299180,"",SRS7455066,SAMN16320131,simple,10090,Mus musculus,GSM4811946,GEO,SRA1136343,10,2020,Yap,Hippocampal cells WT non-transduced control,Hippocampal cells WT non-transduced control_biorep2,Hippocampal cells Cre-injected,C57BL/6,Cre-GFP,4-hour kainic acid,CA1 region of hippocampus,GSM4811949
SRR12749267,16311427,1500651284,8,687,SRX9221364,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP285941,PRJNA666679,33299180,"",SRS7455066,SAMN16320131,simple,10090,Mus musculus,GSM4811946,GEO,SRA1136343,10,2020,Yap,Hippocampal cells WT non-transduced control,Hippocampal cells WT non-transduced control_biorep2,Hippocampal cells Uninfected control,C57BL/6,Non-transduced control for Del1,4-hour kainic acid,CA1 region of hippocampus,GSM4811950
SRR12749268,16487129,1516815868,8,703,SRX9221364,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP285941,PRJNA666679,33299180,"",SRS7455066,SAMN16320131,simple,10090,Mus musculus,GSM4811946,GEO,SRA1136343,10,2020,Yap,Hippocampal cells WT non-transduced control,Hippocampal cells WT non-transduced control_biorep2,Hippocampal cells DeltaCre-injected,C57BL/6,deltaCre-GFP,4-hour kainic acid,CA1 region of hippocampus,GSM4811951
SRR12749269,17003006,1564276552,8,701,SRX9221364,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP285941,PRJNA666679,33299180,"",SRS7455066,SAMN16320131,simple,10090,Mus musculus,GSM4811946,GEO,SRA1136343,10,2020,Yap,Hippocampal cells WT non-transduced control,Hippocampal cells WT non-transduced control_biorep2,Hippocampal cells Uninfected control,C57BL/6,Non-transduced control for Del2,4-hour kainic acid,CA1 region of hippocampus,GSM4811952
SRR12749270,17141393,1577008156,8,717,SRX9221364,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP285941,PRJNA666679,33299180,"",SRS7455066,SAMN16320131,simple,10090,Mus musculus,GSM4811946,GEO,SRA1136343,10,2020,Yap,Hippocampal cells WT non-transduced control,Hippocampal cells WT non-transduced control_biorep2,Hippocampal cells DeltaCre-injected,C57BL/6,deltaCre-GFP,4-hour kainic acid,CA1 region of hippocampus,GSM4811953
SRR12749271,16742530,1540312760,8,709,SRX9221364,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP285941,PRJNA666679,33299180,"",SRS7455066,SAMN16320131,simple,10090,Mus musculus,GSM4811946,GEO,SRA1136343,10,2020,Yap,Hippocampal cells WT non-transduced control,Hippocampal cells WT non-transduced control_biorep2,Hippocampal cells WT non-transduced control,C57BL/6,Non-transduced control for Cre1,4-hour kainic acid,CA1 region of hippocampus,GSM4811944
SRR12749272,16924482,1557052344,8,721,SRX9221364,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP285941,PRJNA666679,33299180,"",SRS7455066,SAMN16320131,simple,10090,Mus musculus,GSM4811946,GEO,SRA1136343,10,2020,Yap,Hippocampal cells WT non-transduced control,Hippocampal cells WT non-transduced control_biorep2,Hippocampal cells Cre-injected,C57BL/6,Cre-GFP,4-hour kainic acid,CA1 region of hippocampus,GSM4811945
SRR12749273,8111890,746293880,8,349,SRX9221364,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP285941,PRJNA666679,33299180,"",SRS7455066,SAMN16320131,simple,10090,Mus musculus,GSM4811946,GEO,SRA1136343,10,2020,Yap,Hippocampal cells WT non-transduced control,Hippocampal cells WT non-transduced control_biorep2,Hippocampal cells WT non-transduced control,C57BL/6,Non-transduced control for Cre1,4-hour kainic acid,CA1 region of hippocampus,GSM4811946
SRR12749274,8155377,750294684,8,349,SRX9221364,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP285941,PRJNA666679,33299180,"",SRS7455066,SAMN16320131,simple,10090,Mus musculus,GSM4811946,GEO,SRA1136343,10,2020,Yap,Hippocampal cells WT non-transduced control,Hippocampal cells WT non-transduced control_biorep2,Hippocampal cells Cre-injected,C57BL/6,Cre-GFP,4-hour kainic acid,CA1 region of hippocampus,GSM4811947
SRR12749275,7715608,709835936,8,338,SRX9221364,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP285941,PRJNA666679,33299180,"",SRS7455066,SAMN16320131,simple,10090,Mus musculus,GSM4811946,GEO,SRA1136343,10,2020,Yap,Hippocampal cells WT non-transduced control,Hippocampal cells WT non-transduced control_biorep2,Hippocampal cells WT non-transduced control,C57BL/6,Non-transduced control for Cre3,4-hour kainic acid,CA1 region of hippocampus,GSM4811948
SRR12749276,22069653,2030408076,8,948,SRX9221364,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP285941,PRJNA666679,33299180,"",SRS7455066,SAMN16320131,simple,10090,Mus musculus,GSM4811946,GEO,SRA1136343,10,2020,Yap,Hippocampal cells WT non-transduced control,Hippocampal cells WT non-transduced control_biorep2,Hippocampal cells Cre-injected,C57BL/6,Cre-GFP,4-hour kainic acid,CA1 region of hippocampus,GSM4811949
SRR12749277,7708105,709145660,8,338,SRX9221364,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP285941,PRJNA666679,33299180,"",SRS7455066,SAMN16320131,simple,10090,Mus musculus,GSM4811946,GEO,SRA1136343,10,2020,Yap,Hippocampal cells WT non-transduced control,Hippocampal cells WT non-transduced control_biorep2,Hippocampal cells Uninfected control,C57BL/6,Non-transduced control for Del1,4-hour kainic acid,CA1 region of hippocampus,GSM4811950
SRR12749278,21385157,1967434444,8,927,SRX9221364,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP285941,PRJNA666679,33299180,"",SRS7455066,SAMN16320131,simple,10090,Mus musculus,GSM4811946,GEO,SRA1136343,10,2020,Yap,Hippocampal cells WT non-transduced control,Hippocampal cells WT non-transduced control_biorep2,Hippocampal cells DeltaCre-injected,C57BL/6,deltaCre-GFP,4-hour kainic acid,CA1 region of hippocampus,GSM4811951
SRR12749279,20969521,1929195932,8,920,SRX9221364,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP285941,PRJNA666679,33299180,"",SRS7455066,SAMN16320131,simple,10090,Mus musculus,GSM4811946,GEO,SRA1136343,10,2020,Yap,Hippocampal cells WT non-transduced control,Hippocampal cells WT non-transduced control_biorep2,Hippocampal cells Uninfected control,C57BL/6,Non-transduced control for Del2,4-hour kainic acid,CA1 region of hippocampus,GSM4811952
SRR12749280,15164316,1395117072,8,629,SRX9221364,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP285941,PRJNA666679,33299180,"",SRS7455066,SAMN16320131,simple,10090,Mus musculus,GSM4811946,GEO,SRA1136343,10,2020,Yap,Hippocampal cells WT non-transduced control,Hippocampal cells WT non-transduced control_biorep2,Hippocampal cells DeltaCre-injected,C57BL/6,deltaCre-GFP,4-hour kainic acid,CA1 region of hippocampus,GSM4811953
SRR12749281,15240741,1402148172,8,640,SRX9221364,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP285941,PRJNA666679,33299180,"",SRS7455066,SAMN16320131,simple,10090,Mus musculus,GSM4811946,GEO,SRA1136343,10,2020,Yap,Hippocampal cells WT non-transduced control,Hippocampal cells WT non-transduced control_biorep2,Hippocampal cells WT non-transduced control,C57BL/6,Non-transduced control for Cre1,4-hour kainic acid,CA1 region of hippocampus,GSM4811944
SRR12749282,14914389,1372123788,8,634,SRX9221364,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP285941,PRJNA666679,33299180,"",SRS7455066,SAMN16320131,simple,10090,Mus musculus,GSM4811946,GEO,SRA1136343,10,2020,Yap,Hippocampal cells WT non-transduced control,Hippocampal cells WT non-transduced control_biorep2,Hippocampal cells Cre-injected,C57BL/6,Cre-GFP,4-hour kainic acid,CA1 region of hippocampus,GSM4811945
SRR12749283,14794828,1361124176,8,641,SRX9221364,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP285941,PRJNA666679,33299180,"",SRS7455066,SAMN16320131,simple,10090,Mus musculus,GSM4811946,GEO,SRA1136343,10,2020,Yap,Hippocampal cells WT non-transduced control,Hippocampal cells WT non-transduced control_biorep2,Hippocampal cells WT non-transduced control,C57BL/6,Non-transduced control for Cre1,4-hour kainic acid,CA1 region of hippocampus,GSM4811946
SRR12749284,16094848,1480726016,8,675,SRX9221364,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP285941,PRJNA666679,33299180,"",SRS7455066,SAMN16320131,simple,10090,Mus musculus,GSM4811946,GEO,SRA1136343,10,2020,Yap,Hippocampal cells WT non-transduced control,Hippocampal cells WT non-transduced control_biorep2,Hippocampal cells Cre-injected,C57BL/6,Cre-GFP,4-hour kainic acid,CA1 region of hippocampus,GSM4811947
SRR12749285,28674619,2638064948,8,1244,SRX9221365,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP285941,PRJNA666679,33299180,"",SRS7455067,SAMN16320130,simple,10090,Mus musculus,GSM4811947,GEO,SRA1136343,10,2020,Yap,Hippocampal cells Cre-injected,Hippocampal cells Cre-injected_biorep2,Hippocampal cells WT non-transduced control,C57BL/6,Non-transduced control for Cre3,4-hour kainic acid,CA1 region of hippocampus,GSM4811948
SRR12749286,22992853,2115342476,8,982,SRX9221365,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP285941,PRJNA666679,33299180,"",SRS7455067,SAMN16320130,simple,10090,Mus musculus,GSM4811947,GEO,SRA1136343,10,2020,Yap,Hippocampal cells Cre-injected,Hippocampal cells Cre-injected_biorep2,Hippocampal cells Cre-injected,C57BL/6,Cre-GFP,4-hour kainic acid,CA1 region of hippocampus,GSM4811949
SRR12749287,23079088,2123276096,8,987,SRX9221365,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP285941,PRJNA666679,33299180,"",SRS7455067,SAMN16320130,simple,10090,Mus musculus,GSM4811947,GEO,SRA1136343,10,2020,Yap,Hippocampal cells Cre-injected,Hippocampal cells Cre-injected_biorep2,Hippocampal cells Uninfected control,C57BL/6,Non-transduced control for Del1,4-hour kainic acid,CA1 region of hippocampus,GSM4811950
SRR12749288,22970234,2113261528,8,992,SRX9221365,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP285941,PRJNA666679,33299180,"",SRS7455067,SAMN16320130,simple,10090,Mus musculus,GSM4811947,GEO,SRA1136343,10,2020,Yap,Hippocampal cells Cre-injected,Hippocampal cells Cre-injected_biorep2,Hippocampal cells DeltaCre-injected,C57BL/6,deltaCre-GFP,4-hour kainic acid,CA1 region of hippocampus,GSM4811951
SRR12749289,33163461,3051038412,8,1385,SRX9221365,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP285941,PRJNA666679,33299180,"",SRS7455067,SAMN16320130,simple,10090,Mus musculus,GSM4811947,GEO,SRA1136343,10,2020,Yap,Hippocampal cells Cre-injected,Hippocampal cells Cre-injected_biorep2,Hippocampal cells Uninfected control,C57BL/6,Non-transduced control for Del2,4-hour kainic acid,CA1 region of hippocampus,GSM4811952
SRR12749290,33244581,3058501452,8,1407,SRX9221365,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP285941,PRJNA666679,33299180,"",SRS7455067,SAMN16320130,simple,10090,Mus musculus,GSM4811947,GEO,SRA1136343,10,2020,Yap,Hippocampal cells Cre-injected,Hippocampal cells Cre-injected_biorep2,Hippocampal cells DeltaCre-injected,C57BL/6,deltaCre-GFP,4-hour kainic acid,CA1 region of hippocampus,GSM4811953
SRR12749291,32510622,2990977224,8,1392,SRX9221365,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP285941,PRJNA666679,33299180,"",SRS7455067,SAMN16320130,simple,10090,Mus musculus,GSM4811947,GEO,SRA1136343,10,2020,Yap,Hippocampal cells Cre-injected,Hippocampal cells Cre-injected_biorep2,Hippocampal cells WT non-transduced control,C57BL/6,Non-transduced control for Cre1,4-hour kainic acid,CA1 region of hippocampus,GSM4811944
SRR12749292,32540611,2993736212,8,1401,SRX9221365,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP285941,PRJNA666679,33299180,"",SRS7455067,SAMN16320130,simple,10090,Mus musculus,GSM4811947,GEO,SRA1136343,10,2020,Yap,Hippocampal cells Cre-injected,Hippocampal cells Cre-injected_biorep2,Hippocampal cells Cre-injected,C57BL/6,Cre-GFP,4-hour kainic acid,CA1 region of hippocampus,GSM4811945
