Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,treatment,fraction,cell type,GEO Accession
SRR15513237,30974094,4671371378,75,1894,SRX11812031,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP333129,PRJNA756023,35841888,"",SRS9826549,SAMN20849991,simple,9606,Homo sapiens,GSM5527762,GEO,SRA1280331,07,2022,Chothani,TGF-beta + anti-Ig-G antibody treated normal human fibroblast,Fibroblast_46 (RNASeq),TGF-beta + anti-Ig-G antibody treated normal human fibroblast,,TGF-B stimulated and anti-IgG antibody treatment,polyA mRNA,fibroblast,GSM5527762
SRR15513238,37444530,5650556404,75,2209,SRX11812032,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP333129,PRJNA756023,35841888,"",SRS9826550,SAMN20849992,simple,9606,Homo sapiens,GSM5527763,GEO,SRA1280331,07,2022,Chothani,TGF-beta treated normal human fibroblast,Fibroblast_44 (RNASeq),TGF-beta treated normal human fibroblast,,TGF-B stimulated,polyA mRNA,fibroblast,GSM5527763
SRR15513239,47344076,7134734805,75,3035,SRX11812033,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP333129,PRJNA756023,35841888,"",SRS9826551,SAMN20849993,simple,9606,Homo sapiens,GSM5527764,GEO,SRA1280331,07,2022,Chothani,untreated normal human fibroblast,Fibroblast_49 (RNASeq),untreated normal human fibroblast,,untreated,polyA mRNA,fibroblast,GSM5527764
SRR15513240,55336486,8349617146,75,3548,SRX11812034,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP333129,PRJNA756023,35841888,"",SRS9826554,SAMN20849994,simple,9606,Homo sapiens,GSM5527765,GEO,SRA1280331,07,2022,Chothani,IL11 treated normal human fibroblast,Fibroblast_50 (RNASeq),IL11 treated normal human fibroblast,,IL11 stimulated,polyA mRNA,fibroblast,GSM5527765
SRR15513241,54731698,8256040317,75,3502,SRX11812035,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP333129,PRJNA756023,35841888,"",SRS9826552,SAMN20849995,simple,9606,Homo sapiens,GSM5527766,GEO,SRA1280331,07,2022,Chothani,untreated normal human fibroblast,Fibroblast_28 (RNASeq),untreated normal human fibroblast,,untreated,polyA mRNA,fibroblast,GSM5527766
SRR15513242,28344127,4280308650,75,1670,SRX11812036,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP333129,PRJNA756023,35841888,"",SRS9826553,SAMN20849996,simple,9606,Homo sapiens,GSM5527767,GEO,SRA1280331,07,2022,Chothani,untreated normal human fibroblast,Fibroblast_36 (RNASeq),untreated normal human fibroblast,,untreated,polyA mRNA,fibroblast,GSM5527767
SRR15513243,34695588,5230984126,75,2015,SRX11812037,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP333129,PRJNA756023,35841888,"",SRS9826555,SAMN20849997,simple,9606,Homo sapiens,GSM5527768,GEO,SRA1280331,07,2022,Chothani,TGF-beta + anti-IL-11 antibody treated normal human fibroblast,Fibroblast_45 (RNASeq),TGF-beta + anti-IL-11 antibody treated normal human fibroblast,,TGF-B stimulated and anti-IL11 antibody treatment,polyA mRNA,fibroblast,GSM5527768
SRR15513244,46340130,6993022461,75,2949,SRX11812038,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP333129,PRJNA756023,35841888,"",SRS9826556,SAMN20849998,simple,9606,Homo sapiens,GSM5527769,GEO,SRA1280331,07,2022,Chothani,untreated normal human fibroblast,Fibroblast_51 (RNASeq),untreated normal human fibroblast,,untreated,polyA mRNA,fibroblast,GSM5527769
SRR15513245,27300769,4122622418,75,1598,SRX11812039,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP333129,PRJNA756023,35841888,"",SRS9826557,SAMN20849999,simple,9606,Homo sapiens,GSM5527770,GEO,SRA1280331,07,2022,Chothani,IL11 treated normal human fibroblast,Fibroblast_38 (RNASeq),IL11 treated normal human fibroblast,,IL11 stimulated,polyA mRNA,fibroblast,GSM5527770
SRR15513246,27823591,4201081620,75,1656,SRX11812040,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP333129,PRJNA756023,35841888,"",SRS9826558,SAMN20850000,simple,9606,Homo sapiens,GSM5527771,GEO,SRA1280331,07,2022,Chothani,IL11 treated normal human fibroblast,Fibroblast_43 (RNASeq),IL11 treated normal human fibroblast,,IL11 stimulated,polyA mRNA,fibroblast,GSM5527771
SRR15513247,53391788,8059599525,75,3436,SRX11812041,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP333129,PRJNA756023,35841888,"",SRS9826560,SAMN20850001,simple,9606,Homo sapiens,GSM5527772,GEO,SRA1280331,07,2022,Chothani,IL11 treated normal human fibroblast,Fibroblast_48 (RNASeq),IL11 treated normal human fibroblast,,IL11 stimulated,polyA mRNA,fibroblast,GSM5527772
SRR15513248,20240011,3056584828,75,1187,SRX11812042,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP333129,PRJNA756023,35841888,"",SRS9826559,SAMN20850002,simple,9606,Homo sapiens,GSM5527773,GEO,SRA1280331,07,2022,Chothani,TGF-beta treated normal human fibroblast,Fibroblast_39 (RNASeq),TGF-beta treated normal human fibroblast,,TGF-B stimulated,polyA mRNA,fibroblast,GSM5527773
SRR15513249,66728031,10068371197,75,4249,SRX11812043,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP333129,PRJNA756023,35841888,"",SRS9826562,SAMN20850003,simple,9606,Homo sapiens,GSM5527774,GEO,SRA1280331,07,2022,Chothani,IL11 treated normal human fibroblast,Fibroblast_27 (RNASeq),IL11 treated normal human fibroblast,,IL11 stimulated,polyA mRNA,fibroblast,GSM5527774
SRR15513250,27034010,4077678751,75,1595,SRX11812044,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP333129,PRJNA756023,35841888,"",SRS9826561,SAMN20850004,simple,9606,Homo sapiens,GSM5527775,GEO,SRA1280331,07,2022,Chothani,IL11 treated normal human fibroblast,Fibroblast_22 (RNASeq),IL11 treated normal human fibroblast,,IL11 stimulated,polyA mRNA,fibroblast,GSM5527775
SRR15513251,29197005,4409434027,75,1709,SRX11812045,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP333129,PRJNA756023,35841888,"",SRS9826563,SAMN20850005,simple,9606,Homo sapiens,GSM5527776,GEO,SRA1280331,07,2022,Chothani,IL11 treated normal human fibroblast,Fibroblast_31 (RNASeq),IL11 treated normal human fibroblast,,IL11 stimulated,polyA mRNA,fibroblast,GSM5527776
SRR15513252,51931446,7838167729,75,3305,SRX11812046,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP333129,PRJNA756023,35841888,"",SRS9826564,SAMN20850006,simple,9606,Homo sapiens,GSM5527777,GEO,SRA1280331,07,2022,Chothani,untreated normal human fibroblast,Fibroblast_47 (RNASeq),untreated normal human fibroblast,,untreated,polyA mRNA,fibroblast,GSM5527777
SRR15513253,38559646,5814998297,75,2257,SRX11812047,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP333129,PRJNA756023,35841888,"",SRS9826565,SAMN20850007,simple,9606,Homo sapiens,GSM5527778,GEO,SRA1280331,07,2022,Chothani,TGF-beta + anti-IL-11 antibody treated normal human fibroblast,Fibroblast_25 (RNASeq),TGF-beta + anti-IL-11 antibody treated normal human fibroblast,,TGF-B stimulated and anti-IL11 antibody treatment,polyA mRNA,fibroblast,GSM5527778
SRR15513254,33264777,5019877209,75,1949,SRX11812048,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP333129,PRJNA756023,35841888,"",SRS9826566,SAMN20850008,simple,9606,Homo sapiens,GSM5527779,GEO,SRA1280331,07,2022,Chothani,untreated normal human fibroblast,Fibroblast_30 (RNASeq),untreated normal human fibroblast,,untreated,polyA mRNA,fibroblast,GSM5527779
SRR15513255,41008728,6192595079,75,2433,SRX11812049,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP333129,PRJNA756023,35841888,"",SRS9826567,SAMN20850013,simple,9606,Homo sapiens,GSM5527780,GEO,SRA1280331,07,2022,Chothani,TGF-beta + anti-Ig-G antibody treated normal human fibroblast,Fibroblast_32 (RNASeq),TGF-beta + anti-Ig-G antibody treated normal human fibroblast,,TGF-B stimulated and anti-IgG antibody treatment,polyA mRNA,fibroblast,GSM5527780
SRR15513256,76642067,11569012965,75,4895,SRX11812050,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP333129,PRJNA756023,35841888,"",SRS9826568,SAMN20850014,simple,9606,Homo sapiens,GSM5527781,GEO,SRA1280331,07,2022,Chothani,untreated normal human fibroblast,Fibroblast_35 (RNASeq),untreated normal human fibroblast,,untreated,polyA mRNA,fibroblast,GSM5527781
SRR15513257,28039207,4220684111,75,1627,SRX11812051,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP333129,PRJNA756023,35841888,"",SRS9826569,SAMN20850009,simple,9606,Homo sapiens,GSM5527782,GEO,SRA1280331,07,2022,Chothani,TGF-beta treated normal human fibroblast,Fibroblast_24 (RNASeq),TGF-beta treated normal human fibroblast,,TGF-B stimulated,polyA mRNA,fibroblast,GSM5527782
SRR15513258,34184806,5162271613,75,1997,SRX11812052,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP333129,PRJNA756023,35841888,"",SRS9826570,SAMN20850010,simple,9606,Homo sapiens,GSM5527783,GEO,SRA1280331,07,2022,Chothani,TGF-beta + anti-IL-11 antibody treated normal human fibroblast,Fibroblast_34 (RNASeq),TGF-beta + anti-IL-11 antibody treated normal human fibroblast,,TGF-B stimulated and anti-IL11 antibody treatment,polyA mRNA,fibroblast,GSM5527783
SRR15513259,31638144,4777745417,75,1872,SRX11812053,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP333129,PRJNA756023,35841888,"",SRS9826572,SAMN20850011,simple,9606,Homo sapiens,GSM5527784,GEO,SRA1280331,07,2022,Chothani,TGF-beta + anti-Ig-G antibody treated normal human fibroblast,Fibroblast_41 (RNASeq),TGF-beta + anti-Ig-G antibody treated normal human fibroblast,,TGF-B stimulated and anti-IgG antibody treatment,polyA mRNA,fibroblast,GSM5527784
SRR15513260,57993706,8749658962,75,3688,SRX11812054,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP333129,PRJNA756023,35841888,"",SRS9826573,SAMN20850012,simple,9606,Homo sapiens,GSM5527785,GEO,SRA1280331,07,2022,Chothani,IL11 treated normal human fibroblast,Fibroblast_29 (RNASeq),IL11 treated normal human fibroblast,,IL11 stimulated,polyA mRNA,fibroblast,GSM5527785
SRR15513261,23305588,3514526592,75,1401,SRX11812055,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP333129,PRJNA756023,35841888,"",SRS9826571,SAMN20850015,simple,9606,Homo sapiens,GSM5527786,GEO,SRA1280331,07,2022,Chothani,untreated normal human fibroblast,Fibroblast_21 (RNASeq),untreated normal human fibroblast,,untreated,polyA mRNA,fibroblast,GSM5527786
SRR15513262,34100674,5137805632,75,1979,SRX11812056,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP333129,PRJNA756023,35841888,"",SRS9826575,SAMN20850016,simple,9606,Homo sapiens,GSM5527787,GEO,SRA1280331,07,2022,Chothani,TGF-beta + anti-Ig-G antibody treated normal human fibroblast,Fibroblast_23 (RNASeq),TGF-beta + anti-Ig-G antibody treated normal human fibroblast,,TGF-B stimulated and anti-IgG antibody treatment,polyA mRNA,fibroblast,GSM5527787
SRR15513263,19073558,2878864984,75,1132,SRX11812057,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP333129,PRJNA756023,35841888,"",SRS9826574,SAMN20850017,simple,9606,Homo sapiens,GSM5527788,GEO,SRA1280331,07,2022,Chothani,TGF-beta + anti-IL-11 antibody treated normal human fibroblast,Fibroblast_40 (RNASeq),TGF-beta + anti-IL-11 antibody treated normal human fibroblast,,TGF-B stimulated and anti-IL11 antibody treatment,polyA mRNA,fibroblast,GSM5527788
SRR15513264,51736843,7806713714,75,3291,SRX11812058,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP333129,PRJNA756023,35841888,"",SRS9826576,SAMN20850018,simple,9606,Homo sapiens,GSM5527789,GEO,SRA1280331,07,2022,Chothani,IL11 treated normal human fibroblast,Fibroblast_52 (RNASeq),IL11 treated normal human fibroblast,,IL11 stimulated,polyA mRNA,fibroblast,GSM5527789
SRR15513265,22099655,3336376533,75,1253,SRX11812059,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP333129,PRJNA756023,35841888,"",SRS9826578,SAMN20850019,simple,9606,Homo sapiens,GSM5527790,GEO,SRA1280331,07,2022,Chothani,untreated human coronary artery endothelial cells,HCAEC_1 (RNASeq),untreated human coronary artery endothelial cells,,untreated,polyA mRNA,untreated human coronary artery endothelial cells,GSM5527790
SRR15513266,17026419,2570314761,75,968,SRX11812060,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP333129,PRJNA756023,35841888,"",SRS9826579,SAMN20850020,simple,9606,Homo sapiens,GSM5527791,GEO,SRA1280331,07,2022,Chothani,untreated human coronary artery endothelial cells,HCAEC_2 (RNASeq),untreated human coronary artery endothelial cells,,untreated,polyA mRNA,untreated human coronary artery endothelial cells,GSM5527791
SRR15513267,20073038,3030533999,75,1140,SRX11812061,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP333129,PRJNA756023,35841888,"",SRS9826577,SAMN20849951,simple,9606,Homo sapiens,GSM5527792,GEO,SRA1280331,07,2022,Chothani,untreated human coronary artery endothelial cells,HCAEC_4 (RNASeq),untreated human coronary artery endothelial cells,,untreated,polyA mRNA,untreated human coronary artery endothelial cells,GSM5527792
SRR15513268,24881996,3757564937,75,1437,SRX11812062,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP333129,PRJNA756023,35841888,"",SRS9826580,SAMN20849953,simple,9606,Homo sapiens,GSM5527793,GEO,SRA1280331,07,2022,Chothani,untreated normal human hepatocytes,Hepatocytes_3 (RNASeq),untreated normal human hepatocytes,,untreated,polyA mRNA,hepatocytes,GSM5527793
SRR15513269,22062488,3332259556,75,1278,SRX11812063,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP333129,PRJNA756023,35841888,"",SRS9826582,SAMN20849954,simple,9606,Homo sapiens,GSM5527794,GEO,SRA1280331,07,2022,Chothani,untreated normal human hepatocytes,Hepatocytes_1 (RNASeq),untreated normal human hepatocytes,,untreated,polyA mRNA,hepatocytes,GSM5527794
SRR15513270,20612889,3092587938,74,1179,SRX11812064,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP333129,PRJNA756023,35841888,"",SRS9826581,SAMN20849956,simple,9606,Homo sapiens,GSM5527795,GEO,SRA1280331,07,2022,Chothani,untreated normal human umbilical vein endothelial cells,HUVEC_1 (RNASeq),untreated normal human umbilical vein endothelial cells,,untreated,polyA mRNA,umbilical vein endothelial cells,GSM5527795
SRR15513271,23243534,3491628172,74,1328,SRX11812065,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP333129,PRJNA756023,35841888,"",SRS9826583,SAMN20849957,simple,9606,Homo sapiens,GSM5527796,GEO,SRA1280331,07,2022,Chothani,untreated normal human umbilical vein endothelial cells,HUVEC_2 (RNASeq),untreated normal human umbilical vein endothelial cells,,untreated,polyA mRNA,umbilical vein endothelial cells,GSM5527796
SRR15513272,29245836,4396737147,75,1662,SRX11812066,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP333129,PRJNA756023,35841888,"",SRS9826584,SAMN20849958,simple,9606,Homo sapiens,GSM5527797,GEO,SRA1280331,07,2022,Chothani,untreated normal human umbilical vein endothelial cells,HUVEC_3 (RNASeq),untreated normal human umbilical vein endothelial cells,,untreated,polyA mRNA,umbilical vein endothelial cells,GSM5527797
SRR15513273,15702952,4710885600,150,1845,SRX11812067,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP333129,PRJNA756023,35841888,"",SRS9826585,SAMN20849960,simple,9606,Homo sapiens,GSM5527798,GEO,SRA1280331,07,2022,Chothani,untreated human coronary artery endothelial cells,HA_EC_1 (RNASeq),untreated human coronary artery endothelial cells,,untreated,polyA mRNA,untreated human coronary artery endothelial cells,GSM5527798
SRR15513274,18531249,5559374700,150,2179,SRX11812068,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP333129,PRJNA756023,35841888,"",SRS9826586,SAMN20849962,simple,9606,Homo sapiens,GSM5527799,GEO,SRA1280331,07,2022,Chothani,untreated human coronary artery endothelial cells,HA_EC_2 (RNASeq),untreated human coronary artery endothelial cells,,untreated,polyA mRNA,untreated human coronary artery endothelial cells,GSM5527799
SRR15513275,16036918,4811075400,150,1877,SRX11812069,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP333129,PRJNA756023,35841888,"",SRS9826587,SAMN20849963,simple,9606,Homo sapiens,GSM5527800,GEO,SRA1280331,07,2022,Chothani,untreated human coronary artery endothelial cells,HA_EC_4 (RNASeq),untreated human coronary artery endothelial cells,,untreated,polyA mRNA,untreated human coronary artery endothelial cells,GSM5527800
SRR15513276,19332498,5799749400,150,2275,SRX11812070,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP333129,PRJNA756023,35841888,"",SRS9826588,SAMN20849965,simple,9606,Homo sapiens,GSM5527801,GEO,SRA1280331,07,2022,Chothani,untreated human coronary artery endothelial cells,HA_EC_5 (RNASeq),untreated human coronary artery endothelial cells,,untreated,polyA mRNA,untreated human coronary artery endothelial cells,GSM5527801
SRR15513277,20528409,6158522700,150,2406,SRX11812071,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP333129,PRJNA756023,35841888,"",SRS9826590,SAMN20849966,simple,9606,Homo sapiens,GSM5527802,GEO,SRA1280331,07,2022,Chothani,untreated human coronary artery endothelial cells,HA_EC_6 (RNASeq),untreated human coronary artery endothelial cells,,untreated,polyA mRNA,untreated human coronary artery endothelial cells,GSM5527802
SRR15513278,17175920,5152776000,150,2012,SRX11812072,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP333129,PRJNA756023,35841888,"",SRS9826591,SAMN20849968,simple,9606,Homo sapiens,GSM5527803,GEO,SRA1280331,07,2022,Chothani,untreated human coronary artery endothelial cells,HA_EC_3 (RNASeq),untreated human coronary artery endothelial cells,,untreated,polyA mRNA,untreated human coronary artery endothelial cells,GSM5527803
SRR15513279,22681317,3399333877,74,1297,SRX11812073,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP333129,PRJNA756023,35841888,"",SRS9826589,SAMN20849969,simple,9606,Homo sapiens,GSM5527804,GEO,SRA1280331,07,2022,Chothani,untreated normal human vascular smooth muscle cells,VSMC_1 (RNASeq),untreated normal human vascular smooth muscle cells,,untreated,polyA mRNA,vascular smooth muscle cells,GSM5527804
SRR15513280,26450578,3994070161,75,1584,SRX11812074,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP333129,PRJNA756023,35841888,"",SRS9826592,SAMN20849971,simple,9606,Homo sapiens,GSM5527805,GEO,SRA1280331,07,2022,Chothani,untreated normal human vascular smooth muscle cells,VSMC_2 (RNASeq),untreated normal human vascular smooth muscle cells,,untreated,polyA mRNA,vascular smooth muscle cells,GSM5527805
SRR15513281,22503699,3369187938,74,1317,SRX11812075,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP333129,PRJNA756023,35841888,"",SRS9826594,SAMN20849972,simple,9606,Homo sapiens,GSM5527806,GEO,SRA1280331,07,2022,Chothani,untreated normal human vascular smooth muscle cells,VSMC_3 (RNASeq),untreated normal human vascular smooth muscle cells,,untreated,polyA mRNA,vascular smooth muscle cells,GSM5527806
SRR15513282,33084070,4994825526,75,2208,SRX11812076,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP333129,PRJNA756023,35841888,"",SRS9826593,SAMN20849974,simple,9606,Homo sapiens,GSM5527807,GEO,SRA1280331,07,2022,Chothani,untreated normal human vascular smooth muscle cells,VSMC_5 (RNASeq),untreated normal human vascular smooth muscle cells,,untreated,polyA mRNA,vascular smooth muscle cells,GSM5527807
