Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,ENA first public,ENA last update,External Id,INSDC center alias,INSDC center name,INSDC first public,INSDC last update,INSDC status,Submitter Id,broker name,common name,fraction,genotype,replicate,sample name,Experimental Factor: genotype,Experimental Factor: compound,Experimental Factor: fraction,Experimental Factor: dose
ERR3850921,15014810,4504443000,150,1678,ERX3863351,sty1delta.control.rna.1_p,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,ERP119670,PRJEB36473,1,"",ERS4270500,SAMEA6506066,simple,4896,Schizosaccharomyces pombe,SAMEA6506066,Department of Biochemistry University of Cambridge UK,ERA2360066,11,2020,Makar,"",sty1delta.control.rna.1,2020-06-01,2020-01-28,SAMEA6506066,Department of Biochemistry University of Cambridge UK,Department of Biochemistry University of Cambridge UK,2020-06-01T04:03:53Z,2020-01-28T15:59:49Z,public,E-MTAB-8745:sty1delta.control.rna.1,ArrayExpress,fission yeast,rRNA depleted total RNA,sty1delta,1,E-MTAB-8745:sty1delta.control.rna.1,sty1delta,none,rRNA depleted total RNA,
ERR3850922,15583423,4675026900,150,1794,ERX3863352,sty1delta.control.rna.2_p,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,ERP119670,PRJEB36473,1,"",ERS4270501,SAMEA6506067,simple,4896,Schizosaccharomyces pombe,SAMEA6506067,Department of Biochemistry University of Cambridge UK,ERA2360066,11,2020,Makar,"",sty1delta.control.rna.2,2020-06-01,2020-01-28,SAMEA6506067,Department of Biochemistry University of Cambridge UK,Department of Biochemistry University of Cambridge UK,2020-06-01T04:03:53Z,2020-01-28T15:59:50Z,public,E-MTAB-8745:sty1delta.control.rna.2,ArrayExpress,fission yeast,rRNA depleted total RNA,sty1delta,2,E-MTAB-8745:sty1delta.control.rna.2,sty1delta,none,rRNA depleted total RNA,
ERR3850911,42427051,2121352550,50,604,ERX3863353,sty1delta.mms.ribo.1_s,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,ERP119670,PRJEB36473,1,"",ERS4270502,SAMEA6506068,simple,4896,Schizosaccharomyces pombe,SAMEA6506068,Department of Biochemistry University of Cambridge UK,ERA2360066,11,2020,Makar,"",sty1delta.mms.ribo.1,2020-06-01,2020-01-28,SAMEA6506068,Department of Biochemistry University of Cambridge UK,Department of Biochemistry University of Cambridge UK,2020-06-01T04:03:53Z,2020-01-28T15:59:51Z,public,E-MTAB-8745:sty1delta.mms.ribo.1,ArrayExpress,fission yeast,ribosome protected fragments,sty1delta,1,E-MTAB-8745:sty1delta.mms.ribo.1,sty1delta,methyl methanesulfonate,ribosome protected fragments,0.02
ERR3850912,39281332,1964066600,50,586,ERX3863354,sty1delta.mms.ribo.2_s,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,ERP119670,PRJEB36473,1,"",ERS4270503,SAMEA6506069,simple,4896,Schizosaccharomyces pombe,SAMEA6506069,Department of Biochemistry University of Cambridge UK,ERA2360066,11,2020,Makar,"",sty1delta.mms.ribo.2,2020-06-01,2020-01-28,SAMEA6506069,Department of Biochemistry University of Cambridge UK,Department of Biochemistry University of Cambridge UK,2020-06-01T04:03:53Z,2020-01-28T15:59:52Z,public,E-MTAB-8745:sty1delta.mms.ribo.2,ArrayExpress,fission yeast,ribosome protected fragments,sty1delta,2,E-MTAB-8745:sty1delta.mms.ribo.2,sty1delta,methyl methanesulfonate,ribosome protected fragments,0.02
ERR3850923,13669610,4100883000,150,1500,ERX3863355,sty1delta.mms.rna.1_p,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,ERP119670,PRJEB36473,1,"",ERS4270504,SAMEA6506070,simple,4896,Schizosaccharomyces pombe,SAMEA6506070,Department of Biochemistry University of Cambridge UK,ERA2360066,11,2020,Makar,"",sty1delta.mms.rna.1,2020-06-01,2020-01-28,SAMEA6506070,Department of Biochemistry University of Cambridge UK,Department of Biochemistry University of Cambridge UK,2020-06-01T04:03:53Z,2020-01-28T15:59:53Z,public,E-MTAB-8745:sty1delta.mms.rna.1,ArrayExpress,fission yeast,rRNA depleted total RNA,sty1delta,1,E-MTAB-8745:sty1delta.mms.rna.1,sty1delta,methyl methanesulfonate,rRNA depleted total RNA,0.02
ERR3850924,14150500,4245150000,150,1622,ERX3863356,sty1delta.mms.rna.2_p,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,ERP119670,PRJEB36473,1,"",ERS4270505,SAMEA6506071,simple,4896,Schizosaccharomyces pombe,SAMEA6506071,Department of Biochemistry University of Cambridge UK,ERA2360066,11,2020,Makar,"",sty1delta.mms.rna.2,2020-06-01,2020-01-28,SAMEA6506071,Department of Biochemistry University of Cambridge UK,Department of Biochemistry University of Cambridge UK,2020-06-01T04:03:53Z,2020-01-28T15:59:53Z,public,E-MTAB-8745:sty1delta.mms.rna.2,ArrayExpress,fission yeast,rRNA depleted total RNA,sty1delta,2,E-MTAB-8745:sty1delta.mms.rna.2,sty1delta,methyl methanesulfonate,rRNA depleted total RNA,0.02
ERR3850913,42659741,2132987050,50,613,ERX3863357,wt.control.ribo.1_s,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,ERP119670,PRJEB36473,1,"",ERS4270506,SAMEA6506072,simple,4896,Schizosaccharomyces pombe,SAMEA6506072,Department of Biochemistry University of Cambridge UK,ERA2360066,11,2020,Makar,"",wt.control.ribo.1,2020-06-01,2020-01-28,SAMEA6506072,Department of Biochemistry University of Cambridge UK,Department of Biochemistry University of Cambridge UK,2020-06-01T04:03:53Z,2020-01-28T15:59:54Z,public,E-MTAB-8745:wt.control.ribo.1,ArrayExpress,fission yeast,ribosome protected fragments,wild type genotype,1,E-MTAB-8745:wt.control.ribo.1,wild type genotype,none,ribosome protected fragments,
ERR3850914,30893411,1544670550,50,457,ERX3863358,wt.control.ribo.2_s,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,ERP119670,PRJEB36473,1,"",ERS4270507,SAMEA6506073,simple,4896,Schizosaccharomyces pombe,SAMEA6506073,Department of Biochemistry University of Cambridge UK,ERA2360066,11,2020,Makar,"",wt.control.ribo.2,2020-06-01,2020-01-28,SAMEA6506073,Department of Biochemistry University of Cambridge UK,Department of Biochemistry University of Cambridge UK,2020-06-01T04:03:53Z,2020-01-28T15:59:54Z,public,E-MTAB-8745:wt.control.ribo.2,ArrayExpress,fission yeast,ribosome protected fragments,wild type genotype,2,E-MTAB-8745:wt.control.ribo.2,wild type genotype,none,ribosome protected fragments,
ERR3850925,22233641,6670092300,150,2462,ERX3863359,wt.control.rna.1_p,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,ERP119670,PRJEB36473,1,"",ERS4270508,SAMEA6506074,simple,4896,Schizosaccharomyces pombe,SAMEA6506074,Department of Biochemistry University of Cambridge UK,ERA2360066,11,2020,Makar,"",wt.control.rna.1,2020-06-01,2020-01-28,SAMEA6506074,Department of Biochemistry University of Cambridge UK,Department of Biochemistry University of Cambridge UK,2020-06-01T04:03:53Z,2020-01-28T15:59:54Z,public,E-MTAB-8745:wt.control.rna.1,ArrayExpress,fission yeast,rRNA depleted total RNA,wild type genotype,1,E-MTAB-8745:wt.control.rna.1,wild type genotype,none,rRNA depleted total RNA,
ERR3850926,12703509,3811052700,150,1538,ERX3863360,wt.control.rna.2_p,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,ERP119670,PRJEB36473,1,"",ERS4270509,SAMEA6506075,simple,4896,Schizosaccharomyces pombe,SAMEA6506075,Department of Biochemistry University of Cambridge UK,ERA2360066,11,2020,Makar,"",wt.control.rna.2,2020-06-01,2020-01-28,SAMEA6506075,Department of Biochemistry University of Cambridge UK,Department of Biochemistry University of Cambridge UK,2020-06-01T04:03:53Z,2020-01-28T15:59:54Z,public,E-MTAB-8745:wt.control.rna.2,ArrayExpress,fission yeast,rRNA depleted total RNA,wild type genotype,2,E-MTAB-8745:wt.control.rna.2,wild type genotype,none,rRNA depleted total RNA,
ERR3850915,85757811,4287890550,50,1214,ERX3863361,wt.mms.ribo.1_s,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,ERP119670,PRJEB36473,1,"",ERS4270510,SAMEA6506076,simple,4896,Schizosaccharomyces pombe,SAMEA6506076,Department of Biochemistry University of Cambridge UK,ERA2360066,11,2020,Makar,"",wt.mms.ribo.1,2020-06-01,2020-01-28,SAMEA6506076,Department of Biochemistry University of Cambridge UK,Department of Biochemistry University of Cambridge UK,2020-06-01T04:03:53Z,2020-01-28T15:59:55Z,public,E-MTAB-8745:wt.mms.ribo.1,ArrayExpress,fission yeast,ribosome protected fragments,wild type genotype,1,E-MTAB-8745:wt.mms.ribo.1,wild type genotype,methyl methanesulfonate,ribosome protected fragments,0.02
ERR3850916,43492861,2174643050,50,641,ERX3863362,wt.mms.ribo.2_s,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,ERP119670,PRJEB36473,1,"",ERS4270511,SAMEA6506077,simple,4896,Schizosaccharomyces pombe,SAMEA6506077,Department of Biochemistry University of Cambridge UK,ERA2360066,11,2020,Makar,"",wt.mms.ribo.2,2020-06-01,2020-01-28,SAMEA6506077,Department of Biochemistry University of Cambridge UK,Department of Biochemistry University of Cambridge UK,2020-06-01T04:03:53Z,2020-01-28T15:59:56Z,public,E-MTAB-8745:wt.mms.ribo.2,ArrayExpress,fission yeast,ribosome protected fragments,wild type genotype,2,E-MTAB-8745:wt.mms.ribo.2,wild type genotype,methyl methanesulfonate,ribosome protected fragments,0.02
ERR3850927,10602812,3180843600,150,1178,ERX3863363,wt.mms.rna.1_p,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,ERP119670,PRJEB36473,1,"",ERS4270512,SAMEA6506078,simple,4896,Schizosaccharomyces pombe,SAMEA6506078,Department of Biochemistry University of Cambridge UK,ERA2360066,11,2020,Makar,"",wt.mms.rna.1,2020-06-01,2020-01-28,SAMEA6506078,Department of Biochemistry University of Cambridge UK,Department of Biochemistry University of Cambridge UK,2020-06-01T04:03:53Z,2020-01-28T15:59:56Z,public,E-MTAB-8745:wt.mms.rna.1,ArrayExpress,fission yeast,rRNA depleted total RNA,wild type genotype,1,E-MTAB-8745:wt.mms.rna.1,wild type genotype,methyl methanesulfonate,rRNA depleted total RNA,0.02
ERR3850928,14349836,4304950800,150,1653,ERX3863364,wt.mms.rna.2_p,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,ERP119670,PRJEB36473,1,"",ERS4270513,SAMEA6506079,simple,4896,Schizosaccharomyces pombe,SAMEA6506079,Department of Biochemistry University of Cambridge UK,ERA2360066,11,2020,Makar,"",wt.mms.rna.2,2020-06-01,2020-01-28,SAMEA6506079,Department of Biochemistry University of Cambridge UK,Department of Biochemistry University of Cambridge UK,2020-06-01T04:03:53Z,2020-01-28T15:59:56Z,public,E-MTAB-8745:wt.mms.rna.2,ArrayExpress,fission yeast,rRNA depleted total RNA,wild type genotype,2,E-MTAB-8745:wt.mms.rna.2,wild type genotype,methyl methanesulfonate,rRNA depleted total RNA,0.02
