Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,treatment,molecule,genotype/variation,molecule subtype,GEO Accession
SRR2075936,52332580,2616629000,50,1596,SRX1070869,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP059825,PRJNA287879,27309803,"",SRS969980,SAMN03788118,simple,9606,Homo sapiens,GSM1720814,GEO,SRA274158,06,2016,Iwasaki,HEK 293 T-Rex_ribo_DMSO,ribo_DMSO_replicate3 [Sample 12],HEK 293 T-Rex_ribo_DMSO,HEK 293 T-REx cell,DMSO,total RNA,,,GSM1720814
SRR2075937,52094596,2604729800,50,1574,SRX1070870,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP059825,PRJNA287879,27309803,"",SRS969979,SAMN03788119,simple,9606,Homo sapiens,GSM1720815,GEO,SRA274158,06,2016,Iwasaki,HEK 293 T-Rex_ribo_DMSO,ribo_DMSO_replicate4 [Sample 13],HEK 293 T-Rex_ribo_DMSO,HEK 293 T-REx cell,DMSO,total RNA,,,GSM1720815
SRR2075938,45019548,2250977400,50,1349,SRX1070871,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP059825,PRJNA287879,27309803,"",SRS969975,SAMN03788120,simple,9606,Homo sapiens,GSM1720816,GEO,SRA274158,06,2016,Iwasaki,HEK 293 T-Rex_ribo_Hipp001,ribo_Hipp001 [Sample 14],HEK 293 T-Rex_ribo_Hipp001,HEK 293 T-REx cell,Hipp 0.01 uM,total RNA,,,GSM1720816
SRR2075939,142211137,7110556850,50,4249,SRX1070872,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP059825,PRJNA287879,27309803,"",SRS969978,SAMN03788121,simple,9606,Homo sapiens,GSM1720817,GEO,SRA274158,06,2016,Iwasaki,HEK 293 T-Rex_ribo_Hipp1,ribo_Hipp1 [Sample 15],HEK 293 T-Rex_ribo_Hipp1,HEK 293 T-REx cell,Hipp 1 uM,total RNA,,,GSM1720817
SRR2075940,31442934,1572146700,50,903,SRX1070873,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP059825,PRJNA287879,27309803,"",SRS969976,SAMN03788122,simple,9606,Homo sapiens,GSM1720818,GEO,SRA274158,06,2016,Iwasaki,HEK 293 T-Rex_rip_DMSO,rip_DMSO_replicate1 [Sample 16],HEK 293 T-Rex_rip_DMSO,HEK 293 T-REx cell,DMSO,total RNA,stabley expressing SBP-tagged eIF4A,,GSM1720818
SRR2075941,29406345,1470317250,50,847,SRX1070874,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP059825,PRJNA287879,27309803,"",SRS969974,SAMN03788123,simple,9606,Homo sapiens,GSM1720819,GEO,SRA274158,06,2016,Iwasaki,HEK 293 T-Rex_rip_DMSO,rip_DMSO_replicate2 [Sample 17],HEK 293 T-Rex_rip_DMSO,HEK 293 T-REx cell,DMSO,total RNA,stabley expressing SBP-tagged eIF4A,,GSM1720819
SRR2075942,32122231,1606111550,50,924,SRX1070875,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP059825,PRJNA287879,27309803,"",SRS969977,SAMN03788124,simple,9606,Homo sapiens,GSM1720820,GEO,SRA274158,06,2016,Iwasaki,HEK 293 T-Rex_rip_RocA003,rip_RocA003 [Sample 18],HEK 293 T-Rex_rip_RocA003,HEK 293 T-REx cell,RocA 0.03 uM,total RNA,stabley expressing SBP-tagged eIF4A,,GSM1720820
SRR2075943,32571315,1628565750,50,942,SRX1070876,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP059825,PRJNA287879,27309803,"",SRS969973,SAMN03788125,simple,9606,Homo sapiens,GSM1720821,GEO,SRA274158,06,2016,Iwasaki,HEK 293 T-Rex_rip_RocA03,rip_RocA03 [Sample 19],HEK 293 T-Rex_rip_RocA03,HEK 293 T-REx cell,RocA 0.3 uM,total RNA,stabley expressing SBP-tagged eIF4A,,GSM1720821
SRR2075944,51345705,2567285250,50,1588,SRX1070877,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP059825,PRJNA287879,27309803,"",SRS969972,SAMN03788126,simple,32630,synthetic construct,GSM1720822,GEO,SRA274158,06,2016,Iwasaki,randomized synthetic RNAs_bind_input,bind_input [Sample 20],randomized synthetic RNAs_bind_input,,None,total RNA,,randomized synthetic RNAs,GSM1720822
SRR2075945,55177255,2758862750,50,1706,SRX1070878,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP059825,PRJNA287879,27309803,"",SRS969971,SAMN03788127,simple,32630,synthetic construct,GSM1720823,GEO,SRA274158,06,2016,Iwasaki,randomized synthetic RNAs_bind_DMSO,bind_DMSO [Sample 21],randomized synthetic RNAs_bind_DMSO,,DMSO,total RNA,,randomized synthetic RNAs,GSM1720823
SRR2075946,52796356,2639817800,50,1641,SRX1070879,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP059825,PRJNA287879,27309803,"",SRS969969,SAMN03788128,simple,32630,synthetic construct,GSM1720824,GEO,SRA274158,06,2016,Iwasaki,randomized synthetic RNAs_bind_RocA003,bind_RocA003 [Sample 22],randomized synthetic RNAs_bind_RocA003,,RocA 0.03 uM,total RNA,,randomized synthetic RNAs,GSM1720824
SRR2075947,52643985,2632199250,50,1635,SRX1070880,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP059825,PRJNA287879,27309803,"",SRS969970,SAMN03788129,simple,32630,synthetic construct,GSM1720825,GEO,SRA274158,06,2016,Iwasaki,randomized synthetic RNAs_bind_RocA03,bind_RocA03 [Sample 23],randomized synthetic RNAs_bind_RocA03,,RocA 0.3 uM,total RNA,,randomized synthetic RNAs,GSM1720825
