Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,strain information,genotype/treatment,stress,molecule subtype,GEO Accession
SRR16584075,13676,23104359,1689,19,SRX12785604,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,OXFORD_NANOPORE,MinION,SRP343289,PRJNA774874,35384842,"",SRS10731657,SAMN22589440,simple,4932,Saccharomyces cerevisiae,GSM5658059,GEO,SRA1318082,12,2021,Bailey,20210719_R941_prp16_18deg_YPD,20210719_R941_prp16_18deg_YPD,20210719_R941_prp16_18deg_YPD,YHM145 prp16-302,MATa; ade2; his3; leu2; lys2; prp16-302; trp1; ura3; snr6<delta>::LEU2; pSX6U (SNR6 URA3 CEN),prp16 mutant shifted to cold for 1hr to inhibit prp16 function,shifted to 18 °C for 1,ribosomal RNA,GSM5658059
SRR16584076,17215,25782470,1497,21,SRX12785606,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,OXFORD_NANOPORE,MinION,SRP343289,PRJNA774874,35384842,"",SRS10731659,SAMN22589441,simple,4932,Saccharomyces cerevisiae,GSM5658060,GEO,SRA1318082,12,2021,Bailey,20210720_R941_spp382_YPD,20210720_R941_spp382_YPD,20210720_R941_spp382_YPD,spp382-1,MATa; ura3<delta>0; trp1-289; leu2<delta>0; his3<delta>1; spp382∷KAN; pYCplac111-spp382-1,Spp382 KO,None,ribosomal RNA,GSM5658060
SRR16584077,22536,37743988,1674,31,SRX12785608,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,OXFORD_NANOPORE,MinION,SRP343289,PRJNA774874,35384842,"",SRS10731662,SAMN22589442,simple,4932,Saccharomyces cerevisiae,GSM5658061,GEO,SRA1318082,12,2021,Bailey,20210722_R941_YS602_18_YPD2,20210722_R941_YS602_18_YPD2,20210722_R941_YS602_18_YPD2,YS602,"MAT:alpha; ade2-101; his3-11,15; trp1<delta>901; ura3-52; leu2-3,112",wild type yeast shifted to cold for 1 hour,shifted to 18 °C for 1,ribosomal RNA,GSM5658061
SRR16584078,11361,19044109,1676,16,SRX12785610,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,OXFORD_NANOPORE,MinION,SRP343289,PRJNA774874,35384842,"",SRS10731663,SAMN22589443,simple,4932,Saccharomyces cerevisiae,GSM5658062,GEO,SRA1318082,12,2021,Bailey,20210729_R941_dbr1d_YPD,20210729_R941_dbr1d_YPD,20210729_R941_dbr1d_YPD,BY4741 dbr1<delta>::KanMX4,MATa; his3<delta>1; leu2<delta>0; met15<delta>0; ura3<delta>0; dbr1<delta>::KanMX4,Dbr1 KO,None,ribosomal RNA,GSM5658062
SRR16584079,13682,23674837,1730,20,SRX12785612,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,OXFORD_NANOPORE,MinION,SRP343289,PRJNA774874,35384842,"",SRS10731666,SAMN22589444,simple,4932,Saccharomyces cerevisiae,GSM5658063,GEO,SRA1318082,12,2021,Bailey,20210730_R941_sqs1d_YPD,20210730_R941_sqs1d_YPD,20210730_R941_sqs1d_YPD,BY4741 sqs1<delta>::kanMX4,MATa; his3<delta>1; leu2<delta>0; met15<delta>0; ura3<delta>0 sqs1<delta>::KanMX4,sqs1 KO,None,ribosomal RNA,GSM5658063
SRR16584080,4785,7577456,1583,6,SRX12785614,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,OXFORD_NANOPORE,MinION,SRP343289,PRJNA774874,35384842,"",SRS10731667,SAMN22589445,simple,4932,Saccharomyces cerevisiae,GSM5658064,GEO,SRA1318082,12,2021,Bailey,20210824_R941_snR45d_YPD,20210824_R941_snR45d_YPD,20210824_R941_snR45d_YPD,BY4742 snr45<delta>::KanMX4 (18S ac4c1773),MATalpha; his3<delta>1; leu2<delta>0; lys2<delta>0; ura3<delta>0 snr45<delta>::KanMX4,snR45 KO,None,ribosomal RNA,GSM5658064
SRR16584081,4003,6330281,1581,5,SRX12785616,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,OXFORD_NANOPORE,MinION,SRP343289,PRJNA774874,35384842,"",SRS10731670,SAMN22589446,simple,4932,Saccharomyces cerevisiae,GSM5658065,GEO,SRA1318082,12,2021,Bailey,20210825_R941_mutant448,20210825_R941_mutant448,20210825_R941_mutant448,YWD448a snr80<delta>::TRP1 (18S <psi>759; 25S <psi>776),"MAT:alpha; ade2-101; his3-11,15; trp1<delta>901; ura3-52; leu2-3,112; snr80<delta>::TRP1",snR80 KO,None,ribosomal RNA,GSM5658065
SRR16584082,10204,16899253,1656,14,SRX12785618,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,OXFORD_NANOPORE,MinION,SRP343289,PRJNA774874,35384842,"",SRS10731671,SAMN22589447,simple,4932,Saccharomyces cerevisiae,GSM5658066,GEO,SRA1318082,12,2021,Bailey,20210902_R941_snR4d_alpha_YPD,20210902_R941_snR4d_alpha_YPD,20210902_R941_snR4d_alpha_YPD,BY4742 snr4<delta>::KanMX4 (18S ac4c1280),MATalpha; his3<delta>1; leu2<delta>0; lys2<delta>0; ura3<delta>0 snr4<delta>::KanMX4,snR4 KO,None,ribosomal RNA,GSM5658066
SRR16584083,16053,26906907,1676,22,SRX12785620,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,OXFORD_NANOPORE,MinION,SRP343289,PRJNA774874,35384842,"",SRS10731673,SAMN22589448,simple,4932,Saccharomyces cerevisiae,GSM5658067,GEO,SRA1318082,12,2021,Bailey,20210930_R941_YS602_WT_repeat2,20210930_R941_YS602_WT_repeat2,20210930_R941_YS602_WT_repeat2,YS602,"MAT:alpha; ade2-101; his3-11,15; trp1<delta>901; ura3-52; leu2-3,112",Wild type,None,ribosomal RNA,GSM5658067
SRR16584084,19375,32530685,1679,27,SRX12785622,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,OXFORD_NANOPORE,MinION,SRP343289,PRJNA774874,35384842,"",SRS10731675,SAMN22589449,simple,4932,Saccharomyces cerevisiae,GSM5658068,GEO,SRA1318082,12,2021,Bailey,20211001_R941_YS602_WT_repeat3,20211001_R941_YS602_WT_repeat3,20211001_R941_YS602_WT_repeat3,YS602,"MAT:alpha; ade2-101; his3-11,15; trp1<delta>901; ura3-52; leu2-3,112",Wild type,None,ribosomal RNA,GSM5658068
SRR16584085,23767,34986937,1472,29,SRX12785624,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,OXFORD_NANOPORE,MinION,SRP343289,PRJNA774874,35384842,"",SRS10731677,SAMN22589453,simple,4932,Saccharomyces cerevisiae,GSM5658069,GEO,SRA1318082,12,2021,Bailey,20211006_R941_pxr1d_YPD,20211006_R941_pxr1d_YPD,20211006_R941_pxr1d_YPD,BY4742 pxr1<delta>::KanMX4,MATalpha; his3<delta>1; leu2<delta>0; lys2<delta>0; ura3<delta>0 pxr1<delta>::KanMX4; pYCplac111 (LEU2 CEN),pxr1 KO,None,ribosomal RNA,GSM5658069
SRR16584086,10030,15552677,1550,13,SRX12785626,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,OXFORD_NANOPORE,MinION,SRP343289,PRJNA774874,35384842,"",SRS10731679,SAMN22589454,simple,4932,Saccharomyces cerevisiae,GSM5658070,GEO,SRA1318082,12,2021,Bailey,20211007_R941_YS602_18_YPD3,20211007_R941_YS602_18_YPD3,20211007_R941_YS602_18_YPD3,YS602,"MAT:alpha; ade2-101; his3-11,15; trp1<delta>901; ura3-52; leu2-3,112",wild type yeast shifted to cold for 1 hour,shifted to 18 °C for 1,ribosomal RNA,GSM5658070
SRR16584087,10552,13462351,1275,11,SRX12785628,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,OXFORD_NANOPORE,MinION,SRP343289,PRJNA774874,35384842,"",SRS10731681,SAMN22589455,simple,4932,Saccharomyces cerevisiae,GSM5658071,GEO,SRA1318082,12,2021,Bailey,20211008_R941_prp43_18deg_YPD_repeat2,20211008_R941_prp43_18deg_YPD_repeat2,20211008_R941_prp43_18deg_YPD_repeat2,YJPS575 prp43 Q423N,MATa; his3<delta>; leu2<delta>; LYS2; met15<delta>0; ura3<delta>; prp43<delta>::KanMX4; (pJPS261 prp43 Q423N URA3 CEN),prp43 mutant shifted to cold for 1hr to inhibit prp43 function,shifted to 18 °C for 1,ribosomal RNA,GSM5658071
SRR16584088,25959,42585599,1640,35,SRX12785630,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,OXFORD_NANOPORE,MinION,SRP343289,PRJNA774874,35384842,"",SRS10731683,SAMN22589456,simple,4932,Saccharomyces cerevisiae,GSM5658072,GEO,SRA1318082,12,2021,Bailey,20211011_R941_dbp3d_YPD_repeat2,20211011_R941_dbp3d_YPD_repeat2,20211011_R941_dbp3d_YPD_repeat2,BY4741 dbp3<delta>::KanMX4,MATa; his3<delta>1; leu2<delta>0; met15<delta>0; ura3<delta>0; dbr1<delta>::KanMX4,dbp3 KO,None,ribosomal RNA,GSM5658072
SRR16584089,11082,18654033,1683,15,SRX12785632,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,OXFORD_NANOPORE,MinION,SRP343289,PRJNA774874,35384842,"",SRS10731685,SAMN22589457,simple,4932,Saccharomyces cerevisiae,GSM5658073,GEO,SRA1318082,12,2021,Bailey,20211021_R941_pxr1d_YPD_repeat2,20211021_R941_pxr1d_YPD_repeat2,20211021_R941_pxr1d_YPD_repeat2,BY4742 pxr1<delta>::KanMX4,MATalpha; his3<delta>1; leu2<delta>0; lys2<delta>0; ura3<delta>0 pxr1<delta>::KanMX4; pYCplac111 (LEU2 CEN),pxr1 KO,None,ribosomal RNA,GSM5658073
SRR16584058,899114,1058187932,1176,893,SRX12785634,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,OXFORD_NANOPORE,MinION,SRP343289,PRJNA774874,35384842,"",SRS10731687,SAMN22589452,simple,4932,Saccharomyces cerevisiae,GSM5658042,GEO,SRA1318082,12,2021,Bailey,20190611_R941_CBF5GLU,20190611_R941_CBF5GLU,20190611_R941_CBF5GLU,GAL-CBF5,MAT:a; ura3-52; trp-; leu2-<delta>1; cbf5::GAL-CBF5 HIS3; gal2; gal<delta>108,repressed expression of Cbf5,shift to YEPD(extrose),ribosomal RNA,GSM5658042
SRR16584059,951265,1135426375,1193,960,SRX12785636,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,OXFORD_NANOPORE,MinION,SRP343289,PRJNA774874,35384842,"",SRS10731689,SAMN22589425,simple,4932,Saccharomyces cerevisiae,GSM5658043,GEO,SRA1318082,12,2021,Bailey,20190617_R941_NOP58GAL,20190617_R941_NOP58GAL,20190617_R941_NOP58GAL,GAL-NOP58,MAT:a; ura3-52; trp-; leu2-<delta>1; nop58::GAL-NOP58 HIS3; gal2; gal<delta>108,Nop58 exresssed,YEPGal(actose),ribosomal RNA,GSM5658043
SRR16584060,830503,1010896909,1217,852,SRX12785638,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,OXFORD_NANOPORE,MinION,SRP343289,PRJNA774874,35384842,"",SRS10731691,SAMN22589426,simple,4932,Saccharomyces cerevisiae,GSM5658044,GEO,SRA1318082,12,2021,Bailey,20190619_R941_NOP58GLU,20190619_R941_NOP58GLU,20190619_R941_NOP58GLU,GAL-NOP58,MAT:a; ura3-52; trp-; leu2-<delta>1; nop58::GAL-NOP58 HIS3; gal2; gal<delta>108,repressed expression of Nop58,shift to YEPD(extrose),ribosomal RNA,GSM5658044
SRR16584061,430437,662043970,1538,557,SRX12785640,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,OXFORD_NANOPORE,MinION,SRP343289,PRJNA774874,35384842,"",SRS10731693,SAMN22589427,simple,4932,Saccharomyces cerevisiae,GSM5658045,GEO,SRA1318082,12,2021,Bailey,20191014_R941_IVT,20191014_R941_IVT,20191014_R941_IVT,None,None,Invitro transcribed 18S and 25S yeast rRNA,None,ribosomal RNA,GSM5658045
SRR16584062,1506,2660461,1766,2,SRX12785642,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,OXFORD_NANOPORE,MinION,SRP343289,PRJNA774874,35384842,"",SRS10731696,SAMN22589428,simple,4932,Saccharomyces cerevisiae,GSM5658046,GEO,SRA1318082,12,2021,Bailey,20210405_R941_mutant448,20210405_R941_mutant448,20210405_R941_mutant448,YWD448a snr80<delta>::TRP1 (18S <psi>759; 25S <psi>776),"MAT:alpha; ade2-101; his3-11,15; trp1<delta>901; ura3-52; leu2-3,112; snr80<delta>::TRP1",snR80 KO,None,ribosomal RNA,GSM5658046
SRR16584063,9394,17007639,1810,14,SRX12785644,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,OXFORD_NANOPORE,MinION,SRP343289,PRJNA774874,35384842,"",SRS10731697,SAMN22589429,simple,4932,Saccharomyces cerevisiae,GSM5658047,GEO,SRA1318082,12,2021,Bailey,20210410_R941_WT_YPD,20210410_R941_WT_YPD,20210410_R941_WT_YPD,YS602,"MAT:alpha; ade2-101; his3-11,15; trp1<delta>901; ura3-52; leu2-3,112",Wild type,None,ribosomal RNA,GSM5658047
SRR16584064,11202,19754202,1763,16,SRX12785646,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,OXFORD_NANOPORE,MinION,SRP343289,PRJNA774874,35384842,"",SRS10731698,SAMN22589430,simple,4932,Saccharomyces cerevisiae,GSM5658048,GEO,SRA1318082,12,2021,Bailey,20210412_R941_WT_KOAC,20210412_R941_WT_KOAC,20210412_R941_WT_KOAC,YS602,"MAT:alpha; ade2-101; his3-11,15; trp1<delta>901; ura3-52; leu2-3,112",KOAc treated wild type,"1% KOAc (1 hr, 30 °C)",ribosomal RNA,GSM5658048
SRR16584065,7005,12776031,1823,10,SRX12785648,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,OXFORD_NANOPORE,MinION,SRP343289,PRJNA774874,35384842,"",SRS10731701,SAMN22589451,simple,4932,Saccharomyces cerevisiae,GSM5658049,GEO,SRA1318082,12,2021,Bailey,20210413_R941_mutant452,20210413_R941_mutant452,20210413_R941_mutant452,YWD452a snR87<delta>::TRP1 (18S Am436),"MAT:alpha; ade2-101; his3-11,15; trp1<delta>901; ura3-52; leu2-3,112; snr87<delta>::TRP1",snR87 KO,None,ribosomal RNA,GSM5658049
