Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,treatment,tissue
SRR18305298,29857752,1940753880,65,816,SRX14442726,GSM5949089,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP363636,PRJNA815336,36812891,"",SRS12249811,SAMN26585471,simple,9606,Homo sapiens,GSM5949089,Netherlands Cancer Institute,SRA1385476,01,2023,Kenski,Patient derived xenograft (PDX) established low passage cell lines,M061R TS IFNg_24h,Patient derived xenograft (PDX) established low passage cell lines,IFNg_24h,Patient tumor material
SRR18305297,22126409,1438216585,65,606,SRX14442727,GSM5949090,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP363636,PRJNA815336,36812891,"",SRS12249812,SAMN26585470,simple,9606,Homo sapiens,GSM5949090,Netherlands Cancer Institute,SRA1385476,01,2023,Kenski,Patient derived xenograft (PDX) established low passage cell lines,M061R DP Untreated,Patient derived xenograft (PDX) established low passage cell lines,Untreated,Patient tumor material
SRR18305296,33830340,2198972100,65,927,SRX14442728,GSM5949091,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP363636,PRJNA815336,36812891,"",SRS12249813,SAMN26585469,simple,9606,Homo sapiens,GSM5949091,Netherlands Cancer Institute,SRA1385476,01,2023,Kenski,Patient derived xenograft (PDX) established low passage cell lines,M061R DP IFNg_24h,Patient derived xenograft (PDX) established low passage cell lines,IFNg_24h,Patient tumor material
SRR18305295,27108276,1762037940,65,759,SRX14442729,GSM5949092,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP363636,PRJNA815336,36812891,"",SRS12249814,SAMN26585468,simple,9606,Homo sapiens,GSM5949092,Netherlands Cancer Institute,SRA1385476,01,2023,Kenski,Patient derived xenograft (PDX) established low passage cell lines,M011-5R TS Untreated,Patient derived xenograft (PDX) established low passage cell lines,Untreated,Patient tumor material
SRR18305294,29185800,1897077000,65,763,SRX14442730,GSM5949093,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP363636,PRJNA815336,36812891,"",SRS12249815,SAMN26585467,simple,9606,Homo sapiens,GSM5949093,Netherlands Cancer Institute,SRA1385476,01,2023,Kenski,Patient derived xenograft (PDX) established low passage cell lines,M063R TS Untreated,Patient derived xenograft (PDX) established low passage cell lines,Untreated,Patient tumor material
SRR18305293,31147501,2024587565,65,817,SRX14442731,GSM5949094,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP363636,PRJNA815336,36812891,"",SRS12249816,SAMN26585466,simple,9606,Homo sapiens,GSM5949094,Netherlands Cancer Institute,SRA1385476,01,2023,Kenski,Patient derived xenograft (PDX) established low passage cell lines,M063R TS IFNg_24h,Patient derived xenograft (PDX) established low passage cell lines,IFNg_24h,Patient tumor material
SRR18305292,23799732,1546982580,65,627,SRX14442732,GSM5949095,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP363636,PRJNA815336,36812891,"",SRS12249817,SAMN26585465,simple,9606,Homo sapiens,GSM5949095,Netherlands Cancer Institute,SRA1385476,01,2023,Kenski,Patient derived xenograft (PDX) established low passage cell lines,M063R DP Untreated,Patient derived xenograft (PDX) established low passage cell lines,Untreated,Patient tumor material
SRR18305291,28008325,1820541125,65,741,SRX14442733,GSM5949096,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP363636,PRJNA815336,36812891,"",SRS12249818,SAMN26585464,simple,9606,Homo sapiens,GSM5949096,Netherlands Cancer Institute,SRA1385476,01,2023,Kenski,Patient derived xenograft (PDX) established low passage cell lines,M063R DP IFNg_24h,Patient derived xenograft (PDX) established low passage cell lines,IFNg_24h,Patient tumor material
SRR18305290,33476278,2175958070,65,894,SRX14442734,GSM5949097,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP363636,PRJNA815336,36812891,"",SRS12249819,SAMN26585463,simple,9606,Homo sapiens,GSM5949097,Netherlands Cancer Institute,SRA1385476,01,2023,Kenski,Patient derived xenograft (PDX) established low passage cell lines,M067 TS Untreated,Patient derived xenograft (PDX) established low passage cell lines,Untreated,Patient tumor material
SRR18305289,20478609,1331109585,65,552,SRX14442735,GSM5949098,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP363636,PRJNA815336,36812891,"",SRS12249820,SAMN26585462,simple,9606,Homo sapiens,GSM5949098,Netherlands Cancer Institute,SRA1385476,01,2023,Kenski,Patient derived xenograft (PDX) established low passage cell lines,M067 TS IFNg_24h,Patient derived xenograft (PDX) established low passage cell lines,IFNg_24h,Patient tumor material
SRR18305288,31063186,2019107090,65,838,SRX14442736,GSM5949099,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP363636,PRJNA815336,36812891,"",SRS12249821,SAMN26585461,simple,9606,Homo sapiens,GSM5949099,Netherlands Cancer Institute,SRA1385476,01,2023,Kenski,Patient derived xenograft (PDX) established low passage cell lines,M067 DP Untreated,Patient derived xenograft (PDX) established low passage cell lines,Untreated,Patient tumor material
SRR18305287,31738102,2062976630,65,849,SRX14442737,GSM5949100,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP363636,PRJNA815336,36812891,"",SRS12249822,SAMN26585460,simple,9606,Homo sapiens,GSM5949100,Netherlands Cancer Institute,SRA1385476,01,2023,Kenski,Patient derived xenograft (PDX) established low passage cell lines,M067 DP IFNg_24h,Patient derived xenograft (PDX) established low passage cell lines,IFNg_24h,Patient tumor material
SRR18305286,29887379,1942679635,65,786,SRX14442738,GSM5949101,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP363636,PRJNA815336,36812891,"",SRS12249823,SAMN26585459,simple,9606,Homo sapiens,GSM5949101,Netherlands Cancer Institute,SRA1385476,01,2023,Kenski,Patient derived xenograft (PDX) established low passage cell lines,M080 TS Untreated,Patient derived xenograft (PDX) established low passage cell lines,Untreated,Patient tumor material
SRR18305285,31359052,2038338380,65,826,SRX14442739,GSM5949102,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP363636,PRJNA815336,36812891,"",SRS12249824,SAMN26585458,simple,9606,Homo sapiens,GSM5949102,Netherlands Cancer Institute,SRA1385476,01,2023,Kenski,Patient derived xenograft (PDX) established low passage cell lines,M080 TS IFNg_24h,Patient derived xenograft (PDX) established low passage cell lines,IFNg_24h,Patient tumor material
SRR18305284,24141317,1569185605,65,638,SRX14442740,GSM5949103,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP363636,PRJNA815336,36812891,"",SRS12249825,SAMN26585457,simple,9606,Homo sapiens,GSM5949103,Netherlands Cancer Institute,SRA1385476,01,2023,Kenski,Patient derived xenograft (PDX) established low passage cell lines,M080 DP Untreated,Patient derived xenograft (PDX) established low passage cell lines,Untreated,Patient tumor material
SRR18305283,28203402,1833221130,65,744,SRX14442741,GSM5949104,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP363636,PRJNA815336,36812891,"",SRS12249826,SAMN26585456,simple,9606,Homo sapiens,GSM5949104,Netherlands Cancer Institute,SRA1385476,01,2023,Kenski,Patient derived xenograft (PDX) established low passage cell lines,M080 DP IFNg_24h,Patient derived xenograft (PDX) established low passage cell lines,IFNg_24h,Patient tumor material
SRR18305282,25541705,1660210825,65,717,SRX14442742,GSM5949105,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP363636,PRJNA815336,36812891,"",SRS12249827,SAMN26585455,simple,9606,Homo sapiens,GSM5949105,Netherlands Cancer Institute,SRA1385476,01,2023,Kenski,Patient derived xenograft (PDX) established low passage cell lines,M011-5R TS IFNg_24h,Patient derived xenograft (PDX) established low passage cell lines,IFNg_24h,Patient tumor material
SRR18305281,32406545,2106425425,65,869,SRX14442743,GSM5949106,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP363636,PRJNA815336,36812891,"",SRS12249828,SAMN26585454,simple,9606,Homo sapiens,GSM5949106,Netherlands Cancer Institute,SRA1385476,01,2023,Kenski,Patient derived xenograft (PDX) established low passage cell lines,M082 TS Untreated,Patient derived xenograft (PDX) established low passage cell lines,Untreated,Patient tumor material
SRR18305280,27900202,1813513130,65,746,SRX14442744,GSM5949107,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP363636,PRJNA815336,36812891,"",SRS12249829,SAMN26585453,simple,9606,Homo sapiens,GSM5949107,Netherlands Cancer Institute,SRA1385476,01,2023,Kenski,Patient derived xenograft (PDX) established low passage cell lines,M082 TS IFNg_24h,Patient derived xenograft (PDX) established low passage cell lines,IFNg_24h,Patient tumor material
SRR18305279,28104087,1826765655,65,760,SRX14442745,GSM5949108,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP363636,PRJNA815336,36812891,"",SRS12249830,SAMN26585452,simple,9606,Homo sapiens,GSM5949108,Netherlands Cancer Institute,SRA1385476,01,2023,Kenski,Patient derived xenograft (PDX) established low passage cell lines,M082 DP Untreated,Patient derived xenograft (PDX) established low passage cell lines,Untreated,Patient tumor material
SRR18305278,26427712,1717801280,65,707,SRX14442746,GSM5949109,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP363636,PRJNA815336,36812891,"",SRS12249831,SAMN26585451,simple,9606,Homo sapiens,GSM5949109,Netherlands Cancer Institute,SRA1385476,01,2023,Kenski,Patient derived xenograft (PDX) established low passage cell lines,M082 DP IFNg_24h,Patient derived xenograft (PDX) established low passage cell lines,IFNg_24h,Patient tumor material
SRR18305277,30448187,1979132155,65,822,SRX14442747,GSM5949110,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP363636,PRJNA815336,36812891,"",SRS12249832,SAMN26585450,simple,9606,Homo sapiens,GSM5949110,Netherlands Cancer Institute,SRA1385476,01,2023,Kenski,Patient derived xenograft (PDX) established low passage cell lines,M091 TS Untreated,Patient derived xenograft (PDX) established low passage cell lines,Untreated,Patient tumor material
SRR18305276,28525963,1854187595,65,768,SRX14442748,GSM5949111,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP363636,PRJNA815336,36812891,"",SRS12249833,SAMN26585449,simple,9606,Homo sapiens,GSM5949111,Netherlands Cancer Institute,SRA1385476,01,2023,Kenski,Patient derived xenograft (PDX) established low passage cell lines,M091 TS IFNg_24h,Patient derived xenograft (PDX) established low passage cell lines,IFNg_24h,Patient tumor material
SRR18305275,29500018,1917501170,65,795,SRX14442749,GSM5949112,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP363636,PRJNA815336,36812891,"",SRS12249834,SAMN26585448,simple,9606,Homo sapiens,GSM5949112,Netherlands Cancer Institute,SRA1385476,01,2023,Kenski,Patient derived xenograft (PDX) established low passage cell lines,M091 DP Untreated,Patient derived xenograft (PDX) established low passage cell lines,Untreated,Patient tumor material
SRR18305274,28258523,1836803995,65,756,SRX14442750,GSM5949113,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP363636,PRJNA815336,36812891,"",SRS12249835,SAMN26585447,simple,9606,Homo sapiens,GSM5949113,Netherlands Cancer Institute,SRA1385476,01,2023,Kenski,Patient derived xenograft (PDX) established low passage cell lines,M091 DP IFNg_24h,Patient derived xenograft (PDX) established low passage cell lines,IFNg_24h,Patient tumor material
SRR18305273,25668778,1668470570,65,719,SRX14442751,GSM5949114,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP363636,PRJNA815336,36812891,"",SRS12249836,SAMN26585446,simple,9606,Homo sapiens,GSM5949114,Netherlands Cancer Institute,SRA1385476,01,2023,Kenski,Patient derived xenograft (PDX) established low passage cell lines,M011-5R DP Untreated,Patient derived xenograft (PDX) established low passage cell lines,Untreated,Patient tumor material
SRR18305272,28009375,1820609375,65,786,SRX14442752,GSM5949115,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP363636,PRJNA815336,36812891,"",SRS12249837,SAMN26585445,simple,9606,Homo sapiens,GSM5949115,Netherlands Cancer Institute,SRA1385476,01,2023,Kenski,Patient derived xenograft (PDX) established low passage cell lines,M011-5R DP IFNg_24h,Patient derived xenograft (PDX) established low passage cell lines,IFNg_24h,Patient tumor material
SRR18305271,28413105,1846851825,65,807,SRX14442753,GSM5949116,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP363636,PRJNA815336,36812891,"",SRS12249838,SAMN26585444,simple,9606,Homo sapiens,GSM5949116,Netherlands Cancer Institute,SRA1385476,01,2023,Kenski,Patient derived xenograft (PDX) established low passage cell lines,M016 TS Untreated,Patient derived xenograft (PDX) established low passage cell lines,Untreated,Patient tumor material
SRR18305270,31479244,2046150860,65,893,SRX14442754,GSM5949117,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP363636,PRJNA815336,36812891,"",SRS12249839,SAMN26585443,simple,9606,Homo sapiens,GSM5949117,Netherlands Cancer Institute,SRA1385476,01,2023,Kenski,Patient derived xenograft (PDX) established low passage cell lines,M016 TS IFNg_24h,Patient derived xenograft (PDX) established low passage cell lines,IFNg_24h,Patient tumor material
SRR18305269,26911355,1749238075,65,771,SRX14442755,GSM5949118,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP363636,PRJNA815336,36812891,"",SRS12249840,SAMN26585442,simple,9606,Homo sapiens,GSM5949118,Netherlands Cancer Institute,SRA1385476,01,2023,Kenski,Patient derived xenograft (PDX) established low passage cell lines,M016 DP Untreated,Patient derived xenograft (PDX) established low passage cell lines,Untreated,Patient tumor material
SRR18305268,29989975,1949348375,65,852,SRX14442756,GSM5949119,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP363636,PRJNA815336,36812891,"",SRS12249841,SAMN26585441,simple,9606,Homo sapiens,GSM5949119,Netherlands Cancer Institute,SRA1385476,01,2023,Kenski,Patient derived xenograft (PDX) established low passage cell lines,M016 DP IFNg_24h,Patient derived xenograft (PDX) established low passage cell lines,IFNg_24h,Patient tumor material
SRR18305267,36551745,2375863425,65,1093,SRX14442757,GSM5949136,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP363636,PRJNA815336,36812891,"",SRS12249842,SAMN26585424,simple,9606,Homo sapiens,GSM5949136,Netherlands Cancer Institute,SRA1385476,01,2023,Kenski,Patient derived xenograft (PDX) established low passage cell lines,M027 DP Untreated,Patient derived xenograft (PDX) established low passage cell lines,Untreated,Patient tumor material
SRR18305266,27127583,1763292895,65,814,SRX14442758,GSM5949137,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP363636,PRJNA815336,36812891,"",SRS12249844,SAMN26585423,simple,9606,Homo sapiens,GSM5949137,Netherlands Cancer Institute,SRA1385476,01,2023,Kenski,Patient derived xenograft (PDX) established low passage cell lines,M027 DP IFNg_24h,Patient derived xenograft (PDX) established low passage cell lines,IFNg_24h,Patient tumor material
SRR18305265,32039792,2082586480,65,970,SRX14442759,GSM5949138,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP363636,PRJNA815336,36812891,"",SRS12249843,SAMN26585422,simple,9606,Homo sapiens,GSM5949138,Netherlands Cancer Institute,SRA1385476,01,2023,Kenski,Patient derived xenograft (PDX) established low passage cell lines,M029 TS Untreated,Patient derived xenograft (PDX) established low passage cell lines,Untreated,Patient tumor material
SRR18305264,29265740,1902273100,65,888,SRX14442760,GSM5949139,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP363636,PRJNA815336,36812891,"",SRS12249845,SAMN26585421,simple,9606,Homo sapiens,GSM5949139,Netherlands Cancer Institute,SRA1385476,01,2023,Kenski,Patient derived xenograft (PDX) established low passage cell lines,M029 TS IFNg_24h,Patient derived xenograft (PDX) established low passage cell lines,IFNg_24h,Patient tumor material
SRR18305263,15923468,1035025420,65,480,SRX14442761,GSM5949140,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP363636,PRJNA815336,36812891,"",SRS12249846,SAMN26585420,simple,9606,Homo sapiens,GSM5949140,Netherlands Cancer Institute,SRA1385476,01,2023,Kenski,Patient derived xenograft (PDX) established low passage cell lines,M029 DP Untreated,Patient derived xenograft (PDX) established low passage cell lines,Untreated,Patient tumor material
SRR18305262,33760958,2194462270,65,1021,SRX14442762,GSM5949141,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP363636,PRJNA815336,36812891,"",SRS12249847,SAMN26585419,simple,9606,Homo sapiens,GSM5949141,Netherlands Cancer Institute,SRA1385476,01,2023,Kenski,Patient derived xenograft (PDX) established low passage cell lines,M029 DP IFNg_24h,Patient derived xenograft (PDX) established low passage cell lines,IFNg_24h,Patient tumor material
SRR18305261,29660739,1927948035,65,897,SRX14442763,GSM5949142,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP363636,PRJNA815336,36812891,"",SRS12249848,SAMN26585418,simple,9606,Homo sapiens,GSM5949142,Netherlands Cancer Institute,SRA1385476,01,2023,Kenski,Patient derived xenograft (PDX) established low passage cell lines,M029R TS Untreated,Patient derived xenograft (PDX) established low passage cell lines,Untreated,Patient tumor material
SRR18305260,27885300,1812544500,65,844,SRX14442764,GSM5949143,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP363636,PRJNA815336,36812891,"",SRS12249849,SAMN26585417,simple,9606,Homo sapiens,GSM5949143,Netherlands Cancer Institute,SRA1385476,01,2023,Kenski,Patient derived xenograft (PDX) established low passage cell lines,M029R TS IFNg_24h,Patient derived xenograft (PDX) established low passage cell lines,IFNg_24h,Patient tumor material
SRR18305259,32037457,2082434705,65,922,SRX14442765,GSM5949128,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP363636,PRJNA815336,36812891,"",SRS12249850,SAMN26585432,simple,9606,Homo sapiens,GSM5949128,Netherlands Cancer Institute,SRA1385476,01,2023,Kenski,Patient derived xenograft (PDX) established low passage cell lines,M026 DP IFNg_24h,Patient derived xenograft (PDX) established low passage cell lines,IFNg_24h,Patient tumor material
SRR18305258,25483942,1656456230,65,755,SRX14442766,GSM5949129,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP363636,PRJNA815336,36812891,"",SRS12249851,SAMN26585431,simple,9606,Homo sapiens,GSM5949129,Netherlands Cancer Institute,SRA1385476,01,2023,Kenski,Patient derived xenograft (PDX) established low passage cell lines,M026R TS Untreated,Patient derived xenograft (PDX) established low passage cell lines,Untreated,Patient tumor material
SRR18305257,30534097,1984716305,65,911,SRX14442767,GSM5949130,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP363636,PRJNA815336,36812891,"",SRS12249852,SAMN26585430,simple,9606,Homo sapiens,GSM5949130,Netherlands Cancer Institute,SRA1385476,01,2023,Kenski,Patient derived xenograft (PDX) established low passage cell lines,M026R TS IFNg_24h,Patient derived xenograft (PDX) established low passage cell lines,IFNg_24h,Patient tumor material
SRR18305256,21782463,1415860095,65,645,SRX14442768,GSM5949131,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP363636,PRJNA815336,36812891,"",SRS12249853,SAMN26585429,simple,9606,Homo sapiens,GSM5949131,Netherlands Cancer Institute,SRA1385476,01,2023,Kenski,Patient derived xenograft (PDX) established low passage cell lines,M026R DP Untreated,Patient derived xenograft (PDX) established low passage cell lines,Untreated,Patient tumor material
SRR18305255,36362872,2363586680,65,1076,SRX14442769,GSM5949132,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP363636,PRJNA815336,36812891,"",SRS12249854,SAMN26585428,simple,9606,Homo sapiens,GSM5949132,Netherlands Cancer Institute,SRA1385476,01,2023,Kenski,Patient derived xenograft (PDX) established low passage cell lines,M026R DP IFNg_24h,Patient derived xenograft (PDX) established low passage cell lines,IFNg_24h,Patient tumor material
