Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,cell type,enrichment,further treatment,reverse transcription condition,molecule subtype,genotype/variation,GEO Accession
SRR5882577,30631445,4594716750,0,2031,SRX3048914,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP114321,PRJNA396456,29107537,"",SRS2395688,SAMN07426783,simple,9606,Homo sapiens,GSM2722294,GEO,SRA594487,10,2017,Li,HEK293T_m1A_input_TGIRT,m1A_input_TGIRT_rep1,HEK293T_m1A_input_TGIRT,HEK293T,human embryonic kindey cells,None,None,TGIRT; pH 8.3; 3mM MgCl2,poly-A RNA,,GSM2722294
SRR5882578,31615620,4742343000,0,2080,SRX3048915,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP114321,PRJNA396456,29107537,"",SRS2395689,SAMN07426782,simple,9606,Homo sapiens,GSM2722295,GEO,SRA594487,10,2017,Li,HEK293T_m1A_input_TGIRT,m1A_input_TGIRT_rep2,HEK293T_m1A_input_TGIRT,HEK293T,human embryonic kindey cells,None,None,TGIRT; pH 8.3; 3mM MgCl2,poly-A RNA,,GSM2722295
SRR5882579,64899288,9734893200,0,4442,SRX3048916,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP114321,PRJNA396456,29107537,"",SRS2395690,SAMN07426781,simple,9606,Homo sapiens,GSM2722296,GEO,SRA594487,10,2017,Li,HEK293T_m1A_IP_TGIRT,m1A_IP_TGIRT_rep1,HEK293T_m1A_IP_TGIRT,HEK293T,human embryonic kindey cells,Immunoprecipation with anti-m1A antibody (MBL; D345-3 lot 002),None,TGIRT; pH 8.3; 3mM MgCl2,poly-A RNA,,GSM2722296
SRR5882580,60498566,9074784900,0,4123,SRX3048917,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP114321,PRJNA396456,29107537,"",SRS2395691,SAMN07426780,simple,9606,Homo sapiens,GSM2722297,GEO,SRA594487,10,2017,Li,HEK293T_m1A_IP_TGIRT,m1A_IP_TGIRT_rep2,HEK293T_m1A_IP_TGIRT,HEK293T,human embryonic kindey cells,Immunoprecipation with anti-m1A antibody (MBL; D345-3 lot 002),None,TGIRT; pH 8.3; 3mM MgCl2,poly-A RNA,,GSM2722297
SRR5882581,75516130,11327419500,0,5210,SRX3048918,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP114321,PRJNA396456,29107537,"",SRS2395692,SAMN07426779,simple,9606,Homo sapiens,GSM2722298,GEO,SRA594487,10,2017,Li,HEK293T_m1A_IP_demethylase_TGIRT,m1A_IP_demethylase_TGIRT_rep1,HEK293T_m1A_IP_demethylase_TGIRT,HEK293T,human embryonic kindey cells,Immunoprecipation with anti-m1A antibody (MBL; D345-3 lot 002) followed by demethylase treatment,Demethylation using purified AlkB,TGIRT; pH 8.3; 3mM MgCl2,poly-A RNA,,GSM2722298
SRR5882583,69359694,10403954100,0,4818,SRX3048919,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP114321,PRJNA396456,29107537,"",SRS2395693,SAMN07426778,simple,9606,Homo sapiens,GSM2722299,GEO,SRA594487,10,2017,Li,HEK293T_m1A_IP_demethylase_TGIRT,m1A_IP_demethylase_TGIRT_rep2,HEK293T_m1A_IP_demethylase_TGIRT,HEK293T,human embryonic kindey cells,Immunoprecipation with anti-m1A antibody (MBL; D345-3 lot 002) followed by demethylase treatment,Demethylation using purified AlkB,TGIRT; pH 8.3; 3mM MgCl2,poly-A RNA,,GSM2722299
SRR5882585,7668399,383419950,50,122,SRX3048920,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP114321,PRJNA396456,29107537,"",SRS2395695,SAMN07426777,simple,9606,Homo sapiens,GSM2722300,GEO,SRA594487,10,2017,Li,HEK293T_HEK293T_RNA-seq,HEK293T_RNA-seq,HEK293T_HEK293T_RNA-seq,HEK293T,human embryonic kindey cells,None,None,SS III; pH 8.3; 3mM MgCl2,rRNA depleted fraction,,GSM2722300
SRR5882586,6957312,347865600,50,110,SRX3048921,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP114321,PRJNA396456,29107537,"",SRS2395694,SAMN07426776,simple,9606,Homo sapiens,GSM2722301,GEO,SRA594487,10,2017,Li,HEK293T_HEK293T_Ribo-seq,HEK293T_Ribo-seq,HEK293T_HEK293T_Ribo-seq,HEK293T,human embryonic kindey cells,None,None,SS III; pH 8.3; 3mM MgCl2,Ribosome protected RNA,,GSM2722301
SRR5882587,43776563,6566484450,0,2788,SRX3048922,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP114321,PRJNA396456,29107537,"",SRS2395697,SAMN07426775,simple,9606,Homo sapiens,GSM2722302,GEO,SRA594487,10,2017,Li,HEK293T_Mock_under200nt_fraction_RNA,Mock_under200nt_fraction_RNA,HEK293T_Mock_under200nt_fraction_RNA,HEK293T,human embryonic kindey cells,None,None,TGIRT; pH 8.3; 3mM MgCl2,RNA fraction under 200 nt,,GSM2722302
SRR5882588,34876011,5231401650,0,2264,SRX3048923,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP114321,PRJNA396456,29107537,"",SRS2395696,SAMN07426774,simple,9606,Homo sapiens,GSM2722303,GEO,SRA594487,10,2017,Li,HEK293T_TRMT6_61A_KD_under200nt_fraction_RNA,TRMT6_61A_KD_under200nt_fraction_RNA,HEK293T_TRMT6_61A_KD_under200nt_fraction_RNA,HEK293T,human embryonic kindey cells,None,None,TGIRT; pH 8.3; 3mM MgCl2,RNA fraction under 200 nt,TRMT6/61A KD,GSM2722303
SRR6177764,27009859,4051478850,0,1715,SRX3288396,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP114321,PRJNA396456,29107537,"",SRS2597939,SAMN07789952,simple,9606,Homo sapiens,GSM2815741,GEO,SRA594487,10,2017,Li,TRMT61B OE in HEK293T,61B-OE-1,TRMT61B OE in HEK293T,HEK293T,human embryonic kidney cells,No antibody enriched,,,,,GSM2815741
SRR6177765,24054634,3608195100,0,1528,SRX3288397,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP114321,PRJNA396456,29107537,"",SRS2597938,SAMN07789951,simple,9606,Homo sapiens,GSM2815742,GEO,SRA594487,10,2017,Li,TRMT61B OE in HEK293T,61B-OE-2,TRMT61B OE in HEK293T,HEK293T,human embryonic kidney cells,No antibody enriched,,,,,GSM2815742
SRR6177766,23008058,3451208700,0,1477,SRX3288398,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP114321,PRJNA396456,29107537,"",SRS2597940,SAMN07789950,simple,9606,Homo sapiens,GSM2815743,GEO,SRA594487,10,2017,Li,HEK293T Mock control,61B-OE-Mock-1,HEK293T Mock control,HEK293T,human embryonic kidney cells,No antibody enriched,,,,,GSM2815743
SRR6177767,20047568,3007135200,0,1272,SRX3288399,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP114321,PRJNA396456,29107537,"",SRS2597941,SAMN07789949,simple,9606,Homo sapiens,GSM2815744,GEO,SRA594487,10,2017,Li,HEK293T Mock control,61B-OE-Mock-2,HEK293T Mock control,HEK293T,human embryonic kidney cells,No antibody enriched,,,,,GSM2815744
