Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,genotype,treatment
SRR20672872,21526705,1097721360,50,365,SRX16694922,GSM6404269,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP388405,PRJNA862900,36876121,"",SRS14325677,SAMN29998731,simple,10090,Mus musculus,GSM6404269,National Institute for Basic Biology,SRA1463793,02,2023,Yamashita,Amygdala,RNA_KO_C1,Amygdala,Amygdala,Ilf3+/+ (wild-type),chronic stress
SRR20672869,17934256,914542038,50,302,SRX16694923,GSM6404270,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP388405,PRJNA862900,36876121,"",SRS14325676,SAMN29998730,simple,10090,Mus musculus,GSM6404270,National Institute for Basic Biology,SRA1463793,02,2023,Yamashita,Amygdala,RNA_KO_C2,Amygdala,Amygdala,Ilf3 deltaPrLD/deltaPrLD,chronic stress
SRR20672870,18307708,933578146,50,310,SRX16694923,GSM6404270,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP388405,PRJNA862900,36876121,"",SRS14325676,SAMN29998730,simple,10090,Mus musculus,GSM6404270,National Institute for Basic Biology,SRA1463793,02,2023,Yamashita,Amygdala,RNA_KO_C2,Amygdala,Amygdala,Ilf3 deltaPrLD/deltaPrLD,chronic stress
SRR20672867,23205042,1183327193,50,391,SRX16694924,GSM6404271,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP388405,PRJNA862900,36876121,"",SRS14325678,SAMN29998729,simple,10090,Mus musculus,GSM6404271,National Institute for Basic Biology,SRA1463793,02,2023,Yamashita,Amygdala,RNA_WT_St1,Amygdala,Amygdala,Ilf3+/+ (wild-type),control condtion
SRR20672868,25626909,1306854020,51,433,SRX16694924,GSM6404271,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP388405,PRJNA862900,36876121,"",SRS14325678,SAMN29998729,simple,10090,Mus musculus,GSM6404271,National Institute for Basic Biology,SRA1463793,02,2023,Yamashita,Amygdala,RNA_WT_St1,Amygdala,Amygdala,Ilf3+/+ (wild-type),control condtion
SRR20672865,39338109,2006053784,51,669,SRX16694925,GSM6404272,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP388405,PRJNA862900,36876121,"",SRS14325679,SAMN29998728,simple,10090,Mus musculus,GSM6404272,National Institute for Basic Biology,SRA1463793,02,2023,Yamashita,Amygdala,RNA_WT_St2,Amygdala,Amygdala,Ilf3 deltaPrLD/deltaPrLD,control condtion
SRR20672866,28251555,1440681884,50,477,SRX16694925,GSM6404272,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP388405,PRJNA862900,36876121,"",SRS14325679,SAMN29998728,simple,10090,Mus musculus,GSM6404272,National Institute for Basic Biology,SRA1463793,02,2023,Yamashita,Amygdala,RNA_WT_St2,Amygdala,Amygdala,Ilf3 deltaPrLD/deltaPrLD,control condtion
SRR20672863,22686279,1156890341,51,381,SRX16694926,GSM6404273,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP388405,PRJNA862900,36876121,"",SRS14325680,SAMN29998727,simple,10090,Mus musculus,GSM6404273,National Institute for Basic Biology,SRA1463793,02,2023,Yamashita,Amygdala,RNA_KO_St1,Amygdala,Amygdala,Ilf3+/+ (wild-type),chronic stress
SRR20672864,24973974,1273548530,51,423,SRX16694926,GSM6404273,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP388405,PRJNA862900,36876121,"",SRS14325680,SAMN29998727,simple,10090,Mus musculus,GSM6404273,National Institute for Basic Biology,SRA1463793,02,2023,Yamashita,Amygdala,RNA_KO_St1,Amygdala,Amygdala,Ilf3+/+ (wild-type),chronic stress
SRR20672861,26108141,1331380143,50,445,SRX16694927,GSM6404274,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP388405,PRJNA862900,36876121,"",SRS14325681,SAMN29998726,simple,10090,Mus musculus,GSM6404274,National Institute for Basic Biology,SRA1463793,02,2023,Yamashita,Amygdala,RNA_KO_St2,Amygdala,Amygdala,Ilf3 deltaPrLD/deltaPrLD,chronic stress
SRR20672862,25256219,1287929472,50,426,SRX16694927,GSM6404274,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP388405,PRJNA862900,36876121,"",SRS14325681,SAMN29998726,simple,10090,Mus musculus,GSM6404274,National Institute for Basic Biology,SRA1463793,02,2023,Yamashita,Amygdala,RNA_KO_St2,Amygdala,Amygdala,Ilf3 deltaPrLD/deltaPrLD,chronic stress
SRR20672860,36340496,913828173,25,430,SRX16694928,GSM6404259,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP388405,PRJNA862900,36876121,"",SRS14325682,SAMN29998741,simple,10090,Mus musculus,GSM6404259,National Institute for Basic Biology,SRA1463793,02,2023,Yamashita,Amygdala,Ribo_WT_C1,Amygdala,Amygdala,Ilf3+/+ (wild-type),control condtion
SRR20672859,28472236,695078203,24,332,SRX16694929,GSM6404260,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP388405,PRJNA862900,36876121,"",SRS14325683,SAMN29998740,simple,10090,Mus musculus,GSM6404260,National Institute for Basic Biology,SRA1463793,02,2023,Yamashita,Amygdala,Ribo_WT_C2,Amygdala,Amygdala,Ilf3+/+ (wild-type),control condtion
SRR20672858,42716615,1044308552,24,495,SRX16694930,GSM6404261,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP388405,PRJNA862900,36876121,"",SRS14325684,SAMN29998739,simple,10090,Mus musculus,GSM6404261,National Institute for Basic Biology,SRA1463793,02,2023,Yamashita,Amygdala,Ribo_KO_C1,Amygdala,Amygdala,Ilf3 deltaPrLD/deltaPrLD,control condtion
