Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,genotype/variation,background strain,replicate,GEO Accession
SRR2045254,70338642,7174541484,51,3975,SRX1043908,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP058860,PRJNA285346,26805575,"",SRS949361,SAMN03744273,simple,4932,Saccharomyces cerevisiae,GSM1700532,GEO,SRA270487,01,2016,Wery,Yeast cells,xrn1_SK1_1,Yeast cells,YAM2087 xrn1D strain,SK1 haploid,1,GSM1700532
SRR2045255,79133175,8071583850,51,4472,SRX1043909,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP058860,PRJNA285346,26805575,"",SRS949360,SAMN03744274,simple,4932,Saccharomyces cerevisiae,GSM1700533,GEO,SRA270487,01,2016,Wery,Yeast cells,xrn1_SK1_2,Yeast cells,YAM2087 xrn1D strain,SK1 haploid,2,GSM1700533
SRR2045256,55879118,5699670036,51,3209,SRX1043910,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP058860,PRJNA285346,26805575,"",SRS949359,SAMN03744275,simple,4932,Saccharomyces cerevisiae,GSM1700534,GEO,SRA270487,01,2016,Wery,Yeast cells,WT_SK1_2n_1,Yeast cells,YAM2067 wild-type strain,SK1 diploid,1,GSM1700534
SRR2045257,59612446,6080469492,51,3395,SRX1043911,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP058860,PRJNA285346,26805575,"",SRS949358,SAMN03744276,simple,4932,Saccharomyces cerevisiae,GSM1700535,GEO,SRA270487,01,2016,Wery,Yeast cells,WT_SK1_2n_2,Yeast cells,YAM2067 wild-type strain,SK1 diploid,2,GSM1700535
SRR2045258,80407173,8201531646,51,4547,SRX1043912,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP058860,PRJNA285346,26805575,"",SRS949357,SAMN03744277,simple,4932,Saccharomyces cerevisiae,GSM1700536,GEO,SRA270487,01,2016,Wery,Yeast cells,xrn1_SK1_2n_1,Yeast cells,YAM2068 xrn1D/xrn1D strain,SK1 diploid,1,GSM1700536
SRR2045259,79125599,8070811098,51,4517,SRX1043913,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP058860,PRJNA285346,26805575,"",SRS949356,SAMN03744278,simple,4932,Saccharomyces cerevisiae,GSM1700537,GEO,SRA270487,01,2016,Wery,Yeast cells,xrn1_SK1_2n_2,Yeast cells,YAM2068 xrn1D/xrn1D strain,SK1 diploid,2,GSM1700537
SRR2045260,84725260,8641976520,51,4908,SRX1043914,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP058860,PRJNA285346,26805575,"",SRS949355,SAMN03744279,simple,4932,Saccharomyces cerevisiae,GSM1700538,GEO,SRA270487,01,2016,Wery,Yeast cells,WT_S288C_Ter_1,Yeast cells,YAM1 wild-type strain,S288C,1,GSM1700538
SRR2045261,63156967,6442010634,51,3667,SRX1043915,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP058860,PRJNA285346,26805575,"",SRS949354,SAMN03744280,simple,4932,Saccharomyces cerevisiae,GSM1700539,GEO,SRA270487,01,2016,Wery,Yeast cells,WT_S288C_Ter_2,Yeast cells,YAM1 wild-type strain,S288C,2,GSM1700539
SRR2045262,83713526,8538779652,51,4853,SRX1043916,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP058860,PRJNA285346,26805575,"",SRS949353,SAMN03744281,simple,4932,Saccharomyces cerevisiae,GSM1700540,GEO,SRA270487,01,2016,Wery,Yeast cells,xrn1_S288C_Ter_1,Yeast cells,YAM6 xrn1D strain,S288C,1,GSM1700540
SRR2045263,73493234,7496309868,51,4241,SRX1043917,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP058860,PRJNA285346,26805575,"",SRS949352,SAMN03744282,simple,4932,Saccharomyces cerevisiae,GSM1700541,GEO,SRA270487,01,2016,Wery,Yeast cells,xrn1_S288C_Ter_2,Yeast cells,YAM6 xrn1D strain,S288C,2,GSM1700541
SRR2045264,73511923,7498216146,51,4238,SRX1043918,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP058860,PRJNA285346,26805575,"",SRS949351,SAMN03744283,simple,4932,Saccharomyces cerevisiae,GSM1700542,GEO,SRA270487,01,2016,Wery,Yeast cells,WT_37C_Ter_1,Yeast cells,YAM1 wild-type strain (37C),S288C,1,GSM1700542
SRR2045265,74199314,7568330028,51,4276,SRX1043919,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP058860,PRJNA285346,26805575,"",SRS949350,SAMN03744284,simple,4932,Saccharomyces cerevisiae,GSM1700543,GEO,SRA270487,01,2016,Wery,Yeast cells,WT_37C_Ter_2,Yeast cells,YAM1 wild-type strain (37C),S288C,2,GSM1700543
SRR2045266,81933775,8357245050,51,4738,SRX1043920,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP058860,PRJNA285346,26805575,"",SRS949340,SAMN03744260,simple,4932,Saccharomyces cerevisiae,GSM1700544,GEO,SRA270487,01,2016,Wery,Yeast cells,dcp2_37C_Ter_1,Yeast cells,YAM2283 dcp2-7 strain (37C),S288C,1,GSM1700544
SRR2045267,79631208,8122383216,51,4587,SRX1043921,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP058860,PRJNA285346,26805575,"",SRS949349,SAMN03744261,simple,4932,Saccharomyces cerevisiae,GSM1700545,GEO,SRA270487,01,2016,Wery,Yeast cells,dcp2_37C_Ter_2,Yeast cells,YAM2283 dcp2-7 strain (37C),S288C,2,GSM1700545
SRR2045268,29713066,3030732732,51,1795,SRX1043922,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP058860,PRJNA285346,26805575,"",SRS949348,SAMN03744262,simple,4932,Saccharomyces cerevisiae,GSM1700546,GEO,SRA270487,01,2016,Wery,Yeast cells,WT_W303_1,Yeast cells,YAM92 wild-type strain,W303,1,GSM1700546
SRR2045269,30730181,3134478462,51,1785,SRX1043923,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP058860,PRJNA285346,26805575,"",SRS949347,SAMN03744263,simple,4932,Saccharomyces cerevisiae,GSM1700547,GEO,SRA270487,01,2016,Wery,Yeast cells,WT_W303_2,Yeast cells,YAM92 wild-type strain,W303,2,GSM1700547
SRR2045270,28675788,2924930376,51,1729,SRX1043924,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP058860,PRJNA285346,26805575,"",SRS949346,SAMN03744264,simple,4932,Saccharomyces cerevisiae,GSM1700548,GEO,SRA270487,01,2016,Wery,Yeast cells,xrn1_W303_1,Yeast cells,YAM97 xrn1D strain,W303,1,GSM1700548
SRR2045271,27518591,2806896282,51,1610,SRX1043925,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP058860,PRJNA285346,26805575,"",SRS949345,SAMN03744265,simple,4932,Saccharomyces cerevisiae,GSM1700549,GEO,SRA270487,01,2016,Wery,Yeast cells,xrn1_W303_2,Yeast cells,YAM97 xrn1D strain,W303,2,GSM1700549
SRR2045272,71438753,7286752806,51,4094,SRX1043926,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP058860,PRJNA285346,26805575,"",SRS949344,SAMN03744266,simple,4932,Saccharomyces cerevisiae,GSM1700550,GEO,SRA270487,01,2016,Wery,Yeast cells,WT_UPF1_1,Yeast cells,YAM1 wild-type strain,S288C,1,GSM1700550
SRR2045273,95152954,9705601308,51,5443,SRX1043927,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP058860,PRJNA285346,26805575,"",SRS949343,SAMN03744267,simple,4932,Saccharomyces cerevisiae,GSM1700551,GEO,SRA270487,01,2016,Wery,Yeast cells,WT_UPF1_2,Yeast cells,YAM1 wild-type strain,S288C,2,GSM1700551
SRR2045274,58239029,5940380958,51,3346,SRX1043928,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP058860,PRJNA285346,26805575,"",SRS949342,SAMN03744268,simple,4932,Saccharomyces cerevisiae,GSM1700552,GEO,SRA270487,01,2016,Wery,Yeast cells,upf1_1,Yeast cells,YAM202 upf1D strain,S288C,1,GSM1700552
SRR2045275,65391413,6669924126,51,3739,SRX1043929,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP058860,PRJNA285346,26805575,"",SRS949341,SAMN03744253,simple,4932,Saccharomyces cerevisiae,GSM1700553,GEO,SRA270487,01,2016,Wery,Yeast cells,upf1_2,Yeast cells,YAM202 upf1D strain,S288C,2,GSM1700553
SRR2048394,28096068,1039554516,37,589,SRX1046569,,RNA-Seq,CAGE,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP058860,PRJNA285346,26805575,"",SRS951337,SAMN03757545,simple,4932,Saccharomyces cerevisiae,GSM1701906,GEO,SRA270487,01,2016,Wery,YAM1 wild-type strain (37°C),CAGE_WT_1,YAM1 wild-type strain (37°C),YAM1 wild-type strain,S288C,1,GSM1701906
SRR2048395,22190565,821050905,37,446,SRX1046570,,RNA-Seq,CAGE,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP058860,PRJNA285346,26805575,"",SRS951336,SAMN03757546,simple,4932,Saccharomyces cerevisiae,GSM1701907,GEO,SRA270487,01,2016,Wery,YAM1 wild-type strain (37°C),CAGE_WT_2,YAM1 wild-type strain (37°C),YAM1 wild-type strain,S288C,2,GSM1701907
SRR2048396,24708216,914203992,37,535,SRX1046571,,RNA-Seq,CAGE,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP058860,PRJNA285346,26805575,"",SRS951335,SAMN03757547,simple,4932,Saccharomyces cerevisiae,GSM1701908,GEO,SRA270487,01,2016,Wery,YAM2283 dcp2-7 strain (37°C),CAGE_dcp2_1,YAM2283 dcp2-7 strain (37°C),YAM2283 dcp2-7 strain,S288C,1,GSM1701908
SRR2048397,20903423,773426651,37,447,SRX1046572,,RNA-Seq,CAGE,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP058860,PRJNA285346,26805575,"",SRS951334,SAMN03757548,simple,4932,Saccharomyces cerevisiae,GSM1701909,GEO,SRA270487,01,2016,Wery,YAM2283 dcp2-7 strain (37°C),CAGE_dcp2_2,YAM2283 dcp2-7 strain (37°C),YAM2283 dcp2-7 strain,S288C,2,GSM1701909
