Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,treatment,cell line,extract_protocol,GEO Accession
SRR1610254,42154513,2107725650,50,1185,SRX730875,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP048825,PRJNA263582,26399832,"",SRS720052,SAMN03104428,simple,9606,Homo sapiens,GSM1523634,GEO,SRA189363,09,2015,Werner,"hES cell, treated with sh control, ND 3d",ribo_ND3_shControl_replicate2,"hES cell, treated with sh control, ND 3d",lentiviral infection with sh control,H1,"Rnase I footprinting, ribosome pelleting, RNA extraction",GSM1523634
SRR1610255,41611510,2080575500,50,1185,SRX730876,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP048825,PRJNA263582,26399832,"",SRS720053,SAMN03104429,simple,9606,Homo sapiens,GSM1523635,GEO,SRA189363,09,2015,Werner,"hES cell, treated with sh control, ND 6d",ribo_ND6_shControl_replicate2,"hES cell, treated with sh control, ND 6d",lentiviral infection with sh control,H1,"Rnase I footprinting, ribosome pelleting, RNA extraction",GSM1523635
SRR1610256,42335858,2116792900,50,1232,SRX730877,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP048825,PRJNA263582,26399832,"",SRS720054,SAMN03104430,simple,9606,Homo sapiens,GSM1523636,GEO,SRA189363,09,2015,Werner,"hES cell, treated with sh targeting KBTBD8",ribo_hES_shKBTBD8_replicate2,"hES cell, treated with sh targeting KBTBD8",lentiviral infection with sh KBTBD8,H1,"Rnase I footprinting, ribosome pelleting, RNA extraction",GSM1523636
SRR1610257,35678767,1783938350,50,1033,SRX730878,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP048825,PRJNA263582,26399832,"",SRS720055,SAMN03104431,simple,9606,Homo sapiens,GSM1523637,GEO,SRA189363,09,2015,Werner,"hES cell, treated with sh targeting KBTBD8, ND 1d",ribo_ND1_shKBTBD8_replicate2,"hES cell, treated with sh targeting KBTBD8, ND 1d",lentiviral infection with sh KBTBD8,H1,"Rnase I footprinting, ribosome pelleting, RNA extraction",GSM1523637
SRR1610258,32704287,1635214350,50,902,SRX730879,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP048825,PRJNA263582,26399832,"",SRS720056,SAMN03104432,simple,9606,Homo sapiens,GSM1523638,GEO,SRA189363,09,2015,Werner,"hES cell, treated with sh targeting KBTBD8, ND 3d",ribo_ND3_shKBTBD8_replicate2,"hES cell, treated with sh targeting KBTBD8, ND 3d",lentiviral infection with sh KBTBD8,H1,"Rnase I footprinting, ribosome pelleting, RNA extraction",GSM1523638
SRR1610259,33997375,1699868750,50,958,SRX730880,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP048825,PRJNA263582,26399832,"",SRS720057,SAMN03104433,simple,9606,Homo sapiens,GSM1523639,GEO,SRA189363,09,2015,Werner,"hES cell, treated with sh targeting KBTBD8, ND 6d",ribo_ND6_shKBTBD8_replicate2,"hES cell, treated with sh targeting KBTBD8, ND 6d",lentiviral infection with sh KBTBD8,H1,"Rnase I footprinting, ribosome pelleting, RNA extraction",GSM1523639
SRR1610260,43431012,2171550600,50,1369,SRX730881,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP048825,PRJNA263582,26399832,"",SRS720058,SAMN03104434,simple,9606,Homo sapiens,GSM1523640,GEO,SRA189363,09,2015,Werner,"hES cell, treated with sh control",rna_hES_shControl_replicate1,"hES cell, treated with sh control",lentiviral infection with sh control,H1,Standard mRNA-seq,GSM1523640
SRR1610261,46275264,2313763200,50,1452,SRX730882,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP048825,PRJNA263582,26399832,"",SRS720059,SAMN03104435,simple,9606,Homo sapiens,GSM1523641,GEO,SRA189363,09,2015,Werner,"hES cell, treated with sh control, ND 1d",rna_ND1_shControl_replicate1,"hES cell, treated with sh control, ND 1d",lentiviral infection with sh control,H1,Standard mRNA-seq,GSM1523641
SRR1610262,45250445,2262522250,50,1421,SRX730883,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP048825,PRJNA263582,26399832,"",SRS720060,SAMN03104436,simple,9606,Homo sapiens,GSM1523642,GEO,SRA189363,09,2015,Werner,"hES cell, treated with sh control, ND 3d",rna_ND3_shControl_replicate1,"hES cell, treated with sh control, ND 3d",lentiviral infection with sh control,H1,Standard mRNA-seq,GSM1523642
SRR1610263,45003359,2250167950,50,1418,SRX730884,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP048825,PRJNA263582,26399832,"",SRS720061,SAMN03104437,simple,9606,Homo sapiens,GSM1523643,GEO,SRA189363,09,2015,Werner,"hES cell, treated with sh control, ND 6d",rna_ND6_shControl_replicate1,"hES cell, treated with sh control, ND 6d",lentiviral infection with sh control,H1,Standard mRNA-seq,GSM1523643
SRR1610264,52337161,2616858050,50,1681,SRX730885,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP048825,PRJNA263582,26399832,"",SRS720062,SAMN03104438,simple,9606,Homo sapiens,GSM1523644,GEO,SRA189363,09,2015,Werner,"hES cell, treated with sh targeting KBTBD8",rna_hES_shKBTBD8_replicate1,"hES cell, treated with sh targeting KBTBD8",lentiviral infection with sh KBTBD8,H1,Standard mRNA-seq,GSM1523644
SRR1610265,38600212,1930010600,50,1241,SRX730886,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP048825,PRJNA263582,26399832,"",SRS720064,SAMN03104441,simple,9606,Homo sapiens,GSM1523645,GEO,SRA189363,09,2015,Werner,"hES cell, treated with sh targeting KBTBD8, ND 1d",rna_ND1_shKBTBD8_replicate1,"hES cell, treated with sh targeting KBTBD8, ND 1d",lentiviral infection with sh KBTBD8,H1,Standard mRNA-seq,GSM1523645
SRR1610266,48534749,2426737450,50,1561,SRX730887,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP048825,PRJNA263582,26399832,"",SRS720063,SAMN03104442,simple,9606,Homo sapiens,GSM1523646,GEO,SRA189363,09,2015,Werner,"hES cell, treated with sh targeting KBTBD8, ND 3d",rna_ND3_shKBTBD8_replicate1,"hES cell, treated with sh targeting KBTBD8, ND 3d",lentiviral infection with sh KBTBD8,H1,Standard mRNA-seq,GSM1523646
SRR1610267,50866113,2543305650,50,1646,SRX730888,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP048825,PRJNA263582,26399832,"",SRS720065,SAMN03104415,simple,9606,Homo sapiens,GSM1523647,GEO,SRA189363,09,2015,Werner,"hES cell, treated with sh targeting KBTBD8, ND 6d",rna_ND6_shKBTBD8_replicate1,"hES cell, treated with sh targeting KBTBD8, ND 6d",lentiviral infection with sh KBTBD8,H1,Standard mRNA-seq,GSM1523647
SRR1610268,47386872,2369343600,50,1465,SRX730889,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP048825,PRJNA263582,26399832,"",SRS720066,SAMN03104416,simple,9606,Homo sapiens,GSM1523648,GEO,SRA189363,09,2015,Werner,"hES cell, treated with sh control",rna_hES_shControl_replicate2,"hES cell, treated with sh control",lentiviral infection with sh control,H1,Standard mRNA-seq,GSM1523648
SRR1610269,52753506,2637675300,50,1628,SRX730890,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP048825,PRJNA263582,26399832,"",SRS720068,SAMN03104417,simple,9606,Homo sapiens,GSM1523649,GEO,SRA189363,09,2015,Werner,"hES cell, treated with sh control, ND 1d",rna_ND1_shControl_replicate2,"hES cell, treated with sh control, ND 1d",lentiviral infection with sh control,H1,Standard mRNA-seq,GSM1523649
SRR1610270,52662889,2633144450,50,1622,SRX730891,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP048825,PRJNA263582,26399832,"",SRS720067,SAMN03104411,simple,9606,Homo sapiens,GSM1523650,GEO,SRA189363,09,2015,Werner,"hES cell, treated with sh control, ND 3d",rna_ND3_shControl_replicate2,"hES cell, treated with sh control, ND 3d",lentiviral infection with sh control,H1,Standard mRNA-seq,GSM1523650
SRR1610271,50755517,2537775850,50,1573,SRX730892,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP048825,PRJNA263582,26399832,"",SRS720072,SAMN03104439,simple,9606,Homo sapiens,GSM1523651,GEO,SRA189363,09,2015,Werner,"hES cell, treated with sh control, ND 6d",rna_ND6_shControl_replicate2,"hES cell, treated with sh control, ND 6d",lentiviral infection with sh control,H1,Standard mRNA-seq,GSM1523651
SRR1610272,51507144,2575357200,50,1545,SRX730893,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP048825,PRJNA263582,26399832,"",SRS720069,SAMN03104440,simple,9606,Homo sapiens,GSM1523652,GEO,SRA189363,09,2015,Werner,"hES cell, treated with sh targeting KBTBD8",rna_hES_shKBTBD8_replicate2,"hES cell, treated with sh targeting KBTBD8",lentiviral infection with sh KBTBD8,H1,Standard mRNA-seq,GSM1523652
SRR1610273,51407537,2570376850,50,1544,SRX730894,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP048825,PRJNA263582,26399832,"",SRS720070,SAMN03104412,simple,9606,Homo sapiens,GSM1523653,GEO,SRA189363,09,2015,Werner,"hES cell, treated with sh targeting KBTBD8, ND 1d",rna_ND1_shKBTBD8_replicate2,"hES cell, treated with sh targeting KBTBD8, ND 1d",lentiviral infection with sh KBTBD8,H1,Standard mRNA-seq,GSM1523653
SRR1610274,48428560,2421428000,50,1455,SRX730895,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP048825,PRJNA263582,26399832,"",SRS720071,SAMN03104413,simple,9606,Homo sapiens,GSM1523654,GEO,SRA189363,09,2015,Werner,"hES cell, treated with sh targeting KBTBD8, ND 3d",rna_ND3_shKBTBD8_replicate2,"hES cell, treated with sh targeting KBTBD8, ND 3d",lentiviral infection with sh KBTBD8,H1,Standard mRNA-seq,GSM1523654
SRR1610275,36287315,1814365750,50,1106,SRX730896,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP048825,PRJNA263582,26399832,"",SRS720073,SAMN03104414,simple,9606,Homo sapiens,GSM1523655,GEO,SRA189363,09,2015,Werner,"hES cell, treated with sh targeting KBTBD8, ND 6d",rna_ND6_shKBTBD8_replicate2,"hES cell, treated with sh targeting KBTBD8, ND 6d",lentiviral infection with sh KBTBD8,H1,Standard mRNA-seq,GSM1523655
SRR2086025,36618005,1830900250,50,1131,SRX1080124,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP048825,PRJNA263582,26399832,"",SRS977994,SAMN03838476,simple,9606,Homo sapiens,GSM1782874,GEO,SRA189363,09,2015,Werner,"hES cell, treated with sh control",ribo_hES_shControl-replicate1,"hES cell, treated with sh control",lentiviral infection with sh control,H1,"Rnase I footprinting, ribosome pelleting, RNA extraction",GSM1782874
SRR2086026,51279622,2563981100,50,1581,SRX1080125,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP048825,PRJNA263582,26399832,"",SRS977988,SAMN03838477,simple,9606,Homo sapiens,GSM1782875,GEO,SRA189363,09,2015,Werner,"hES cell, treated with sh control",ribo_hES_shControl-replicate2,"hES cell, treated with sh control",lentiviral infection with sh control,H1,"Rnase I footprinting, ribosome pelleting, RNA extraction",GSM1782875
SRR2086027,58243116,2912155800,50,1802,SRX1080126,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP048825,PRJNA263582,26399832,"",SRS977989,SAMN03838478,simple,9606,Homo sapiens,GSM1782876,GEO,SRA189363,09,2015,Werner,"hES cell, treated with sh targeting KBTBD8",ribo_hES_shKBTBD8,"hES cell, treated with sh targeting KBTBD8",lentiviral infection with sh KBTBD8,H1,"Rnase I footprinting, ribosome pelleting, RNA extraction",GSM1782876
SRR2086028,52293661,2614683050,50,1622,SRX1080127,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP048825,PRJNA263582,26399832,"",SRS977993,SAMN03838479,simple,9606,Homo sapiens,GSM1782877,GEO,SRA189363,09,2015,Werner,"hES cell, treated with sh targeting TCOF1",ribo_hES_shTCOF1,"hES cell, treated with sh targeting TCOF1",lentiviral infection with sh TCOF1,H1,"Rnase I footprinting, ribosome pelleting, RNA extraction",GSM1782877
SRR2086029,68022183,3401109150,50,2061,SRX1080128,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP048825,PRJNA263582,26399832,"",SRS977992,SAMN03838480,simple,9606,Homo sapiens,GSM1782878,GEO,SRA189363,09,2015,Werner,"hES cell, treated with sh control, ND 3d",ribo_ND3_shControl,"hES cell, treated with sh control, ND 3d",lentiviral infection with sh control,H1,"Rnase I footprinting, ribosome pelleting, RNA extraction",GSM1782878
SRR2086030,65099755,3254987750,50,1975,SRX1080129,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP048825,PRJNA263582,26399832,"",SRS977991,SAMN03838481,simple,9606,Homo sapiens,GSM1782879,GEO,SRA189363,09,2015,Werner,"hES cell, treated with sh targeting KBTBD8, ND 3d",ribo_ND3_shKBTBD8,"hES cell, treated with sh targeting KBTBD8, ND 3d",lentiviral infection with sh KBTBD8,H1,"Rnase I footprinting, ribosome pelleting, RNA extraction",GSM1782879
SRR2086031,54718534,2735926700,50,1674,SRX1080130,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP048825,PRJNA263582,26399832,"",SRS977990,SAMN03838482,simple,9606,Homo sapiens,GSM1782880,GEO,SRA189363,09,2015,Werner,"hES cell, treated with sh targeting TCOF1, ND 3d",ribo_ND3_shTCOF1,"hES cell, treated with sh targeting TCOF1, ND 3d",lentiviral infection with sh TCOF1,H1,"Rnase I footprinting, ribosome pelleting, RNA extraction",GSM1782880
SRR2086032,25381553,1269077650,50,792,SRX1080131,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP048825,PRJNA263582,26399832,"",SRS977987,SAMN03838483,simple,9606,Homo sapiens,GSM1782881,GEO,SRA189363,09,2015,Werner,"hES cell, treated with sh control",rna_hES_shControl-replicate1,"hES cell, treated with sh control",lentiviral infection with sh control,H1,Standard mRNA-seq,GSM1782881
SRR2086033,51946560,2597328000,50,1612,SRX1080132,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP048825,PRJNA263582,26399832,"",SRS977986,SAMN03838484,simple,9606,Homo sapiens,GSM1782882,GEO,SRA189363,09,2015,Werner,"hES cell, treated with sh control",rna_hES_shControl-replicate2,"hES cell, treated with sh control",lentiviral infection with sh control,H1,Standard mRNA-seq,GSM1782882
SRR2086034,50982358,2549117900,50,1577,SRX1080133,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP048825,PRJNA263582,26399832,"",SRS977985,SAMN03838485,simple,9606,Homo sapiens,GSM1782883,GEO,SRA189363,09,2015,Werner,"hES cell, treated with sh targeting KBTBD8",rna_hES_shKBTBD8,"hES cell, treated with sh targeting KBTBD8",lentiviral infection with sh KBTBD8,H1,Standard mRNA-seq,GSM1782883
SRR2086035,53060880,2653044000,50,1651,SRX1080134,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP048825,PRJNA263582,26399832,"",SRS977983,SAMN03838486,simple,9606,Homo sapiens,GSM1782884,GEO,SRA189363,09,2015,Werner,"hES cell, treated with sh targeting TCOF1",rna_hES_shTCOF1,"hES cell, treated with sh targeting TCOF1",lentiviral infection with sh TCOF1,H1,Standard mRNA-seq,GSM1782884
SRR2086036,58921668,2946083400,50,1827,SRX1080135,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP048825,PRJNA263582,26399832,"",SRS977982,SAMN03838487,simple,9606,Homo sapiens,GSM1782885,GEO,SRA189363,09,2015,Werner,"hES cell, treated with sh control, ND 3d",rna_ND3_shControl,"hES cell, treated with sh control, ND 3d",lentiviral infection with sh control,H1,Standard mRNA-seq,GSM1782885
SRR2086037,62790761,3139538050,50,1942,SRX1080136,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP048825,PRJNA263582,26399832,"",SRS977984,SAMN03838488,simple,9606,Homo sapiens,GSM1782886,GEO,SRA189363,09,2015,Werner,"hES cell, treated with sh targeting KBTBD8, ND 3d",rna_ND3_shKBTBD8,"hES cell, treated with sh targeting KBTBD8, ND 3d",lentiviral infection with sh KBTBD8,H1,Standard mRNA-seq,GSM1782886
SRR2086038,62977459,3148872950,50,1947,SRX1080137,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP048825,PRJNA263582,26399832,"",SRS977981,SAMN03838489,simple,9606,Homo sapiens,GSM1782887,GEO,SRA189363,09,2015,Werner,"hES cell, treated with sh targeting TCOF1, ND 3d",rna_ND3_shTCOF1,"hES cell, treated with sh targeting TCOF1, ND 3d",lentiviral infection with sh TCOF1,H1,Standard mRNA-seq,GSM1782887
