Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,Alias,Days of differentation,ENA checklist,INSDC center alias,INSDC center name,INSDC first public,INSDC last update,INSDC status,SRA accession,Sample Name,Title,cell_type,Days of differenation,Treatment,ENA first public,ENA last update,External Id,Submitter Id,common name,sample name
ERR595903,21824033,1134849716,52,637,ERX552885,B2,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP006908,PRJEB7207,1,"",ERS540866,SAMEA2752269,simple,10090,Mus musculus,SAMEA2752269,LEIDEN UNIVERSITY MEDICAL CENTER,ERA356723,11,2014,Makar,"",B2,B2,,ERC000011,LEIDEN UNIVERSITY MEDICAL CENTER,LEIDEN UNIVERSITY MEDICAL CENTER,2014-10-31T17:03:35Z,2014-09-08T13:59:27Z,public,ERS540866,ERS540866,C2C12,C2C12,0,cycloheximide,,,,,,
ERR595905,62578813,3254098276,52,1565,ERX552887,C1,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP006908,PRJEB7207,1,"",ERS540868,SAMEA2752271,simple,10090,Mus musculus,SAMEA2752271,LEIDEN UNIVERSITY MEDICAL CENTER,ERA356723,11,2014,Makar,"",C1,C1,,ERC000011,LEIDEN UNIVERSITY MEDICAL CENTER,LEIDEN UNIVERSITY MEDICAL CENTER,2014-10-31T17:03:35Z,2014-09-08T13:59:27Z,public,ERS540868,ERS540868,C2C12,C2C12,7,harringtonin,,,,,,
ERR595909,48176058,2505155016,52,1238,ERX552891,D2,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP006908,PRJEB7207,1,"",ERS540872,SAMEA2752275,simple,10090,Mus musculus,SAMEA2752275,LEIDEN UNIVERSITY MEDICAL CENTER,ERA356723,11,2014,Makar,"",D2,D2,,ERC000011,LEIDEN UNIVERSITY MEDICAL CENTER,LEIDEN UNIVERSITY MEDICAL CENTER,2014-10-31T17:03:35Z,2014-09-08T13:59:27Z,public,ERS540872,ERS540872,C2C12,C2C12,7,cycloheximide,,,,,,
ERR595910,84813848,4410320096,52,2153,ERX552892,D3,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP006908,PRJEB7207,1,"",ERS540873,SAMEA2752276,simple,10090,Mus musculus,SAMEA2752276,LEIDEN UNIVERSITY MEDICAL CENTER,ERA356723,11,2014,Makar,"",D3,D3,,ERC000011,LEIDEN UNIVERSITY MEDICAL CENTER,LEIDEN UNIVERSITY MEDICAL CENTER,2014-10-31T17:03:35Z,2014-09-08T13:59:27Z,public,ERS540873,ERS540873,C2C12,C2C12,7,cycloheximide,,,,,,
ERR595906,46116824,2398074848,52,1135,ERX552888,C2,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP006908,PRJEB7207,1,"",ERS540869,SAMEA2752272,simple,10090,Mus musculus,SAMEA2752272,LEIDEN UNIVERSITY MEDICAL CENTER,ERA356723,11,2014,Makar,"",C2,C2,,ERC000011,LEIDEN UNIVERSITY MEDICAL CENTER,LEIDEN UNIVERSITY MEDICAL CENTER,2014-10-31T17:03:35Z,2014-09-08T13:59:27Z,public,ERS540869,ERS540869,C2C12,C2C12,7,harringtonin,,,,,,
ERR595907,54078201,2812066452,52,1385,ERX552889,C3,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP006908,PRJEB7207,1,"",ERS540870,SAMEA2752273,simple,10090,Mus musculus,SAMEA2752273,LEIDEN UNIVERSITY MEDICAL CENTER,ERA356723,11,2014,Makar,"",C3,C3,,ERC000011,LEIDEN UNIVERSITY MEDICAL CENTER,LEIDEN UNIVERSITY MEDICAL CENTER,2014-10-31T17:03:35Z,2014-09-08T13:59:27Z,public,ERS540870,ERS540870,C2C12,C2C12,7,harringtonin,,,,,,
ERR832560,4271212,222103024,52,204,ERX912634,unspecified,miRNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,ERP006908,PRJEB7207,1,"",ERS688443,SAMEA3312303,simple,10090,Mus musculus,SAMEA3312303,LEIDEN UNIVERSITY MEDICAL CENTER,ERA422491,03,2015,Makar,"",Myotubes_A,,,,LEIDEN UNIVERSITY MEDICAL CENTER,LEIDEN UNIVERSITY MEDICAL CENTER,2015-03-25T17:01:41Z,2015-03-25T15:58:00Z,public,,,,,,,2015-03-25,2015-03-25,SAMEA3312303,Myotubes_A,house mouse,Myotubes_A
ERR832561,21829511,1135134572,52,1049,ERX912635,unspecified,miRNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,ERP006908,PRJEB7207,1,"",ERS688444,SAMEA3312304,simple,10090,Mus musculus,SAMEA3312304,LEIDEN UNIVERSITY MEDICAL CENTER,ERA422491,03,2015,Makar,"",Myotubes_B,,,,LEIDEN UNIVERSITY MEDICAL CENTER,LEIDEN UNIVERSITY MEDICAL CENTER,2015-03-25T17:01:42Z,2015-03-25T15:58:00Z,public,,,,,,,2015-03-25,2015-03-25,SAMEA3312304,Myotubes_B,house mouse,Myotubes_B
ERR832562,4867713,253121076,52,189,ERX912636,unspecified,miRNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,ERP006908,PRJEB7207,1,"",ERS688445,SAMEA3312305,simple,10090,Mus musculus,SAMEA3312305,LEIDEN UNIVERSITY MEDICAL CENTER,ERA422491,03,2015,Makar,"",Myotubes_C,,,,LEIDEN UNIVERSITY MEDICAL CENTER,LEIDEN UNIVERSITY MEDICAL CENTER,2015-03-25T17:01:41Z,2015-03-25T15:58:00Z,public,,,,,,,2015-03-25,2015-03-25,SAMEA3312305,Myotubes_C,house mouse,Myotubes_C
ERR832563,17732831,922107212,52,839,ERX912637,unspecified,miRNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,ERP006908,PRJEB7207,1,"",ERS688446,SAMEA3312306,simple,10090,Mus musculus,SAMEA3312306,LEIDEN UNIVERSITY MEDICAL CENTER,ERA422491,03,2015,Makar,"",Myoblasts_A,,,,LEIDEN UNIVERSITY MEDICAL CENTER,LEIDEN UNIVERSITY MEDICAL CENTER,2015-03-25T17:01:41Z,2015-03-25T15:58:00Z,public,,,,,,,2015-03-25,2015-03-25,SAMEA3312306,Myoblasts_A,house mouse,Myoblasts_A
ERR832564,11580279,602174508,52,555,ERX912638,unspecified,miRNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,ERP006908,PRJEB7207,1,"",ERS688447,SAMEA3312307,simple,10090,Mus musculus,SAMEA3312307,LEIDEN UNIVERSITY MEDICAL CENTER,ERA422491,03,2015,Makar,"",Myoblasts_B,,,,LEIDEN UNIVERSITY MEDICAL CENTER,LEIDEN UNIVERSITY MEDICAL CENTER,2015-03-25T17:01:42Z,2015-03-25T15:58:00Z,public,,,,,,,2015-03-25,2015-03-25,SAMEA3312307,Myoblasts_B,house mouse,Myoblasts_B
ERR832565,15464383,804147916,52,738,ERX912639,unspecified,miRNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,ERP006908,PRJEB7207,1,"",ERS688448,SAMEA3312308,simple,10090,Mus musculus,SAMEA3312308,LEIDEN UNIVERSITY MEDICAL CENTER,ERA422491,03,2015,Makar,"",Myoblasts_C,,,,LEIDEN UNIVERSITY MEDICAL CENTER,LEIDEN UNIVERSITY MEDICAL CENTER,2015-03-25T17:01:41Z,2015-03-25T15:58:01Z,public,,,,,,,2015-03-25,2015-03-25,SAMEA3312308,Myoblasts_C,house mouse,Myoblasts_C
