Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,tissue,genotype,treatment,agent,cell line,GEO Accession
SRR14735570,11535392,271176413,23,125,SRX11070653,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP322739,PRJNA735209,37246715,"",SRS9137124,SAMN19572214,simple,4932,Saccharomyces cerevisiae,GSM5359305,GEO,SRA1240819,01,2023,Shin,yeast cells,"eEF2-H699N, upf1-del, rep1",yeast cells,YEFD12h,Cultured cell,"eEF2-H699N, upf1-del",No treatment,cycloheximide,,GSM5359305
SRR14735571,22729054,528548565,23,244,SRX11070654,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP322739,PRJNA735209,37246715,"",SRS9137125,SAMN19572213,simple,4932,Saccharomyces cerevisiae,GSM5359306,GEO,SRA1240819,01,2023,Shin,yeast cells,"eEF2-H699N, upf1-del, rep2",yeast cells,YEFD12h,Cultured cell,"eEF2-H699N, upf1-del",No treatment,cycloheximide,,GSM5359306
SRR14735572,5952720,148367444,24,61,SRX11070655,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP322739,PRJNA735209,37246715,"",SRS9137126,SAMN19572240,simple,4932,Saccharomyces cerevisiae,GSM5359307,GEO,SRA1240819,01,2023,Shin,yeast cells,"eEF2-WT, MDN1-LS, rep1",yeast cells,YEFD12h,Cultured cell,"eEF2-WT, MDN1-LS",No treatment,cycloheximide,,GSM5359307
SRR14735573,7948838,196759836,24,82,SRX11070656,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP322739,PRJNA735209,37246715,"",SRS9137127,SAMN19572239,simple,4932,Saccharomyces cerevisiae,GSM5359308,GEO,SRA1240819,01,2023,Shin,yeast cells,"eEF2-WT, MDN1-LS, rep2",yeast cells,YEFD12h,Cultured cell,"eEF2-WT, MDN1-LS",No treatment,cycloheximide,,GSM5359308
SRR14735574,7649923,190758887,24,79,SRX11070657,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP322739,PRJNA735209,37246715,"",SRS9137128,SAMN19572238,simple,4932,Saccharomyces cerevisiae,GSM5359309,GEO,SRA1240819,01,2023,Shin,yeast cells,"eEF2-H699N, MDN1-LS, rep1",yeast cells,YEFD12h,Cultured cell,"eEF2-H699N, MDN1-LS",No treatment,cycloheximide,,GSM5359309
SRR14735575,9141981,228786869,25,95,SRX11070658,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP322739,PRJNA735209,37246715,"",SRS9137129,SAMN19572237,simple,4932,Saccharomyces cerevisiae,GSM5359310,GEO,SRA1240819,01,2023,Shin,yeast cells,"eEF2-H699N, MDN1-LS, rep2",yeast cells,YEFD12h,Cultured cell,"eEF2-H699N, MDN1-LS",No treatment,cycloheximide,,GSM5359310
SRR14735576,17607444,435939630,24,189,SRX11070659,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP322739,PRJNA735209,37246715,"",SRS9137130,SAMN19572236,simple,10029,Cricetulus griseus,GSM5359311,GEO,SRA1240819,01,2023,Shin,CHO K1 cell line,"CHO K1 WT, rep1",CHO K1 cell line,,Ovary,DPH2,No treatment,cycloheximide,CHO K1 [ATCC CCL-61],GSM5359311
SRR14735577,16375523,401843298,24,174,SRX11070660,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP322739,PRJNA735209,37246715,"",SRS9137131,SAMN19572235,simple,10029,Cricetulus griseus,GSM5359312,GEO,SRA1240819,01,2023,Shin,CHO K1 cell line,"CHO K1 WT, rep2",CHO K1 cell line,,Ovary,DPH2,No treatment,cycloheximide,CHO K1 [ATCC CCL-61],GSM5359312
SRR14735578,20608845,502605820,24,218,SRX11070661,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP322739,PRJNA735209,37246715,"",SRS9137132,SAMN19572234,simple,10029,Cricetulus griseus,GSM5359313,GEO,SRA1240819,01,2023,Shin,CHO K1 cell line,"CHO K1 dph2, rep1",CHO K1 cell line,,Ovary,dph2,No treatment,cycloheximide,CHO K1 [ATCC CCL-61],GSM5359313
SRR14735579,18809505,455852237,24,194,SRX11070662,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP322739,PRJNA735209,37246715,"",SRS9137133,SAMN19572233,simple,10029,Cricetulus griseus,GSM5359314,GEO,SRA1240819,01,2023,Shin,CHO K1 cell line,"CHO K1 dph2, rep2",CHO K1 cell line,,Ovary,dph2,No treatment,cycloheximide,CHO K1 [ATCC CCL-61],GSM5359314
SRR14735580,10052522,308723298,30,120,SRX11070663,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP322739,PRJNA735209,37246715,"",SRS9137134,SAMN19572232,simple,4932,Saccharomyces cerevisiae,GSM5359315,GEO,SRA1240819,01,2023,Shin,yeast cells,"DPH2, DTA induction, rep1",yeast cells,yMN2/DBY12394,Cultured cell,"eEF2-WT, DPH2",DTA induction,cycloheximide + tigecycline,,GSM5359315
SRR14735581,10764958,368187729,34,141,SRX11070664,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP322739,PRJNA735209,37246715,"",SRS9137135,SAMN19572231,simple,4932,Saccharomyces cerevisiae,GSM5359316,GEO,SRA1240819,01,2023,Shin,yeast cells,"DPH2, DTA induction, rep2",yeast cells,yMN2/DBY12394,Cultured cell,"eEF2-WT, DPH2",DTA induction,cycloheximide + tigecycline,,GSM5359316
SRR14735582,4383770,129529601,29,51,SRX11070665,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP322739,PRJNA735209,37246715,"",SRS9137136,SAMN19572230,simple,4932,Saccharomyces cerevisiae,GSM5359317,GEO,SRA1240819,01,2023,Shin,yeast cells,"dph2-del, DTA induction, rep1",yeast cells,yMN2/DBY12394,Cultured cell,"eEF2-WT, dph2-del",DTA induction,cycloheximide + tigecycline,,GSM5359317
SRR14735583,17543136,572683560,32,223,SRX11070666,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP322739,PRJNA735209,37246715,"",SRS9137137,SAMN19572229,simple,4932,Saccharomyces cerevisiae,GSM5359318,GEO,SRA1240819,01,2023,Shin,yeast cells,"dph2-del, DTA induction, rep2",yeast cells,yMN2/DBY12394,Cultured cell,"eEF2-WT, dph2-del",DTA induction,cycloheximide + tigecycline,,GSM5359318
