Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,genotype,age,Sex,number of mice,tissue,cell type,GEO Accession
SRR11195685,20635385,2084173885,101,804,SRX7815649,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP250981,PRJNA609143,33306108,"",SRS6234642,SAMN14238122,simple,10090,Mus musculus,GSM4364122,GEO,SRA1048958,11,2020,Saveliev,Activated CD19+ B cells,KO1,Activated CD19+ B cells,C57BL/6,Zfp36l1(fl/fl) control,8 to 11 weeks,female,1,Peripheral and mesenteric LN,LN CD19+ B cells,GSM4364117
SRR11195686,20900803,2110981103,101,820,SRX7815649,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP250981,PRJNA609143,33306108,"",SRS6234642,SAMN14238122,simple,10090,Mus musculus,GSM4364122,GEO,SRA1048958,11,2020,Saveliev,Activated CD19+ B cells,KO1,Activated CD19+ B cells,C57BL/6,Zfp36l1(fl/fl) control,8 to 11 weeks,female,1,Peripheral and mesenteric LN,LN CD19+ B cells,GSM4364118
SRR11195687,19237884,1943026284,101,756,SRX7815650,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP250981,PRJNA609143,33306108,"",SRS6234643,SAMN14238121,simple,10090,Mus musculus,GSM4364123,GEO,SRA1048958,11,2020,Saveliev,Activated CD19+ B cells,KO2,Activated CD19+ B cells,C57BL/6,Zfp36l1(fl/fl) control,8 to 11 weeks,female,1,Peripheral and mesenteric LN,LN CD19+ B cells,GSM4364119
SRR11195688,19473030,1966776030,101,771,SRX7815650,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP250981,PRJNA609143,33306108,"",SRS6234643,SAMN14238121,simple,10090,Mus musculus,GSM4364123,GEO,SRA1048958,11,2020,Saveliev,Activated CD19+ B cells,KO2,Activated CD19+ B cells,C57BL/6,Zfp36l1(fl/fl) control,8 to 11 weeks,female,1,Peripheral and mesenteric LN,LN CD19+ B cells,GSM4364120
SRR11195689,18560262,1874586462,101,732,SRX7815651,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP250981,PRJNA609143,33306108,"",SRS6234644,SAMN14238080,simple,10090,Mus musculus,GSM4364124,GEO,SRA1048958,11,2020,Saveliev,Activated CD19+ B cells,KO3,Activated CD19+ B cells,C57BL/6,Zfp36l1(fl/fl) control,8 to 11 weeks,female,1,Peripheral and mesenteric LN,LN CD19+ B cells,GSM4364121
SRR11195690,18812387,1900051087,101,747,SRX7815651,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP250981,PRJNA609143,33306108,"",SRS6234644,SAMN14238080,simple,10090,Mus musculus,GSM4364124,GEO,SRA1048958,11,2020,Saveliev,Activated CD19+ B cells,KO3,Activated CD19+ B cells,C57BL/6,Zfp36l1(fl/fl) CD79a-cre cKO,8 to 11 weeks,female,1,Peripheral and mesenteric LN,LN CD19+ B cells,GSM4364122
SRR11195691,22010840,2223094840,101,870,SRX7815652,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP250981,PRJNA609143,33306108,"",SRS6234645,SAMN14238120,simple,10090,Mus musculus,GSM4364125,GEO,SRA1048958,11,2020,Saveliev,Activated CD19+ B cells,KO4,Activated CD19+ B cells,C57BL/6,Zfp36l1(fl/fl) CD79a-cre cKO,8 to 11 weeks,female,1,Peripheral and mesenteric LN,LN CD19+ B cells,GSM4364123
SRR11195692,22263800,2248643800,101,886,SRX7815652,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP250981,PRJNA609143,33306108,"",SRS6234645,SAMN14238120,simple,10090,Mus musculus,GSM4364125,GEO,SRA1048958,11,2020,Saveliev,Activated CD19+ B cells,KO4,Activated CD19+ B cells,C57BL/6,Zfp36l1(fl/fl) CD79a-cre cKO,8 to 11 weeks,female,1,Peripheral and mesenteric LN,LN CD19+ B cells,GSM4364124
SRR11195693,29078330,2936911330,101,1137,SRX7815653,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP250981,PRJNA609143,33306108,"",SRS6234646,SAMN14238119,simple,10090,Mus musculus,GSM4364126,GEO,SRA1048958,11,2020,Saveliev,Activated CD19+ B cells,KO5,Activated CD19+ B cells,C57BL/6,Zfp36l1(fl/fl) CD79a-cre cKO,8 to 11 weeks,female,1,Peripheral and mesenteric LN,LN CD19+ B cells,GSM4364125
SRR11195694,29448415,2974289915,101,1159,SRX7815653,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP250981,PRJNA609143,33306108,"",SRS6234646,SAMN14238119,simple,10090,Mus musculus,GSM4364126,GEO,SRA1048958,11,2020,Saveliev,Activated CD19+ B cells,KO5,Activated CD19+ B cells,C57BL/6,Zfp36l1(fl/fl) CD79a-cre cKO,8 to 11 weeks,female,1,Peripheral and mesenteric LN,LN CD19+ B cells,GSM4364126
