Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain background,GEO Accession
SRR4035018,10340358,527358258,51,291,SRX2026300,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP082204,PRJNA339062,27905431,"",SRS1620716,SAMN05579804,simple,4932,Saccharomyces cerevisiae,GSM2281595,GEO,SRA452927,12,2016,Aviram,sec63mVenusBirA_deltaSND2_chx_2minBiotin,sec63mVenusBirA_deltaSND2_chx_2minBiotin_input,sec63mVenusBirA_deltaSND2_chx_2minBiotin,S288C,GSM2281596
SRR4035019,10562635,538694385,51,298,SRX2026300,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP082204,PRJNA339062,27905431,"",SRS1620716,SAMN05579804,simple,4932,Saccharomyces cerevisiae,GSM2281595,GEO,SRA452927,12,2016,Aviram,sec63mVenusBirA_deltaSND2_chx_2minBiotin,sec63mVenusBirA_deltaSND2_chx_2minBiotin_input,sec63mVenusBirA_deltaSND3_chx_2minBiotin,S288C,GSM2281597
SRR4035020,6565358,334833258,51,186,SRX2026301,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP082204,PRJNA339062,27905431,"",SRS1620717,SAMN05579803,simple,4932,Saccharomyces cerevisiae,GSM2281596,GEO,SRA452927,12,2016,Aviram,sec63mVenusBirA_deltaSND2_chx_2minBiotin,sec63mVenusBirA_deltaSND2_chx_2minBiotin_pulldown,sec63mVenusBirA_deltaSND3_chx_2minBiotin,S288C,GSM2281598
SRR4035021,6441779,328530729,51,182,SRX2026301,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP082204,PRJNA339062,27905431,"",SRS1620717,SAMN05579803,simple,4932,Saccharomyces cerevisiae,GSM2281596,GEO,SRA452927,12,2016,Aviram,sec63mVenusBirA_deltaSND2_chx_2minBiotin,sec63mVenusBirA_deltaSND2_chx_2minBiotin_pulldown,sec63mVenusBirA_chx_2minBiotin,S288C,GSM2281591
SRR4035022,6576780,335415780,51,187,SRX2026301,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP082204,PRJNA339062,27905431,"",SRS1620717,SAMN05579803,simple,4932,Saccharomyces cerevisiae,GSM2281596,GEO,SRA452927,12,2016,Aviram,sec63mVenusBirA_deltaSND2_chx_2minBiotin,sec63mVenusBirA_deltaSND2_chx_2minBiotin_pulldown,sec63mVenusBirA_chx_2minBiotin,S288C,GSM2281592
SRR4035023,12324153,628531803,51,344,SRX2026302,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP082204,PRJNA339062,27905431,"",SRS1620718,SAMN05579802,simple,4932,Saccharomyces cerevisiae,GSM2281597,GEO,SRA452927,12,2016,Aviram,sec63mVenusBirA_deltaSND3_chx_2minBiotin,sec63mVenusBirA_deltaSND3_chx_2minBiotin_input,sec63mVenusBirA_deltaSND1_chx_2minBiotin,S288C,GSM2281593
SRR4035024,12059927,615056277,51,337,SRX2026302,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP082204,PRJNA339062,27905431,"",SRS1620718,SAMN05579802,simple,4932,Saccharomyces cerevisiae,GSM2281597,GEO,SRA452927,12,2016,Aviram,sec63mVenusBirA_deltaSND3_chx_2minBiotin,sec63mVenusBirA_deltaSND3_chx_2minBiotin_input,sec63mVenusBirA_deltaSND1_chx_2minBiotin,S288C,GSM2281594
SRR4035025,12327786,628717086,51,345,SRX2026302,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP082204,PRJNA339062,27905431,"",SRS1620718,SAMN05579802,simple,4932,Saccharomyces cerevisiae,GSM2281597,GEO,SRA452927,12,2016,Aviram,sec63mVenusBirA_deltaSND3_chx_2minBiotin,sec63mVenusBirA_deltaSND3_chx_2minBiotin_input,sec63mVenusBirA_deltaSND2_chx_2minBiotin,S288C,GSM2281595
SRR4035026,8393811,428084361,51,233,SRX2026303,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP082204,PRJNA339062,27905431,"",SRS1620719,SAMN05579801,simple,4932,Saccharomyces cerevisiae,GSM2281598,GEO,SRA452927,12,2016,Aviram,sec63mVenusBirA_deltaSND3_chx_2minBiotin,sec63mVenusBirA_deltaSND3_chx_2minBiotin_pulldown,sec63mVenusBirA_deltaSND2_chx_2minBiotin,S288C,GSM2281596
SRR4035027,8219939,419216889,51,228,SRX2026303,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP082204,PRJNA339062,27905431,"",SRS1620719,SAMN05579801,simple,4932,Saccharomyces cerevisiae,GSM2281598,GEO,SRA452927,12,2016,Aviram,sec63mVenusBirA_deltaSND3_chx_2minBiotin,sec63mVenusBirA_deltaSND3_chx_2minBiotin_pulldown,sec63mVenusBirA_deltaSND3_chx_2minBiotin,S288C,GSM2281597
SRR4035028,8396180,428205180,51,234,SRX2026303,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP082204,PRJNA339062,27905431,"",SRS1620719,SAMN05579801,simple,4932,Saccharomyces cerevisiae,GSM2281598,GEO,SRA452927,12,2016,Aviram,sec63mVenusBirA_deltaSND3_chx_2minBiotin,sec63mVenusBirA_deltaSND3_chx_2minBiotin_pulldown,sec63mVenusBirA_deltaSND3_chx_2minBiotin,S288C,GSM2281598
