Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain background,genotype/variation,tissue/cell type,replicate,GEO Accession
SRR1944920,17539519,548335139,31,399,SRX971690,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP056647,PRJNA279785,26052047,"",SRS886793,SAMN03450600,simple,4932,Saccharomyces cerevisiae,GSM1646023,GEO,SRA249088,06,2015,Nedialkova,elp6?_ribo_YPD,elp6?_ribo_YPD_rep3,elp6?_ribo_YPD,BY4741,elp6-delta,Whole cells,3,GSM1646023
SRR1944921,29349129,895089237,30,643,SRX971691,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP056647,PRJNA279785,26052047,"",SRS886789,SAMN03450615,simple,4932,Saccharomyces cerevisiae,GSM1646024,GEO,SRA249088,06,2015,Nedialkova,ncs2?elp6?_ribo_YPD,ncs2?elp6?_ribo_YPD_rep1,ncs2?elp6?_ribo_YPD,BY4741,ncs2-delta elp6-delta,Whole cells,1,GSM1646024
SRR1944922,26332332,807586588,30,584,SRX971692,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP056647,PRJNA279785,26052047,"",SRS886792,SAMN03450624,simple,4932,Saccharomyces cerevisiae,GSM1646025,GEO,SRA249088,06,2015,Nedialkova,ncs2?elp6?_ribo_YPD,ncs2?elp6?_ribo_YPD_rep2,ncs2?elp6?_ribo_YPD,BY4741,ncs2-delta elp6-delta,Whole cells,2,GSM1646025
SRR1944923,36551062,1116750648,30,800,SRX971693,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP056647,PRJNA279785,26052047,"",SRS886788,SAMN03450667,simple,4932,Saccharomyces cerevisiae,GSM1646026,GEO,SRA249088,06,2015,Nedialkova,ncs2?elp6?_ribo_YPD,ncs2?elp6?_ribo_YPD_rep3,ncs2?elp6?_ribo_YPD,BY4741,ncs2-delta elp6-delta,Whole cells,3,GSM1646026
SRR1944924,10935113,546755650,50,347,SRX971694,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP056647,PRJNA279785,26052047,"",SRS886791,SAMN03450628,simple,4932,Saccharomyces cerevisiae,GSM1646027,GEO,SRA249088,06,2015,Nedialkova,WT_mRNA_YPD,WT_mRNA_YPD_rep1,WT_mRNA_YPD,BY4741,wild-type,Whole cells,1,GSM1646027
SRR1944925,11621987,581099350,50,372,SRX971695,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP056647,PRJNA279785,26052047,"",SRS886790,SAMN03450682,simple,4932,Saccharomyces cerevisiae,GSM1646028,GEO,SRA249088,06,2015,Nedialkova,WT_mRNA_YPD,WT_mRNA_YPD_rep2,WT_mRNA_YPD,BY4741,wild-type,Whole cells,2,GSM1646028
SRR1944926,13861670,693083500,50,471,SRX971696,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP056647,PRJNA279785,26052047,"",SRS886786,SAMN03450636,simple,4932,Saccharomyces cerevisiae,GSM1646029,GEO,SRA249088,06,2015,Nedialkova,WT_mRNA_YPD,WT_mRNA_YPD_rep3,WT_mRNA_YPD,BY4741,wild-type,Whole cells,3,GSM1646029
SRR1944927,10706015,535300750,50,339,SRX971697,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP056647,PRJNA279785,26052047,"",SRS886787,SAMN03450614,simple,4932,Saccharomyces cerevisiae,GSM1646030,GEO,SRA249088,06,2015,Nedialkova,ncs2?_mRNA_YPD,ncs2?_mRNA_YPD_rep1,ncs2?_mRNA_YPD,BY4741,ncs2-delta,Whole cells,1,GSM1646030
SRR1944928,10626509,531325450,50,340,SRX971698,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP056647,PRJNA279785,26052047,"",SRS886784,SAMN03450647,simple,4932,Saccharomyces cerevisiae,GSM1646031,GEO,SRA249088,06,2015,Nedialkova,ncs2?_mRNA_YPD,ncs2?_mRNA_YPD_rep2,ncs2?_mRNA_YPD,BY4741,ncs2-delta,Whole cells,2,GSM1646031
SRR1944929,17800317,890015850,50,598,SRX971699,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP056647,PRJNA279785,26052047,"",SRS886782,SAMN03450662,simple,4932,Saccharomyces cerevisiae,GSM1646032,GEO,SRA249088,06,2015,Nedialkova,ncs2?_mRNA_YPD,ncs2?_mRNA_YPD_rep3,ncs2?_mRNA_YPD,BY4741,ncs2-delta,Whole cells,3,GSM1646032
SRR1944930,8427565,421378250,50,281,SRX971700,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP056647,PRJNA279785,26052047,"",SRS886783,SAMN03450606,simple,4932,Saccharomyces cerevisiae,GSM1646033,GEO,SRA249088,06,2015,Nedialkova,elp6?_mRNA_YPD,elp6?_mRNA_YPD_rep1,elp6?_mRNA_YPD,BY4741,elp6-delta,Whole cells,1,GSM1646033
SRR1944931,22150946,1107547300,50,730,SRX971701,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP056647,PRJNA279785,26052047,"",SRS886781,SAMN03450691,simple,4932,Saccharomyces cerevisiae,GSM1646034,GEO,SRA249088,06,2015,Nedialkova,elp6?_mRNA_YPD,elp6?_mRNA_YPD_rep2,elp6?_mRNA_YPD,BY4741,elp6-delta,Whole cells,2,GSM1646034
SRR1944932,18780234,939011700,50,618,SRX971702,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP056647,PRJNA279785,26052047,"",SRS886780,SAMN03450669,simple,4932,Saccharomyces cerevisiae,GSM1646035,GEO,SRA249088,06,2015,Nedialkova,elp6?_mRNA_YPD,elp6?_mRNA_YPD_rep3,elp6?_mRNA_YPD,BY4741,elp6-delta,Whole cells,3,GSM1646035
SRR1944933,13062713,653135650,50,415,SRX971703,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP056647,PRJNA279785,26052047,"",SRS886779,SAMN03450688,simple,4932,Saccharomyces cerevisiae,GSM1646036,GEO,SRA249088,06,2015,Nedialkova,ncs2?elp6?_mRNA_YPD,ncs2?elp6?_mRNA_YPD_rep1,ncs2?elp6?_mRNA_YPD,BY4741,ncs2-delta elp6-delta,Whole cells,1,GSM1646036
SRR1944934,12877062,643853100,50,410,SRX971704,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP056647,PRJNA279785,26052047,"",SRS886777,SAMN03450648,simple,4932,Saccharomyces cerevisiae,GSM1646037,GEO,SRA249088,06,2015,Nedialkova,ncs2?elp6?_mRNA_YPD,ncs2?elp6?_mRNA_YPD_rep2,ncs2?elp6?_mRNA_YPD,BY4741,ncs2-delta elp6-delta,Whole cells,2,GSM1646037
SRR1944935,24724495,1236224750,50,822,SRX971705,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP056647,PRJNA279785,26052047,"",SRS886776,SAMN03450618,simple,4932,Saccharomyces cerevisiae,GSM1646038,GEO,SRA249088,06,2015,Nedialkova,ncs2?elp6?_mRNA_YPD,ncs2?elp6?_mRNA_YPD_rep3,ncs2?elp6?_mRNA_YPD,BY4741,ncs2-delta elp6-delta,Whole cells,3,GSM1646038
SRR1944936,22825808,680664501,29,492,SRX971706,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP056647,PRJNA279785,26052047,"",SRS886774,SAMN03450644,simple,4932,Saccharomyces cerevisiae,GSM1646039,GEO,SRA249088,06,2015,Nedialkova,WT_ribo_diamide,WT_ribo_diamide_rep1,WT_ribo_diamide,BY4741,wild-type,Whole cells,1,GSM1646039
SRR1944937,20126894,588362136,29,425,SRX971707,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP056647,PRJNA279785,26052047,"",SRS886775,SAMN03450635,simple,4932,Saccharomyces cerevisiae,GSM1646040,GEO,SRA249088,06,2015,Nedialkova,WT_ribo_diamide,WT_ribo_diamide_rep2,WT_ribo_diamide,BY4741,wild-type,Whole cells,2,GSM1646040
SRR1944938,29893433,889343727,29,644,SRX971708,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP056647,PRJNA279785,26052047,"",SRS886773,SAMN03450621,simple,4932,Saccharomyces cerevisiae,GSM1646041,GEO,SRA249088,06,2015,Nedialkova,WT_ribo_diamide,WT_ribo_diamide_rep3,WT_ribo_diamide,BY4741,wild-type,Whole cells,3,GSM1646041
SRR1944939,36174506,1107228878,30,817,SRX971709,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP056647,PRJNA279785,26052047,"",SRS886785,SAMN03450670,simple,4932,Saccharomyces cerevisiae,GSM1646042,GEO,SRA249088,06,2015,Nedialkova,ncs2?_ribo_diamide,ncs2?_ribo_diamide_rep1,ncs2?_ribo_diamide,BY4741,ncs2-delta,Whole cells,1,GSM1646042
SRR1944942,13213023,660651150,50,420,SRX971710,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP056647,PRJNA279785,26052047,"",SRS886771,SAMN03450619,simple,4932,Saccharomyces cerevisiae,GSM1646045,GEO,SRA249088,06,2015,Nedialkova,WT_mRNA_diamide,WT_mRNA_diamide_rep1,WT_mRNA_diamide,BY4741,wild-type,Whole cells,1,GSM1646045
SRR1944943,12546174,627308700,50,401,SRX971711,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP056647,PRJNA279785,26052047,"",SRS886772,SAMN03450687,simple,4932,Saccharomyces cerevisiae,GSM1646046,GEO,SRA249088,06,2015,Nedialkova,WT_mRNA_diamide,WT_mRNA_diamide_rep2,WT_mRNA_diamide,BY4741,wild-type,Whole cells,2,GSM1646046
SRR1944944,13604174,680208700,50,432,SRX971712,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP056647,PRJNA279785,26052047,"",SRS886778,SAMN03450646,simple,4932,Saccharomyces cerevisiae,GSM1646047,GEO,SRA249088,06,2015,Nedialkova,WT_mRNA_diamide,WT_mRNA_diamide_rep3,WT_mRNA_diamide,BY4741,wild-type,Whole cells,3,GSM1646047
SRR1944945,14112759,705637950,50,451,SRX971713,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP056647,PRJNA279785,26052047,"",SRS886770,SAMN03450685,simple,4932,Saccharomyces cerevisiae,GSM1646048,GEO,SRA249088,06,2015,Nedialkova,ncs2?_mRNA_diamide,ncs2?_mRNA_diamide_rep1,ncs2?_mRNA_diamide,BY4741,ncs2-delta,Whole cells,1,GSM1646048
SRR1944946,9519141,475957050,50,305,SRX971714,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP056647,PRJNA279785,26052047,"",SRS886768,SAMN03450686,simple,4932,Saccharomyces cerevisiae,GSM1646049,GEO,SRA249088,06,2015,Nedialkova,ncs2?_mRNA_diamide,ncs2?_mRNA_diamide_rep2,ncs2?_mRNA_diamide,BY4741,ncs2-delta,Whole cells,2,GSM1646049
SRR1944947,11163794,558189700,50,354,SRX971715,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP056647,PRJNA279785,26052047,"",SRS886769,SAMN03450684,simple,4932,Saccharomyces cerevisiae,GSM1646050,GEO,SRA249088,06,2015,Nedialkova,ncs2?_mRNA_diamide,ncs2?_mRNA_diamide_rep3,ncs2?_mRNA_diamide,BY4741,ncs2-delta,Whole cells,3,GSM1646050
SRR1944948,26182323,791724134,30,572,SRX971716,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP056647,PRJNA279785,26052047,"",SRS886767,SAMN03450659,simple,4932,Saccharomyces cerevisiae,GSM1646051,GEO,SRA249088,06,2015,Nedialkova,WT_ribo_rapamycin,WT_ribo_rapamycin_rep1,WT_ribo_rapamycin,BY4741,wild-type,Whole cells,1,GSM1646051
SRR1944949,20765618,638517303,30,459,SRX971717,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP056647,PRJNA279785,26052047,"",SRS886765,SAMN03450680,simple,4932,Saccharomyces cerevisiae,GSM1646052,GEO,SRA249088,06,2015,Nedialkova,WT_ribo_rapamycin,WT_ribo_rapamycin_rep2,WT_ribo_rapamycin,BY4741,wild-type,Whole cells,2,GSM1646052
SRR1944950,20395543,622909070,30,448,SRX971718,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP056647,PRJNA279785,26052047,"",SRS886763,SAMN03450642,simple,4932,Saccharomyces cerevisiae,GSM1646053,GEO,SRA249088,06,2015,Nedialkova,WT_ribo_rapamycin,WT_ribo_rapamycin_rep3,WT_ribo_rapamycin,BY4741,wild-type,Whole cells,3,GSM1646053
SRR1944951,23931990,741598240,30,527,SRX971719,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP056647,PRJNA279785,26052047,"",SRS886764,SAMN03450620,simple,4932,Saccharomyces cerevisiae,GSM1646054,GEO,SRA249088,06,2015,Nedialkova,ncs2?_ribo_rapamycin,ncs2?_ribo_rapamycin_rep1,ncs2?_ribo_rapamycin,BY4741,ncs2-delta,Whole cells,1,GSM1646054
SRR1944952,21656332,669763649,30,504,SRX971720,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP056647,PRJNA279785,26052047,"",SRS886762,SAMN03450652,simple,4932,Saccharomyces cerevisiae,GSM1646055,GEO,SRA249088,06,2015,Nedialkova,ncs2?_ribo_rapamycin,ncs2?_ribo_rapamycin_rep2,ncs2?_ribo_rapamycin,BY4741,ncs2-delta,Whole cells,2,GSM1646055
SRR1944953,27994333,867069448,30,623,SRX971721,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP056647,PRJNA279785,26052047,"",SRS886760,SAMN03450693,simple,4932,Saccharomyces cerevisiae,GSM1646056,GEO,SRA249088,06,2015,Nedialkova,ncs2?_ribo_rapamycin,ncs2?_ribo_rapamycin_rep3,ncs2?_ribo_rapamycin,BY4741,ncs2-delta,Whole cells,3,GSM1646056
SRR1944954,9011563,450578150,50,293,SRX971722,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP056647,PRJNA279785,26052047,"",SRS886758,SAMN03450673,simple,4932,Saccharomyces cerevisiae,GSM1646057,GEO,SRA249088,06,2015,Nedialkova,WT_mRNA_rapamycin,WT_mRNA_rapamycin_rep1,WT_mRNA_rapamycin,BY4741,wild-type,Whole cells,1,GSM1646057
SRR1944955,11678426,583921300,50,341,SRX971723,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP056647,PRJNA279785,26052047,"",SRS886759,SAMN03450622,simple,4932,Saccharomyces cerevisiae,GSM1646058,GEO,SRA249088,06,2015,Nedialkova,WT_mRNA_rapamycin,WT_mRNA_rapamycin_rep2,WT_mRNA_rapamycin,BY4741,wild-type,Whole cells,2,GSM1646058
SRR1944956,7783635,389181750,50,230,SRX971724,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP056647,PRJNA279785,26052047,"",SRS886766,SAMN03450617,simple,4932,Saccharomyces cerevisiae,GSM1646059,GEO,SRA249088,06,2015,Nedialkova,WT_mRNA_rapamycin,WT_mRNA_rapamycin_rep3,WT_mRNA_rapamycin,BY4741,wild-type,Whole cells,3,GSM1646059
SRR1944957,12575920,628796000,50,393,SRX971725,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP056647,PRJNA279785,26052047,"",SRS886761,SAMN03450640,simple,4932,Saccharomyces cerevisiae,GSM1646060,GEO,SRA249088,06,2015,Nedialkova,ncs2?_mRNA_rapamycin,ncs2?_mRNA_rapamycin_rep1,ncs2?_mRNA_rapamycin,BY4741,ncs2-delta,Whole cells,1,GSM1646060
SRR1944958,12483631,624181550,50,364,SRX971726,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP056647,PRJNA279785,26052047,"",SRS886757,SAMN03450675,simple,4932,Saccharomyces cerevisiae,GSM1646061,GEO,SRA249088,06,2015,Nedialkova,ncs2?_mRNA_rapamycin,ncs2?_mRNA_rapamycin_rep2,ncs2?_mRNA_rapamycin,BY4741,ncs2-delta,Whole cells,2,GSM1646061
SRR1944959,12424269,621213450,50,366,SRX971727,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP056647,PRJNA279785,26052047,"",SRS886756,SAMN03450674,simple,4932,Saccharomyces cerevisiae,GSM1646062,GEO,SRA249088,06,2015,Nedialkova,ncs2?_mRNA_rapamycin,ncs2?_mRNA_rapamycin_rep3,ncs2?_mRNA_rapamycin,BY4741,ncs2-delta,Whole cells,3,GSM1646062
SRR1944960,22587414,691973083,30,498,SRX971728,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP056647,PRJNA279785,26052047,"",SRS886755,SAMN03450678,simple,4932,Saccharomyces cerevisiae,GSM1646063,GEO,SRA249088,06,2015,Nedialkova,elp6?_ribo_rapamycin,elp6?_ribo_rapamycin_rep1,elp6?_ribo_rapamycin,BY4741,elp6-delta,Whole cells,1,GSM1646063
SRR1944961,27431659,844493203,30,610,SRX971729,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP056647,PRJNA279785,26052047,"",SRS886754,SAMN03450660,simple,4932,Saccharomyces cerevisiae,GSM1646064,GEO,SRA249088,06,2015,Nedialkova,elp6?_ribo_rapamycin,elp6?_ribo_rapamycin_rep2,elp6?_ribo_rapamycin,BY4741,elp6-delta,Whole cells,2,GSM1646064
SRR1944962,19505928,593875211,30,432,SRX971730,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP056647,PRJNA279785,26052047,"",SRS886753,SAMN03450643,simple,4932,Saccharomyces cerevisiae,GSM1646065,GEO,SRA249088,06,2015,Nedialkova,elp6?_ribo_rapamycin,elp6?_ribo_rapamycin_rep3,elp6?_ribo_rapamycin,BY4741,elp6-delta,Whole cells,3,GSM1646065
SRR1944963,20382645,637016428,31,459,SRX971731,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP056647,PRJNA279785,26052047,"",SRS886752,SAMN03450671,simple,4932,Saccharomyces cerevisiae,GSM1646066,GEO,SRA249088,06,2015,Nedialkova,WT_ribo_empty_plasmid,WT_ribo_empty_plasmid_rep1,WT_ribo_empty_plasmid,BY4741,wild-type,Whole cells,1,GSM1646066
SRR1944964,14366950,448164307,31,323,SRX971732,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP056647,PRJNA279785,26052047,"",SRS886750,SAMN03450630,simple,4932,Saccharomyces cerevisiae,GSM1646067,GEO,SRA249088,06,2015,Nedialkova,WT_ribo_empty_plasmid,WT_ribo_empty_plasmid_rep2,WT_ribo_empty_plasmid,BY4741,wild-type,Whole cells,2,GSM1646067
SRR1944965,28290539,885276688,31,637,SRX971733,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP056647,PRJNA279785,26052047,"",SRS886748,SAMN03450629,simple,4932,Saccharomyces cerevisiae,GSM1646068,GEO,SRA249088,06,2015,Nedialkova,WT_ribo_empty_plasmid,WT_ribo_empty_plasmid_rep3,WT_ribo_empty_plasmid,BY4741,wild-type,Whole cells,3,GSM1646068
SRR1944966,19923879,616307122,30,424,SRX971734,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP056647,PRJNA279785,26052047,"",SRS886749,SAMN03450645,simple,4932,Saccharomyces cerevisiae,GSM1646069,GEO,SRA249088,06,2015,Nedialkova,ncs2?_ribo_empty_plasmid,ncs2?_ribo_empty_plasmid_rep1,ncs2?_ribo_empty_plasmid,BY4741,ncs2-delta,Whole cells,1,GSM1646069
SRR1944967,13851723,443986712,32,306,SRX971735,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP056647,PRJNA279785,26052047,"",SRS886747,SAMN03450639,simple,4932,Saccharomyces cerevisiae,GSM1646070,GEO,SRA249088,06,2015,Nedialkova,ncs2?_ribo_empty_plasmid,ncs2?_ribo_empty_plasmid_rep2,ncs2?_ribo_empty_plasmid,BY4741,ncs2-delta,Whole cells,2,GSM1646070
