Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,ENA first public,ENA last update,External Id,INSDC center alias,INSDC center name,INSDC first public,INSDC last update,INSDC status,Submitter Id,broker name,common name,genotype,growth condition,sample name,strain,Experimental Factor: genotype,Experimental Factor: compound,Experimental Factor: dose,Experimental Factor: environmental stress
ERR2382492,4000000,5.44e+08,136,234,ERX2430795,"34-Ribo-mRNA-seq, 0.1mM H2O2_s",RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,ERP107411,PRJEB25491,1,"",ERS2275962,SAMEA104674579,simple,4932,Saccharomyces cerevisiae,SAMEA104674579,RIKEN Brain Science Institute,ERA1241277,03,2018,Makar,"","34-Ribo-mRNA-seq, 0.1mM H2O2",2018-03-19,2018-03-09,SAMEA104674586,RIKEN Brain Science Institute,RIKEN Brain Science Institute,2018-03-19T17:02:00Z,2018-03-09T09:52:47Z,public,"E-MTAB-6576:37-mRNA-seq, 0.5mM H2O2 rep1",ArrayExpress,baker's yeast,wild type genotype,YPD medium,"E-MTAB-6576:37-mRNA-seq, 0.5mM H2O2 rep1",BY4741,wild type genotype,hydrogen peroxide,0.5,none
ERR2382493,4000000,5.44e+08,136,234,ERX2430795,"34-Ribo-mRNA-seq, 0.1mM H2O2_s",RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,ERP107411,PRJEB25491,1,"",ERS2275962,SAMEA104674579,simple,4932,Saccharomyces cerevisiae,SAMEA104674579,RIKEN Brain Science Institute,ERA1241277,03,2018,Makar,"","34-Ribo-mRNA-seq, 0.1mM H2O2",2018-03-19,2018-03-09,SAMEA104674587,RIKEN Brain Science Institute,RIKEN Brain Science Institute,2018-03-19T17:02:00Z,2018-03-09T09:52:47Z,public,"E-MTAB-6576:38-Ribo-mRNA-seq, 0.5mM H2O2 rep1",ArrayExpress,baker's yeast,wild type genotype,YPD medium,"E-MTAB-6576:38-Ribo-mRNA-seq, 0.5mM H2O2 rep1",BY4741,wild type genotype,hydrogen peroxide,0.5,none
ERR2382494,4000000,5.44e+08,136,234,ERX2430795,"34-Ribo-mRNA-seq, 0.1mM H2O2_s",RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,ERP107411,PRJEB25491,1,"",ERS2275962,SAMEA104674579,simple,4932,Saccharomyces cerevisiae,SAMEA104674579,RIKEN Brain Science Institute,ERA1241277,03,2018,Makar,"","34-Ribo-mRNA-seq, 0.1mM H2O2",2018-03-19,2018-03-09,SAMEA104674588,RIKEN Brain Science Institute,RIKEN Brain Science Institute,2018-03-19T17:02:00Z,2018-03-09T09:52:47Z,public,"E-MTAB-6576:100-Ribo-tRNA-seq, 0C cold rep2",ArrayExpress,baker's yeast,wild type genotype,YPD medium,"E-MTAB-6576:100-Ribo-tRNA-seq, 0C cold rep2",BY4741,wild type genotype,none,,cold shock at 0 degrees celsius
ERR2382495,102159,13893624,136,6,ERX2430795,"34-Ribo-mRNA-seq, 0.1mM H2O2_s",RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,ERP107411,PRJEB25491,1,"",ERS2275962,SAMEA104674579,simple,4932,Saccharomyces cerevisiae,SAMEA104674579,RIKEN Brain Science Institute,ERA1241277,03,2018,Makar,"","34-Ribo-mRNA-seq, 0.1mM H2O2",2018-03-19,2018-03-09,SAMEA104674589,RIKEN Brain Science Institute,RIKEN Brain Science Institute,2018-03-19T17:02:00Z,2018-03-09T09:52:47Z,public,"E-MTAB-6576:119-tRNA-seq, 0C cold rep3",ArrayExpress,baker's yeast,wild type genotype,YPD medium,"E-MTAB-6576:119-tRNA-seq, 0C cold rep3",BY4741,wild type genotype,none,,cold shock at 0 degrees celsius
ERR2382496,438846,58855863,134,37,ERX2430796,"111-tRNA-seq, 0.5mM H2O2 rep2_s",ncRNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,ERP107411,PRJEB25491,1,"",ERS2275963,SAMEA104674580,simple,4932,Saccharomyces cerevisiae,SAMEA104674580,RIKEN Brain Science Institute,ERA1241277,03,2018,Makar,"","111-tRNA-seq, 0.5mM H2O2 rep2",2018-03-19,2018-03-09,SAMEA104674590,RIKEN Brain Science Institute,RIKEN Brain Science Institute,2018-03-19T17:02:00Z,2018-03-09T09:52:47Z,public,"E-MTAB-6576:120-Ribo-tRNA-seq, 0C cold rep3",ArrayExpress,baker's yeast,wild type genotype,YPD medium,"E-MTAB-6576:120-Ribo-tRNA-seq, 0C cold rep3",BY4741,wild type genotype,none,,cold shock at 0 degrees celsius
ERR2382497,2935534,393743189,134,249,ERX2430797,"112-Ribo-tRNA-seq, 0.5mM H2O2 rep2_s",ncRNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,ERP107411,PRJEB25491,1,"",ERS2275964,SAMEA104674581,simple,4932,Saccharomyces cerevisiae,SAMEA104674581,RIKEN Brain Science Institute,ERA1241277,03,2018,Makar,"","112-Ribo-tRNA-seq, 0.5mM H2O2 rep2",2018-03-19,2018-03-09,SAMEA104674591,RIKEN Brain Science Institute,RIKEN Brain Science Institute,2018-03-19T17:02:00Z,2018-03-09T09:52:47Z,public,"E-MTAB-6576:49-tRNA-seq, 0C cold rep1",ArrayExpress,baker's yeast,wild type genotype,YPD medium,"E-MTAB-6576:49-tRNA-seq, 0C cold rep1",BY4741,wild type genotype,none,,cold shock at 0 degrees celsius
ERR2382498,386715,51878143,134,33,ERX2430798,"123-tRNA-seq, 0.5mM H2O2 rep3_s",ncRNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,ERP107411,PRJEB25491,1,"",ERS2275965,SAMEA104674582,simple,4932,Saccharomyces cerevisiae,SAMEA104674582,RIKEN Brain Science Institute,ERA1241277,03,2018,Makar,"","123-tRNA-seq, 0.5mM H2O2 rep3",2018-03-19,2018-03-09,SAMEA104674592,RIKEN Brain Science Institute,RIKEN Brain Science Institute,2018-03-19T17:02:00Z,2018-03-09T09:52:47Z,public,"E-MTAB-6576:50-Ribo-tRNA-seq, 0C cold rep1",ArrayExpress,baker's yeast,wild type genotype,YPD medium,"E-MTAB-6576:50-Ribo-tRNA-seq, 0C cold rep1",BY4741,wild type genotype,none,,cold shock at 0 degrees celsius
ERR2382499,3749812,503022337,134,322,ERX2430799,"124-Ribo-tRNA-seq, 0.5mM H2O2 rep3_s",ncRNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,ERP107411,PRJEB25491,1,"",ERS2275966,SAMEA104674583,simple,4932,Saccharomyces cerevisiae,SAMEA104674583,RIKEN Brain Science Institute,ERA1241277,03,2018,Makar,"","124-Ribo-tRNA-seq, 0.5mM H2O2 rep3",2018-03-19,2018-03-09,SAMEA104674593,RIKEN Brain Science Institute,RIKEN Brain Science Institute,2018-03-19T17:02:00Z,2018-03-09T09:52:47Z,public,"E-MTAB-6576:51-mRNA-seq, 0C cold rep1",ArrayExpress,baker's yeast,wild type genotype,YPD medium,"E-MTAB-6576:51-mRNA-seq, 0C cold rep1",BY4741,wild type genotype,none,,cold shock at 0 degrees celsius
ERR2382500,4000000,5.44e+08,136,238,ERX2430800,"35-tRNA-seq, 0.5mM H2O2 rep1_s",ncRNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,ERP107411,PRJEB25491,1,"",ERS2275967,SAMEA104674584,simple,4932,Saccharomyces cerevisiae,SAMEA104674584,RIKEN Brain Science Institute,ERA1241277,03,2018,Makar,"","35-tRNA-seq, 0.5mM H2O2 rep1",2018-03-19,2018-03-09,SAMEA104674594,RIKEN Brain Science Institute,RIKEN Brain Science Institute,2018-03-19T17:02:00Z,2018-03-09T09:52:47Z,public,"E-MTAB-6576:52-Ribo-mRNA-seq, 0C cold rep1",ArrayExpress,baker's yeast,wild type genotype,YPD medium,"E-MTAB-6576:52-Ribo-mRNA-seq, 0C cold rep1",BY4741,wild type genotype,none,,cold shock at 0 degrees celsius
ERR2382501,404768,55048448,136,24,ERX2430800,"35-tRNA-seq, 0.5mM H2O2 rep1_s",ncRNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,ERP107411,PRJEB25491,1,"",ERS2275967,SAMEA104674584,simple,4932,Saccharomyces cerevisiae,SAMEA104674584,RIKEN Brain Science Institute,ERA1241277,03,2018,Makar,"","35-tRNA-seq, 0.5mM H2O2 rep1",2018-03-19,2018-03-09,SAMEA104674595,RIKEN Brain Science Institute,RIKEN Brain Science Institute,2018-03-19T17:02:00Z,2018-03-09T09:52:47Z,public,"E-MTAB-6576:99-tRNA-seq, 0C cold rep2",ArrayExpress,baker's yeast,wild type genotype,YPD medium,"E-MTAB-6576:99-tRNA-seq, 0C cold rep2",BY4741,wild type genotype,none,,cold shock at 0 degrees celsius
ERR2382502,4000000,5.44e+08,136,224,ERX2430801,"36-Ribo-tRNA-seq, 0.5mM H2O2 rep1_s",ncRNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,ERP107411,PRJEB25491,1,"",ERS2275968,SAMEA104674585,simple,4932,Saccharomyces cerevisiae,SAMEA104674585,RIKEN Brain Science Institute,ERA1241277,03,2018,Makar,"","36-Ribo-tRNA-seq, 0.5mM H2O2 rep1",2018-03-19,2018-03-09,SAMEA104674596,RIKEN Brain Science Institute,RIKEN Brain Science Institute,2018-03-19T17:02:00Z,2018-03-09T09:52:47Z,public,"E-MTAB-6576:103-tRNA-seq, 1M sorbitol rep2",ArrayExpress,baker's yeast,wild type genotype,YPD medium,"E-MTAB-6576:103-tRNA-seq, 1M sorbitol rep2",BY4741,wild type genotype,sorbitol,1,none
ERR2382503,4000000,5.44e+08,136,225,ERX2430801,"36-Ribo-tRNA-seq, 0.5mM H2O2 rep1_s",ncRNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,ERP107411,PRJEB25491,1,"",ERS2275968,SAMEA104674585,simple,4932,Saccharomyces cerevisiae,SAMEA104674585,RIKEN Brain Science Institute,ERA1241277,03,2018,Makar,"","36-Ribo-tRNA-seq, 0.5mM H2O2 rep1",2018-03-19,2018-03-09,SAMEA104674597,RIKEN Brain Science Institute,RIKEN Brain Science Institute,2018-03-19T17:02:00Z,2018-03-09T09:52:47Z,public,"E-MTAB-6576:104-Ribo-tRNA-seq, 1M sorbitol rep2",ArrayExpress,baker's yeast,wild type genotype,YPD medium,"E-MTAB-6576:104-Ribo-tRNA-seq, 1M sorbitol rep2",BY4741,wild type genotype,sorbitol,1,none
ERR2382504,1068334,145293424,136,60,ERX2430801,"36-Ribo-tRNA-seq, 0.5mM H2O2 rep1_s",ncRNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,ERP107411,PRJEB25491,1,"",ERS2275968,SAMEA104674585,simple,4932,Saccharomyces cerevisiae,SAMEA104674585,RIKEN Brain Science Institute,ERA1241277,03,2018,Makar,"","36-Ribo-tRNA-seq, 0.5mM H2O2 rep1",2018-03-19,2018-03-09,SAMEA104674598,RIKEN Brain Science Institute,RIKEN Brain Science Institute,2018-03-19T17:02:00Z,2018-03-09T09:52:47Z,public,"E-MTAB-6576:113-tRNA-seq, 1M sorbitol rep3",ArrayExpress,baker's yeast,wild type genotype,YPD medium,"E-MTAB-6576:113-tRNA-seq, 1M sorbitol rep3",BY4741,wild type genotype,sorbitol,1,none
ERR2382506,3836180,521720480,136,218,ERX2430802,"37-mRNA-seq, 0.5mM H2O2 rep1_s",RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,ERP107411,PRJEB25491,1,"",ERS2275969,SAMEA104674586,simple,4932,Saccharomyces cerevisiae,SAMEA104674586,RIKEN Brain Science Institute,ERA1241277,03,2018,Makar,"","37-mRNA-seq, 0.5mM H2O2 rep1",2018-03-19,2018-03-09,SAMEA104674599,RIKEN Brain Science Institute,RIKEN Brain Science Institute,2018-03-19T17:02:00Z,2018-03-09T09:52:47Z,public,"E-MTAB-6576:114-Ribo-tRNA-seq, 1M sorbitol rep3",ArrayExpress,baker's yeast,wild type genotype,YPD medium,"E-MTAB-6576:114-Ribo-tRNA-seq, 1M sorbitol rep3",BY4741,wild type genotype,sorbitol,1,none
ERR2382505,4000000,5.44e+08,136,227,ERX2430802,"37-mRNA-seq, 0.5mM H2O2 rep1_s",RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,ERP107411,PRJEB25491,1,"",ERS2275969,SAMEA104674586,simple,4932,Saccharomyces cerevisiae,SAMEA104674586,RIKEN Brain Science Institute,ERA1241277,03,2018,Makar,"","37-mRNA-seq, 0.5mM H2O2 rep1",2018-03-19,2018-03-09,SAMEA104674600,RIKEN Brain Science Institute,RIKEN Brain Science Institute,2018-03-19T17:02:00Z,2018-03-09T09:52:47Z,public,"E-MTAB-6576:59-mRNA-seq, 1M sorbitol rep1",ArrayExpress,baker's yeast,wild type genotype,YPD medium,"E-MTAB-6576:59-mRNA-seq, 1M sorbitol rep1",BY4741,wild type genotype,sorbitol,1,none
ERR2382507,4000000,5.44e+08,136,218,ERX2430803,"38-Ribo-mRNA-seq, 0.5mM H2O2 rep1_s",RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,ERP107411,PRJEB25491,1,"",ERS2275970,SAMEA104674587,simple,4932,Saccharomyces cerevisiae,SAMEA104674587,RIKEN Brain Science Institute,ERA1241277,03,2018,Makar,"","38-Ribo-mRNA-seq, 0.5mM H2O2 rep1",2018-03-19,2018-03-09,SAMEA104674601,RIKEN Brain Science Institute,RIKEN Brain Science Institute,2018-03-19T17:02:00Z,2018-03-09T09:52:47Z,public,"E-MTAB-6576:60-Ribo-mRNA-seq, 1M sorbitol rep1",ArrayExpress,baker's yeast,wild type genotype,YPD medium,"E-MTAB-6576:60-Ribo-mRNA-seq, 1M sorbitol rep1",BY4741,wild type genotype,sorbitol,1,none
ERR2382508,4000000,5.44e+08,136,223,ERX2430803,"38-Ribo-mRNA-seq, 0.5mM H2O2 rep1_s",RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,ERP107411,PRJEB25491,1,"",ERS2275970,SAMEA104674587,simple,4932,Saccharomyces cerevisiae,SAMEA104674587,RIKEN Brain Science Institute,ERA1241277,03,2018,Makar,"","38-Ribo-mRNA-seq, 0.5mM H2O2 rep1",2018-03-19,2018-03-09,SAMEA104674602,RIKEN Brain Science Institute,RIKEN Brain Science Institute,2018-03-19T17:02:00Z,2018-03-09T09:52:47Z,public,"E-MTAB-6576:67-tRNA-seq, 1M sorbitol rep1",ArrayExpress,baker's yeast,wild type genotype,YPD medium,"E-MTAB-6576:67-tRNA-seq, 1M sorbitol rep1",BY4741,wild type genotype,sorbitol,1,none
ERR2382509,4000000,5.44e+08,136,218,ERX2430803,"38-Ribo-mRNA-seq, 0.5mM H2O2 rep1_s",RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,ERP107411,PRJEB25491,1,"",ERS2275970,SAMEA104674587,simple,4932,Saccharomyces cerevisiae,SAMEA104674587,RIKEN Brain Science Institute,ERA1241277,03,2018,Makar,"","38-Ribo-mRNA-seq, 0.5mM H2O2 rep1",2018-03-19,2018-03-09,SAMEA104674603,RIKEN Brain Science Institute,RIKEN Brain Science Institute,2018-03-19T17:02:00Z,2018-03-09T09:52:47Z,public,"E-MTAB-6576:68-Ribo-tRNA-seq, 1M sorbitol rep1",ArrayExpress,baker's yeast,wild type genotype,YPD medium,"E-MTAB-6576:68-Ribo-tRNA-seq, 1M sorbitol rep1",BY4741,wild type genotype,sorbitol,1,none
ERR2382510,4000000,5.44e+08,136,221,ERX2430803,"38-Ribo-mRNA-seq, 0.5mM H2O2 rep1_s",RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,ERP107411,PRJEB25491,1,"",ERS2275970,SAMEA104674587,simple,4932,Saccharomyces cerevisiae,SAMEA104674587,RIKEN Brain Science Institute,ERA1241277,03,2018,Makar,"","38-Ribo-mRNA-seq, 0.5mM H2O2 rep1",2018-03-19,2018-03-09,SAMEA104674604,RIKEN Brain Science Institute,RIKEN Brain Science Institute,2018-03-19T17:02:00Z,2018-03-09T09:52:47Z,public,"E-MTAB-6576:15-tRNA-seq, 2mM H2O2 rep2",ArrayExpress,baker's yeast,wild type genotype,YPD medium,"E-MTAB-6576:15-tRNA-seq, 2mM H2O2 rep2",BY4741,wild type genotype,hydrogen peroxide,2,none
ERR2382511,4000000,5.44e+08,136,223,ERX2430803,"38-Ribo-mRNA-seq, 0.5mM H2O2 rep1_s",RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,ERP107411,PRJEB25491,1,"",ERS2275970,SAMEA104674587,simple,4932,Saccharomyces cerevisiae,SAMEA104674587,RIKEN Brain Science Institute,ERA1241277,03,2018,Makar,"","38-Ribo-mRNA-seq, 0.5mM H2O2 rep1",2018-03-19,2018-03-09,SAMEA104674605,RIKEN Brain Science Institute,RIKEN Brain Science Institute,2018-03-19T17:02:00Z,2018-03-09T09:52:47Z,public,"E-MTAB-6576:16-Ribo-tRNA-seq, 2mM H2O2 rep2, 3 files",ArrayExpress,baker's yeast,wild type genotype,YPD medium,"E-MTAB-6576:16-Ribo-tRNA-seq, 2mM H2O2 rep2, 3 files",BY4741,wild type genotype,hydrogen peroxide,2,none
