Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,sirna,genotype,strategy,GEO Accession
SRR10850872,70739023,7091276455,100,2908,SRX7521415,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP240357,PRJNA599943,32807779,"",SRS5961024,SAMN13762540,simple,9606,Homo sapiens,GSM4256666,GEO,SRA1022253,06,2020,Karousis,CTRL KD 02 - riboseq,SK2_M (L7),CTRL KD 02 - riboseq,HeLa cells,,control,Ribo-Seq,GSM4256666
SRR10850873,78868784,7909300934,100,3222,SRX7521416,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP240357,PRJNA599943,32807779,"",SRS5961023,SAMN13762539,simple,9606,Homo sapiens,GSM4256667,GEO,SRA1022253,06,2020,Karousis,CTRL KD 03 - riboseq,SK3_M (L7),CTRL KD 03 - riboseq,HeLa cells,,control,Ribo-Seq,GSM4256667
SRR10850874,68880304,6903633990,100,2791,SRX7521417,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP240357,PRJNA599943,32807779,"",SRS5961025,SAMN13762538,simple,9606,Homo sapiens,GSM4256668,GEO,SRA1022253,06,2020,Karousis,ABCE1 KD 01 - riboseq,AK1_M (L7),ABCE1 KD 01 - riboseq,HeLa cells,,siRNA-mediated ABCE1 KD,Ribo-Seq,GSM4256668
SRR10850875,53410420,5352109110,100,2150,SRX7521418,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP240357,PRJNA599943,32807779,"",SRS5961026,SAMN13762537,simple,9606,Homo sapiens,GSM4256669,GEO,SRA1022253,06,2020,Karousis,ABCE1 KD 02 - riboseq,AK2_M (L7),ABCE1 KD 02 - riboseq,HeLa cells,,siRNA-mediated ABCE1 KD,Ribo-Seq,GSM4256669
SRR10850876,68961832,6916524905,100,2790,SRX7521419,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP240357,PRJNA599943,32807779,"",SRS5961027,SAMN13762536,simple,9606,Homo sapiens,GSM4256670,GEO,SRA1022253,06,2020,Karousis,ABCE1 KD 03 - riboseq,AK3_M (L7),ABCE1 KD 03 - riboseq,HeLa cells,,siRNA-mediated ABCE1 KD,Ribo-Seq,GSM4256670
SRR10850877,58218653,5851720212,100,1992,SRX7521420,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP240357,PRJNA599943,32807779,"",SRS5961028,SAMN13762535,simple,9606,Homo sapiens,GSM4256671,GEO,SRA1022253,06,2020,Karousis,CTRL KD 01 - total RNA seq,SK1_T,CTRL KD 01 - total RNA seq,HeLa cells,,control,RNA-Seq,GSM4256671
SRR10850878,60973414,6131036448,100,2067,SRX7521421,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP240357,PRJNA599943,32807779,"",SRS5961029,SAMN13762534,simple,9606,Homo sapiens,GSM4256672,GEO,SRA1022253,06,2020,Karousis,CTRL KD 02 - total RNA seq,SK2_T,CTRL KD 02 - total RNA seq,HeLa cells,,control,RNA-Seq,GSM4256672
SRR10850879,69948733,7034317568,100,2376,SRX7521422,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP240357,PRJNA599943,32807779,"",SRS5961030,SAMN13762533,simple,9606,Homo sapiens,GSM4256673,GEO,SRA1022253,06,2020,Karousis,CTRL KD 03 - total RNA seq,SK3_T,CTRL KD 03 - total RNA seq,HeLa cells,,control,RNA-Seq,GSM4256673
SRR10850880,74685135,7506578066,100,2539,SRX7521423,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP240357,PRJNA599943,32807779,"",SRS5961031,SAMN13762532,simple,9606,Homo sapiens,GSM4256674,GEO,SRA1022253,06,2020,Karousis,ABCE1 KD 01 - total RNA seq,AK1_T,ABCE1 KD 01 - total RNA seq,HeLa cells,,siRNA-mediated ABCE1 KD,RNA-Seq,GSM4256674
SRR10850881,68462379,6882355643,100,2336,SRX7521424,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP240357,PRJNA599943,32807779,"",SRS5961033,SAMN13762531,simple,9606,Homo sapiens,GSM4256675,GEO,SRA1022253,06,2020,Karousis,ABCE1 KD 02 - total RNA seq,AK2_T,ABCE1 KD 02 - total RNA seq,HeLa cells,,siRNA-mediated ABCE1 KD,RNA-Seq,GSM4256675
SRR10850882,61730333,6210994828,100,2099,SRX7521425,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP240357,PRJNA599943,32807779,"",SRS5961032,SAMN13762530,simple,9606,Homo sapiens,GSM4256676,GEO,SRA1022253,06,2020,Karousis,ABCE1 KD 03 - total RNA seq,AK3_T,ABCE1 KD 03 - total RNA seq,HeLa cells,,siRNA-mediated ABCE1 KD,RNA-Seq,GSM4256676
