Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain/background,genotype/variation,tissue,strain,genotype,extract_protocol,rnase concentration,GEO Accession
SRR7883736,1000000,74533617,74,28,SRX4721967,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151279,PRJNA477831,30590705,"",SRS3807051,SAMN10097100,simple,10090,Mus musculus,GSM3396978,GEO,SRA728057,03,2019,Liu,Hippocampus,qc_sample_wt_rna_batch3_rep1,Hippocampus,,,,C57BL/6,wild-type,RNA-seq,N/A,GSM3396978
SRR7883737,1000000,74517803,74,28,SRX4721968,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151279,PRJNA477831,30590705,"",SRS3807054,SAMN10097099,simple,10090,Mus musculus,GSM3396979,GEO,SRA728057,03,2019,Liu,Hippocampus,qc_sample_wt_rna_batch3_rep2,Hippocampus,,,,C57BL/6,wild-type,RNA-seq,N/A,GSM3396979
SRR7883738,1000000,74543009,74,28,SRX4721969,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151279,PRJNA477831,30590705,"",SRS3807053,SAMN10097098,simple,10090,Mus musculus,GSM3396980,GEO,SRA728057,03,2019,Liu,Hippocampus,qc_sample_wt_rna_batch4_rep2,Hippocampus,,,,C57BL/6,wild-type,RNA-seq,N/A,GSM3396980
SRR7883739,1000000,73590494,73,28,SRX4721970,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151279,PRJNA477831,30590705,"",SRS3807055,SAMN10097097,simple,10090,Mus musculus,GSM3396981,GEO,SRA728057,03,2019,Liu,Hippocampus,qc_sample_ko_rna_batch1_rep1,Hippocampus,,,,C57BL/6,Fmr1 -/y,RNA-seq,N/A,GSM3396981
SRR7883740,1000000,73918800,73,28,SRX4721971,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151279,PRJNA477831,30590705,"",SRS3807056,SAMN10097096,simple,10090,Mus musculus,GSM3396982,GEO,SRA728057,03,2019,Liu,Hippocampus,qc_sample_ko_rna_batch1_rep2,Hippocampus,,,,C57BL/6,Fmr1 -/y,RNA-seq,N/A,GSM3396982
SRR7883741,1000000,74538179,74,27,SRX4721972,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151279,PRJNA477831,30590705,"",SRS3807057,SAMN10097095,simple,10090,Mus musculus,GSM3396983,GEO,SRA728057,03,2019,Liu,Hippocampus,qc_sample_ko_rna_batch2_rep1,Hippocampus,,,,C57BL/6,Fmr1 -/y,RNA-seq,N/A,GSM3396983
SRR7883742,1000000,74530935,74,28,SRX4721973,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151279,PRJNA477831,30590705,"",SRS3807058,SAMN10097094,simple,10090,Mus musculus,GSM3396984,GEO,SRA728057,03,2019,Liu,Hippocampus,qc_sample_ko_rna_batch3_rep1,Hippocampus,,,,C57BL/6,Fmr1 -/y,RNA-seq,N/A,GSM3396984
SRR7883743,1000000,74528580,74,29,SRX4721974,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151279,PRJNA477831,30590705,"",SRS3807059,SAMN10097093,simple,10090,Mus musculus,GSM3396985,GEO,SRA728057,03,2019,Liu,Hippocampus,qc_sample_ko_rna_batch3_rep2,Hippocampus,,,,C57BL/6,Fmr1 -/y,RNA-seq,N/A,GSM3396985
SRR7883744,1000000,74510051,74,28,SRX4721975,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151279,PRJNA477831,30590705,"",SRS3807060,SAMN10097092,simple,10090,Mus musculus,GSM3396986,GEO,SRA728057,03,2019,Liu,Hippocampus,qc_sample_ko_rna_batch4_rep1,Hippocampus,,,,C57BL/6,Fmr1 -/y,RNA-seq,N/A,GSM3396986
SRR7883745,1000000,74510033,74,28,SRX4721976,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151279,PRJNA477831,30590705,"",SRS3807061,SAMN10097091,simple,10090,Mus musculus,GSM3396987,GEO,SRA728057,03,2019,Liu,Hippocampus,qc_sample_ko_rna_batch4_rep2,Hippocampus,,,,C57BL/6,Fmr1 -/y,RNA-seq,N/A,GSM3396987
SRR7883746,1000000,3.8e+07,38,31,SRX4721977,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151279,PRJNA477831,30590705,"",SRS3807062,SAMN10097090,simple,10090,Mus musculus,GSM3396988,GEO,SRA728057,03,2019,Liu,Hippocampus,qc_sample_hip_at_rpf,Hippocampus,,,,C57BL/6,Fmr1 -/y,Ribosome profiling,100ng RNaseA + 60U RNase T1/A260,GSM3396988
SRR7883747,1000000,3.8e+07,38,30,SRX4721978,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151279,PRJNA477831,30590705,"",SRS3807063,SAMN10097089,simple,10090,Mus musculus,GSM3396989,GEO,SRA728057,03,2019,Liu,Hippocampus,qc_sample_hip_i_rpf,Hippocampus,,,,C57BL/6,Fmr1 -/y,Ribosome profiling,5U RNase I/A260,GSM3396989
SRR7883748,1000000,36628349,36,15,SRX4721979,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151279,PRJNA477831,30590705,"",SRS3807064,SAMN10097088,simple,9606,Homo sapiens,GSM3396990,GEO,SRA728057,03,2019,Liu,iPSC,qc_sample_ipsc1_low_rnase,iPSC,,,,Patient 1,Fragile X Syndrome,Ribosome profiling,20ng RNase A + 12U RNase T1/A260,GSM3396990
SRR7883749,1000000,36283670,36,15,SRX4721980,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151279,PRJNA477831,30590705,"",SRS3807065,SAMN10097087,simple,9606,Homo sapiens,GSM3396991,GEO,SRA728057,03,2019,Liu,iPSC,qc_sample_ipsc2_low_rnase,iPSC,,,,Patient 1,CRISPR-rescued,Ribosome profiling,20ng RNase A + 12U RNase T1/A260,GSM3396991
SRR7883750,1000000,35666534,35,14,SRX4721981,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151279,PRJNA477831,30590705,"",SRS3807066,SAMN10097086,simple,9606,Homo sapiens,GSM3396992,GEO,SRA728057,03,2019,Liu,iPSC,qc_sample_ipsc3_low_rnase,iPSC,,,,Patient 1,Fragile X Syndrome,Ribosome profiling,20ng RNase A + 12U RNase T1/A260,GSM3396992
SRR7883751,1000000,34449398,34,14,SRX4721982,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151279,PRJNA477831,30590705,"",SRS3807067,SAMN10097085,simple,9606,Homo sapiens,GSM3396993,GEO,SRA728057,03,2019,Liu,iPSC,qc_sample_ipsc4_low_rnase,iPSC,,,,Patient 1,CRISPR-rescued,Ribosome profiling,20ng RNase A + 12U RNase T1/A260,GSM3396993
SRR7883752,1000000,32963908,32,13,SRX4721983,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151279,PRJNA477831,30590705,"",SRS3807068,SAMN10097084,simple,9606,Homo sapiens,GSM3396994,GEO,SRA728057,03,2019,Liu,iPSC,qc_sample_ipsc5_low_rnase,iPSC,,,,Patient 1,Fragile X Syndrome,Ribosome profiling,20ng RNase A + 12U RNase T1/A260,GSM3396994
SRR7883753,1000000,34269092,34,14,SRX4721984,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151279,PRJNA477831,30590705,"",SRS3807069,SAMN10097083,simple,9606,Homo sapiens,GSM3396995,GEO,SRA728057,03,2019,Liu,iPSC,qc_sample_ipsc6_low_rnase,iPSC,,,,Patient 1,CRISPR-rescued,Ribosome profiling,20ng RNase A + 12U RNase T1/A260,GSM3396995
SRR7883754,1000000,33327025,33,13,SRX4721985,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151279,PRJNA477831,30590705,"",SRS3807072,SAMN10097082,simple,9606,Homo sapiens,GSM3396996,GEO,SRA728057,03,2019,Liu,iPSC,qc_sample_ipsc7_low_rnase,iPSC,,,,Patient 1,Fragile X Syndrome,Ribosome profiling,20ng RNase A + 12U RNase T1/A260,GSM3396996
SRR7883755,1000000,34098700,34,14,SRX4721986,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151279,PRJNA477831,30590705,"",SRS3807070,SAMN10097081,simple,9606,Homo sapiens,GSM3396997,GEO,SRA728057,03,2019,Liu,iPSC,qc_sample_ipsc8_low_rnase,iPSC,,,,Patient 1,CRISPR-rescued,Ribosome profiling,20ng RNase A + 12U RNase T1/A260,GSM3396997
SRR7883756,1000000,34438761,34,14,SRX4721987,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151279,PRJNA477831,30590705,"",SRS3807071,SAMN10097080,simple,9606,Homo sapiens,GSM3396998,GEO,SRA728057,03,2019,Liu,iPSC-derived neurons,qc_sample_ipsc_neuron1,iPSC-derived neurons,,,,Patient 1,Fragile X Syndrome,Ribosome profiling,100ng RNaseA + 60U RNase T1/A260,GSM3396998
SRR7883757,1000000,34918548,34,14,SRX4721988,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151279,PRJNA477831,30590705,"",SRS3807073,SAMN10097079,simple,9606,Homo sapiens,GSM3396999,GEO,SRA728057,03,2019,Liu,iPSC-derived neurons,qc_sample_ipsc_neuron2,iPSC-derived neurons,,,,Patient 1,Fragile X Syndrome,Ribosome profiling,100ng RNaseA + 60U RNase T1/A260,GSM3396999
SRR7883758,1000000,33942641,33,14,SRX4721989,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151279,PRJNA477831,30590705,"",SRS3807075,SAMN10097078,simple,9606,Homo sapiens,GSM3397000,GEO,SRA728057,03,2019,Liu,iPSC-derived neurons,qc_sample_ipsc_neuron3,iPSC-derived neurons,,,,Patient 1,Fragile X Syndrome,Ribosome profiling,100ng RNaseA + 60U RNase T1/A260,GSM3397000
SRR7883759,1000000,33942824,33,13,SRX4721990,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151279,PRJNA477831,30590705,"",SRS3807074,SAMN10097077,simple,9606,Homo sapiens,GSM3397001,GEO,SRA728057,03,2019,Liu,iPSC-derived neurons,qc_sample_ipsc_neuron4,iPSC-derived neurons,,,,Patient 1,CRISPR-rescued,Ribosome profiling,100ng RNaseA + 60U RNase T1/A260,GSM3397001
SRR7883760,1000000,33605645,33,13,SRX4721991,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151279,PRJNA477831,30590705,"",SRS3807076,SAMN10097076,simple,9606,Homo sapiens,GSM3397002,GEO,SRA728057,03,2019,Liu,iPSC-derived neurons,qc_sample_ipsc_neuron5,iPSC-derived neurons,,,,Patient 1,CRISPR-rescued,Ribosome profiling,100ng RNaseA + 60U RNase T1/A260,GSM3397002
SRR7883761,1000000,33709869,33,13,SRX4721992,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151279,PRJNA477831,30590705,"",SRS3807077,SAMN10097075,simple,9606,Homo sapiens,GSM3397003,GEO,SRA728057,03,2019,Liu,iPSC-derived neurons,qc_sample_ipsc_neuron6,iPSC-derived neurons,,,,Patient 1,CRISPR-rescued,Ribosome profiling,100ng RNaseA + 60U RNase T1/A260,GSM3397003
SRR7883762,1000000,33794799,33,14,SRX4721993,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151279,PRJNA477831,30590705,"",SRS3807078,SAMN10097074,simple,9606,Homo sapiens,GSM3397004,GEO,SRA728057,03,2019,Liu,iPSC-derived neurons,qc_sample_ipsc_neuron7,iPSC-derived neurons,,,,Patient 2,Fragile X Syndrome,Ribosome profiling,100ng RNaseA + 60U RNase T1/A260,GSM3397004
SRR7883763,1000000,33327009,33,13,SRX4721994,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151279,PRJNA477831,30590705,"",SRS3807079,SAMN10097073,simple,9606,Homo sapiens,GSM3397005,GEO,SRA728057,03,2019,Liu,iPSC-derived neurons,qc_sample_ipsc_neuron8,iPSC-derived neurons,,,,Patient 2,Fragile X Syndrome,Ribosome profiling,100ng RNaseA + 60U RNase T1/A260,GSM3397005
SRR7883764,1000000,33353774,33,13,SRX4721995,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151279,PRJNA477831,30590705,"",SRS3807080,SAMN10097072,simple,9606,Homo sapiens,GSM3397006,GEO,SRA728057,03,2019,Liu,iPSC-derived neurons,qc_sample_ipsc_neuron9,iPSC-derived neurons,,,,Patient 2,Fragile X Syndrome,Ribosome profiling,100ng RNaseA + 60U RNase T1/A260,GSM3397006
SRR7883765,1000000,34590063,34,14,SRX4721996,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151279,PRJNA477831,30590705,"",SRS3807081,SAMN10097071,simple,9606,Homo sapiens,GSM3397007,GEO,SRA728057,03,2019,Liu,iPSC-derived neurons,qc_sample_ipsc_neuron10,iPSC-derived neurons,,,,Patient 2,CRISPR-rescued,Ribosome profiling,100ng RNaseA + 60U RNase T1/A260,GSM3397007
SRR7883766,1000000,34314106,34,14,SRX4721997,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151279,PRJNA477831,30590705,"",SRS3807083,SAMN10097070,simple,9606,Homo sapiens,GSM3397008,GEO,SRA728057,03,2019,Liu,iPSC-derived neurons,qc_sample_ipsc_neuron11,iPSC-derived neurons,,,,Patient 2,CRISPR-rescued,Ribosome profiling,100ng RNaseA + 60U RNase T1/A260,GSM3397008
SRR7883767,1000000,33980717,33,14,SRX4721998,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151279,PRJNA477831,30590705,"",SRS3807084,SAMN10097069,simple,9606,Homo sapiens,GSM3397009,GEO,SRA728057,03,2019,Liu,iPSC-derived neurons,qc_sample_ipsc_neuron12,iPSC-derived neurons,,,,Patient 2,CRISPR-rescued,Ribosome profiling,100ng RNaseA + 60U RNase T1/A260,GSM3397009
