Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,GEO Accession
SRR2064434,16484929,840731379,51,559,SRX1059902,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP044937,PRJNA256316,26878238,"",SRS962176,SAMN03776751,simple,9606,Homo sapiens,GSM1712835,GEO,SRA176910,02,2016,Loayza-Puch,Kidney tissue,Kidney tumor tissue 3 tumor 2 RP,Kidney tissue,kidney,GSM1712835
SRR2064435,16715276,852479076,51,568,SRX1059903,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP044937,PRJNA256316,26878238,"",SRS962175,SAMN03776752,simple,9606,Homo sapiens,GSM1712836,GEO,SRA176910,02,2016,Loayza-Puch,Kidney tissue,Kidney tumor tissue 4 tumor 2 RP,Kidney tissue,kidney,GSM1712836
SRR2874123,14914483,969441395,65,498,SRX1402454,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP044937,PRJNA256316,26878238,"",SRS1141584,SAMN04226683,simple,9606,Homo sapiens,GSM1922046,GEO,SRA176910,02,2016,Loayza-Puch,Kidney tissue,Kidney normal tissue tumor 3 RP,Kidney tissue,normal,GSM1922046
SRR2874124,14690130,954858450,65,486,SRX1402454,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP044937,PRJNA256316,26878238,"",SRS1141584,SAMN04226683,simple,9606,Homo sapiens,GSM1922046,GEO,SRA176910,02,2016,Loayza-Puch,Kidney tissue,Kidney normal tissue tumor 3 RP,Kidney tissue,tumor,GSM1922047
SRR2874125,18764263,1219677095,65,632,SRX1402455,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP044937,PRJNA256316,26878238,"",SRS1141583,SAMN04226684,simple,9606,Homo sapiens,GSM1922047,GEO,SRA176910,02,2016,Loayza-Puch,Kidney tissue,Kidney tumor tissue tumor 3 RP,Kidney tissue,normal,GSM1922048
SRR2874126,18446148,1198999620,65,616,SRX1402455,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP044937,PRJNA256316,26878238,"",SRS1141583,SAMN04226684,simple,9606,Homo sapiens,GSM1922047,GEO,SRA176910,02,2016,Loayza-Puch,Kidney tissue,Kidney tumor tissue tumor 3 RP,Kidney tissue,tumor,GSM1922049
SRR2874127,13493235,877060275,65,442,SRX1402457,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP044937,PRJNA256316,26878238,"",SRS1141579,SAMN04226685,simple,9606,Homo sapiens,GSM1922048,GEO,SRA176910,02,2016,Loayza-Puch,Kidney tissue,Kidney normal tissue tumor 4 RP,Kidney normal tissue 1 RP,Kidney,GSM1446874
SRR2874128,13286359,863613335,65,431,SRX1402457,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP044937,PRJNA256316,26878238,"",SRS1141579,SAMN04226685,simple,9606,Homo sapiens,GSM1922048,GEO,SRA176910,02,2016,Loayza-Puch,Kidney tissue,Kidney normal tissue tumor 4 RP,Kidney normal tissue 2 RP,Kidney,GSM1446875
SRR2874129,15857619,1030745235,65,534,SRX1402458,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP044937,PRJNA256316,26878238,"",SRS1141580,SAMN04226686,simple,9606,Homo sapiens,GSM1922049,GEO,SRA176910,02,2016,Loayza-Puch,Kidney tissue,Kidney tumor tissue tumor 4 RP,Kidney tumor tissue 1 RP,Kidney,GSM1446876
SRR2874130,15607007,1014455455,65,521,SRX1402458,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP044937,PRJNA256316,26878238,"",SRS1141580,SAMN04226686,simple,9606,Homo sapiens,GSM1922049,GEO,SRA176910,02,2016,Loayza-Puch,Kidney tissue,Kidney tumor tissue tumor 4 RP,Kidney tumor tissue 2 RP,Kidney,GSM1446877
SRR1528686,19725261,1005988311,51,640,SRX663295,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP044937,PRJNA256316,26878238,"",SRS668168,SAMN02943066,simple,9606,Homo sapiens,GSM1446874,GEO,SRA176910,02,2016,Loayza-Puch,Kidney normal tissue 1 RP,Kidney normal tissue 1 RP,Kidney tumor tissue 3 RP,Kidney,GSM1446878
SRR1528687,27215800,1388005800,51,875,SRX663295,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP044937,PRJNA256316,26878238,"",SRS668168,SAMN02943066,simple,9606,Homo sapiens,GSM1446874,GEO,SRA176910,02,2016,Loayza-Puch,Kidney normal tissue 1 RP,Kidney normal tissue 1 RP,Kidney tumor tissue 4 RP,Kidney,GSM1446879
SRR1528688,17521963,893620113,51,558,SRX663296,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP044937,PRJNA256316,26878238,"",SRS668169,SAMN02943068,simple,9606,Homo sapiens,GSM1446875,GEO,SRA176910,02,2016,Loayza-Puch,Kidney normal tissue 2 RP,Kidney normal tissue 2 RP,Kidney tissue,kidney,GSM1712825
SRR1528689,24145183,1231404333,51,764,SRX663296,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP044937,PRJNA256316,26878238,"",SRS668169,SAMN02943068,simple,9606,Homo sapiens,GSM1446875,GEO,SRA176910,02,2016,Loayza-Puch,Kidney normal tissue 2 RP,Kidney normal tissue 2 RP,Kidney tissue,kidney,GSM1712826
SRR1528690,22206265,1132519515,51,752,SRX663297,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP044937,PRJNA256316,26878238,"",SRS668171,SAMN02943069,simple,9606,Homo sapiens,GSM1446876,GEO,SRA176910,02,2016,Loayza-Puch,Kidney tumor tissue 1 RP,Kidney tumor tissue 1 RP,Kidney tissue,kidney,GSM1712827
SRR1528691,31147450,1588519950,51,1045,SRX663297,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP044937,PRJNA256316,26878238,"",SRS668171,SAMN02943069,simple,9606,Homo sapiens,GSM1446876,GEO,SRA176910,02,2016,Loayza-Puch,Kidney tumor tissue 1 RP,Kidney tumor tissue 1 RP,Kidney tissue,kidney,GSM1712828
SRR1528692,25657299,1308522249,51,858,SRX663298,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP044937,PRJNA256316,26878238,"",SRS668170,SAMN02943070,simple,9606,Homo sapiens,GSM1446877,GEO,SRA176910,02,2016,Loayza-Puch,Kidney tumor tissue 2 RP,Kidney tumor tissue 2 RP,Kidney tissue,kidney,GSM1712829
SRR1528693,36181563,1845259713,51,1201,SRX663298,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP044937,PRJNA256316,26878238,"",SRS668170,SAMN02943070,simple,9606,Homo sapiens,GSM1446877,GEO,SRA176910,02,2016,Loayza-Puch,Kidney tumor tissue 2 RP,Kidney tumor tissue 2 RP,Kidney tissue,kidney,GSM1712830
SRR1528694,14984509,764209959,51,465,SRX663299,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP044937,PRJNA256316,26878238,"",SRS668173,SAMN02943071,simple,9606,Homo sapiens,GSM1446878,GEO,SRA176910,02,2016,Loayza-Puch,Kidney tumor tissue 3 RP,Kidney tumor tissue 3 RP,Kidney tissue,kidney,GSM1712831
SRR1528695,20492315,1045108065,51,631,SRX663299,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP044937,PRJNA256316,26878238,"",SRS668173,SAMN02943071,simple,9606,Homo sapiens,GSM1446878,GEO,SRA176910,02,2016,Loayza-Puch,Kidney tumor tissue 3 RP,Kidney tumor tissue 3 RP,Kidney tissue,kidney,GSM1712832
SRR1528696,20302267,1035415617,51,678,SRX663300,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP044937,PRJNA256316,26878238,"",SRS668172,SAMN02943067,simple,9606,Homo sapiens,GSM1446879,GEO,SRA176910,02,2016,Loayza-Puch,Kidney tumor tissue 4 RP,Kidney tumor tissue 4 RP,Kidney tissue,kidney,GSM1712833
SRR1528697,28365554,1446643254,51,940,SRX663300,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP044937,PRJNA256316,26878238,"",SRS668172,SAMN02943067,simple,9606,Homo sapiens,GSM1446879,GEO,SRA176910,02,2016,Loayza-Puch,Kidney tumor tissue 4 RP,Kidney tumor tissue 4 RP,Kidney tissue,kidney,GSM1712834
