Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,age,extracted molecule,library construction,library strategy,GEO Accession
SRR1873524,25102079,1255103950,50,761,SRX915210,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP056012,PRJNA277771,27135913,"",SRS870245,SAMN03396562,simple,10116,Rattus norvegicus,GSM1630463,GEO,SRA246114,09,2015,Ori,brain,243B_mRNA,liver,liver,24 months,total RNA,Illumina TruSeq Stranded kit,RNA-Seq,GSM1630468
SRR1873525,22086417,1104320850,50,638,SRX915210,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP056012,PRJNA277771,27135913,"",SRS870245,SAMN03396562,simple,10116,Rattus norvegicus,GSM1630463,GEO,SRA246114,09,2015,Ori,brain,243B_mRNA,liver,liver,24 months,total RNA,Illumina TruSeq Stranded kit,RNA-Seq,GSM1630469
SRR1873526,61797891,3089894550,50,1935,SRX915211,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP056012,PRJNA277771,27135913,"",SRS870222,SAMN03396568,simple,10116,Rattus norvegicus,GSM1630464,GEO,SRA246114,09,2015,Ori,liver,061L_mRNA,brain,brain,6 months,total RNA,"Rnase I footprinting, ribosome pelleting, RNA extraction, preadenylated linker ligation, reverse transcription, cDNA circularization, PCR amplification",Ribosome profiling,GSM1630470
SRR1873527,66144784,3307239200,50,2073,SRX915212,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP056012,PRJNA277771,27135913,"",SRS870221,SAMN03396564,simple,10116,Rattus norvegicus,GSM1630465,GEO,SRA246114,09,2015,Ori,liver,062L_mRNA,brain,brain,6 months,total RNA,"Rnase I footprinting, ribosome pelleting, RNA extraction, preadenylated linker ligation, reverse transcription, cDNA circularization, PCR amplification",Ribosome profiling,GSM1630471
SRR1873528,59189063,2959453150,50,1861,SRX915213,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP056012,PRJNA277771,27135913,"",SRS870220,SAMN03396558,simple,10116,Rattus norvegicus,GSM1630466,GEO,SRA246114,09,2015,Ori,liver,063L_mRNA,brain,brain,6 months,total RNA,"Rnase I footprinting, ribosome pelleting, RNA extraction, preadenylated linker ligation, reverse transcription, cDNA circularization, PCR amplification",Ribosome profiling,GSM1630472
SRR1873529,61015248,3050762400,50,1918,SRX915214,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP056012,PRJNA277771,27135913,"",SRS870219,SAMN03396563,simple,10116,Rattus norvegicus,GSM1630467,GEO,SRA246114,09,2015,Ori,liver,241L_mRNA,brain,brain,24 months,total RNA,"Rnase I footprinting, ribosome pelleting, RNA extraction, preadenylated linker ligation, reverse transcription, cDNA circularization, PCR amplification",Ribosome profiling,GSM1630473
SRR1873530,64747849,3237392450,50,2028,SRX915215,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP056012,PRJNA277771,27135913,"",SRS870218,SAMN03396555,simple,10116,Rattus norvegicus,GSM1630468,GEO,SRA246114,09,2015,Ori,liver,242L_mRNA,brain,brain,24 months,total RNA,"Rnase I footprinting, ribosome pelleting, RNA extraction, preadenylated linker ligation, reverse transcription, cDNA circularization, PCR amplification",Ribosome profiling,GSM1630474
SRR1873531,61114099,3055704950,50,1922,SRX915216,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP056012,PRJNA277771,27135913,"",SRS870217,SAMN03396556,simple,10116,Rattus norvegicus,GSM1630469,GEO,SRA246114,09,2015,Ori,liver,243L_mRNA,brain,brain,24 months,total RNA,"Rnase I footprinting, ribosome pelleting, RNA extraction, preadenylated linker ligation, reverse transcription, cDNA circularization, PCR amplification",Ribosome profiling,GSM1630475
SRR1873532,21576375,1078818750,50,706,SRX915217,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP056012,PRJNA277771,27135913,"",SRS870216,SAMN03396559,simple,10116,Rattus norvegicus,GSM1630470,GEO,SRA246114,09,2015,Ori,brain,061B_ribo,liver,liver,6 months,total RNA,"Rnase I footprinting, ribosome pelleting, RNA extraction, preadenylated linker ligation, reverse transcription, cDNA circularization, PCR amplification",Ribosome profiling,GSM1630476
SRR1873533,22648457,1132422850,50,637,SRX915217,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP056012,PRJNA277771,27135913,"",SRS870216,SAMN03396559,simple,10116,Rattus norvegicus,GSM1630470,GEO,SRA246114,09,2015,Ori,brain,061B_ribo,liver,liver,6 months,total RNA,"Rnase I footprinting, ribosome pelleting, RNA extraction, preadenylated linker ligation, reverse transcription, cDNA circularization, PCR amplification",Ribosome profiling,GSM1630477
SRR1873534,20210619,1010530950,50,567,SRX915218,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP056012,PRJNA277771,27135913,"",SRS870215,SAMN03396557,simple,10116,Rattus norvegicus,GSM1630471,GEO,SRA246114,09,2015,Ori,brain,062B_ribo,liver,liver,6 months,total RNA,"Rnase I footprinting, ribosome pelleting, RNA extraction, preadenylated linker ligation, reverse transcription, cDNA circularization, PCR amplification",Ribosome profiling,GSM1630478
SRR1873535,15608650,780432500,50,514,SRX915219,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP056012,PRJNA277771,27135913,"",SRS870213,SAMN03396570,simple,10116,Rattus norvegicus,GSM1630472,GEO,SRA246114,09,2015,Ori,brain,063B_ribo,liver,liver,24 months,total RNA,"Rnase I footprinting, ribosome pelleting, RNA extraction, preadenylated linker ligation, reverse transcription, cDNA circularization, PCR amplification",Ribosome profiling,GSM1630479
SRR1873536,21516655,1075832750,50,607,SRX915219,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP056012,PRJNA277771,27135913,"",SRS870213,SAMN03396570,simple,10116,Rattus norvegicus,GSM1630472,GEO,SRA246114,09,2015,Ori,brain,063B_ribo,liver,liver,24 months,total RNA,"Rnase I footprinting, ribosome pelleting, RNA extraction, preadenylated linker ligation, reverse transcription, cDNA circularization, PCR amplification",Ribosome profiling,GSM1630480
SRR1873537,22075170,1103758500,50,625,SRX915220,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP056012,PRJNA277771,27135913,"",SRS870212,SAMN03396571,simple,10116,Rattus norvegicus,GSM1630473,GEO,SRA246114,09,2015,Ori,brain,241B_ribo,liver,liver,24 months,total RNA,"Rnase I footprinting, ribosome pelleting, RNA extraction, preadenylated linker ligation, reverse transcription, cDNA circularization, PCR amplification",Ribosome profiling,GSM1630481
SRR1873538,19998786,999939300,50,656,SRX915221,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP056012,PRJNA277771,27135913,"",SRS870211,SAMN03396578,simple,10116,Rattus norvegicus,GSM1630474,GEO,SRA246114,09,2015,Ori,brain,242B_ribo,brain,brain,6 months,total RNA,Illumina TruSeq Stranded kit,RNA-Seq,GSM1630458
SRR1873539,23180283,1159014150,50,649,SRX915221,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP056012,PRJNA277771,27135913,"",SRS870211,SAMN03396578,simple,10116,Rattus norvegicus,GSM1630474,GEO,SRA246114,09,2015,Ori,brain,242B_ribo,brain,brain,6 months,total RNA,Illumina TruSeq Stranded kit,RNA-Seq,GSM1630459
SRR1873540,17475483,873774150,50,572,SRX915222,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP056012,PRJNA277771,27135913,"",SRS870210,SAMN03396577,simple,10116,Rattus norvegicus,GSM1630475,GEO,SRA246114,09,2015,Ori,brain,243B_ribo,brain,brain,6 months,total RNA,Illumina TruSeq Stranded kit,RNA-Seq,GSM1630460
SRR1873541,19517126,975856300,50,547,SRX915222,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP056012,PRJNA277771,27135913,"",SRS870210,SAMN03396577,simple,10116,Rattus norvegicus,GSM1630475,GEO,SRA246114,09,2015,Ori,brain,243B_ribo,brain,brain,24 months,total RNA,Illumina TruSeq Stranded kit,RNA-Seq,GSM1630461
SRR1873542,41556106,2077805300,50,1220,SRX915223,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP056012,PRJNA277771,27135913,"",SRS870214,SAMN03396572,simple,10116,Rattus norvegicus,GSM1630476,GEO,SRA246114,09,2015,Ori,liver,061L_ribo,brain,brain,24 months,total RNA,Illumina TruSeq Stranded kit,RNA-Seq,GSM1630462
SRR1873543,42123096,2106154800,50,1229,SRX915224,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP056012,PRJNA277771,27135913,"",SRS870209,SAMN03396574,simple,10116,Rattus norvegicus,GSM1630477,GEO,SRA246114,09,2015,Ori,liver,062L_ribo,brain,brain,24 months,total RNA,Illumina TruSeq Stranded kit,RNA-Seq,GSM1630463
SRR1873544,56947765,2847388250,50,1663,SRX915225,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP056012,PRJNA277771,27135913,"",SRS870208,SAMN03396576,simple,10116,Rattus norvegicus,GSM1630478,GEO,SRA246114,09,2015,Ori,liver,063L_ribo,liver,liver,6 months,total RNA,Illumina TruSeq Stranded kit,RNA-Seq,GSM1630464
SRR1873545,46317042,2315852100,50,1374,SRX915226,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP056012,PRJNA277771,27135913,"",SRS870207,SAMN03396575,simple,10116,Rattus norvegicus,GSM1630479,GEO,SRA246114,09,2015,Ori,liver,241L_ribo,liver,liver,6 months,total RNA,Illumina TruSeq Stranded kit,RNA-Seq,GSM1630465
SRR1873546,52710370,2635518500,50,1556,SRX915227,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP056012,PRJNA277771,27135913,"",SRS870206,SAMN03396573,simple,10116,Rattus norvegicus,GSM1630480,GEO,SRA246114,09,2015,Ori,liver,242L_ribo,liver,liver,6 months,total RNA,Illumina TruSeq Stranded kit,RNA-Seq,GSM1630466
SRR1873547,54709618,2735480900,50,1597,SRX915228,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP056012,PRJNA277771,27135913,"",SRS870205,SAMN03396569,simple,10116,Rattus norvegicus,GSM1630481,GEO,SRA246114,09,2015,Ori,liver,243L_ribo,liver,liver,24 months,total RNA,Illumina TruSeq Stranded kit,RNA-Seq,GSM1630467
