Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,strain,host,collection_date,geo_loc_name,sample_type,env_broad_scale,lat_lon,env_local_scale,env_medium,isol_growth_condt,BioSampleModel
SRR9265431,61566798,2583452730,41,1119,SRX6035767,rnaseq_42_10_r1,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP201047,PRJNA548255,1,"",SRS4939070,SAMN12012146,simple,4932,Saccharomyces cerevisiae,yeast BY4147,Ludwig-Maximilians-University Munich,SRA896649,12,2019,Makar,"",Saccharomyces cerevisiae BY4147,BY4147,missing,missing,missing,cell culture,missing,missing,missing,missing,YPD liquid,"Microbe, viral or environmental"
SRR9265429,38286437,1148214684,29,569,SRX6035769,RP_25_0_r1,RIP-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP201047,PRJNA548255,1,"",SRS4939070,SAMN12012146,simple,4932,Saccharomyces cerevisiae,yeast BY4147,Ludwig-Maximilians-University Munich,SRA896649,12,2019,Makar,"",Saccharomyces cerevisiae BY4147,BY4147,missing,missing,missing,cell culture,missing,missing,missing,missing,YPD liquid,"Microbe, viral or environmental"
SRR9265428,30007888,1230172803,40,478,SRX6035770,rnaseq_42_30_r2,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP201047,PRJNA548255,1,"",SRS4939070,SAMN12012146,simple,4932,Saccharomyces cerevisiae,yeast BY4147,Ludwig-Maximilians-University Munich,SRA896649,12,2019,Makar,"",Saccharomyces cerevisiae BY4147,BY4147,missing,missing,missing,cell culture,missing,missing,missing,missing,YPD liquid,"Microbe, viral or environmental"
SRR9265427,66588117,2042292918,30,954,SRX6035771,RP_25_0_r3,RIP-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP201047,PRJNA548255,1,"",SRS4939070,SAMN12012146,simple,4932,Saccharomyces cerevisiae,yeast BY4147,Ludwig-Maximilians-University Munich,SRA896649,12,2019,Makar,"",Saccharomyces cerevisiae BY4147,BY4147,missing,missing,missing,cell culture,missing,missing,missing,missing,YPD liquid,"Microbe, viral or environmental"
SRR9265426,42590657,1193803088,28,549,SRX6035772,RP_25_0_r2,RIP-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP201047,PRJNA548255,1,"",SRS4939070,SAMN12012146,simple,4932,Saccharomyces cerevisiae,yeast BY4147,Ludwig-Maximilians-University Munich,SRA896649,12,2019,Makar,"",Saccharomyces cerevisiae BY4147,BY4147,missing,missing,missing,cell culture,missing,missing,missing,missing,YPD liquid,"Microbe, viral or environmental"
SRR9265425,47383970,1423177661,30,709,SRX6035773,RP_37_10_r2,RIP-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP201047,PRJNA548255,1,"",SRS4939070,SAMN12012146,simple,4932,Saccharomyces cerevisiae,yeast BY4147,Ludwig-Maximilians-University Munich,SRA896649,12,2019,Makar,"",Saccharomyces cerevisiae BY4147,BY4147,missing,missing,missing,cell culture,missing,missing,missing,missing,YPD liquid,"Microbe, viral or environmental"
SRR9265424,45951630,1310462981,28,609,SRX6035774,RP_37_10_r1,RIP-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP201047,PRJNA548255,1,"",SRS4939070,SAMN12012146,simple,4932,Saccharomyces cerevisiae,yeast BY4147,Ludwig-Maximilians-University Munich,SRA896649,12,2019,Makar,"",Saccharomyces cerevisiae BY4147,BY4147,missing,missing,missing,cell culture,missing,missing,missing,missing,YPD liquid,"Microbe, viral or environmental"
SRR9265423,58906924,1740811245,29,824,SRX6035775,RP_37_30_r2,RIP-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP201047,PRJNA548255,1,"",SRS4939070,SAMN12012146,simple,4932,Saccharomyces cerevisiae,yeast BY4147,Ludwig-Maximilians-University Munich,SRA896649,12,2019,Makar,"",Saccharomyces cerevisiae BY4147,BY4147,missing,missing,missing,cell culture,missing,missing,missing,missing,YPD liquid,"Microbe, viral or environmental"
SRR9265422,49583723,1502676985,30,688,SRX6035776,RP_37_30_r1,RIP-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP201047,PRJNA548255,1,"",SRS4939070,SAMN12012146,simple,4932,Saccharomyces cerevisiae,yeast BY4147,Ludwig-Maximilians-University Munich,SRA896649,12,2019,Makar,"",Saccharomyces cerevisiae BY4147,BY4147,missing,missing,missing,cell culture,missing,missing,missing,missing,YPD liquid,"Microbe, viral or environmental"
SRR9265421,55952924,1711205789,30,805,SRX6035777,RP_42_10_r2,RIP-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP201047,PRJNA548255,1,"",SRS4939070,SAMN12012146,simple,4932,Saccharomyces cerevisiae,yeast BY4147,Ludwig-Maximilians-University Munich,SRA896649,12,2019,Makar,"",Saccharomyces cerevisiae BY4147,BY4147,missing,missing,missing,cell culture,missing,missing,missing,missing,YPD liquid,"Microbe, viral or environmental"
SRR9265420,52416789,1560616477,29,743,SRX6035778,RP_42_10_r1,RIP-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP201047,PRJNA548255,1,"",SRS4939070,SAMN12012146,simple,4932,Saccharomyces cerevisiae,yeast BY4147,Ludwig-Maximilians-University Munich,SRA896649,12,2019,Makar,"",Saccharomyces cerevisiae BY4147,BY4147,missing,missing,missing,cell culture,missing,missing,missing,missing,YPD liquid,"Microbe, viral or environmental"
