Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,Sex,gender,molecule subtype,GEO Accession
SRR1660336,25431367,1271568350,50,787,SRX765943,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP050147,PRJNA268222,25896322,"",SRS750220,SAMN03216850,simple,9606,Homo sapiens,GSM1552809,GEO,SRA204209,04,2015,Grow,NCCIT hECC,HERV-K Rec siRNA NCCIT,NCCIT hECC,"NCCIT cells, hECC",,male,total RNA (rRNA depleted),GSM1592573
SRR1660337,38282848,1914142400,50,1175,SRX765943,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP050147,PRJNA268222,25896322,"",SRS750220,SAMN03216850,simple,9606,Homo sapiens,GSM1552809,GEO,SRA204209,04,2015,Grow,NCCIT hECC,HERV-K Rec siRNA NCCIT,NCCIT hECC,"NCCIT cells, hECC",male,,,GSM1552806
SRR1660338,30375771,1518788550,50,937,SRX765943,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP050147,PRJNA268222,25896322,"",SRS750220,SAMN03216850,simple,9606,Homo sapiens,GSM1552809,GEO,SRA204209,04,2015,Grow,NCCIT hECC,HERV-K Rec siRNA NCCIT,Rec-OE-NCCIT hECC,"NCCIT cells, hECC",male,,,GSM1552807
SRR1660339,27915936,1395796800,50,857,SRX765944,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP050147,PRJNA268222,25896322,"",SRS750221,SAMN03216853,simple,9606,Homo sapiens,GSM1552810,GEO,SRA204209,04,2015,Grow,NCCIT hECC,Control siRNA NCCIT,NCCIT hECC,"NCCIT cells, hECC",male,,,GSM1552808
SRR1660340,22394023,1119701150,50,689,SRX765944,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP050147,PRJNA268222,25896322,"",SRS750221,SAMN03216853,simple,9606,Homo sapiens,GSM1552810,GEO,SRA204209,04,2015,Grow,NCCIT hECC,Control siRNA NCCIT,NCCIT hECC,"NCCIT cells, hECC",male,,,GSM1552809
SRR1660341,22809017,1140450850,50,701,SRX765944,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP050147,PRJNA268222,25896322,"",SRS750221,SAMN03216853,simple,9606,Homo sapiens,GSM1552810,GEO,SRA204209,04,2015,Grow,NCCIT hECC,Control siRNA NCCIT,NCCIT hECC,"NCCIT cells, hECC",male,,,GSM1552810
SRR1660342,32436001,6487200200,100,3595,SRX765945,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP050147,PRJNA268222,25896322,"",SRS750222,SAMN03216855,simple,9606,Homo sapiens,GSM1552811,GEO,SRA204209,04,2015,Grow,ELF1 hESC,Naïve ELF1 hESC,ELF1 hESC,naive hESC,female,,,GSM1552811
SRR1660343,34485311,6897062200,100,3841,SRX765945,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP050147,PRJNA268222,25896322,"",SRS750222,SAMN03216855,simple,9606,Homo sapiens,GSM1552811,GEO,SRA204209,04,2015,Grow,ELF1 hESC,Naïve ELF1 hESC,ELF1 hESC,primed hESC,female,,,GSM1552812
SRR1660344,25463894,5092778800,100,2868,SRX765945,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP050147,PRJNA268222,25896322,"",SRS750222,SAMN03216855,simple,9606,Homo sapiens,GSM1552811,GEO,SRA204209,04,2015,Grow,ELF1 hESC,Naïve ELF1 hESC,Rec-OE-NCCIT hECC,"NCCIT cells, hECC",,male,total RNA (rRNA depleted),GSM1592570
SRR1660345,33969000,6793800000,100,3801,SRX765946,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP050147,PRJNA268222,25896322,"",SRS750223,SAMN03216856,simple,9606,Homo sapiens,GSM1552812,GEO,SRA204209,04,2015,Grow,ELF1 hESC,Primed ELF1 hESC,Rec-OE-NCCIT hECC,"NCCIT cells, hECC",,male,total RNA (rRNA depleted),GSM1592571
SRR1660346,28452644,5690528800,100,3176,SRX765946,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP050147,PRJNA268222,25896322,"",SRS750223,SAMN03216856,simple,9606,Homo sapiens,GSM1552812,GEO,SRA204209,04,2015,Grow,ELF1 hESC,Primed ELF1 hESC,NCCIT hECC,"NCCIT cells, hECC",,male,total RNA (rRNA depleted),GSM1592572
SRR1660347,27981211,5596242200,100,3094,SRX765946,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP050147,PRJNA268222,25896322,"",SRS750223,SAMN03216856,simple,9606,Homo sapiens,GSM1552812,GEO,SRA204209,04,2015,Grow,ELF1 hESC,Primed ELF1 hESC,NCCIT hECC,"NCCIT cells, hECC",,male,total RNA (rRNA depleted),GSM1592573
SRR1773506,20878204,829388802,39,263,SRX853388,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP050147,PRJNA268222,25896322,"",SRS827481,SAMN03295273,simple,9606,Homo sapiens,GSM1592570,GEO,SRA204209,04,2015,Grow,Rec-OE-NCCIT hECC,Rec-OE NCCIT total RNA rep1,NCCIT hECC,"NCCIT cells, hECC",male,,,GSM1552806
SRR1773507,13932656,566517579,40,179,SRX853389,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP050147,PRJNA268222,25896322,"",SRS827483,SAMN03295275,simple,9606,Homo sapiens,GSM1592571,GEO,SRA204209,04,2015,Grow,Rec-OE-NCCIT hECC,Rec-OE NCCIT total RNA rep2,Rec-OE-NCCIT hECC,"NCCIT cells, hECC",male,,,GSM1552807
SRR1773508,13943094,551993422,39,175,SRX853390,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP050147,PRJNA268222,25896322,"",SRS827485,SAMN03295274,simple,9606,Homo sapiens,GSM1592572,GEO,SRA204209,04,2015,Grow,NCCIT hECC,WT control NCCIT total RNA rep1,NCCIT hECC,"NCCIT cells, hECC",male,,,GSM1552808
SRR1773509,21613136,871193116,40,275,SRX853391,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP050147,PRJNA268222,25896322,"",SRS827484,SAMN03295276,simple,9606,Homo sapiens,GSM1592573,GEO,SRA204209,04,2015,Grow,NCCIT hECC,WT control NCCIT total RNA rep2,NCCIT hECC,"NCCIT cells, hECC",male,,,GSM1552809
