Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,rpl10 form,clone,GEO Accession
SRR6255570,25713585,1311392835,51,429,SRX3362054,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP123624,PRJNA417116,31186416,"",SRS2660738,SAMN07977209,simple,10090,Mus musculus,GSM2840015,GEO,SRA628382,04,2019,Kampen,isogenic Ba/F3_WT form of human RPL10_RiboSeq,WT28_RiboSeq,isogenic Ba/F3_WT form of human RPL10_RNAseq,mouse lymphoid Ba/F3 cells,isogenic Ba/F3 cells engineered to express the WT form of human RPL10,RPL10 WT clone #29,GSM2840022
SRR6255571,75464180,3848673180,51,1722,SRX3362054,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP123624,PRJNA417116,31186416,"",SRS2660738,SAMN07977209,simple,10090,Mus musculus,GSM2840015,GEO,SRA628382,04,2019,Kampen,isogenic Ba/F3_WT form of human RPL10_RiboSeq,WT28_RiboSeq,isogenic Ba/F3_WT form of human RPL10_RNAseq,mouse lymphoid Ba/F3 cells,isogenic Ba/F3 cells engineered to express the WT form of human RPL10,RPL10 WT clone #36,GSM2840023
SRR6255572,39670271,2380216260,60,711,SRX3362055,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP123624,PRJNA417116,31186416,"",SRS2660736,SAMN07977208,simple,10090,Mus musculus,GSM2840016,GEO,SRA628382,04,2019,Kampen,isogenic Ba/F3_WT form of human RPL10_RiboSeq,WT29_RiboSeq,isogenic Ba/F3_R98S mutant form of human RPL10_RiboSeq,mouse lymphoid Ba/F3 cells,isogenic Ba/F3 cells engineered to express the R98S mutant form of human RPL10,RPL10 R98S clone #11,GSM2840012
SRR6255573,32857883,1675752033,51,548,SRX3362055,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP123624,PRJNA417116,31186416,"",SRS2660736,SAMN07977208,simple,10090,Mus musculus,GSM2840016,GEO,SRA628382,04,2019,Kampen,isogenic Ba/F3_WT form of human RPL10_RiboSeq,WT29_RiboSeq,isogenic Ba/F3_R98S mutant form of human RPL10_RiboSeq,mouse lymphoid Ba/F3 cells,isogenic Ba/F3 cells engineered to express the R98S mutant form of human RPL10,RPL10 R98S clone #13,GSM2840013
SRR6255574,96285407,4910555757,51,2198,SRX3362055,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP123624,PRJNA417116,31186416,"",SRS2660736,SAMN07977208,simple,10090,Mus musculus,GSM2840016,GEO,SRA628382,04,2019,Kampen,isogenic Ba/F3_WT form of human RPL10_RiboSeq,WT29_RiboSeq,isogenic Ba/F3_R98S mutant form of human RPL10_RiboSeq,mouse lymphoid Ba/F3 cells,isogenic Ba/F3 cells engineered to express the R98S mutant form of human RPL10,RPL10 R98S clone #35,GSM2840014
SRR6255575,36899220,2213953200,60,658,SRX3362056,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP123624,PRJNA417116,31186416,"",SRS2660739,SAMN07977214,simple,10090,Mus musculus,GSM2840017,GEO,SRA628382,04,2019,Kampen,isogenic Ba/F3_WT form of human RPL10_RiboSeq,WT36_RiboSeq,isogenic Ba/F3_WT form of human RPL10_RiboSeq,mouse lymphoid Ba/F3 cells,isogenic Ba/F3 cells engineered to express the WT form of human RPL10,RPL10 WT clone #28,GSM2840015
SRR6255576,37708039,1923109989,51,629,SRX3362056,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP123624,PRJNA417116,31186416,"",SRS2660739,SAMN07977214,simple,10090,Mus musculus,GSM2840017,GEO,SRA628382,04,2019,Kampen,isogenic Ba/F3_WT form of human RPL10_RiboSeq,WT36_RiboSeq,isogenic Ba/F3_WT form of human RPL10_RiboSeq,mouse lymphoid Ba/F3 cells,isogenic Ba/F3 cells engineered to express the WT form of human RPL10,RPL10 WT clone #29,GSM2840016
SRR6255577,110629054,5642081754,51,2520,SRX3362056,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP123624,PRJNA417116,31186416,"",SRS2660739,SAMN07977214,simple,10090,Mus musculus,GSM2840017,GEO,SRA628382,04,2019,Kampen,isogenic Ba/F3_WT form of human RPL10_RiboSeq,WT36_RiboSeq,isogenic Ba/F3_WT form of human RPL10_RiboSeq,mouse lymphoid Ba/F3 cells,isogenic Ba/F3 cells engineered to express the WT form of human RPL10,RPL10 WT clone #36,GSM2840017
SRR6255578,32569666,1661052966,51,691,SRX3362057,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP123624,PRJNA417116,31186416,"",SRS2660740,SAMN07977213,simple,10090,Mus musculus,GSM2840018,GEO,SRA628382,04,2019,Kampen,isogenic Ba/F3_R98S mutant form of human RPL10_RNAseq,R98S11_mRNA_RiboSeq,isogenic Ba/F3_R98S mutant form of human RPL10_RNAseq,mouse lymphoid Ba/F3 cells,isogenic Ba/F3 cells engineered to express the R98S mutant form of human RPL10,RPL10 R98S clone #11,GSM2840018
SRR6255579,31001654,1581084354,51,659,SRX3362058,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP123624,PRJNA417116,31186416,"",SRS2660737,SAMN07977212,simple,10090,Mus musculus,GSM2840019,GEO,SRA628382,04,2019,Kampen,isogenic Ba/F3_R98S mutant form of human RPL10_RNAseq,R98S13_mRNA_RiboSeq,isogenic Ba/F3_R98S mutant form of human RPL10_RNAseq,mouse lymphoid Ba/F3 cells,isogenic Ba/F3 cells engineered to express the R98S mutant form of human RPL10,RPL10 R98S clone #13,GSM2840019
SRR6255580,30050943,1532598093,51,636,SRX3362059,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP123624,PRJNA417116,31186416,"",SRS2660741,SAMN07977211,simple,10090,Mus musculus,GSM2840020,GEO,SRA628382,04,2019,Kampen,isogenic Ba/F3_R98S mutant form of human RPL10_RNAseq,R98S35_mRNA_RiboSeq,isogenic Ba/F3_R98S mutant form of human RPL10_RNAseq,mouse lymphoid Ba/F3 cells,isogenic Ba/F3 cells engineered to express the R98S mutant form of human RPL10,RPL10 R98S clone #35,GSM2840020
SRR6255581,9931528,506507928,51,212,SRX3362060,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP123624,PRJNA417116,31186416,"",SRS2660742,SAMN07977207,simple,10090,Mus musculus,GSM2840021,GEO,SRA628382,04,2019,Kampen,isogenic Ba/F3_WT form of human RPL10_RNAseq,WT28_mRNA_RiboSeq,isogenic Ba/F3_WT form of human RPL10_RNAseq,mouse lymphoid Ba/F3 cells,isogenic Ba/F3 cells engineered to express the WT form of human RPL10,RPL10 WT clone #28,GSM2840021
SRR6255582,32027240,1633389240,51,677,SRX3362061,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP123624,PRJNA417116,31186416,"",SRS2660743,SAMN07977206,simple,10090,Mus musculus,GSM2840022,GEO,SRA628382,04,2019,Kampen,isogenic Ba/F3_WT form of human RPL10_RNAseq,WT29_mRNA_RiboSeq,isogenic Ba/F3_WT form of human RPL10_RNAseq,mouse lymphoid Ba/F3 cells,isogenic Ba/F3 cells engineered to express the WT form of human RPL10,RPL10 WT clone #29,GSM2840022
SRR6255583,33098481,1688022531,51,701,SRX3362062,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP123624,PRJNA417116,31186416,"",SRS2660744,SAMN07977205,simple,10090,Mus musculus,GSM2840023,GEO,SRA628382,04,2019,Kampen,isogenic Ba/F3_WT form of human RPL10_RNAseq,WT36_mRNA_RiboSeq,isogenic Ba/F3_WT form of human RPL10_RNAseq,mouse lymphoid Ba/F3 cells,isogenic Ba/F3 cells engineered to express the WT form of human RPL10,RPL10 WT clone #36,GSM2840023
