Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,strain,GEO Accession
SRR1039729,27779072,1055604736,38,749,SRX384538,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033366,PRJNA230057,24882012,"",SRS508743,SAMN02423130,simple,7227,Drosophila melanogaster,GSM1276357,GEO,SRA114375,07,2015,Kronja,mature oocytes,60S+80S_fraction_mature_oocyte_replicate_2,mature oocytes,ovary,Oregon R,GSM1276357
SRR1039730,26353774,1001443412,38,712,SRX384539,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033366,PRJNA230057,24882012,"",SRS508744,SAMN02423146,simple,7227,Drosophila melanogaster,GSM1276358,GEO,SRA114375,07,2015,Kronja,mature oocytes,low_polysomes_fraction_mature_oocyte_replicate_2,mature oocytes,ovary,Oregon R,GSM1276358
SRR1039731,25322899,962270162,38,682,SRX384540,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033366,PRJNA230057,24882012,"",SRS508745,SAMN02423133,simple,7227,Drosophila melanogaster,GSM1276359,GEO,SRA114375,07,2015,Kronja,mature oocytes,medium_polysomes_fraction_mature_oocyte_replicate_2,mature oocytes,ovary,Oregon R,GSM1276359
SRR1039732,29745896,1130344048,38,803,SRX384541,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033366,PRJNA230057,24882012,"",SRS508746,SAMN02423141,simple,7227,Drosophila melanogaster,GSM1276360,GEO,SRA114375,07,2015,Kronja,mature oocytes,heavy_polysomes_fraction_mature_oocyte_replicate_2,mature oocytes,ovary,Oregon R,GSM1276360
SRR1039733,26721429,1068857160,40,753,SRX384542,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033366,PRJNA230057,24882012,"",SRS508747,SAMN02423132,simple,7227,Drosophila melanogaster,GSM1276361,GEO,SRA114375,07,2015,Kronja,mature oocytes,input_(unfractionated lysate)_mature_oocyte_puromycin_treatment,mature oocytes,ovary,Oregon R,GSM1276361
SRR1039734,29175475,1167019000,40,825,SRX384543,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033366,PRJNA230057,24882012,"",SRS508748,SAMN02423157,simple,7227,Drosophila melanogaster,GSM1276362,GEO,SRA114375,07,2015,Kronja,mature oocytes,RNPs_fraction_mature_oocyte_replicate_puromycin_treatment,mature oocytes,ovary,Oregon R,GSM1276362
SRR1039735,35507701,1420308040,40,998,SRX384544,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033366,PRJNA230057,24882012,"",SRS508749,SAMN02423143,simple,7227,Drosophila melanogaster,GSM1276363,GEO,SRA114375,07,2015,Kronja,mature oocytes,40S_fraction_mature_oocyte_replicate_puromycin_treatment,mature oocytes,ovary,Oregon R,GSM1276363
SRR1039736,31499780,1259991200,40,887,SRX384545,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033366,PRJNA230057,24882012,"",SRS508750,SAMN02423149,simple,7227,Drosophila melanogaster,GSM1276364,GEO,SRA114375,07,2015,Kronja,mature oocytes,60S+80S_fraction_mature_oocyte_replicate_puromycin_treatment,mature oocytes,ovary,Oregon R,GSM1276364
SRR1039737,28376857,1135074280,40,802,SRX384546,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033366,PRJNA230057,24882012,"",SRS508752,SAMN02423137,simple,7227,Drosophila melanogaster,GSM1276365,GEO,SRA114375,07,2015,Kronja,mature oocytes,low_polysomes_fraction_mature_oocyte_replicate_puromycin_treatment,mature oocytes,ovary,Oregon R,GSM1276365
SRR1039738,33931549,1357261960,40,955,SRX384547,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033366,PRJNA230057,24882012,"",SRS508751,SAMN02423153,simple,7227,Drosophila melanogaster,GSM1276366,GEO,SRA114375,07,2015,Kronja,mature oocytes,medium_polysomes_fraction_mature_oocyte_replicate_puromycin_treatment,mature oocytes,ovary,Oregon R,GSM1276366
SRR1039739,27922774,1116910960,40,791,SRX384548,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033366,PRJNA230057,24882012,"",SRS508754,SAMN02423144,simple,7227,Drosophila melanogaster,GSM1276367,GEO,SRA114375,07,2015,Kronja,mature oocytes,heavy_polysomes_fraction_mature_oocyte_replicate_puromycin_treatment,mature oocytes,ovary,Oregon R,GSM1276367
SRR1039740,22307195,892287800,40,582,SRX384549,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033366,PRJNA230057,24882012,"",SRS508753,SAMN02423152,simple,7227,Drosophila melanogaster,GSM1276368,GEO,SRA114375,07,2015,Kronja,activated eggs,input_(unfractionated lysate)_activated_eggs_replicate_1,activated eggs,,Oregon R,GSM1276368
SRR1039741,22610897,904435880,40,594,SRX384550,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033366,PRJNA230057,24882012,"",SRS508756,SAMN02423139,simple,7227,Drosophila melanogaster,GSM1276369,GEO,SRA114375,07,2015,Kronja,activated eggs,RNPs_fraction_activated_eggs_replicate_1,activated eggs,,Oregon R,GSM1276369
SRR1039742,24342433,973697320,40,635,SRX384551,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033366,PRJNA230057,24882012,"",SRS508755,SAMN02423154,simple,7227,Drosophila melanogaster,GSM1276370,GEO,SRA114375,07,2015,Kronja,activated eggs,40S_fraction_activated_eggs_replicate_1,activated eggs,,Oregon R,GSM1276370
SRR1039743,24655895,986235800,40,648,SRX384552,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033366,PRJNA230057,24882012,"",SRS508758,SAMN02423140,simple,7227,Drosophila melanogaster,GSM1276371,GEO,SRA114375,07,2015,Kronja,activated eggs,60S+80S_fraction_activated_eggs_replicate_1,activated eggs,,Oregon R,GSM1276371
SRR1039744,19880353,795214120,40,523,SRX384553,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033366,PRJNA230057,24882012,"",SRS508757,SAMN02423150,simple,7227,Drosophila melanogaster,GSM1276372,GEO,SRA114375,07,2015,Kronja,activated eggs,low_polysomes_fraction_activated_eggs_replicate_1,activated eggs,,Oregon R,GSM1276372
SRR1039745,23044212,921768480,40,609,SRX384554,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033366,PRJNA230057,24882012,"",SRS508760,SAMN02423142,simple,7227,Drosophila melanogaster,GSM1276373,GEO,SRA114375,07,2015,Kronja,activated eggs,medium_polysomes_fraction_activated_eggs_replicate_1,activated eggs,,Oregon R,GSM1276373
SRR1039746,22795452,911818080,40,605,SRX384555,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033366,PRJNA230057,24882012,"",SRS508759,SAMN02423151,simple,7227,Drosophila melanogaster,GSM1276374,GEO,SRA114375,07,2015,Kronja,activated eggs,heavy_polysomes_fraction_activated_eggs_replicate_1,activated eggs,,Oregon R,GSM1276374
SRR1039747,28871521,1154860840,40,840,SRX384556,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033366,PRJNA230057,24882012,"",SRS508761,SAMN02423155,simple,7227,Drosophila melanogaster,GSM1276375,GEO,SRA114375,07,2015,Kronja,activated eggs,input_(unfractionated lysate)_activated_eggs_replicate_2,activated eggs,,Oregon R,GSM1276375
SRR1039748,22662840,906513600,40,671,SRX384557,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033366,PRJNA230057,24882012,"",SRS508762,SAMN02423159,simple,7227,Drosophila melanogaster,GSM1276376,GEO,SRA114375,07,2015,Kronja,activated eggs,RNPs_fraction_activated_eggs_replicate_2,activated eggs,,Oregon R,GSM1276376
SRR1039749,23705946,948237840,40,704,SRX384558,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033366,PRJNA230057,24882012,"",SRS508764,SAMN02423158,simple,7227,Drosophila melanogaster,GSM1276377,GEO,SRA114375,07,2015,Kronja,activated eggs,40S_fraction_activated_eggs_replicate_2,activated eggs,,Oregon R,GSM1276377
SRR1039750,22364903,894596120,40,662,SRX384559,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033366,PRJNA230057,24882012,"",SRS508763,SAMN02423164,simple,7227,Drosophila melanogaster,GSM1276378,GEO,SRA114375,07,2015,Kronja,activated eggs,60S+80S_fraction_activated_eggs_replicate_2,activated eggs,,Oregon R,GSM1276378
SRR1039751,22481742,899269680,40,664,SRX384560,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033366,PRJNA230057,24882012,"",SRS508766,SAMN02423160,simple,7227,Drosophila melanogaster,GSM1276379,GEO,SRA114375,07,2015,Kronja,activated eggs,low_polysomes_fraction_activated_eggs_replicate_2,activated eggs,,Oregon R,GSM1276379
SRR1039752,21649936,865997440,40,643,SRX384561,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033366,PRJNA230057,24882012,"",SRS508765,SAMN02423167,simple,7227,Drosophila melanogaster,GSM1276380,GEO,SRA114375,07,2015,Kronja,activated eggs,medium_polysomes_fraction_activated_eggs_replicate_2,activated eggs,,Oregon R,GSM1276380
SRR1039753,21470683,858827320,40,638,SRX384562,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033366,PRJNA230057,24882012,"",SRS508767,SAMN02423162,simple,7227,Drosophila melanogaster,GSM1276381,GEO,SRA114375,07,2015,Kronja,activated eggs,heavy_polysomes_fraction_activated_eggs_replicate_2,activated eggs,,Oregon R,GSM1276381
SRR1039754,21139485,803300430,38,525,SRX384563,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033366,PRJNA230057,24882012,"",SRS508768,SAMN02423165,simple,7227,Drosophila melanogaster,GSM1276382,GEO,SRA114375,07,2015,Kronja,activated eggs,input_(unfractionated lysate)_activated_eggs_puromycin_treatment,activated eggs,,Oregon R,GSM1276382
SRR1039755,31033764,1551688200,50,1069,SRX384564,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033366,PRJNA230057,24882012,"",SRS508770,SAMN02423161,simple,7227,Drosophila melanogaster,GSM1276383,GEO,SRA114375,07,2015,Kronja,activated eggs,RNPs_fraction_activated_eggs_replicate_puromycin_treatment,activated eggs,,Oregon R,GSM1276383
SRR1039756,37627526,1881376300,50,1293,SRX384565,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033366,PRJNA230057,24882012,"",SRS508769,SAMN02423170,simple,7227,Drosophila melanogaster,GSM1276384,GEO,SRA114375,07,2015,Kronja,activated eggs,40S_fraction_activated_eggs_replicate_puromycin_treatment,activated eggs,,Oregon R,GSM1276384
SRR1039757,34669383,1733469150,50,1185,SRX384566,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033366,PRJNA230057,24882012,"",SRS508771,SAMN02423163,simple,7227,Drosophila melanogaster,GSM1276385,GEO,SRA114375,07,2015,Kronja,activated eggs,60S+80S_fraction_activated_eggs_replicate_puromycin_treatment,activated eggs,,Oregon R,GSM1276385
SRR1039758,26104660,1305233000,50,897,SRX384567,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033366,PRJNA230057,24882012,"",SRS508772,SAMN02423174,simple,7227,Drosophila melanogaster,GSM1276386,GEO,SRA114375,07,2015,Kronja,activated eggs,low_polysomes_fraction_activated_eggs_replicate_puromycin_treatment,activated eggs,,Oregon R,GSM1276386
SRR1039759,33972920,1698646000,50,1164,SRX384568,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033366,PRJNA230057,24882012,"",SRS508774,SAMN02423166,simple,7227,Drosophila melanogaster,GSM1276387,GEO,SRA114375,07,2015,Kronja,activated eggs,medium_polysomes_fraction_activated_eggs_replicate_puromycin_treatment,activated eggs,,Oregon R,GSM1276387
SRR1039760,34398289,1719914450,50,1181,SRX384569,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033366,PRJNA230057,24882012,"",SRS508773,SAMN02423172,simple,7227,Drosophila melanogaster,GSM1276388,GEO,SRA114375,07,2015,Kronja,activated eggs,heavy_polysomes_fraction_activated_eggs_replicate_puromycin_treatment,activated eggs,,Oregon R,GSM1276388
SRR1039761,31207869,1248314760,40,763,SRX384570,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033366,PRJNA230057,24882012,"",SRS508776,SAMN02423168,simple,7227,Drosophila melanogaster,GSM1276389,GEO,SRA114375,07,2015,Kronja,mature oocytes,mature_oocyte_noCHX_RNA,mature oocytes,ovary,Oregon R,GSM1276389
SRR1039762,33492139,1339685560,40,820,SRX384571,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033366,PRJNA230057,24882012,"",SRS508775,SAMN02423177,simple,7227,Drosophila melanogaster,GSM1276390,GEO,SRA114375,07,2015,Kronja,activated eggs,activated_egg_noCHX_RNA,activated eggs,,Oregon R,GSM1276390
SRR1039763,31548005,1261920200,40,776,SRX384572,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033366,PRJNA230057,24882012,"",SRS508778,SAMN02423169,simple,7227,Drosophila melanogaster,GSM1276391,GEO,SRA114375,07,2015,Kronja,activated eggs,png_egg_noCHX_RNA,activated eggs,,png1058/png1058,GSM1276391
SRR1039764,33611162,1344446480,40,822,SRX384573,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033366,PRJNA230057,24882012,"",SRS508777,SAMN02423176,simple,7227,Drosophila melanogaster,GSM1276392,GEO,SRA114375,07,2015,Kronja,mature oocytes,mature_oocyte_CHX_RNA,mature oocytes,ovary,Oregon R,GSM1276392
SRR1039765,29522881,1180915240,40,723,SRX384574,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033366,PRJNA230057,24882012,"",SRS508779,SAMN02423173,simple,7227,Drosophila melanogaster,GSM1276393,GEO,SRA114375,07,2015,Kronja,activated eggs,activated_egg_CHX_RNA,activated eggs,,Oregon R,GSM1276393
SRR1039766,38845122,1553804880,40,953,SRX384575,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033366,PRJNA230057,24882012,"",SRS508780,SAMN02423179,simple,7227,Drosophila melanogaster,GSM1276394,GEO,SRA114375,07,2015,Kronja,activated eggs,png_egg_CHX_RNA,activated eggs,,png1058/png1058,GSM1276394
SRR1039767,101812510,4072500400,40,2523,SRX384576,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033366,PRJNA230057,24882012,"",SRS508781,SAMN02423171,simple,7227,Drosophila melanogaster,GSM1276395,GEO,SRA114375,07,2015,Kronja,mature oocytes,mature_oocyte_noCHX_RPF,mature oocytes,ovary,Oregon R,GSM1276395
SRR1039768,53138803,2125552120,40,1330,SRX384577,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033366,PRJNA230057,24882012,"",SRS508782,SAMN02423180,simple,7227,Drosophila melanogaster,GSM1276396,GEO,SRA114375,07,2015,Kronja,activated eggs,activated_egg_noCHX_RPF,activated eggs,,Oregon R,GSM1276396
SRR1039769,54186771,2167470840,40,1350,SRX384578,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033366,PRJNA230057,24882012,"",SRS508784,SAMN02423175,simple,7227,Drosophila melanogaster,GSM1276397,GEO,SRA114375,07,2015,Kronja,activated eggs,png_egg_noCHX_RPF,activated eggs,,png1058/png1058,GSM1276397
SRR1039770,54339512,2173580480,40,1303,SRX384579,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033366,PRJNA230057,24882012,"",SRS508783,SAMN02423181,simple,7227,Drosophila melanogaster,GSM1276398,GEO,SRA114375,07,2015,Kronja,mature oocytes,mature_oocyte_CHX_RPF,mature oocytes,ovary,Oregon R,GSM1276398
SRR1039771,58373392,2334935680,40,1395,SRX384580,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033366,PRJNA230057,24882012,"",SRS508785,SAMN02423178,simple,7227,Drosophila melanogaster,GSM1276399,GEO,SRA114375,07,2015,Kronja,activated eggs,activated_egg_CHX_RPF,activated eggs,,Oregon R,GSM1276399
SRR1039772,61115326,2444613040,40,1449,SRX384581,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033366,PRJNA230057,24882012,"",SRS508786,SAMN02423182,simple,7227,Drosophila melanogaster,GSM1276400,GEO,SRA114375,07,2015,Kronja,activated eggs,png_egg_CHX_RPF,activated eggs,,png1058/png1058,GSM1276400
