Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,genotype,age,drug treatment,tissue,molecule subtype,treatment,tissue,rip antibody,GEO Accession
SRR16492706,29954704,7548585408,126,2662,SRX12695706,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP274105,PRJNA649449,34645830,"",SRS10645724,SAMN22416884,simple,10090,Mus musculus,GSM5640055,GEO,SRA1105239,04,2023,Sun,testis,RNAseq.mouse.testis.wt.20.5dpp.rep1,testis,C57B6,wt,20.5dpp,,whole testis,rRNA depleted RNA,NA,whole testis,,GSM5640055
SRR16492707,17700255,5345477010,151,1950,SRX12695707,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP274105,PRJNA649449,34645830,"",SRS10645725,SAMN22416885,simple,10090,Mus musculus,GSM5640056,GEO,SRA1105239,04,2023,Sun,testis,RNAseq.mouse.testis.wt.Eif4EIP.adult.rep1,testis,C57B6,wt,adult,,whole testis,rRNA depleted RNA,Eif4EIP,whole testis,"anti-eIF4E rabbit antibody (Bethyl laboratories, A301-153A)",GSM5640056
SRR16492708,42787378,12921788156,151,4637,SRX12695708,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP274105,PRJNA649449,34645830,"",SRS10645726,SAMN22416886,simple,10090,Mus musculus,GSM5640057,GEO,SRA1105239,04,2023,Sun,testis,RNAseq.mouse.testis.wt.OkacidAcid.adult.rep1,testis,C57B6,wt,adult,,whole testis,rRNA depleted RNA,OkacidAcid,whole testis,,GSM5640057
SRR16492709,29537257,8920251614,151,3297,SRX12695709,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP274105,PRJNA649449,34645830,"",SRS10645728,SAMN22416887,simple,10090,Mus musculus,GSM5640058,GEO,SRA1105239,04,2023,Sun,testis,RNAseq.mouse.testis.wt.pUPF1IP.adult.rep1,testis,C57B6,wt,adult,,whole testis,rRNA depleted RNA,RIP,whole testis,"anti-pUPF1 from Lynne Maquat's lab, Ser1127",GSM5640058
SRR16492710,17729024,5354165248,151,1975,SRX12695710,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP274105,PRJNA649449,34645830,"",SRS10645727,SAMN22416888,simple,10090,Mus musculus,GSM5640059,GEO,SRA1105239,04,2023,Sun,testis,RNAseq.mouse.testis.wt.UPF1IP.adult.rep1,testis,C57B6,wt,adult,,whole testis,rRNA depleted RNA,RIP,whole testis,"anti-UPF1 from Lynne Maquat's lab (P0357, 1-416ab)",GSM5640059
SRR16492711,7639235,572942625,75,212,SRX12695711,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP274105,PRJNA649449,34645830,"",SRS10645729,SAMN22416889,simple,9031,Gallus gallus,GSM5640060,GEO,SRA1105239,04,2023,Sun,testis,SmallRNA.chicken.testis.WhiteLeghorn.adult.ox.rep1,testis,WhiteLeghorn,WhiteLeghorn,adult,,whole testis,small RNA,NA,whole testis,,GSM5640060
SRR16492712,6794039,509552925,75,195,SRX12695712,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP274105,PRJNA649449,34645830,"",SRS10645730,SAMN22416890,simple,9031,Gallus gallus,GSM5640061,GEO,SRA1105239,04,2023,Sun,testis,SmallRNA.chicken.testis.WhiteLeghorn.adult.ox.rep2,testis,WhiteLeghorn,WhiteLeghorn,adult,,whole testis,small RNA,NA,whole testis,,GSM5640061
SRR16492713,13238019,992851425,75,371,SRX12695713,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP274105,PRJNA649449,34645830,"",SRS10645731,SAMN22416891,simple,9031,Gallus gallus,GSM5640062,GEO,SRA1105239,04,2023,Sun,testis,SmallRNA.chicken.testis.WhiteLeghorn.adult.ox.rep3,testis,WhiteLeghorn,WhiteLeghorn,adult,,whole testis,small RNA,NA,whole testis,,GSM5640062
SRR16492714,14048444,1053633300,75,395,SRX12695714,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP274105,PRJNA649449,34645830,"",SRS10645733,SAMN22416892,simple,9031,Gallus gallus,GSM5640063,GEO,SRA1105239,04,2023,Sun,testis,SmallRNA.chicken.testis.WhiteLeghorn.adult.unox.rep1,testis,WhiteLeghorn,WhiteLeghorn,adult,,whole testis,small RNA,NA,whole testis,,GSM5640063
SRR16492715,10999048,824928600,75,304,SRX12695715,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP274105,PRJNA649449,34645830,"",SRS10645732,SAMN22416893,simple,9031,Gallus gallus,GSM5640064,GEO,SRA1105239,04,2023,Sun,testis,SmallRNA.chicken.testis.WhiteLeghorn.adult.unox.rep2,testis,WhiteLeghorn,WhiteLeghorn,adult,,whole testis,small RNA,NA,whole testis,,GSM5640064
SRR16492716,9185432,688907400,75,251,SRX12695716,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP274105,PRJNA649449,34645830,"",SRS10645734,SAMN22416894,simple,9031,Gallus gallus,GSM5640065,GEO,SRA1105239,04,2023,Sun,testis,SmallRNA.chicken.testis.WhiteLeghorn.adult.unox.rep3,testis,WhiteLeghorn,WhiteLeghorn,adult,,whole testis,small RNA,NA,whole testis,,GSM5640065
SRR16492717,29312452,1465622600,50,451,SRX12695717,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP274105,PRJNA649449,34645830,"",SRS10645735,SAMN22416895,simple,10090,Mus musculus,GSM5640066,GEO,SRA1105239,04,2023,Sun,testis,SmallRNA.mouse.testis.wt.8weeks.ox.rep1,testis,C57B6,wt,8weeks,,whole testis,small RNA,Oxidation,whole testis,,GSM5640066
SRR16492718,26143727,1307186350,50,399,SRX12695718,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP274105,PRJNA649449,34645830,"",SRS10645736,SAMN22416896,simple,10090,Mus musculus,GSM5640067,GEO,SRA1105239,04,2023,Sun,testis,SmallRNA.mouse.testis.wt.8weeks.ox.rep2,testis,C57B6,wt,8weeks,,whole testis,small RNA,Oxidation,whole testis,,GSM5640067
SRR16492719,17601540,880077000,50,272,SRX12695719,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP274105,PRJNA649449,34645830,"",SRS10645738,SAMN22416897,simple,10090,Mus musculus,GSM5640068,GEO,SRA1105239,04,2023,Sun,testis,SmallRNA.mouse.testis.wt.8weeks.ox.rep3,testis,C57B6,wt,8weeks,,whole testis,small RNA,Oxidation,whole testis,,GSM5640068
SRR16492720,26902039,1345101950,50,423,SRX12695720,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP274105,PRJNA649449,34645830,"",SRS10645737,SAMN22416898,simple,10090,Mus musculus,GSM5640069,GEO,SRA1105239,04,2023,Sun,testis,SmallRNA.mouse.testis.wt.8weeks.unox.rep1,testis,C57B6,wt,8weeks,,whole testis,small RNA,Untreated,whole testis,,GSM5640069
SRR16492721,23553785,1177689250,50,367,SRX12695721,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP274105,PRJNA649449,34645830,"",SRS10645739,SAMN22416899,simple,10090,Mus musculus,GSM5640070,GEO,SRA1105239,04,2023,Sun,testis,SmallRNA.mouse.testis.wt.8weeks.unox.rep2,testis,C57B6,wt,8weeks,,whole testis,small RNA,Untreated,whole testis,,GSM5640070
SRR16492722,22016842,1100842100,50,344,SRX12695722,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP274105,PRJNA649449,34645830,"",SRS10645740,SAMN22416900,simple,10090,Mus musculus,GSM5640071,GEO,SRA1105239,04,2023,Sun,testis,SmallRNA.mouse.testis.wt.8weeks.unox.rep3,testis,C57B6,wt,8weeks,,whole testis,small RNA,Untreated,whole testis,,GSM5640071
