Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,genotype,cell line,molecule subtype,GEO Accession
SRR9855614,94628607,28388582100,150,12142,SRX6609624,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq X Ten,SRP175017,PRJNA512491,31819270,"",SRS5173858,SAMN12391238,simple,9606,Homo sapiens,GSM3984249,GEO,SRA828491,11,2019,Song,HEK293T,WT_RNase_Riboseq_rep2,HEK293T,PUS10 -/-,HEK293T,,GSM3536531
SRR9855615,64798422,19439526600,150,7893,SRX6609625,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq X Ten,SRP175017,PRJNA512491,31819270,"",SRS5173859,SAMN12391237,simple,9606,Homo sapiens,GSM3984250,GEO,SRA828491,11,2019,Song,HEK293T,KO_MNase_Riboseq_Input_rep1,HEK293T,FLAG-PUS10,HEK293T,,GSM3536532
SRR9855616,24699278,7409783400,150,3030,SRX6609625,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq X Ten,SRP175017,PRJNA512491,31819270,"",SRS5173859,SAMN12391237,simple,9606,Homo sapiens,GSM3984250,GEO,SRA828491,11,2019,Song,HEK293T,KO_MNase_Riboseq_Input_rep1,HEK293T,FLAG-PUS10,HEK293T,,GSM3536533
SRR9855617,24080129,7224038700,150,3044,SRX6609625,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq X Ten,SRP175017,PRJNA512491,31819270,"",SRS5173859,SAMN12391237,simple,9606,Homo sapiens,GSM3984250,GEO,SRA828491,11,2019,Song,HEK293T,KO_MNase_Riboseq_Input_rep1,HEK293T,WT,HEK293T,,GSM3536534
SRR9855618,92006483,27601944900,150,11286,SRX6609626,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq X Ten,SRP175017,PRJNA512491,31819270,"",SRS5173860,SAMN12391236,simple,9606,Homo sapiens,GSM3984251,GEO,SRA828491,11,2019,Song,HEK293T,KO_MNase_Riboseq_rep1,HEK293T,WT,HEK293T,,GSM3536535
SRR9855619,39218529,11765558700,150,4961,SRX6609626,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq X Ten,SRP175017,PRJNA512491,31819270,"",SRS5173860,SAMN12391236,simple,9606,Homo sapiens,GSM3984251,GEO,SRA828491,11,2019,Song,HEK293T,KO_MNase_Riboseq_rep1,HEK293T,WT,HEK293T,,GSM3536536
SRR9855620,16464408,4939322400,150,2075,SRX6609627,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq X Ten,SRP175017,PRJNA512491,31819270,"",SRS5173861,SAMN12391235,simple,9606,Homo sapiens,GSM3984252,GEO,SRA828491,11,2019,Song,HEK293T,KO_MNase_Riboseq_Input_rep2,HEK293T,WT,HEK293T,,GSM3536537
SRR9855621,46488222,13946466600,150,5667,SRX6609627,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq X Ten,SRP175017,PRJNA512491,31819270,"",SRS5173861,SAMN12391235,simple,9606,Homo sapiens,GSM3984252,GEO,SRA828491,11,2019,Song,HEK293T,KO_MNase_Riboseq_Input_rep2,HEK293T,WT,HEK293T,,GSM3536538
SRR9855622,15850194,4755058200,150,1942,SRX6609627,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq X Ten,SRP175017,PRJNA512491,31819270,"",SRS5173861,SAMN12391235,simple,9606,Homo sapiens,GSM3984252,GEO,SRA828491,11,2019,Song,HEK293T,KO_MNase_Riboseq_Input_rep2,HEK293T,WT,HEK293T,,GSM3536539
SRR9855623,123580329,37074098700,150,15073,SRX6609628,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq X Ten,SRP175017,PRJNA512491,31819270,"",SRS5173862,SAMN12391234,simple,9606,Homo sapiens,GSM3984253,GEO,SRA828491,11,2019,Song,HEK293T,KO_MNase_Riboseq_rep2,HEK293T,PUS10 -/-,HEK293T,,GSM3536540
SRR9855624,30706734,9212020200,150,3753,SRX6609628,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq X Ten,SRP175017,PRJNA512491,31819270,"",SRS5173862,SAMN12391234,simple,9606,Homo sapiens,GSM3984253,GEO,SRA828491,11,2019,Song,HEK293T,KO_MNase_Riboseq_rep2,HEK293T,PUS10 -/-,HEK293T,,GSM3536541
SRR9855625,43826409,13147922700,150,5313,SRX6609629,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq X Ten,SRP175017,PRJNA512491,31819270,"",SRS5173863,SAMN12391233,simple,9606,Homo sapiens,GSM3984254,GEO,SRA828491,11,2019,Song,HEK293T,KO_RNase_Riboseq_Input_rep1,HEK293T,PUS10 -/-,HEK293T,,GSM3536542
SRR9855626,107467016,32240104800,150,13714,SRX6609630,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq X Ten,SRP175017,PRJNA512491,31819270,"",SRS5173864,SAMN12391232,simple,9606,Homo sapiens,GSM3984255,GEO,SRA828491,11,2019,Song,HEK293T,KO_RNase_Riboseq_rep1,HEK293T,PUS10 -/-,HEK293T,,GSM3536543
SRR9855627,42136089,12640826700,150,5180,SRX6609631,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq X Ten,SRP175017,PRJNA512491,31819270,"",SRS5173865,SAMN12391231,simple,9606,Homo sapiens,GSM3984256,GEO,SRA828491,11,2019,Song,HEK293T,KO_RNase_Riboseq_Input_rep2,HEK293T,PUS10 -/-,HEK293T,,GSM3536544
SRR9855628,187347383,56204214900,150,24674,SRX6609632,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq X Ten,SRP175017,PRJNA512491,31819270,"",SRS5173866,SAMN12391230,simple,9606,Homo sapiens,GSM3984257,GEO,SRA828491,11,2019,Song,HEK293T,KO_RNase_Riboseq_rep2,HEK293T,PUS10 -/-,HEK293T,,GSM3536545
