Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,ENA first public,ENA last update,External Id,INSDC center alias,INSDC center name,INSDC first public,INSDC last update,INSDC status,Submitter Id,broker name,cell line,cell type,common name,growth condition,protocol,sample name,Experimental Factor: Ribo-Seq,Experimental Factor: encephalomyocarditis virus (wild type),Experimental Factor: 2,Experimental Factor: encephalomyocarditis virus (SS mutant),Experimental Factor: 8,Experimental Factor: encephalomyocarditis virus (WT-SL mutant),Experimental Factor: encephalomyocarditis virus (SS-SL mutant),Experimental Factor: encephalomyocarditis virus (LV-WT mutant),Experimental Factor: encephalomyocarditis virus (LV-SS-SL mutant),Experimental Factor: RNA-Seq,Experimental Factor: 4,Experimental Factor: 6
ERR1719528,28466729,885092147,31,445,ERX1789741,Sample 19_s,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP019506,PRJEB17636,1,"",ERS1433235,SAMEA4534056,simple,10090,Mus musculus,SAMEA4534056,"Department of Pathology, University of Cambridge",ERA745198,06,2017,Makar,"",Sample 19,2017-06-02,2016-11-03,SAMEA4534056,"Department of Pathology, University of Cambridge","Department of Pathology, University of Cambridge",2017-06-02T17:02:10Z,2016-11-03T11:12:21Z,public,E-MTAB-5206:Sample 19,ArrayExpress,L929,fibroblast,house mouse,cycloheximide,RNA-Seq,E-MTAB-5206:Sample 19,,,,,time,,,infect,,protocol,,
ERR1719529,43631646,1380630106,31,894,ERX1789742,Sample 2_s,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP019506,PRJEB17636,1,"",ERS1433236,SAMEA4534057,simple,10090,Mus musculus,SAMEA4534057,"Department of Pathology, University of Cambridge",ERA745198,06,2017,Makar,"",Sample 2,2017-06-02,2016-11-03,SAMEA4534057,"Department of Pathology, University of Cambridge","Department of Pathology, University of Cambridge",2017-06-02T17:02:10Z,2016-11-03T11:12:21Z,public,E-MTAB-5206:Sample 2,ArrayExpress,L929,fibroblast,house mouse,cycloheximide,Ribo-Seq,E-MTAB-5206:Sample 2,protocol,infect,,,,,,,,,time,
ERR1719530,33738268,1059476203,31,545,ERX1789743,Sample 20_s,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP019506,PRJEB17636,1,"",ERS1433237,SAMEA4534058,simple,10090,Mus musculus,SAMEA4534058,"Department of Pathology, University of Cambridge",ERA745198,06,2017,Makar,"",Sample 20,2017-06-02,2016-11-03,SAMEA4534058,"Department of Pathology, University of Cambridge","Department of Pathology, University of Cambridge",2017-06-02T17:02:10Z,2016-11-03T11:12:21Z,public,E-MTAB-5206:Sample 20,ArrayExpress,L929,fibroblast,house mouse,cycloheximide,RNA-Seq,E-MTAB-5206:Sample 20,,,,,time,,,,infect,protocol,,
ERR1719531,40726173,1283483477,31,850,ERX1789744,Sample 3_s,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP019506,PRJEB17636,1,"",ERS1433238,SAMEA4534059,simple,10090,Mus musculus,SAMEA4534059,"Department of Pathology, University of Cambridge",ERA745198,06,2017,Makar,"",Sample 3,2017-06-02,2016-11-03,SAMEA4534059,"Department of Pathology, University of Cambridge","Department of Pathology, University of Cambridge",2017-06-02T17:02:10Z,2016-11-03T11:12:21Z,public,E-MTAB-5206:Sample 3,ArrayExpress,L929,fibroblast,house mouse,cycloheximide,Ribo-Seq,E-MTAB-5206:Sample 3,protocol,infect,,,,,,,,,,time
ERR1719532,39825021,1261053649,31,832,ERX1789745,Sample 4_s,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP019506,PRJEB17636,1,"",ERS1433239,SAMEA4534060,simple,10090,Mus musculus,SAMEA4534060,"Department of Pathology, University of Cambridge",ERA745198,06,2017,Makar,"",Sample 4,2017-06-02,2016-11-03,SAMEA4534060,"Department of Pathology, University of Cambridge","Department of Pathology, University of Cambridge",2017-06-02T17:02:10Z,2016-11-03T11:12:21Z,public,E-MTAB-5206:Sample 4,ArrayExpress,L929,fibroblast,house mouse,cycloheximide,Ribo-Seq,E-MTAB-5206:Sample 4,protocol,infect,,,time,,,,,,,
ERR1719533,50368881,1646355648,32,1036,ERX1789746,Sample 5_s,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP019506,PRJEB17636,1,"",ERS1433240,SAMEA4534061,simple,10090,Mus musculus,SAMEA4534061,"Department of Pathology, University of Cambridge",ERA745198,06,2017,Makar,"",Sample 5,2017-06-02,2016-11-03,SAMEA4534061,"Department of Pathology, University of Cambridge","Department of Pathology, University of Cambridge",2017-06-02T17:02:10Z,2016-11-03T11:12:21Z,public,E-MTAB-5206:Sample 5,ArrayExpress,L929,fibroblast,house mouse,cycloheximide,Ribo-Seq,E-MTAB-5206:Sample 5,protocol,,time,infect,,,,,,,,
ERR1719534,47535077,1522019700,32,973,ERX1789747,Sample 6_s,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP019506,PRJEB17636,1,"",ERS1433241,SAMEA4534062,simple,10090,Mus musculus,SAMEA4534062,"Department of Pathology, University of Cambridge",ERA745198,06,2017,Makar,"",Sample 6,2017-06-02,2016-11-03,SAMEA4534062,"Department of Pathology, University of Cambridge","Department of Pathology, University of Cambridge",2017-06-02T17:02:10Z,2016-11-03T11:12:21Z,public,E-MTAB-5206:Sample 6,ArrayExpress,L929,fibroblast,house mouse,cycloheximide,Ribo-Seq,E-MTAB-5206:Sample 6,protocol,,,infect,,,,,,,time,
ERR1719535,49746314,1603492330,32,1029,ERX1789748,Sample 7_s,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP019506,PRJEB17636,1,"",ERS1433242,SAMEA4534063,simple,10090,Mus musculus,SAMEA4534063,"Department of Pathology, University of Cambridge",ERA745198,06,2017,Makar,"",Sample 7,2017-06-02,2016-11-03,SAMEA4534063,"Department of Pathology, University of Cambridge","Department of Pathology, University of Cambridge",2017-06-02T17:02:10Z,2016-11-03T11:12:21Z,public,E-MTAB-5206:Sample 7,ArrayExpress,L929,fibroblast,house mouse,cycloheximide,Ribo-Seq,E-MTAB-5206:Sample 7,protocol,,,infect,,,,,,,,time
ERR1719536,48745145,1548939461,31,965,ERX1789749,Sample 8_s,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP019506,PRJEB17636,1,"",ERS1433243,SAMEA4534064,simple,10090,Mus musculus,SAMEA4534064,"Department of Pathology, University of Cambridge",ERA745198,06,2017,Makar,"",Sample 8,2017-06-02,2016-11-03,SAMEA4534064,"Department of Pathology, University of Cambridge","Department of Pathology, University of Cambridge",2017-06-02T17:02:10Z,2016-11-03T11:12:21Z,public,E-MTAB-5206:Sample 8,ArrayExpress,L929,fibroblast,house mouse,cycloheximide,Ribo-Seq,E-MTAB-5206:Sample 8,protocol,,,infect,time,,,,,,,
ERR1719537,24213954,761912205,31,374,ERX1789750,Sample 9_s,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP019506,PRJEB17636,1,"",ERS1433244,SAMEA4534065,simple,10090,Mus musculus,SAMEA4534065,"Department of Pathology, University of Cambridge",ERA745198,06,2017,Makar,"",Sample 9,2017-06-02,2016-11-03,SAMEA4534065,"Department of Pathology, University of Cambridge","Department of Pathology, University of Cambridge",2017-06-02T17:02:10Z,2016-11-03T11:12:21Z,public,E-MTAB-5206:Sample 9,ArrayExpress,L929,fibroblast,house mouse,cycloheximide,Ribo-Seq,E-MTAB-5206:Sample 9,protocol,infect,,,time,,,,,,,
