Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,strain,genotype,treatment,GEO Accession
SRR14069851,42545943,6381891450,75,2311,SRX10444211,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP312148,PRJNA717246,35108058,"",SRS8576291,SAMN18491514,simple,10090,Mus musculus,GSM5211326,GEO,SRA1210533,11,2021,Zhang,2 Cell,RNA_2-cell_siControl_rep1,2 Cell,2 Cell,B6D2F1/J,siControl,untreated,GSM5211326
SRR14069852,37328965,5599344750,75,2031,SRX10444212,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP312148,PRJNA717246,35108058,"",SRS8576292,SAMN18491513,simple,10090,Mus musculus,GSM5211327,GEO,SRA1210533,11,2021,Zhang,2 Cell,RNA_2-cell_siControl_rep2,2 Cell,2 Cell,B6D2F1/J,siControl,untreated,GSM5211327
SRR14069853,41270538,4127053800,100,1985,SRX10444213,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP312148,PRJNA717246,35108058,"",SRS8576293,SAMN18491507,simple,10090,Mus musculus,GSM5211328,GEO,SRA1210533,11,2021,Zhang,Zygote,RNA_Zygote_Control_rep1,Zygote,Zygote,B6D2F1/J,WT,treated with DMSO,GSM5211328
SRR14069854,39131834,3913183400,100,1862,SRX10444214,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP312148,PRJNA717246,35108058,"",SRS8576294,SAMN18491506,simple,10090,Mus musculus,GSM5211329,GEO,SRA1210533,11,2021,Zhang,Zygote,RNA_Zygote_Control_rep2,Zygote,Zygote,B6D2F1/J,WT,treated with DMSO,GSM5211329
SRR14069855,40096198,4009619800,100,1919,SRX10444215,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP312148,PRJNA717246,35108058,"",SRS8576295,SAMN18491505,simple,10090,Mus musculus,GSM5211330,GEO,SRA1210533,11,2021,Zhang,Zygote,RNA_Zygote_AMA_rep1,Zygote,Zygote,B6D2F1/J,WT,treated with α-amanitin,GSM5211330
SRR14069856,40180307,4018030700,100,1906,SRX10444216,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP312148,PRJNA717246,35108058,"",SRS8576296,SAMN18491510,simple,10090,Mus musculus,GSM5211331,GEO,SRA1210533,11,2021,Zhang,Zygote,RNA_Zygote_AMA_rep2,Zygote,Zygote,B6D2F1/J,WT,treated with α-amanitin,GSM5211331
SRR14069871,43172691,6475903650,75,2473,SRX10444231,,ATAC-seq,other,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP312148,PRJNA717246,35108058,"",SRS8576311,SAMN18491232,simple,10090,Mus musculus,GSM5211346,GEO,SRA1210533,11,2021,Zhang,Zygote (paternal pronuclear),ATAC_CHX_rep1,Zygote (paternal pronuclear),Zygote (paternal pronuclear),B6D2F1/J,WT,treated with CHX,GSM5211346
SRR14069872,27973308,2797330800,100,1254,SRX10444232,,ATAC-seq,other,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP312148,PRJNA717246,35108058,"",SRS8576312,SAMN18491231,simple,10090,Mus musculus,GSM5211347,GEO,SRA1210533,11,2021,Zhang,Zygote (paternal pronuclear),ATAC_CHX_rep2,Zygote (paternal pronuclear),Zygote (paternal pronuclear),B6D2F1/J,WT,treated with CHX,GSM5211347
SRR14069873,47454553,7118182950,75,2717,SRX10444233,,ATAC-seq,other,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP312148,PRJNA717246,35108058,"",SRS8576313,SAMN18491230,simple,10090,Mus musculus,GSM5211348,GEO,SRA1210533,11,2021,Zhang,Zygote (paternal pronuclear),ATAC_DMSO_rep1,Zygote (paternal pronuclear),Zygote (paternal pronuclear),B6D2F1/J,WT,treated with DMSO,GSM5211348
SRR14069874,28337794,2833779400,100,1271,SRX10444234,,ATAC-seq,other,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP312148,PRJNA717246,35108058,"",SRS8576314,SAMN18491229,simple,10090,Mus musculus,GSM5211349,GEO,SRA1210533,11,2021,Zhang,Zygote (paternal pronuclear),ATAC_DMSO_rep2,Zygote (paternal pronuclear),Zygote (paternal pronuclear),B6D2F1/J,WT,treated with DMSO,GSM5211349
SRR14069875,53113470,7967020500,75,3060,SRX10444235,,ATAC-seq,other,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP312148,PRJNA717246,35108058,"",SRS8576315,SAMN18491228,simple,10090,Mus musculus,GSM5211350,GEO,SRA1210533,11,2021,Zhang,Zygote (paternal pronuclear),ATAC_siControl_rep1,Zygote (paternal pronuclear),Zygote (paternal pronuclear),B6D2F1/J,siControl,untreated,GSM5211350
SRR14069876,31131160,4669674000,75,1797,SRX10444236,,ATAC-seq,other,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP312148,PRJNA717246,35108058,"",SRS8576316,SAMN18491227,simple,10090,Mus musculus,GSM5211351,GEO,SRA1210533,11,2021,Zhang,Zygote (paternal pronuclear),ATAC_siControl_rep2,Zygote (paternal pronuclear),Zygote (paternal pronuclear),B6D2F1/J,siControl,untreated,GSM5211351
SRR14069877,11580249,1737037350,75,666,SRX10444237,,ATAC-seq,other,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP312148,PRJNA717246,35108058,"",SRS8576318,SAMN18491226,simple,10090,Mus musculus,GSM5211352,GEO,SRA1210533,11,2021,Zhang,Zygote (paternal pronuclear),ATAC_siSmarcd2_rep1,Zygote (paternal pronuclear),Zygote (paternal pronuclear),B6D2F1/J,siSmarcd2,untreated,GSM5211352
SRR14069878,44540587,6681088050,75,2539,SRX10444238,,ATAC-seq,other,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP312148,PRJNA717246,35108058,"",SRS8576317,SAMN18491225,simple,10090,Mus musculus,GSM5211353,GEO,SRA1210533,11,2021,Zhang,Zygote (paternal pronuclear),ATAC_siSmarcd2_rep2,Zygote (paternal pronuclear),Zygote (paternal pronuclear),B6D2F1/J,siSmarcd2,untreated,GSM5211353
SRR15960245,29033599,5806719800,100,3447,SRX12250171,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP312148,PRJNA717246,35108058,"",SRS10225861,SAMN21501898,simple,10090,Mus musculus,GSM5585706,GEO,SRA1210533,11,2021,Zhang,MII oocyte,totalRNA_MII_rep1,MII oocyte,MII oocyte,B6D2F1/J,WT,untreated,GSM5585706
SRR15960262,122262193,9169664475,75,4155,SRX12250172,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP312148,PRJNA717246,35108058,"",SRS10225862,SAMN21501946,simple,10090,Mus musculus,GSM5585723,GEO,SRA1210533,11,2021,Zhang,Zygote,liRiboseq_1-cell_rep2,Zygote,Zygote,B6D2F1/J,WT,untreated,GSM5585723
SRR15960263,49192749,3738648924,76,1643,SRX12250173,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP312148,PRJNA717246,35108058,"",SRS10225863,SAMN21501947,simple,10090,Mus musculus,GSM5585724,GEO,SRA1210533,11,2021,Zhang,2 Cell,liRiboseq_2-cell_rep1,2 Cell,2 Cell,B6D2F1/J,WT,untreated,GSM5585724
SRR15960264,96606078,7342061928,76,3368,SRX12250174,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP312148,PRJNA717246,35108058,"",SRS10225864,SAMN21501948,simple,10090,Mus musculus,GSM5585725,GEO,SRA1210533,11,2021,Zhang,2 Cell,liRiboseq_2-cell_rep2,2 Cell,2 Cell,B6D2F1/J,WT,untreated,GSM5585725
SRR15960265,102856313,7817079788,76,3553,SRX12250175,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP312148,PRJNA717246,35108058,"",SRS10225865,SAMN21501897,simple,10090,Mus musculus,GSM5585726,GEO,SRA1210533,11,2021,Zhang,4 Cell,liRiboseq_4-cell_rep1,4 Cell,4 Cell,B6D2F1/J,WT,untreated,GSM5585726
SRR15960266,62112951,4720584276,76,2165,SRX12250176,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP312148,PRJNA717246,35108058,"",SRS10225867,SAMN21501949,simple,10090,Mus musculus,GSM5585727,GEO,SRA1210533,11,2021,Zhang,4 Cell,liRiboseq_4-cell_rep2,4 Cell,4 Cell,B6D2F1/J,WT,untreated,GSM5585727
SRR15960267,36641347,2784742372,76,1247,SRX12250177,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP312148,PRJNA717246,35108058,"",SRS10225866,SAMN21501950,simple,10090,Mus musculus,GSM5585728,GEO,SRA1210533,11,2021,Zhang,Morula,liRiboseq_Morula_rep1,Morula,Morula,B6D2F1/J,WT,untreated,GSM5585728
SRR15960268,131391648,9985765248,76,4529,SRX12250178,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP312148,PRJNA717246,35108058,"",SRS10225869,SAMN21501951,simple,10090,Mus musculus,GSM5585729,GEO,SRA1210533,11,2021,Zhang,Morula,liRiboseq_Morula_rep2,Morula,Morula,B6D2F1/J,WT,untreated,GSM5585729
SRR15960269,88588407,6732718932,76,3014,SRX12250179,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP312148,PRJNA717246,35108058,"",SRS10225868,SAMN21501952,simple,10090,Mus musculus,GSM5585730,GEO,SRA1210533,11,2021,Zhang,Blastocyst,liRiboseq_Blastocyst_rep1,Blastocyst,Blastocyst,B6D2F1/J,WT,untreated,GSM5585730
SRR15960270,56372930,4284342680,76,1942,SRX12250180,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP312148,PRJNA717246,35108058,"",SRS10225870,SAMN21501896,simple,10090,Mus musculus,GSM5585731,GEO,SRA1210533,11,2021,Zhang,Blastocyst,liRiboseq_Blastocyst_rep2,Blastocyst,Blastocyst,B6D2F1/J,WT,untreated,GSM5585731
SRR15960246,26380361,5276072200,100,2885,SRX12250181,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP312148,PRJNA717246,35108058,"",SRS10225871,SAMN21501899,simple,10090,Mus musculus,GSM5585707,GEO,SRA1210533,11,2021,Zhang,MII oocyte,totalRNA_MII_rep2,MII oocyte,MII oocyte,B6D2F1/J,WT,untreated,GSM5585707
SRR15960247,28157171,5631434200,100,3368,SRX12250182,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP312148,PRJNA717246,35108058,"",SRS10225872,SAMN21501900,simple,10090,Mus musculus,GSM5585708,GEO,SRA1210533,11,2021,Zhang,Zygote,totalRNA_1-cell_rep1,Zygote,Zygote,B6D2F1/J,WT,untreated,GSM5585708
SRR15960248,24963106,4992621200,100,2750,SRX12250183,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP312148,PRJNA717246,35108058,"",SRS10225874,SAMN21501901,simple,10090,Mus musculus,GSM5585709,GEO,SRA1210533,11,2021,Zhang,Zygote,totalRNA_1-cell_rep2,Zygote,Zygote,B6D2F1/J,WT,untreated,GSM5585709
SRR15960249,23502412,4700482400,100,2628,SRX12250184,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP312148,PRJNA717246,35108058,"",SRS10225875,SAMN21501902,simple,10090,Mus musculus,GSM5585710,GEO,SRA1210533,11,2021,Zhang,2 Cell,totalRNA_2-cell_rep1,2 Cell,2 Cell,B6D2F1/J,WT,untreated,GSM5585710
SRR15960250,24362744,4872548800,100,2785,SRX12250185,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP312148,PRJNA717246,35108058,"",SRS10225876,SAMN21501905,simple,10090,Mus musculus,GSM5585711,GEO,SRA1210533,11,2021,Zhang,2 Cell,totalRNA_2-cell_rep2,2 Cell,2 Cell,B6D2F1/J,WT,untreated,GSM5585711
SRR15960251,37711609,5656741350,75,2094,SRX12250186,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP312148,PRJNA717246,35108058,"",SRS10225873,SAMN21501906,simple,10090,Mus musculus,GSM5585712,GEO,SRA1210533,11,2021,Zhang,4 Cell,totalRNA_4-cell_rep1,4 Cell,4 Cell,B6D2F1/J,WT,untreated,GSM5585712
SRR15960252,30976856,4646528400,75,1724,SRX12250187,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP312148,PRJNA717246,35108058,"",SRS10225880,SAMN21501907,simple,10090,Mus musculus,GSM5585713,GEO,SRA1210533,11,2021,Zhang,4 Cell,totalRNA_4-cell_rep2,4 Cell,4 Cell,B6D2F1/J,WT,untreated,GSM5585713
SRR15960253,34848169,5227225350,75,1944,SRX12250188,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP312148,PRJNA717246,35108058,"",SRS10225878,SAMN21501908,simple,10090,Mus musculus,GSM5585714,GEO,SRA1210533,11,2021,Zhang,Morula,totalRNA_Morula_rep1,Morula,Morula,B6D2F1/J,WT,untreated,GSM5585714
SRR15960254,33959932,5093989800,75,1888,SRX12250189,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP312148,PRJNA717246,35108058,"",SRS10225877,SAMN21501909,simple,10090,Mus musculus,GSM5585715,GEO,SRA1210533,11,2021,Zhang,Morula,totalRNA_Morula_rep2,Morula,Morula,B6D2F1/J,WT,untreated,GSM5585715
SRR15960255,28163578,4224536700,75,1569,SRX12250190,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP312148,PRJNA717246,35108058,"",SRS10225879,SAMN21501903,simple,10090,Mus musculus,GSM5585716,GEO,SRA1210533,11,2021,Zhang,Blastocyst,totalRNA_Blastocyst_rep1,Blastocyst,Blastocyst,B6D2F1/J,WT,untreated,GSM5585716
SRR15960256,31166406,4674960900,75,1749,SRX12250191,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP312148,PRJNA717246,35108058,"",SRS10225882,SAMN21501904,simple,10090,Mus musculus,GSM5585717,GEO,SRA1210533,11,2021,Zhang,Blastocyst,totalRNA_Blastocyst_rep2,Blastocyst,Blastocyst,B6D2F1/J,WT,untreated,GSM5585717
SRR15960257,114800224,8610016800,75,3816,SRX12250192,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP312148,PRJNA717246,35108058,"",SRS10225884,SAMN21501910,simple,10090,Mus musculus,GSM5585718,GEO,SRA1210533,11,2021,Zhang,mESC,liRiboseq_ESC_5k_rep1,mESC,mESC,B6D2F1/J,WT,untreated,GSM5585718
SRR15960258,97174828,7288112100,75,3250,SRX12250193,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP312148,PRJNA717246,35108058,"",SRS10225881,SAMN21501911,simple,10090,Mus musculus,GSM5585719,GEO,SRA1210533,11,2021,Zhang,mESC,liRiboseq_ESC_5k_rep2,mESC,mESC,B6D2F1/J,WT,untreated,GSM5585719
SRR15960259,72859393,7285939300,100,4271,SRX12250194,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP312148,PRJNA717246,35108058,"",SRS10225883,SAMN21501943,simple,10090,Mus musculus,GSM5585720,GEO,SRA1210533,11,2021,Zhang,MII oocyte,liRiboseq_MII_rep1,MII oocyte,MII oocyte,B6D2F1/J,WT,untreated,GSM5585720
SRR15960260,78502784,5887708800,75,2690,SRX12250195,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP312148,PRJNA717246,35108058,"",SRS10225886,SAMN21501944,simple,10090,Mus musculus,GSM5585721,GEO,SRA1210533,11,2021,Zhang,MII oocyte,liRiboseq_MII_rep2,MII oocyte,MII oocyte,B6D2F1/J,WT,untreated,GSM5585721
SRR15960261,54648943,4153319668,76,1861,SRX12250196,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP312148,PRJNA717246,35108058,"",SRS10225885,SAMN21501945,simple,10090,Mus musculus,GSM5585722,GEO,SRA1210533,11,2021,Zhang,Zygote,liRiboseq_1-cell_rep1,Zygote,Zygote,B6D2F1/J,WT,untreated,GSM5585722
