Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,genotype,growth phase,treatment,GEO Accession
SRR13150131,12618919,996894601,79,393,SRX9590377,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP294317,PRJNA680923,33655635,"",SRS7794876,SAMN16926568,simple,580240,Saccharomyces cerevisiae W303,GSM4946327,GEO,SRA1164140,11,2020,Liu,"W303-1A, polyA RNA",EV4 mRNA-Seq WT replicate 2,"W303-1A, polyA RNA",W303-1A,WT,mid-log phase,None,GSM4946327
SRR13150132,15620498,1234019342,79,487,SRX9590378,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP294317,PRJNA680923,33655635,"",SRS7794875,SAMN16926567,simple,580240,Saccharomyces cerevisiae W303,GSM4946328,GEO,SRA1164140,11,2020,Liu,"W303-1A, polyA RNA",EV4 mRNA-Seq WT replicate 3,"W303-1A, polyA RNA",W303-1A,WT,mid-log phase,None,GSM4946328
SRR13150133,13352794,1054870726,79,411,SRX9590379,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP294317,PRJNA680923,33655635,"",SRS7794877,SAMN16926566,simple,580240,Saccharomyces cerevisiae W303,GSM4946329,GEO,SRA1164140,11,2020,Liu,"W303-1A, puf3D, polyA RNA",EV4 mRNA-Seq puf3D replicate 1,"W303-1A, puf3D, polyA RNA",W303-1A,puf3,mid-log phase,None,GSM4946329
SRR13150134,13625394,1076406126,79,424,SRX9590380,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP294317,PRJNA680923,33655635,"",SRS7794878,SAMN16926533,simple,580240,Saccharomyces cerevisiae W303,GSM4946330,GEO,SRA1164140,11,2020,Liu,"W303-1A, puf3D, polyA RNA",EV4 mRNA-Seq puf3D replicate 2,"W303-1A, puf3D, polyA RNA",W303-1A,puf3,mid-log phase,None,GSM4946330
SRR13150135,13291871,1050057809,79,413,SRX9590381,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP294317,PRJNA680923,33655635,"",SRS7794879,SAMN16926565,simple,580240,Saccharomyces cerevisiae W303,GSM4946331,GEO,SRA1164140,11,2020,Liu,"W303-1A, puf3D, polyA RNA",EV4 mRNA-Seq puf3D replicate 3,"W303-1A, puf3D, polyA RNA",W303-1A,puf3,mid-log phase,None,GSM4946331
SRR13150136,14978264,1183282856,79,408,SRX9590382,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP294317,PRJNA680923,33655635,"",SRS7794880,SAMN16926564,simple,580240,Saccharomyces cerevisiae W303,GSM4946332,GEO,SRA1164140,11,2020,Liu,"W303-1A, atp7D, polyA RNA",EV4 mRNA-Seq atp7D replicate 1,"W303-1A, atp7D, polyA RNA",W303-1A,atp7,mid-log phase,None,GSM4946332
SRR13150137,17309679,1367464641,79,505,SRX9590383,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP294317,PRJNA680923,33655635,"",SRS7794881,SAMN16926563,simple,580240,Saccharomyces cerevisiae W303,GSM4946333,GEO,SRA1164140,11,2020,Liu,"W303-1A, atp7D, polyA RNA",EV4 mRNA-Seq atp7D replicate 2,"W303-1A, atp7D, polyA RNA",W303-1A,atp7,mid-log phase,None,GSM4946333
SRR13150138,16127516,1274073764,79,441,SRX9590384,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP294317,PRJNA680923,33655635,"",SRS7794882,SAMN16926562,simple,580240,Saccharomyces cerevisiae W303,GSM4946334,GEO,SRA1164140,11,2020,Liu,"W303-1A, atp7D, polyA RNA",EV4 mRNA-Seq atp7D replicate 3,"W303-1A, atp7D, polyA RNA",W303-1A,atp7,mid-log phase,None,GSM4946334
SRR13150139,15497109,1224271611,79,426,SRX9590385,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP294317,PRJNA680923,33655635,"",SRS7794883,SAMN16926560,simple,580240,Saccharomyces cerevisiae W303,GSM4946335,GEO,SRA1164140,11,2020,Liu,"W303-1A, atp7D puf3D, polyA RNA",EV4 mRNA-Seq atp7D puf3D replicate 1,"W303-1A, atp7D puf3D, polyA RNA",W303-1A,atp7 puf3,mid-log phase,None,GSM4946335
SRR13150140,14139392,1117011968,79,386,SRX9590386,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP294317,PRJNA680923,33655635,"",SRS7794884,SAMN16926559,simple,580240,Saccharomyces cerevisiae W303,GSM4946336,GEO,SRA1164140,11,2020,Liu,"W303-1A, atp7D puf3D, polyA RNA",EV4 mRNA-Seq atp7D puf3D replicate 2,"W303-1A, atp7D puf3D, polyA RNA",W303-1A,atp7 puf3,mid-log phase,None,GSM4946336
SRR13150141,14019191,1107516089,79,383,SRX9590387,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP294317,PRJNA680923,33655635,"",SRS7794886,SAMN16926558,simple,580240,Saccharomyces cerevisiae W303,GSM4946337,GEO,SRA1164140,11,2020,Liu,"W303-1A, atp7D puf3D, polyA RNA",EV4 mRNA-Seq atp7D puf3D replicate 3,"W303-1A, atp7D puf3D, polyA RNA",W303-1A,atp7 puf3,mid-log phase,None,GSM4946337
SRR13150142,16241795,1283101805,79,502,SRX9590388,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP294317,PRJNA680923,33655635,"",SRS7794885,SAMN16926557,simple,580240,Saccharomyces cerevisiae W303,GSM4946338,GEO,SRA1164140,11,2020,Liu,"W303-1A, r0, polyA RNA",EV4 mRNA-Seq r0 replicate 1,"W303-1A, r0, polyA RNA",W303-1A,rho0,mid-log phase,None,GSM4946338
SRR13150143,14648973,1157268867,79,459,SRX9590389,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP294317,PRJNA680923,33655635,"",SRS7794887,SAMN16926556,simple,580240,Saccharomyces cerevisiae W303,GSM4946339,GEO,SRA1164140,11,2020,Liu,"W303-1A, r0, polyA RNA",EV4 mRNA-Seq r0 replicate 2,"W303-1A, r0, polyA RNA",W303-1A,rho0,mid-log phase,None,GSM4946339
SRR13150144,13339903,1053852337,79,416,SRX9590390,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP294317,PRJNA680923,33655635,"",SRS7794888,SAMN16926588,simple,580240,Saccharomyces cerevisiae W303,GSM4946340,GEO,SRA1164140,11,2020,Liu,"W303-1A, r0, polyA RNA",EV4 mRNA-Seq r0 replicate 3,"W303-1A, r0, polyA RNA",W303-1A,rho0,mid-log phase,None,GSM4946340
SRR13150145,14101310,1114003490,79,436,SRX9590391,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP294317,PRJNA680923,33655635,"",SRS7794890,SAMN16926587,simple,580240,Saccharomyces cerevisiae W303,GSM4946341,GEO,SRA1164140,11,2020,Liu,"W303-1A, r0 puf3D, polyA RNA",EV4 mRNA-Seq r0 puf3D replicate 1,"W303-1A, r0 puf3D, polyA RNA",W303-1A,puf3 rho0,mid-log phase,None,GSM4946341
SRR13150146,10655193,841760247,79,335,SRX9590392,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP294317,PRJNA680923,33655635,"",SRS7794889,SAMN16926586,simple,580240,Saccharomyces cerevisiae W303,GSM4946342,GEO,SRA1164140,11,2020,Liu,"W303-1A, r0 puf3D, polyA RNA",EV4 mRNA-Seq r0 puf3D replicate 2,"W303-1A, r0 puf3D, polyA RNA",W303-1A,puf3 rho0,mid-log phase,None,GSM4946342
SRR13150147,13831965,1092725235,79,431,SRX9590393,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP294317,PRJNA680923,33655635,"",SRS7794891,SAMN16926585,simple,580240,Saccharomyces cerevisiae W303,GSM4946343,GEO,SRA1164140,11,2020,Liu,"W303-1A, r0 puf3D, polyA RNA",EV4 mRNA-Seq r0 puf3D replicate 3,"W303-1A, r0 puf3D, polyA RNA",W303-1A,puf3 rho0,mid-log phase,None,GSM4946343
SRR13150148,10832981,855805499,79,301,SRX9590394,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP294317,PRJNA680923,33655635,"",SRS7794892,SAMN16926584,simple,580240,Saccharomyces cerevisiae W303,GSM4946344,GEO,SRA1164140,11,2020,Liu,"W303-1A, polyA RNA",EV7 mRNA-Seq WT replicate 1,"W303-1A, polyA RNA",W303-1A,WT,mid-log phase,None,GSM4946344
SRR13150149,10335803,816528437,79,287,SRX9590395,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP294317,PRJNA680923,33655635,"",SRS7794893,SAMN16926583,simple,580240,Saccharomyces cerevisiae W303,GSM4946345,GEO,SRA1164140,11,2020,Liu,"W303-1A, polyA RNA",EV7 mRNA-Seq WT replicate 2,"W303-1A, polyA RNA",W303-1A,WT,mid-log phase,None,GSM4946345
SRR13150150,10067228,795311012,79,286,SRX9590396,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP294317,PRJNA680923,33655635,"",SRS7794894,SAMN16926582,simple,580240,Saccharomyces cerevisiae W303,GSM4946346,GEO,SRA1164140,11,2020,Liu,"W303-1A, polyA RNA",EV7 mRNA-Seq WT replicate 3,"W303-1A, polyA RNA",W303-1A,WT,mid-log phase,None,GSM4946346
SRR13150151,10971979,866786341,79,305,SRX9590397,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP294317,PRJNA680923,33655635,"",SRS7794895,SAMN16926581,simple,580240,Saccharomyces cerevisiae W303,GSM4946347,GEO,SRA1164140,11,2020,Liu,"W303-1A, puf3-15A, polyA RNA",EV7 mRNA-Seq puf3-15A replicate 1,"W303-1A, puf3-15A, polyA RNA",W303-1A,puf3-15A,mid-log phase,None,GSM4946347
SRR13150152,11704516,924656764,79,327,SRX9590398,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP294317,PRJNA680923,33655635,"",SRS7794896,SAMN16926580,simple,580240,Saccharomyces cerevisiae W303,GSM4946348,GEO,SRA1164140,11,2020,Liu,"W303-1A, puf3-15A, polyA RNA",EV7 mRNA-Seq puf3-15A replicate 2,"W303-1A, puf3-15A, polyA RNA",W303-1A,puf3-15A,mid-log phase,None,GSM4946348
SRR13150153,10709436,846045444,79,299,SRX9590399,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP294317,PRJNA680923,33655635,"",SRS7794897,SAMN16926579,simple,580240,Saccharomyces cerevisiae W303,GSM4946349,GEO,SRA1164140,11,2020,Liu,"W303-1A, puf3-15A, polyA RNA",EV7 mRNA-Seq puf3-15A replicate 3,"W303-1A, puf3-15A, polyA RNA",W303-1A,puf3-15A,mid-log phase,None,GSM4946349
SRR13150154,10592709,836824011,79,297,SRX9590400,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP294317,PRJNA680923,33655635,"",SRS7794898,SAMN16926578,simple,580240,Saccharomyces cerevisiae W303,GSM4946350,GEO,SRA1164140,11,2020,Liu,"W303-1A, r0, polyA RNA",EV7 mRNA-Seq r0 replicate 1,"W303-1A, r0, polyA RNA",W303-1A,rho0,mid-log phase,None,GSM4946350
SRR13150155,11047962,872788998,79,308,SRX9590401,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP294317,PRJNA680923,33655635,"",SRS7794899,SAMN16926577,simple,580240,Saccharomyces cerevisiae W303,GSM4946351,GEO,SRA1164140,11,2020,Liu,"W303-1A, r0, polyA RNA",EV7 mRNA-Seq r0 replicate 2,"W303-1A, r0, polyA RNA",W303-1A,rho0,mid-log phase,None,GSM4946351
SRR13150156,10822042,854941318,79,302,SRX9590402,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP294317,PRJNA680923,33655635,"",SRS7794900,SAMN16926576,simple,580240,Saccharomyces cerevisiae W303,GSM4946352,GEO,SRA1164140,11,2020,Liu,"W303-1A, r0, polyA RNA",EV7 mRNA-Seq r0 replicate 3,"W303-1A, r0, polyA RNA",W303-1A,rho0,mid-log phase,None,GSM4946352
