Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,developmental stage,tissue,genotype,GEO Accession
SRR3710289,35986203,1439448120,40,911,SRX1870199,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP076919,PRJNA326506,27474798,"",SRS1520727,SAMN05282099,simple,7227,Drosophila melanogaster,GSM2210976,GEO,SRA435075,08,2016,Eichhorn,oocytes,Stage_13_wt_Chx_RPF_17,oocytes,Oregon R,Stage 13 oocyte,oocytes,wt,GSM2210976
SRR3710290,39799411,1591976440,40,1008,SRX1870200,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP076919,PRJNA326506,27474798,"",SRS1520728,SAMN05282100,simple,7227,Drosophila melanogaster,GSM2210977,GEO,SRA435075,08,2016,Eichhorn,oocytes,Stage_14_png_Chx_RPF_18,oocytes,Oregon R,Stage 14 oocyte,oocytes,png,GSM2210977
SRR3710291,15059925,602397000,40,327,SRX1870201,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP076919,PRJNA326506,27474798,"",SRS1520729,SAMN05282101,simple,7227,Drosophila melanogaster,GSM2210978,GEO,SRA435075,08,2016,Eichhorn,embryos,0-1_h_wt_Chx_RNA_26,embryos,Oregon R,0-1 h embryo,embryos,wt,GSM2210978
SRR3710292,43428704,1737148160,40,971,SRX1870202,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP076919,PRJNA326506,27474798,"",SRS1520730,SAMN05282102,simple,7227,Drosophila melanogaster,GSM2210979,GEO,SRA435075,08,2016,Eichhorn,embryos,2-3_h_wt_Chx_RNA_19_27,embryos,Oregon R,2-3 h embryo,embryos,wt,GSM2210979
SRR3710293,46833204,1873328160,40,1044,SRX1870203,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP076919,PRJNA326506,27474798,"",SRS1520731,SAMN05282103,simple,7227,Drosophila melanogaster,GSM2210980,GEO,SRA435075,08,2016,Eichhorn,embryos,3-4_h_wt_Chx_RNA_20_28,embryos,Oregon R,3-4 h embryo,embryos,wt,GSM2210980
SRR3710294,51995168,2079806720,40,1189,SRX1870204,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP076919,PRJNA326506,27474798,"",SRS1520732,SAMN05282104,simple,7227,Drosophila melanogaster,GSM2210981,GEO,SRA435075,08,2016,Eichhorn,embryos,5-6_h_wt_Chx_RNA_21_29,embryos,Oregon R,5-6 h embryo,embryos,wt,GSM2210981
SRR3710295,55326781,2213071240,40,1249,SRX1870205,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP076919,PRJNA326506,27474798,"",SRS1520733,SAMN05282106,simple,7227,Drosophila melanogaster,GSM2210982,GEO,SRA435075,08,2016,Eichhorn,embryos,0-1_h_wt_Chx_RPF_22_30,embryos,Oregon R,0-1 h embryo,embryos,wt,GSM2210982
SRR3710296,38393820,1535752800,40,868,SRX1870206,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP076919,PRJNA326506,27474798,"",SRS1520734,SAMN05282105,simple,7227,Drosophila melanogaster,GSM2210983,GEO,SRA435075,08,2016,Eichhorn,embryos,2-3_h_wt_Chx_RPF_23_31,embryos,Oregon R,2-3 h embryo,embryos,wt,GSM2210983
SRR3710297,75376294,3015051760,40,1724,SRX1870207,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP076919,PRJNA326506,27474798,"",SRS1520735,SAMN05282107,simple,7227,Drosophila melanogaster,GSM2210984,GEO,SRA435075,08,2016,Eichhorn,embryos,3-4_h_wt_Chx_RPF_24_32,embryos,Oregon R,3-4 h embryo,embryos,wt,GSM2210984
SRR3710298,53667288,2146691520,40,1223,SRX1870208,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP076919,PRJNA326506,27474798,"",SRS1520736,SAMN05282108,simple,7227,Drosophila melanogaster,GSM2210985,GEO,SRA435075,08,2016,Eichhorn,embryos,5-6_h_wt_Chx_RPF_25_33,embryos,Oregon R,5-6 h embryo,embryos,wt,GSM2210985
SRR3710299,23416547,936661880,40,562,SRX1870209,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP076919,PRJNA326506,27474798,"",SRS1520737,SAMN05282109,simple,7227,Drosophila melanogaster,GSM2210986,GEO,SRA435075,08,2016,Eichhorn,oocytes,Stage_11_wt_Chx_RNA_34,oocytes,Oregon R,Stage 11 oocyte,oocytes,wt,GSM2210986
SRR3710300,29454757,1178190280,40,700,SRX1870210,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP076919,PRJNA326506,27474798,"",SRS1520738,SAMN05282068,simple,7227,Drosophila melanogaster,GSM2210987,GEO,SRA435075,08,2016,Eichhorn,oocytes,Stage_11_wt_Chx_RPF_36,oocytes,Oregon R,Stage 11 oocyte,oocytes,wt,GSM2210987
SRR3710301,24370948,974837920,40,619,SRX1870211,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP076919,PRJNA326506,27474798,"",SRS1520739,SAMN05282069,simple,7227,Drosophila melanogaster,GSM2210988,GEO,SRA435075,08,2016,Eichhorn,embryos,0-2_h_wisp_Chx_RNA_38,embryos,Oregon R,0-2 h embryo,embryos,wisp,GSM2210988
SRR3710302,25237545,1009501800,40,618,SRX1870212,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP076919,PRJNA326506,27474798,"",SRS1520740,SAMN05282070,simple,7227,Drosophila melanogaster,GSM2210989,GEO,SRA435075,08,2016,Eichhorn,embryos,0-2_h_wisp_Chx_RPF_39,embryos,Oregon R,0-2 h embryo,embryos,wisp,GSM2210989
SRR3710303,46790325,1871613000,40,1182,SRX1870213,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP076919,PRJNA326506,27474798,"",SRS1520741,SAMN05282071,simple,7227,Drosophila melanogaster,GSM2210990,GEO,SRA435075,08,2016,Eichhorn,embryos,0-1_h_smg_Chx_RNA_40,embryos,Oregon R,0-1 h embryo,embryos,smg,GSM2210990
SRR3710304,38975468,1559018720,40,987,SRX1870214,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP076919,PRJNA326506,27474798,"",SRS1520742,SAMN05282072,simple,7227,Drosophila melanogaster,GSM2210991,GEO,SRA435075,08,2016,Eichhorn,oocytes,Stage_13_wisp_Chx_RNA_41,oocytes,Oregon R,Stage 13 oocyte,oocytes,wisp,GSM2210991
SRR3710305,38607750,1544310000,40,984,SRX1870215,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP076919,PRJNA326506,27474798,"",SRS1520743,SAMN05282073,simple,7227,Drosophila melanogaster,GSM2210992,GEO,SRA435075,08,2016,Eichhorn,embryos,0-1_h_smg_Chx_RPF_43,embryos,Oregon R,0-1 h embryo,embryos,smg,GSM2210992
SRR3710306,33300106,1332004240,40,794,SRX1870216,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP076919,PRJNA326506,27474798,"",SRS1520745,SAMN05282074,simple,7227,Drosophila melanogaster,GSM2210993,GEO,SRA435075,08,2016,Eichhorn,oocytes,Stage_13_wisp_Chx_RPF_44,oocytes,Oregon R,Stage 13 oocyte,oocytes,wisp,GSM2210993
SRR3710307,18874474,773853434,41,439,SRX1870217,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP076919,PRJNA326506,27474798,"",SRS1520744,SAMN05282075,simple,7227,Drosophila melanogaster,GSM2210994,GEO,SRA435075,08,2016,Eichhorn,oocytes,Stage_14_wt_No_chx_PAL_46,oocytes,Oregon R,Stage 14 oocyte,oocytes,wt,GSM2210994
SRR3710308,15459609,633843969,41,357,SRX1870218,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP076919,PRJNA326506,27474798,"",SRS1520746,SAMN05282076,simple,7227,Drosophila melanogaster,GSM2210995,GEO,SRA435075,08,2016,Eichhorn,activated eggs,Activated_egg_wt_No_chx_PAL_47,activated eggs,Oregon R,Activated egg,activated eggs,wt,GSM2210995
SRR3710309,19579811,802772251,41,458,SRX1870219,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP076919,PRJNA326506,27474798,"",SRS1520747,SAMN05282077,simple,7227,Drosophila melanogaster,GSM2210996,GEO,SRA435075,08,2016,Eichhorn,activated eggs,Activated_egg_png_Chx_PAL_48,activated eggs,Oregon R,Activated egg,activated eggs,png,GSM2210996
SRR3710310,11951351,490005391,41,276,SRX1870220,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP076919,PRJNA326506,27474798,"",SRS1520748,SAMN05282078,simple,7227,Drosophila melanogaster,GSM2210997,GEO,SRA435075,08,2016,Eichhorn,oocytes,Stage_12_wt_Chx_PAL_49,oocytes,Oregon R,Stage 12 oocyte,oocytes,wt,GSM2210997
SRR3710311,16599138,680564658,41,394,SRX1870221,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP076919,PRJNA326506,27474798,"",SRS1520749,SAMN05282079,simple,7227,Drosophila melanogaster,GSM2210998,GEO,SRA435075,08,2016,Eichhorn,oocytes,Stage_13_wt_Chx_PAL_50,oocytes,Oregon R,Stage 13 oocyte,oocytes,wt,GSM2210998
SRR3710312,27279492,1118459172,41,636,SRX1870222,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP076919,PRJNA326506,27474798,"",SRS1520750,SAMN05282080,simple,7227,Drosophila melanogaster,GSM2210999,GEO,SRA435075,08,2016,Eichhorn,embryos,0-1_h_wt_Chx_PAL_51,embryos,Oregon R,0-1 h embryo,embryos,wt,GSM2210999
SRR3710313,15245098,625049018,41,343,SRX1870223,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP076919,PRJNA326506,27474798,"",SRS1520751,SAMN05282081,simple,7227,Drosophila melanogaster,GSM2211000,GEO,SRA435075,08,2016,Eichhorn,embryos,2-3_h_wt_Chx_PAL_52,embryos,Oregon R,2-3 h embryo,embryos,wt,GSM2211000
SRR3710314,12365451,506983491,,269,SRX1870224,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP076919,PRJNA326506,27474798,"",SRS1520752,SAMN05282082,simple,7227,Drosophila melanogaster,GSM2211001,GEO,SRA435075,08,2016,Eichhorn,embryos,3-4_h_wt_Chx_PAL_53,embryos,Oregon R,3-4 h embryo,embryos,wt,GSM2211001
SRR3710315,16368908,671125228,41,360,SRX1870225,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP076919,PRJNA326506,27474798,"",SRS1520753,SAMN05282083,simple,7227,Drosophila melanogaster,GSM2211002,GEO,SRA435075,08,2016,Eichhorn,embryos,5-6_h_wt_Chx_PAL_54,embryos,Oregon R,5-6 h embryo,embryos,wt,GSM2211002
SRR3710316,9271030,380112230,41,209,SRX1870226,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP076919,PRJNA326506,27474798,"",SRS1520754,SAMN05282084,simple,7227,Drosophila melanogaster,GSM2211003,GEO,SRA435075,08,2016,Eichhorn,oocytes,Stage_11_wt_Chx_PAL_55,oocytes,Oregon R,Stage 11 oocyte,oocytes,wt,GSM2211003
SRR3710317,14607801,598919841,41,334,SRX1870227,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP076919,PRJNA326506,27474798,"",SRS1520755,SAMN05282085,simple,7227,Drosophila melanogaster,GSM2211004,GEO,SRA435075,08,2016,Eichhorn,oocytes,Stage_13_wisp_Chx_PAL_56,oocytes,Oregon R,Stage 13 oocyte,oocytes,wisp,GSM2211004
SRR3710318,10421090,427264690,41,240,SRX1870228,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP076919,PRJNA326506,27474798,"",SRS1520756,SAMN05282086,simple,7227,Drosophila melanogaster,GSM2211005,GEO,SRA435075,08,2016,Eichhorn,embryos,0-2_h_wisp_Chx_PAL_57,embryos,Oregon R,0-2 h embryo,embryos,wisp,GSM2211005
SRR3710319,20208934,828566294,41,478,SRX1870229,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP076919,PRJNA326506,27474798,"",SRS1520757,SAMN05282087,simple,7227,Drosophila melanogaster,GSM2211006,GEO,SRA435075,08,2016,Eichhorn,embryos,0-1_h_smg_Chx_PAL_58,embryos,Oregon R,0-1 h embryo,embryos,smg,GSM2211006
SRR3710320,20184789,827576349,41,483,SRX1870230,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP076919,PRJNA326506,27474798,"",SRS1520758,SAMN05282088,simple,7227,Drosophila melanogaster,GSM2211007,GEO,SRA435075,08,2016,Eichhorn,oocytes,Stage_14_png_Chx_PAL_59,oocytes,Oregon R,Stage 14 oocyte,oocytes,png,GSM2211007
