Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,tissue,time,feeding,rna treatment,GEO Accession
SRR8557314,6384117,829935210,130,412,SRX5359025,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP185476,PRJNA521743,32295881,"",SRS4349667,SAMN10910472,simple,10090,Mus musculus,GSM3597532,GEO,SRA848172,03,2020,Gobet,Liver,ZT18_ST_1_NaCl,Liver,C57BL/6,Liver,ZT18,Fasted,NaIO4,GSM3597538
SRR8557315,6560657,852885410,130,425,SRX5359026,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP185476,PRJNA521743,32295881,"",SRS4349668,SAMN10910471,simple,10090,Mus musculus,GSM3597533,GEO,SRA848172,03,2020,Gobet,Liver,ZT04_AL_1_Periodate,Liver,C57BL/6,Liver,ZT04,Ad Libitum,NaCl,GSM3597539
SRR8557316,6363161,827210930,130,410,SRX5359026,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP185476,PRJNA521743,32295881,"",SRS4349668,SAMN10910471,simple,10090,Mus musculus,GSM3597533,GEO,SRA848172,03,2020,Gobet,Liver,ZT04_AL_1_Periodate,Liver,C57BL/6,Liver,ZT12,Ad Libitum,NaCl,GSM3597540
SRR8557317,7013320,911731600,130,452,SRX5359027,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP185476,PRJNA521743,32295881,"",SRS4349669,SAMN10910470,simple,10090,Mus musculus,GSM3597534,GEO,SRA848172,03,2020,Gobet,Liver,ZT12_AL_1_Periodate,Liver,C57BL/6,Liver,ZT18,Ad Libitum,NaCl,GSM3597541
SRR8557318,6804186,884544180,130,436,SRX5359027,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP185476,PRJNA521743,32295881,"",SRS4349669,SAMN10910470,simple,10090,Mus musculus,GSM3597534,GEO,SRA848172,03,2020,Gobet,Liver,ZT12_AL_1_Periodate,Liver,C57BL/6,Liver,ZT04,Fasted,NaCl,GSM3597542
SRR8557319,6258352,813585760,130,405,SRX5359028,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP185476,PRJNA521743,32295881,"",SRS4349670,SAMN10910477,simple,10090,Mus musculus,GSM3597535,GEO,SRA848172,03,2020,Gobet,Liver,ZT18_AL_1_Periodate,Liver,C57BL/6,Liver,ZT12,Fasted,NaCl,GSM3597543
SRR8557320,6088958,791564540,130,392,SRX5359028,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP185476,PRJNA521743,32295881,"",SRS4349670,SAMN10910477,simple,10090,Mus musculus,GSM3597535,GEO,SRA848172,03,2020,Gobet,Liver,ZT18_AL_1_Periodate,Liver,C57BL/6,Liver,ZT18,Fasted,NaCl,GSM3597544
SRR8557321,6175689,802839570,130,401,SRX5359029,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP185476,PRJNA521743,32295881,"",SRS4349671,SAMN10910469,simple,10090,Mus musculus,GSM3597536,GEO,SRA848172,03,2020,Gobet,Liver,ZT04_ST_1_Periodate,Liver,C57BL/6,Liver,ZT04,Ad Libitum,NaIO4,GSM3597545
SRR8557322,5993800,779194000,130,388,SRX5359029,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP185476,PRJNA521743,32295881,"",SRS4349671,SAMN10910469,simple,10090,Mus musculus,GSM3597536,GEO,SRA848172,03,2020,Gobet,Liver,ZT04_ST_1_Periodate,Liver,C57BL/6,Liver,ZT12,Ad Libitum,NaIO4,GSM3597546
SRR8557323,5821233,756760290,130,378,SRX5359030,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP185476,PRJNA521743,32295881,"",SRS4349672,SAMN10910468,simple,10090,Mus musculus,GSM3597537,GEO,SRA848172,03,2020,Gobet,Liver,ZT12_ST_1_Periodate,Liver,C57BL/6,Liver,ZT18,Ad Libitum,NaIO4,GSM3597547
SRR8557324,5665636,736532680,130,366,SRX5359030,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP185476,PRJNA521743,32295881,"",SRS4349672,SAMN10910468,simple,10090,Mus musculus,GSM3597537,GEO,SRA848172,03,2020,Gobet,Liver,ZT12_ST_1_Periodate,Liver,C57BL/6,Liver,ZT04,Fasted,NaIO4,GSM3597548
SRR8557325,5980093,777412090,130,386,SRX5359031,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP185476,PRJNA521743,32295881,"",SRS4349673,SAMN10910467,simple,10090,Mus musculus,GSM3597538,GEO,SRA848172,03,2020,Gobet,Liver,ZT18_ST_1_Periodate,Liver,C57BL/6,Liver,ZT12,Fasted,NaIO4,GSM3597549
SRR8557326,5808426,755095380,130,373,SRX5359031,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP185476,PRJNA521743,32295881,"",SRS4349673,SAMN10910467,simple,10090,Mus musculus,GSM3597538,GEO,SRA848172,03,2020,Gobet,Liver,ZT18_ST_1_Periodate,Liver,C57BL/6,Liver,ZT18,Fasted,NaIO4,GSM3597550
SRR8557327,6292042,817965460,130,406,SRX5359032,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP185476,PRJNA521743,32295881,"",SRS4349674,SAMN10910459,simple,10090,Mus musculus,GSM3597539,GEO,SRA848172,03,2020,Gobet,Liver,ZT04_AL_2_NaCl,Liver,C57BL/6,Liver,ZT04,Ad Libitum,NaCl,GSM3597527
SRR8557328,6107732,794005160,130,392,SRX5359032,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP185476,PRJNA521743,32295881,"",SRS4349674,SAMN10910459,simple,10090,Mus musculus,GSM3597539,GEO,SRA848172,03,2020,Gobet,Liver,ZT04_AL_2_NaCl,Liver,C57BL/6,Liver,ZT12,Ad Libitum,NaCl,GSM3597528
SRR8557329,6687897,869426610,130,432,SRX5359033,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP185476,PRJNA521743,32295881,"",SRS4349675,SAMN10910458,simple,10090,Mus musculus,GSM3597540,GEO,SRA848172,03,2020,Gobet,Liver,ZT12_AL_2_NaCl,Liver,C57BL/6,Liver,ZT18,Ad Libitum,NaCl,GSM3597529
SRR8557330,6500055,845007150,130,418,SRX5359033,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP185476,PRJNA521743,32295881,"",SRS4349675,SAMN10910458,simple,10090,Mus musculus,GSM3597540,GEO,SRA848172,03,2020,Gobet,Liver,ZT12_AL_2_NaCl,Liver,C57BL/6,Liver,ZT04,Fasted,NaCl,GSM3597530
SRR8557331,6320581,821675530,130,407,SRX5359034,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP185476,PRJNA521743,32295881,"",SRS4349676,SAMN10910457,simple,10090,Mus musculus,GSM3597541,GEO,SRA848172,03,2020,Gobet,Liver,ZT18_AL_2_NaCl,Liver,C57BL/6,Liver,ZT12,Fasted,NaCl,GSM3597531
SRR8557332,6144219,798748470,130,394,SRX5359034,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP185476,PRJNA521743,32295881,"",SRS4349676,SAMN10910457,simple,10090,Mus musculus,GSM3597541,GEO,SRA848172,03,2020,Gobet,Liver,ZT18_AL_2_NaCl,Liver,C57BL/6,Liver,ZT18,Fasted,NaCl,GSM3597532
SRR8557333,7237723,940903990,130,467,SRX5359035,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP185476,PRJNA521743,32295881,"",SRS4349677,SAMN10910456,simple,10090,Mus musculus,GSM3597542,GEO,SRA848172,03,2020,Gobet,Liver,ZT04_ST_2_NaCl,Liver,C57BL/6,Liver,ZT04,Ad Libitum,NaIO4,GSM3597533
SRR8557334,7028600,913718000,130,451,SRX5359035,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP185476,PRJNA521743,32295881,"",SRS4349677,SAMN10910456,simple,10090,Mus musculus,GSM3597542,GEO,SRA848172,03,2020,Gobet,Liver,ZT04_ST_2_NaCl,Liver,C57BL/6,Liver,ZT12,Ad Libitum,NaIO4,GSM3597534
SRR8557335,5946894,773096220,130,383,SRX5359036,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP185476,PRJNA521743,32295881,"",SRS4349678,SAMN10910455,simple,10090,Mus musculus,GSM3597543,GEO,SRA848172,03,2020,Gobet,Liver,ZT12_ST_2_NaCl,Liver,C57BL/6,Liver,ZT18,Ad Libitum,NaIO4,GSM3597535
SRR8557336,5791470,752891100,130,371,SRX5359036,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP185476,PRJNA521743,32295881,"",SRS4349678,SAMN10910455,simple,10090,Mus musculus,GSM3597543,GEO,SRA848172,03,2020,Gobet,Liver,ZT12_ST_2_NaCl,Liver,C57BL/6,Liver,ZT04,Fasted,NaIO4,GSM3597536
SRR8557337,5379948,699393240,130,348,SRX5359037,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP185476,PRJNA521743,32295881,"",SRS4349679,SAMN10910454,simple,10090,Mus musculus,GSM3597544,GEO,SRA848172,03,2020,Gobet,Liver,ZT18_ST_2_NaCl,Liver,C57BL/6,Liver,ZT12,Fasted,NaIO4,GSM3597537
SRR8557338,5241733,681425290,130,338,SRX5359037,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP185476,PRJNA521743,32295881,"",SRS4349679,SAMN10910454,simple,10090,Mus musculus,GSM3597544,GEO,SRA848172,03,2020,Gobet,Liver,ZT18_ST_2_NaCl,Liver,C57BL/6,Liver,ZT18,Fasted,NaIO4,GSM3597538
SRR8557339,5560076,722809880,130,363,SRX5359038,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP185476,PRJNA521743,32295881,"",SRS4349680,SAMN10910453,simple,10090,Mus musculus,GSM3597545,GEO,SRA848172,03,2020,Gobet,Liver,ZT04_AL_2_Periodate,Liver,C57BL/6,Liver,ZT04,Ad Libitum,NaCl,GSM3597539
SRR8557340,5412844,703669720,130,352,SRX5359038,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP185476,PRJNA521743,32295881,"",SRS4349680,SAMN10910453,simple,10090,Mus musculus,GSM3597545,GEO,SRA848172,03,2020,Gobet,Liver,ZT04_AL_2_Periodate,Liver,C57BL/6,Liver,ZT12,Ad Libitum,NaCl,GSM3597540
SRR8557341,5916589,769156570,130,386,SRX5359039,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP185476,PRJNA521743,32295881,"",SRS4349681,SAMN10910452,simple,10090,Mus musculus,GSM3597546,GEO,SRA848172,03,2020,Gobet,Liver,ZT12_AL_2_Periodate,Liver,C57BL/6,Liver,ZT18,Ad Libitum,NaCl,GSM3597541
SRR8557342,5767087,749721310,130,374,SRX5359039,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP185476,PRJNA521743,32295881,"",SRS4349681,SAMN10910452,simple,10090,Mus musculus,GSM3597546,GEO,SRA848172,03,2020,Gobet,Liver,ZT12_AL_2_Periodate,Liver,C57BL/6,Liver,ZT04,Fasted,NaCl,GSM3597542
SRR8557343,6367069,827718970,130,413,SRX5359040,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP185476,PRJNA521743,32295881,"",SRS4349682,SAMN10910451,simple,10090,Mus musculus,GSM3597547,GEO,SRA848172,03,2020,Gobet,Liver,ZT18_AL_2_Periodate,Liver,C57BL/6,Liver,ZT12,Fasted,NaCl,GSM3597543
SRR8557344,6204190,806544700,130,400,SRX5359040,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP185476,PRJNA521743,32295881,"",SRS4349682,SAMN10910451,simple,10090,Mus musculus,GSM3597547,GEO,SRA848172,03,2020,Gobet,Liver,ZT18_AL_2_Periodate,Liver,C57BL/6,Liver,ZT18,Fasted,NaCl,GSM3597544
SRR8557345,5866803,762684390,130,380,SRX5359041,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP185476,PRJNA521743,32295881,"",SRS4349683,SAMN10910450,simple,10090,Mus musculus,GSM3597548,GEO,SRA848172,03,2020,Gobet,Liver,ZT04_ST_2_Periodate,Liver,C57BL/6,Liver,ZT04,Ad Libitum,NaIO4,GSM3597545
SRR8557346,5706392,741830960,130,368,SRX5359041,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP185476,PRJNA521743,32295881,"",SRS4349683,SAMN10910450,simple,10090,Mus musculus,GSM3597548,GEO,SRA848172,03,2020,Gobet,Liver,ZT04_ST_2_Periodate,Liver,C57BL/6,Liver,ZT12,Ad Libitum,NaIO4,GSM3597546
SRR8557347,5707391,741960830,130,371,SRX5359042,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP185476,PRJNA521743,32295881,"",SRS4349684,SAMN10910449,simple,10090,Mus musculus,GSM3597549,GEO,SRA848172,03,2020,Gobet,Liver,ZT12_ST_2_Periodate,Liver,C57BL/6,Liver,ZT18,Ad Libitum,NaIO4,GSM3597547
SRR8557348,5561766,723029580,130,360,SRX5359042,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP185476,PRJNA521743,32295881,"",SRS4349684,SAMN10910449,simple,10090,Mus musculus,GSM3597549,GEO,SRA848172,03,2020,Gobet,Liver,ZT12_ST_2_Periodate,Liver,C57BL/6,Liver,ZT04,Fasted,NaIO4,GSM3597548
SRR8557349,6298563,818813190,130,411,SRX5359043,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP185476,PRJNA521743,32295881,"",SRS4349685,SAMN10910448,simple,10090,Mus musculus,GSM3597550,GEO,SRA848172,03,2020,Gobet,Liver,ZT18_ST_2_Periodate,Liver,C57BL/6,Liver,ZT12,Fasted,NaIO4,GSM3597549
SRR8557350,6133321,797331730,130,398,SRX5359043,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP185476,PRJNA521743,32295881,"",SRS4349685,SAMN10910448,simple,10090,Mus musculus,GSM3597550,GEO,SRA848172,03,2020,Gobet,Liver,ZT18_ST_2_Periodate,Liver,C57BL/6,Liver,ZT18,Fasted,NaIO4,GSM3597550
