Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,tissue,developmental stage,Sex,treatment
SRR20096791,22313787,4462757400,100,2962,SRX16132141,GSM6330078,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP386046,PRJNA858018,36371333,"",SRS13794163,SAMN29658522,simple,10090,Mus musculus,GSM6330078,McLean Hospital,SRA1453730,11,2022,Narendra,"Brain, Amygdala",Acute alcohol drinking-2nd batch [Acute5],"Brain, Amygdala",C57BL6/J,"Brain, Amygdala",Adult,female,Single access to 20% alcohol
SRR20096790,23007623,4601524600,100,3095,SRX16132142,GSM6330079,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP386046,PRJNA858018,36371333,"",SRS13794164,SAMN29658521,simple,10090,Mus musculus,GSM6330079,McLean Hospital,SRA1453730,11,2022,Narendra,"Brain, Amygdala",Chronic alcohol drinking-2nd batch [Chronic1],"Brain, Amygdala",C57BL6/J,"Brain, Amygdala",Adult,female,Every-other-day access to 20% alcohol for a month
SRR20096789,23058616,4611723200,100,3067,SRX16132143,GSM6330080,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP386046,PRJNA858018,36371333,"",SRS13794165,SAMN29658520,simple,10090,Mus musculus,GSM6330080,McLean Hospital,SRA1453730,11,2022,Narendra,"Brain, Amygdala",Chronic alcohol drinking-2nd batch [Chronic2],"Brain, Amygdala",C57BL6/J,"Brain, Amygdala",Adult,female,Every-other-day access to 20% alcohol for a month
SRR20096788,23035885,4607177000,100,3093,SRX16132144,GSM6330081,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP386046,PRJNA858018,36371333,"",SRS13794166,SAMN29658519,simple,10090,Mus musculus,GSM6330081,McLean Hospital,SRA1453730,11,2022,Narendra,"Brain, Amygdala",Chronic alcohol drinking-2nd batch [Chronic3],"Brain, Amygdala",C57BL6/J,"Brain, Amygdala",Adult,female,Every-other-day access to 20% alcohol for a month
SRR20096787,22939346,4587869200,100,3080,SRX16132145,GSM6330082,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP386046,PRJNA858018,36371333,"",SRS13794167,SAMN29658518,simple,10090,Mus musculus,GSM6330082,McLean Hospital,SRA1453730,11,2022,Narendra,"Brain, Amygdala",Chronic alcohol drinking-2nd batch [Chronic4],"Brain, Amygdala",C57BL6/J,"Brain, Amygdala",Adult,female,Every-other-day access to 20% alcohol for a month
SRR20096786,22944159,4588831800,100,3119,SRX16132146,GSM6330084,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP386046,PRJNA858018,36371333,"",SRS13794168,SAMN29658517,simple,10090,Mus musculus,GSM6330084,McLean Hospital,SRA1453730,11,2022,Narendra,"Brain, Amygdala",Chronic alcohol drinking-2nd batch [Chronic5],"Brain, Amygdala",C57BL6/J,"Brain, Amygdala",Adult,female,Every-other-day access to 20% alcohol for a month
SRR20096785,22328928,4465785600,100,2936,SRX16132147,GSM6330085,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP386046,PRJNA858018,36371333,"",SRS13794169,SAMN29658516,simple,10090,Mus musculus,GSM6330085,McLean Hospital,SRA1453730,11,2022,Narendra,"Brain, Amygdala",Chronic alcohol drinking-2nd batch [Chronic6],"Brain, Amygdala",C57BL6/J,"Brain, Amygdala",Adult,female,Every-other-day access to 20% alcohol for a month
SRR20096784,22314445,4462889000,100,2968,SRX16132148,GSM6330087,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP386046,PRJNA858018,36371333,"",SRS13794170,SAMN29658515,simple,10090,Mus musculus,GSM6330087,McLean Hospital,SRA1453730,11,2022,Narendra,"Brain, Amygdala",Water drinking-2nd batch [Water1],"Brain, Amygdala",C57BL6/J,"Brain, Amygdala",Adult,female,No access to alcohol
SRR20096783,22329923,4465984600,100,2965,SRX16132149,GSM6330089,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP386046,PRJNA858018,36371333,"",SRS13794171,SAMN29658514,simple,10090,Mus musculus,GSM6330089,McLean Hospital,SRA1453730,11,2022,Narendra,"Brain, Amygdala",Water drinking-2nd batch [Water2],"Brain, Amygdala",C57BL6/J,"Brain, Amygdala",Adult,female,No access to alcohol
SRR20096782,22323927,4464785400,100,2928,SRX16132150,GSM6330090,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP386046,PRJNA858018,36371333,"",SRS13794172,SAMN29658513,simple,10090,Mus musculus,GSM6330090,McLean Hospital,SRA1453730,11,2022,Narendra,"Brain, Amygdala",Water drinking-2nd batch [Water3],"Brain, Amygdala",C57BL6/J,"Brain, Amygdala",Adult,female,No access to alcohol
SRR20096781,22397539,4479507800,100,2925,SRX16132151,GSM6330091,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP386046,PRJNA858018,36371333,"",SRS13794173,SAMN29658512,simple,10090,Mus musculus,GSM6330091,McLean Hospital,SRA1453730,11,2022,Narendra,"Brain, Amygdala",Water drinking-2nd batch [Water4],"Brain, Amygdala",C57BL6/J,"Brain, Amygdala",Adult,female,No access to alcohol
SRR20096780,22226315,4445263000,100,2968,SRX16132152,GSM6330092,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP386046,PRJNA858018,36371333,"",SRS13794174,SAMN29658511,simple,10090,Mus musculus,GSM6330092,McLean Hospital,SRA1453730,11,2022,Narendra,"Brain, Amygdala",Water drinking-2nd batch [Water5],"Brain, Amygdala",C57BL6/J,"Brain, Amygdala",Adult,female,No access to alcohol
SRR20096779,22324859,4464971800,100,2961,SRX16132153,GSM6330093,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP386046,PRJNA858018,36371333,"",SRS13794175,SAMN29658510,simple,10090,Mus musculus,GSM6330093,McLean Hospital,SRA1453730,11,2022,Narendra,"Brain, Amygdala",Water drinking-2nd batch [Water6],"Brain, Amygdala",C57BL6/J,"Brain, Amygdala",Adult,female,No access to alcohol
