Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,plasmid,growth temperature,induction,treatment temperature,heat shock time,replicate,strain,substrain,GEO Accession
SRR5036068,7501336,750133600,100,405,SRX2360351,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP093644,PRJNA354388,29183994,"",SRS1808839,SAMN06040718,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM2396720,GEO,SRA496372,11,2016,Morgan,E. coli cultures,ecoli_k12_pBADsigma32wt_30C_f_3,E. coli cultures,pBADsigma32wt,30C,0.2% arabinose,30C,None,3,K-12,MG1655,GSM2396720
SRR5036069,23220150,2322015000,100,1244,SRX2360352,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP093644,PRJNA354388,29183994,"",SRS1808838,SAMN06040717,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM2396721,GEO,SRA496372,11,2016,Morgan,E. coli cultures,ecoli_k12_30C_m_1,E. coli cultures,None,30C,None,30C,0min,1,K-12,MG1655,GSM2396721
SRR5036070,17874120,1787412000,100,976,SRX2360353,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP093644,PRJNA354388,29183994,"",SRS1808841,SAMN06040716,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM2396722,GEO,SRA496372,11,2016,Morgan,E. coli cultures,ecoli_k12_30C_f_1,E. coli cultures,None,30C,None,30C,0min,1,K-12,MG1655,GSM2396722
SRR5036071,23656035,2365603500,100,1266,SRX2360354,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP093644,PRJNA354388,29183994,"",SRS1808840,SAMN06040715,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM2396723,GEO,SRA496372,11,2016,Morgan,E. coli cultures,ecoli_k12_42C_10min_m_1,E. coli cultures,None,30C,None,42C,10min,1,K-12,MG1655,GSM2396723
SRR5036072,27342474,2734247400,100,1483,SRX2360355,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP093644,PRJNA354388,29183994,"",SRS1808842,SAMN06040714,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM2396724,GEO,SRA496372,11,2016,Morgan,E. coli cultures,ecoli_k12_42C_10min_f_1,E. coli cultures,None,30C,None,42C,10min,1,K-12,MG1655,GSM2396724
SRR5036073,38311034,3831103400,100,2044,SRX2360356,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP093644,PRJNA354388,29183994,"",SRS1808843,SAMN06040713,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM2396725,GEO,SRA496372,11,2016,Morgan,E. coli cultures,ecoli_k12_42C_20min_m_1,E. coli cultures,None,30C,None,42C,20min,1,K-12,MG1655,GSM2396725
SRR5036074,23954413,2395441300,100,1294,SRX2360357,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP093644,PRJNA354388,29183994,"",SRS1808844,SAMN06040712,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM2396726,GEO,SRA496372,11,2016,Morgan,E. coli cultures,ecoli_k12_42C_20min_f_1,E. coli cultures,None,30C,None,42C,20min,1,K-12,MG1655,GSM2396726
SRR5036075,16452118,1645211800,100,932,SRX2360358,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP093644,PRJNA354388,29183994,"",SRS1808845,SAMN06040711,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM2396727,GEO,SRA496372,11,2016,Morgan,E. coli cultures,ecoli_k12_30C_m_2,E. coli cultures,None,30C,None,30C,0min,2,K-12,MG1655,GSM2396727
SRR5036076,13073666,1307366600,100,757,SRX2360359,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP093644,PRJNA354388,29183994,"",SRS1808846,SAMN06040710,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM2396728,GEO,SRA496372,11,2016,Morgan,E. coli cultures,ecoli_k12_30C_f_2,E. coli cultures,None,30C,None,30C,0min,2,K-12,MG1655,GSM2396728
SRR5036077,15211558,1521155800,100,856,SRX2360360,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP093644,PRJNA354388,29183994,"",SRS1808847,SAMN06040709,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM2396729,GEO,SRA496372,11,2016,Morgan,E. coli cultures,ecoli_k12_42C_10min_m_2,E. coli cultures,None,30C,None,42C,10min,2,K-12,MG1655,GSM2396729
SRR5036078,23429633,2342963300,100,1355,SRX2360361,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP093644,PRJNA354388,29183994,"",SRS1808849,SAMN06040708,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM2396730,GEO,SRA496372,11,2016,Morgan,E. coli cultures,ecoli_k12_42C_10min_f_2,E. coli cultures,None,30C,None,42C,10min,2,K-12,MG1655,GSM2396730
SRR5036079,14603069,1460306900,100,822,SRX2360362,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP093644,PRJNA354388,29183994,"",SRS1808848,SAMN06040707,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM2396731,GEO,SRA496372,11,2016,Morgan,E. coli cultures,ecoli_k12_42C_20min_m_2,E. coli cultures,None,30C,None,42C,20min,2,K-12,MG1655,GSM2396731
SRR5036080,23347017,2334701700,100,1302,SRX2360363,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP093644,PRJNA354388,29183994,"",SRS1808850,SAMN06040706,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM2396732,GEO,SRA496372,11,2016,Morgan,E. coli cultures,ecoli_k12_42C_20min_f_2,E. coli cultures,None,30C,None,42C,20min,2,K-12,MG1655,GSM2396732
SRR5036081,20383719,2038371900,100,1154,SRX2360364,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP093644,PRJNA354388,29183994,"",SRS1808851,SAMN06040705,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM2396733,GEO,SRA496372,11,2016,Morgan,E. coli cultures,ecoli_k12_30C_m_3,E. coli cultures,None,30C,None,30C,0min,3,K-12,MG1655,GSM2396733
SRR5036082,23634021,2363402100,100,1348,SRX2360365,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP093644,PRJNA354388,29183994,"",SRS1808852,SAMN06040704,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM2396734,GEO,SRA496372,11,2016,Morgan,E. coli cultures,ecoli_k12_30C_f_3,E. coli cultures,None,30C,None,30C,0min,3,K-12,MG1655,GSM2396734
SRR5036083,15140583,1514058300,100,853,SRX2360366,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP093644,PRJNA354388,29183994,"",SRS1808853,SAMN06040703,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM2396735,GEO,SRA496372,11,2016,Morgan,E. coli cultures,ecoli_k12_42C_10min_m_3,E. coli cultures,None,30C,None,42C,10min,3,K-12,MG1655,GSM2396735
SRR5036084,19893371,1989337100,100,1131,SRX2360367,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP093644,PRJNA354388,29183994,"",SRS1808854,SAMN06040702,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM2396736,GEO,SRA496372,11,2016,Morgan,E. coli cultures,ecoli_k12_42C_10min_f_3,E. coli cultures,None,30C,None,42C,10min,3,K-12,MG1655,GSM2396736
SRR5036085,16687715,1668771500,100,940,SRX2360368,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP093644,PRJNA354388,29183994,"",SRS1808855,SAMN06040701,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM2396737,GEO,SRA496372,11,2016,Morgan,E. coli cultures,ecoli_k12_42C_20min_m_3,E. coli cultures,None,30C,None,42C,20min,3,K-12,MG1655,GSM2396737
SRR5036086,24255510,2425551000,100,1365,SRX2360369,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP093644,PRJNA354388,29183994,"",SRS1808856,SAMN06040700,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM2396738,GEO,SRA496372,11,2016,Morgan,E. coli cultures,ecoli_k12_42C_20min_f_3,E. coli cultures,None,30C,None,42C,20min,3,K-12,MG1655,GSM2396738
SRR5036087,15116122,1511612200,100,843,SRX2360370,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP093644,PRJNA354388,29183994,"",SRS1808857,SAMN06040699,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM2396739,GEO,SRA496372,11,2016,Morgan,E. coli cultures,ecoli_k12_pBAD_30C_m_4,E. coli cultures,pBAD,30C,0.2% arabinose,30C,None,4,K-12,MG1655,GSM2396739
SRR5036088,11145558,1114555800,100,616,SRX2360371,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP093644,PRJNA354388,29183994,"",SRS1808858,SAMN06040734,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM2396740,GEO,SRA496372,11,2016,Morgan,E. coli cultures,ecoli_k12_pBAD_30C_f_4,E. coli cultures,pBAD,30C,0.2% arabinose,30C,None,4,K-12,MG1655,GSM2396740
SRR5036089,15420526,1542052600,100,854,SRX2360372,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP093644,PRJNA354388,29183994,"",SRS1808859,SAMN06040733,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM2396741,GEO,SRA496372,11,2016,Morgan,E. coli cultures,ecoli_k12_pBADsigma32I54N_30C_m_1,E. coli cultures,pBADsigma32I54N,30C,0.2% arabinose,30C,None,1,K-12,MG1655,GSM2396741
SRR5036090,12251437,1225143700,100,678,SRX2360373,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP093644,PRJNA354388,29183994,"",SRS1808860,SAMN06040732,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM2396742,GEO,SRA496372,11,2016,Morgan,E. coli cultures,ecoli_k12_pBADsigma32I54N_30C_f_1,E. coli cultures,pBADsigma32I54N,30C,0.2% arabinose,30C,None,1,K-12,MG1655,GSM2396742
SRR5036091,17148154,1714815400,100,945,SRX2360374,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP093644,PRJNA354388,29183994,"",SRS1808861,SAMN06040731,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM2396743,GEO,SRA496372,11,2016,Morgan,E. coli cultures,ecoli_k12_pBADsigma32I54N_30C_m_2,E. coli cultures,pBADsigma32I54N,30C,0.2% arabinose,30C,None,2,K-12,MG1655,GSM2396743
SRR5036092,12769231,1276923100,100,707,SRX2360375,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP093644,PRJNA354388,29183994,"",SRS1808862,SAMN06040730,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM2396744,GEO,SRA496372,11,2016,Morgan,E. coli cultures,ecoli_k12_pBADsigma32I54N_30C_f_2,E. coli cultures,pBADsigma32I54N,30C,0.2% arabinose,30C,None,2,K-12,MG1655,GSM2396744
