Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,age,assay,genotype,batch,GEO Accession
SRR10887281,55937482,2181561798,39,2340,SRX7556262,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP241934,PRJNA601197,1,"",SRS5993653,SAMN13855135,simple,10090,Mus musculus,GSM4271552,GEO,SRA1026317,11,2020,Makar,Mouse brain cortex,S19,Mouse brain cortex,brain cortex,P29-34,Ribosome profiling,WT,4,GSM4271552
SRR10887282,42188069,2151591519,51,717,SRX7556263,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP241934,PRJNA601197,1,"",SRS5993656,SAMN13855134,simple,10090,Mus musculus,GSM4271553,GEO,SRA1026317,11,2020,Makar,Mouse brain cortex,T1,Mouse brain cortex,brain cortex,P29-34,mRNA-seq (polyA isolated),WT,5,GSM4271553
SRR10887283,48412880,2469056880,51,826,SRX7556264,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP241934,PRJNA601197,1,"",SRS5993657,SAMN13855133,simple,10090,Mus musculus,GSM4271554,GEO,SRA1026317,11,2020,Makar,Mouse brain cortex,T2,Mouse brain cortex,brain cortex,P29-34,mRNA-seq (polyA isolated),FXS,5,GSM4271554
SRR10887284,41117380,2096986380,51,694,SRX7556265,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP241934,PRJNA601197,1,"",SRS5993658,SAMN13855132,simple,10090,Mus musculus,GSM4271555,GEO,SRA1026317,11,2020,Makar,Mouse brain cortex,T3,Mouse brain cortex,brain cortex,P29-34,mRNA-seq (polyA isolated),S6K1,5,GSM4271555
SRR10887285,42265089,2155519539,51,724,SRX7556266,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP241934,PRJNA601197,1,"",SRS5993662,SAMN13855167,simple,10090,Mus musculus,GSM4271556,GEO,SRA1026317,11,2020,Makar,Mouse brain cortex,T4,Mouse brain cortex,brain cortex,P29-34,mRNA-seq (polyA isolated),DKO,5,GSM4271556
SRR10887286,44331139,2260888089,51,756,SRX7556267,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP241934,PRJNA601197,1,"",SRS5993691,SAMN13855165,simple,10090,Mus musculus,GSM4271557,GEO,SRA1026317,11,2020,Makar,Mouse brain cortex,T5,Mouse brain cortex,brain cortex,P29-34,mRNA-seq (polyA isolated),WT,6,GSM4271557
SRR10887287,41567969,2119966419,51,703,SRX7556268,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP241934,PRJNA601197,1,"",SRS5993692,SAMN13855164,simple,10090,Mus musculus,GSM4271558,GEO,SRA1026317,11,2020,Makar,Mouse brain cortex,T6,Mouse brain cortex,brain cortex,P29-34,mRNA-seq (polyA isolated),FXS,6,GSM4271558
SRR10887288,43350988,2210900388,51,736,SRX7556269,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP241934,PRJNA601197,1,"",SRS5993695,SAMN13855163,simple,10090,Mus musculus,GSM4271559,GEO,SRA1026317,11,2020,Makar,Mouse brain cortex,T7,Mouse brain cortex,brain cortex,P29-34,mRNA-seq (polyA isolated),S6K1,6,GSM4271559
SRR10887289,46443933,2368640583,51,793,SRX7556270,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP241934,PRJNA601197,1,"",SRS5993660,SAMN13855162,simple,10090,Mus musculus,GSM4271560,GEO,SRA1026317,11,2020,Makar,Mouse brain cortex,T8,Mouse brain cortex,brain cortex,P29-34,mRNA-seq (polyA isolated),DKO,6,GSM4271560
SRR10887290,43904302,2239119402,51,750,SRX7556271,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP241934,PRJNA601197,1,"",SRS5993693,SAMN13855161,simple,10090,Mus musculus,GSM4271561,GEO,SRA1026317,11,2020,Makar,Mouse brain cortex,T9,Mouse brain cortex,brain cortex,P29-34,mRNA-seq (polyA isolated),WT,7,GSM4271561
SRR10887291,52411873,2673005523,51,897,SRX7556272,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP241934,PRJNA601197,1,"",SRS5993661,SAMN13855160,simple,10090,Mus musculus,GSM4271562,GEO,SRA1026317,11,2020,Makar,Mouse brain cortex,T10,Mouse brain cortex,brain cortex,P29-34,mRNA-seq (polyA isolated),FXS,7,GSM4271562
SRR10887292,38624508,1969849908,51,656,SRX7556273,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP241934,PRJNA601197,1,"",SRS5993659,SAMN13855159,simple,10090,Mus musculus,GSM4271563,GEO,SRA1026317,11,2020,Makar,Mouse brain cortex,T11,Mouse brain cortex,brain cortex,P29-34,mRNA-seq (polyA isolated),S6K1,7,GSM4271563
SRR10887293,43173493,2201848143,51,739,SRX7556274,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP241934,PRJNA601197,1,"",SRS5993663,SAMN13855158,simple,10090,Mus musculus,GSM4271564,GEO,SRA1026317,11,2020,Makar,Mouse brain cortex,T12,Mouse brain cortex,brain cortex,P29-34,mRNA-seq (polyA isolated),DKO,7,GSM4271564
SRR10887294,45562302,2323677402,51,782,SRX7556275,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP241934,PRJNA601197,1,"",SRS5993664,SAMN13855157,simple,10090,Mus musculus,GSM4271565,GEO,SRA1026317,11,2020,Makar,Mouse brain cortex,T13,Mouse brain cortex,brain cortex,P29-34,mRNA-seq (polyA isolated),WT,8,GSM4271565
SRR10887295,46047558,2348425458,51,787,SRX7556276,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP241934,PRJNA601197,1,"",SRS5993694,SAMN13855156,simple,10090,Mus musculus,GSM4271566,GEO,SRA1026317,11,2020,Makar,Mouse brain cortex,T14,Mouse brain cortex,brain cortex,P29-34,mRNA-seq (polyA isolated),FXS,8,GSM4271566
SRR10887296,46883516,2391059316,51,801,SRX7556277,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP241934,PRJNA601197,1,"",SRS5993666,SAMN13855155,simple,10090,Mus musculus,GSM4271567,GEO,SRA1026317,11,2020,Makar,Mouse brain cortex,T15,Mouse brain cortex,brain cortex,P29-34,mRNA-seq (polyA isolated),S6K1,8,GSM4271567
SRR10887297,51893237,2646555087,51,889,SRX7556278,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP241934,PRJNA601197,1,"",SRS5993665,SAMN13855154,simple,10090,Mus musculus,GSM4271568,GEO,SRA1026317,11,2020,Makar,Mouse brain cortex,T16,Mouse brain cortex,brain cortex,P29-34,mRNA-seq (polyA isolated),DKO,8,GSM4271568
