Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,ENA first public,ENA last update,External Id,INSDC center alias,INSDC center name,INSDC first public,INSDC last update,INSDC status,Submitter Id,broker name,common name,fraction,organism part,performer,replicate,replicate type,sample name,sex,used library?,developmental stage,Experimental Factor: organism,Experimental Factor: organism part,Experimental Factor: protocol
ERR2812340,176588839,9006030789,51,3465,ERX2819171,chicken_testis_ribo_1_s,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP111066,PRJEB28810,1,"",ERS2758362,SAMEA4939579,simple,9031,Gallus gallus,SAMEA4939579,"Center for Molecular Biology (ZMBH), Heidelberg University",ERA1612101,10,2019,Makar,"",chicken_testis_ribo_1,2019-03-31,2018-09-26,SAMEA4939579,"Center for Molecular Biology (ZMBH), Heidelberg University","Center for Molecular Biology (ZMBH), Heidelberg University",2019-03-31T17:01:56Z,2018-09-26T15:25:59Z,public,E-MTAB-7247:chicken_testis_ribo_1,ArrayExpress,chicken,ribosome-protected fragments 26-34nt,testis,"Lausanne Genomic Technologies Facility, Lausanne, Switzerland",1,biological replicate,E-MTAB-7247:chicken_testis_ribo_1,male,yes,,Gallus gallus,testis,Ribo-seq
ERR2812341,118024647,6019256997,51,4992,ERX2819172,chicken_testis_ribo_2_s,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP111066,PRJEB28810,1,"",ERS2758363,SAMEA4939580,simple,9031,Gallus gallus,SAMEA4939580,"Center for Molecular Biology (ZMBH), Heidelberg University",ERA1612101,10,2019,Makar,"",chicken_testis_ribo_2,2019-03-31,2018-09-26,SAMEA4939580,"Center for Molecular Biology (ZMBH), Heidelberg University","Center for Molecular Biology (ZMBH), Heidelberg University",2019-03-31T17:01:56Z,2018-09-26T15:25:59Z,public,E-MTAB-7247:chicken_testis_ribo_2,ArrayExpress,chicken,ribosome-protected fragments 26-34nt,testis,"Lausanne Genomic Technologies Facility, Lausanne, Switzerland",2,biological replicate,E-MTAB-7247:chicken_testis_ribo_2,male,yes,,Gallus gallus,testis,Ribo-seq
ERR2812342,165667943,16732462243,101,9479,ERX2819173,chicken_testis_ribo_3_s,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP111066,PRJEB28810,1,"",ERS2758364,SAMEA4939581,simple,9031,Gallus gallus,SAMEA4939581,"Center for Molecular Biology (ZMBH), Heidelberg University",ERA1612101,10,2019,Makar,"",chicken_testis_ribo_3,2019-03-31,2018-09-26,SAMEA4939581,"Center for Molecular Biology (ZMBH), Heidelberg University","Center for Molecular Biology (ZMBH), Heidelberg University",2019-03-31T17:01:56Z,2018-09-26T15:25:59Z,public,E-MTAB-7247:chicken_testis_ribo_3,ArrayExpress,chicken,ribosome-protected fragments 26-34nt,testis,"Lausanne Genomic Technologies Facility, Lausanne, Switzerland",3,biological replicate,E-MTAB-7247:chicken_testis_ribo_3,male,yes,,Gallus gallus,testis,Ribo-seq
ERR2812343,69052194,3521661894,51,1302,ERX2819174,chicken_testis_rna_1_s,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP111066,PRJEB28810,1,"",ERS2758365,SAMEA4939582,simple,9031,Gallus gallus,SAMEA4939582,"Center for Molecular Biology (ZMBH), Heidelberg University",ERA1612101,10,2019,Makar,"",chicken_testis_rna_1,2019-03-31,2018-09-26,SAMEA4939582,"Center for Molecular Biology (ZMBH), Heidelberg University","Center for Molecular Biology (ZMBH), Heidelberg University",2019-03-31T17:01:56Z,2018-09-26T15:25:59Z,public,E-MTAB-7247:chicken_testis_rna_1,ArrayExpress,chicken,rRNA-depleted total RNA,testis,"Lausanne Genomic Technologies Facility, Lausanne, Switzerland",1,biological replicate,E-MTAB-7247:chicken_testis_rna_1,male,yes,,Gallus gallus,testis,RNA-seq
ERR2812344,85519139,4361476089,51,3604,ERX2819175,chicken_testis_rna_2_s,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP111066,PRJEB28810,1,"",ERS2758366,SAMEA4939583,simple,9031,Gallus gallus,SAMEA4939583,"Center for Molecular Biology (ZMBH), Heidelberg University",ERA1612101,10,2019,Makar,"",chicken_testis_rna_2,2019-03-31,2018-09-26,SAMEA4939583,"Center for Molecular Biology (ZMBH), Heidelberg University","Center for Molecular Biology (ZMBH), Heidelberg University",2019-03-31T17:01:56Z,2018-09-26T15:25:59Z,public,E-MTAB-7247:chicken_testis_rna_2,ArrayExpress,chicken,rRNA-depleted total RNA,testis,"Lausanne Genomic Technologies Facility, Lausanne, Switzerland",2,biological replicate,E-MTAB-7247:chicken_testis_rna_2,male,yes,,Gallus gallus,testis,RNA-seq
ERR2812345,113102856,6562023606,58,5093,ERX2819176,chicken_testis_rna_3_s,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP111066,PRJEB28810,1,"",ERS2758367,SAMEA4939584,simple,9031,Gallus gallus,SAMEA4939584,"Center for Molecular Biology (ZMBH), Heidelberg University",ERA1612101,10,2019,Makar,"",chicken_testis_rna_3,2019-03-31,2018-09-26,SAMEA4939584,"Center for Molecular Biology (ZMBH), Heidelberg University","Center for Molecular Biology (ZMBH), Heidelberg University",2019-03-31T17:01:56Z,2018-09-26T15:25:59Z,public,E-MTAB-7247:chicken_testis_rna_3,ArrayExpress,chicken,rRNA-depleted total RNA,testis,"Lausanne Genomic Technologies Facility, Lausanne, Switzerland",3,biological replicate,E-MTAB-7247:chicken_testis_rna_3,male,yes,,Gallus gallus,testis,RNA-seq
ERR2812346,137254501,7227895301,52,5850,ERX2819177,human_brain_ribo_1_s,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP111066,PRJEB28810,1,"",ERS2758368,SAMEA4939585,simple,9606,Homo sapiens,SAMEA4939585,"Center for Molecular Biology (ZMBH), Heidelberg University",ERA1612101,10,2019,Makar,"",human_brain_ribo_1,2019-03-31,2018-09-26,SAMEA4939585,"Center for Molecular Biology (ZMBH), Heidelberg University","Center for Molecular Biology (ZMBH), Heidelberg University",2019-03-31T17:01:56Z,2018-09-26T15:25:59Z,public,E-MTAB-7247:human_brain_ribo_1,ArrayExpress,human,ribosome-protected fragments 26-34nt,brain,"Lausanne Genomic Technologies Facility, Lausanne, Switzerland",1,biological replicate,E-MTAB-7247:human_brain_ribo_1,male,yes,,Homo sapiens,brain,Ribo-seq
ERR2812347,128933037,13022236737,101,7395,ERX2819178,human_brain_ribo_2_s,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP111066,PRJEB28810,1,"",ERS2758369,SAMEA4939586,simple,9606,Homo sapiens,SAMEA4939586,"Center for Molecular Biology (ZMBH), Heidelberg University",ERA1612101,10,2019,Makar,"",human_brain_ribo_2,2019-03-31,2018-09-26,SAMEA4939586,"Center for Molecular Biology (ZMBH), Heidelberg University","Center for Molecular Biology (ZMBH), Heidelberg University",2019-03-31T17:01:56Z,2018-09-26T15:25:59Z,public,E-MTAB-7247:human_brain_ribo_2,ArrayExpress,human,ribosome-protected fragments 26-34nt,brain,"Lausanne Genomic Technologies Facility, Lausanne, Switzerland",2,biological replicate,E-MTAB-7247:human_brain_ribo_2,male,yes,,Homo sapiens,brain,Ribo-seq
ERR2812348,100851545,6500597745,64,4976,ERX2819179,human_brain_ribo_3_s,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP111066,PRJEB28810,1,"",ERS2758370,SAMEA4939587,simple,9606,Homo sapiens,SAMEA4939587,"Center for Molecular Biology (ZMBH), Heidelberg University",ERA1612101,10,2019,Makar,"",human_brain_ribo_3,2019-03-31,2018-09-26,SAMEA4939587,"Center for Molecular Biology (ZMBH), Heidelberg University","Center for Molecular Biology (ZMBH), Heidelberg University",2019-03-31T17:01:56Z,2018-09-26T15:25:59Z,public,E-MTAB-7247:human_brain_ribo_3,ArrayExpress,human,ribosome-protected fragments 26-34nt,brain,"Lausanne Genomic Technologies Facility, Lausanne, Switzerland",3,biological replicate,E-MTAB-7247:human_brain_ribo_3,male,yes,,Homo sapiens,brain,Ribo-seq
ERR2812349,143280817,11399369767,79,7492,ERX2819180,human_brain_rna_1_s,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP111066,PRJEB28810,1,"",ERS2758371,SAMEA4939588,simple,9606,Homo sapiens,SAMEA4939588,"Center for Molecular Biology (ZMBH), Heidelberg University",ERA1612101,10,2019,Makar,"",human_brain_rna_1,2019-03-31,2018-09-26,SAMEA4939588,"Center for Molecular Biology (ZMBH), Heidelberg University","Center for Molecular Biology (ZMBH), Heidelberg University",2019-03-31T17:01:56Z,2018-09-26T15:25:59Z,public,E-MTAB-7247:human_brain_rna_1,ArrayExpress,human,rRNA-depleted total RNA,brain,"Lausanne Genomic Technologies Facility, Lausanne, Switzerland",1,biological replicate,E-MTAB-7247:human_brain_rna_1,male,yes,,Homo sapiens,brain,RNA-seq
ERR2812350,184754599,18660214499,101,10806,ERX2819181,human_brain_rna_2_s,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP111066,PRJEB28810,1,"",ERS2758372,SAMEA4939589,simple,9606,Homo sapiens,SAMEA4939589,"Center for Molecular Biology (ZMBH), Heidelberg University",ERA1612101,10,2019,Makar,"",human_brain_rna_2,2019-03-31,2018-09-26,SAMEA4939589,"Center for Molecular Biology (ZMBH), Heidelberg University","Center for Molecular Biology (ZMBH), Heidelberg University",2019-03-31T17:01:56Z,2018-09-26T15:25:59Z,public,E-MTAB-7247:human_brain_rna_2,ArrayExpress,human,rRNA-depleted total RNA,brain,"Lausanne Genomic Technologies Facility, Lausanne, Switzerland",2,biological replicate,E-MTAB-7247:human_brain_rna_2,male,yes,,Homo sapiens,brain,RNA-seq
ERR2812351,185070318,16888971868,91,10498,ERX2819182,human_brain_rna_3_s,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP111066,PRJEB28810,1,"",ERS2758373,SAMEA4939590,simple,9606,Homo sapiens,SAMEA4939590,"Center for Molecular Biology (ZMBH), Heidelberg University",ERA1612101,10,2019,Makar,"",human_brain_rna_3,2019-03-31,2018-09-26,SAMEA4939590,"Center for Molecular Biology (ZMBH), Heidelberg University","Center for Molecular Biology (ZMBH), Heidelberg University",2019-03-31T17:01:56Z,2018-09-26T15:25:59Z,public,E-MTAB-7247:human_brain_rna_3,ArrayExpress,human,rRNA-depleted total RNA,brain,"Lausanne Genomic Technologies Facility, Lausanne, Switzerland",3,biological replicate,E-MTAB-7247:human_brain_rna_3,male,yes,,Homo sapiens,brain,RNA-seq
ERR2812352,58442622,5902704822,101,3532,ERX2819183,human_liver_ribo_1_s,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP111066,PRJEB28810,1,"",ERS2758374,SAMEA4939591,simple,9606,Homo sapiens,SAMEA4939591,"Center for Molecular Biology (ZMBH), Heidelberg University",ERA1612101,10,2019,Makar,"",human_liver_ribo_1,2019-03-31,2018-09-26,SAMEA4939591,"Center for Molecular Biology (ZMBH), Heidelberg University","Center for Molecular Biology (ZMBH), Heidelberg University",2019-03-31T17:01:56Z,2018-09-26T15:25:59Z,public,E-MTAB-7247:human_liver_ribo_1,ArrayExpress,human,ribosome-protected fragments 26-34nt,liver,"Lausanne Genomic Technologies Facility, Lausanne, Switzerland",1,biological replicate,E-MTAB-7247:human_liver_ribo_1,male,yes,,Homo sapiens,liver,Ribo-seq
ERR2812353,114729720,11587701720,101,6588,ERX2819184,human_liver_ribo_2_s,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP111066,PRJEB28810,1,"",ERS2758375,SAMEA4939592,simple,9606,Homo sapiens,SAMEA4939592,"Center for Molecular Biology (ZMBH), Heidelberg University",ERA1612101,10,2019,Makar,"",human_liver_ribo_2,2019-03-31,2018-09-26,SAMEA4939592,"Center for Molecular Biology (ZMBH), Heidelberg University","Center for Molecular Biology (ZMBH), Heidelberg University",2019-03-31T17:01:56Z,2018-09-26T15:25:59Z,public,E-MTAB-7247:human_liver_ribo_2,ArrayExpress,human,ribosome-protected fragments 26-34nt,liver,"Lausanne Genomic Technologies Facility, Lausanne, Switzerland",2,biological replicate,E-MTAB-7247:human_liver_ribo_2,male,yes,,Homo sapiens,liver,Ribo-seq
ERR2812354,186609331,18847542431,101,10808,ERX2819185,human_liver_ribo_3_s,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP111066,PRJEB28810,1,"",ERS2758376,SAMEA4939593,simple,9606,Homo sapiens,SAMEA4939593,"Center for Molecular Biology (ZMBH), Heidelberg University",ERA1612101,10,2019,Makar,"",human_liver_ribo_3,2019-03-31,2018-09-26,SAMEA4939593,"Center for Molecular Biology (ZMBH), Heidelberg University","Center for Molecular Biology (ZMBH), Heidelberg University",2019-03-31T17:01:56Z,2018-09-26T15:25:59Z,public,E-MTAB-7247:human_liver_ribo_3,ArrayExpress,human,ribosome-protected fragments 26-34nt,liver,"Lausanne Genomic Technologies Facility, Lausanne, Switzerland",3,biological replicate,E-MTAB-7247:human_liver_ribo_3,female,yes,,Homo sapiens,liver,Ribo-seq
ERR2812355,212559682,21468527882,101,12441,ERX2819186,human_liver_rna_1_s,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP111066,PRJEB28810,1,"",ERS2758377,SAMEA4939594,simple,9606,Homo sapiens,SAMEA4939594,"Center for Molecular Biology (ZMBH), Heidelberg University",ERA1612101,10,2019,Makar,"",human_liver_rna_1,2019-03-31,2018-09-26,SAMEA4939594,"Center for Molecular Biology (ZMBH), Heidelberg University","Center for Molecular Biology (ZMBH), Heidelberg University",2019-03-31T17:01:56Z,2018-09-26T15:25:59Z,public,E-MTAB-7247:human_liver_rna_1,ArrayExpress,human,rRNA-depleted total RNA,liver,"Lausanne Genomic Technologies Facility, Lausanne, Switzerland",1,biological replicate,E-MTAB-7247:human_liver_rna_1,male,yes,,Homo sapiens,liver,RNA-seq
ERR2812356,229271493,23156420793,101,13204,ERX2819187,human_liver_rna_2_s,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP111066,PRJEB28810,1,"",ERS2758378,SAMEA4939595,simple,9606,Homo sapiens,SAMEA4939595,"Center for Molecular Biology (ZMBH), Heidelberg University",ERA1612101,10,2019,Makar,"",human_liver_rna_2,2019-03-31,2018-09-26,SAMEA4939595,"Center for Molecular Biology (ZMBH), Heidelberg University","Center for Molecular Biology (ZMBH), Heidelberg University",2019-03-31T17:01:56Z,2018-09-26T15:25:59Z,public,E-MTAB-7247:human_liver_rna_2,ArrayExpress,human,rRNA-depleted total RNA,liver,"Lausanne Genomic Technologies Facility, Lausanne, Switzerland",2,biological replicate,E-MTAB-7247:human_liver_rna_2,male,no,,Homo sapiens,liver,RNA-seq
