Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,age,genotype,treatment,tissue,antibody,GEO Accession
SRR12749393,32058335,2391680034,74,833,SRX9221372,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP285942,PRJNA666681,33299180,"",SRS7455074,SAMN16320142,simple,10090,Mus musculus,GSM4811954,GEO,SRA1136344,10,2020,Yap,CaMK2a_KA_input,CaMK2a_KA_input_biorep1,CaMK2a_KA_input,C57BL/6,3-4 weeks,CaMK2a-Cre/+; LSL-Rpl22-HA/+,6-hour kainic acid,CA1 region of hippocampus,none,GSM4811954
SRR12749406,38738206,2891657730,74,1067,SRX9221385,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP285942,PRJNA666681,33299180,"",SRS7455087,SAMN16320161,simple,10090,Mus musculus,GSM4811967,GEO,SRA1136344,10,2020,Yap,PV_KA_input,PV_KA_input_biorep2,PV_KA_input,C57BL/6,3-4 weeks,PV-Cre/+; LSL-Rpl22-HA/+,6-hour kainic acid,CA1 region of hippocampus,none,GSM4811967
SRR12749407,28226263,2106891800,74,779,SRX9221386,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP285942,PRJNA666681,33299180,"",SRS7455088,SAMN16320160,simple,10090,Mus musculus,GSM4811968,GEO,SRA1136344,10,2020,Yap,PV_KA_input,PV_KA_input_biorep3,PV_KA_input,C57BL/6,3-4 weeks,PV-Cre/+; LSL-Rpl22-HA/+,6-hour kainic acid,CA1 region of hippocampus,none,GSM4811968
SRR12749408,43794858,3267443394,74,1112,SRX9221387,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP285942,PRJNA666681,33299180,"",SRS7455089,SAMN16320159,simple,10090,Mus musculus,GSM4811969,GEO,SRA1136344,10,2020,Yap,PV_KA_input,PV_KA_input_biorep4,PV_KA_input,C57BL/6,3-4 weeks,PV-Cre/+; LSL-Rpl22-HA/+,6-hour kainic acid,CA1 region of hippocampus,none,GSM4811969
SRR12749409,36630622,2733531538,74,1027,SRX9221388,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP285942,PRJNA666681,33299180,"",SRS7455090,SAMN16320158,simple,10090,Mus musculus,GSM4811970,GEO,SRA1136344,10,2020,Yap,PV_KA_IP,PV_KA_IP_biorep1,PV_KA_IP,C57BL/6,3-4 weeks,PV-Cre/+; LSL-Rpl22-HA/+,6-hour kainic acid,CA1 region of hippocampus,"anti-HA antibody (Sigma HA-7, H3663, 12 ug/IP)",GSM4811970
SRR12749410,34554309,2578464512,74,966,SRX9221389,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP285942,PRJNA666681,33299180,"",SRS7455091,SAMN16320157,simple,10090,Mus musculus,GSM4811971,GEO,SRA1136344,10,2020,Yap,PV_KA_IP,PV_KA_IP_biorep2,PV_KA_IP,C57BL/6,3-4 weeks,PV-Cre/+; LSL-Rpl22-HA/+,6-hour kainic acid,CA1 region of hippocampus,"anti-HA antibody (Sigma HA-7, H3663, 12 ug/IP)",GSM4811971
SRR12749411,34157584,2549100546,74,949,SRX9221390,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP285942,PRJNA666681,33299180,"",SRS7455092,SAMN16320156,simple,10090,Mus musculus,GSM4811972,GEO,SRA1136344,10,2020,Yap,PV_KA_IP,PV_KA_IP_biorep3,PV_KA_IP,C57BL/6,3-4 weeks,PV-Cre/+; LSL-Rpl22-HA/+,6-hour kainic acid,CA1 region of hippocampus,"anti-HA antibody (Sigma HA-7, H3663, 12 ug/IP)",GSM4811972
SRR12749412,45109661,3364891630,74,1158,SRX9221391,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP285942,PRJNA666681,33299180,"",SRS7455093,SAMN16320155,simple,10090,Mus musculus,GSM4811973,GEO,SRA1136344,10,2020,Yap,PV_KA_IP,PV_KA_IP_biorep4,PV_KA_IP,C57BL/6,3-4 weeks,PV-Cre/+; LSL-Rpl22-HA/+,6-hour kainic acid,CA1 region of hippocampus,"anti-HA antibody (Sigma HA-7, H3663, 12 ug/IP)",GSM4811973
SRR12749413,35633453,2659658820,74,980,SRX9221392,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP285942,PRJNA666681,33299180,"",SRS7455094,SAMN16320154,simple,10090,Mus musculus,GSM4811974,GEO,SRA1136344,10,2020,Yap,PV_Strd_input,PV_Strd_input_biorep1,PV_Strd_input,C57BL/6,3-4 weeks,PV-Cre/+; LSL-Rpl22-HA/+,6-hour PBS,CA1 region of hippocampus,none,GSM4811974
SRR12749414,37367428,2789028606,74,1027,SRX9221393,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP285942,PRJNA666681,33299180,"",SRS7455095,SAMN16320153,simple,10090,Mus musculus,GSM4811975,GEO,SRA1136344,10,2020,Yap,PV_Strd_input,PV_Strd_input_biorep2,PV_Strd_input,C57BL/6,3-4 weeks,PV-Cre/+; LSL-Rpl22-HA/+,6-hour PBS,CA1 region of hippocampus,none,GSM4811975
SRR12749415,34507857,2575706174,74,949,SRX9221394,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP285942,PRJNA666681,33299180,"",SRS7455096,SAMN16320152,simple,10090,Mus musculus,GSM4811976,GEO,SRA1136344,10,2020,Yap,PV_Strd_input,PV_Strd_input_biorep3,PV_Strd_input,C57BL/6,3-4 weeks,PV-Cre/+; LSL-Rpl22-HA/+,6-hour PBS,CA1 region of hippocampus,none,GSM4811976
SRR12749416,38179482,2848397871,74,972,SRX9221395,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP285942,PRJNA666681,33299180,"",SRS7455097,SAMN16320151,simple,10090,Mus musculus,GSM4811977,GEO,SRA1136344,10,2020,Yap,PV_Strd_input,PV_Strd_input_biorep4,PV_Strd_input,C57BL/6,3-4 weeks,PV-Cre/+; LSL-Rpl22-HA/+,6-hour PBS,CA1 region of hippocampus,none,GSM4811977
SRR12749417,34347875,2562785005,74,962,SRX9221396,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP285942,PRJNA666681,33299180,"",SRS7455098,SAMN16320150,simple,10090,Mus musculus,GSM4811978,GEO,SRA1136344,10,2020,Yap,PV_Strd_IP,PV_Strd_IP_biorep1,PV_Strd_IP,C57BL/6,3-4 weeks,PV-Cre/+; LSL-Rpl22-HA/+,6-hour PBS,CA1 region of hippocampus,"anti-HA antibody (Sigma HA-7, H3663, 12 ug/IP)",GSM4811978
SRR12749418,38704245,2887758020,74,1085,SRX9221397,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP285942,PRJNA666681,33299180,"",SRS7455099,SAMN16320149,simple,10090,Mus musculus,GSM4811979,GEO,SRA1136344,10,2020,Yap,PV_Strd_IP,PV_Strd_IP_biorep2,PV_Strd_IP,C57BL/6,3-4 weeks,PV-Cre/+; LSL-Rpl22-HA/+,6-hour PBS,CA1 region of hippocampus,"anti-HA antibody (Sigma HA-7, H3663, 12 ug/IP)",GSM4811979
SRR12749419,36891288,2752746586,74,1039,SRX9221398,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP285942,PRJNA666681,33299180,"",SRS7455100,SAMN16320148,simple,10090,Mus musculus,GSM4811980,GEO,SRA1136344,10,2020,Yap,PV_Strd_IP,PV_Strd_IP_biorep3,PV_Strd_IP,C57BL/6,3-4 weeks,PV-Cre/+; LSL-Rpl22-HA/+,6-hour PBS,CA1 region of hippocampus,"anti-HA antibody (Sigma HA-7, H3663, 12 ug/IP)",GSM4811980
SRR12749420,37430690,2791954151,74,963,SRX9221399,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP285942,PRJNA666681,33299180,"",SRS7455101,SAMN16320147,simple,10090,Mus musculus,GSM4811981,GEO,SRA1136344,10,2020,Yap,PV_Strd_IP,PV_Strd_IP_biorep4,PV_Strd_IP,C57BL/6,3-4 weeks,PV-Cre/+; LSL-Rpl22-HA/+,6-hour PBS,CA1 region of hippocampus,"anti-HA antibody (Sigma HA-7, H3663, 12 ug/IP)",GSM4811981
