Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,developmental stage,strain,GEO Accession
SRR2087771,18349862,2789179024,76,1580,SRX1081752,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP060373,PRJNA288987,1,"",SRS979501,SAMN03840622,simple,7955,Danio rerio,GSM1808908,GEO,SRA275803,07,2018,Makar,Whole embryos,2012-07-26_Dome,Whole embryos,1k cells,TL/AB,GSM1808907
SRR2087772,16022011,2435345672,76,1323,SRX1081752,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP060373,PRJNA288987,1,"",SRS979501,SAMN03840622,simple,7955,Danio rerio,GSM1808908,GEO,SRA275803,07,2018,Makar,Whole embryos,2012-07-26_Dome,Whole embryos,Dome,TL/AB,GSM1808908
SRR2087773,18804866,2858339632,76,1606,SRX1081753,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP060373,PRJNA288987,1,"",SRS979500,SAMN03840623,simple,7955,Danio rerio,GSM1808909,GEO,SRA275803,07,2018,Makar,Whole embryos,2012-07-26_Shield,Whole embryos,Shield,TL/AB,GSM1808909
SRR2087774,18542117,2818401784,76,1588,SRX1081753,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP060373,PRJNA288987,1,"",SRS979500,SAMN03840623,simple,7955,Danio rerio,GSM1808909,GEO,SRA275803,07,2018,Makar,Whole embryos,2012-07-26_Shield,Whole embryos,Bud,TL/AB,GSM1808910
SRR2087775,16741555,2544716360,76,1377,SRX1081753,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP060373,PRJNA288987,1,"",SRS979500,SAMN03840623,simple,7955,Danio rerio,GSM1808909,GEO,SRA275803,07,2018,Makar,Whole embryos,2012-07-26_Shield,Whole embryos,28 hours post fertilization,TL/AB,GSM1808911
SRR2087776,17524868,2663779936,76,1494,SRX1081754,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP060373,PRJNA288987,1,"",SRS979499,SAMN03840624,simple,7955,Danio rerio,GSM1808910,GEO,SRA275803,07,2018,Makar,Whole embryos,2012-07-26_Bud,Whole embryos,5 days post fertilization,TL/AB,GSM1808912
SRR2087777,17249317,2621896184,76,1476,SRX1081754,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP060373,PRJNA288987,1,"",SRS979499,SAMN03840624,simple,7955,Danio rerio,GSM1808910,GEO,SRA275803,07,2018,Makar,Whole embryos,2012-07-26_Bud,Whole embryos,2-4 cells,TL/AB,GSM1808905
SRR2087778,15554114,2364225328,76,1276,SRX1081754,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP060373,PRJNA288987,1,"",SRS979499,SAMN03840624,simple,7955,Danio rerio,GSM1808910,GEO,SRA275803,07,2018,Makar,Whole embryos,2012-07-26_Bud,Whole embryos,256 cells,TL/AB,GSM1808906
SRR2087779,18983655,2885515560,76,1620,SRX1081755,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP060373,PRJNA288987,1,"",SRS979498,SAMN03840625,simple,7955,Danio rerio,GSM1808911,GEO,SRA275803,07,2018,Makar,Whole embryos,2012-07-26_28hpf,Whole embryos,1k cells,TL/AB,GSM1808907
SRR2087780,18653892,2835391584,76,1596,SRX1081755,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP060373,PRJNA288987,1,"",SRS979498,SAMN03840625,simple,7955,Danio rerio,GSM1808911,GEO,SRA275803,07,2018,Makar,Whole embryos,2012-07-26_28hpf,Whole embryos,Dome,TL/AB,GSM1808908
SRR2087781,16881925,2566052600,76,1385,SRX1081755,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP060373,PRJNA288987,1,"",SRS979498,SAMN03840625,simple,7955,Danio rerio,GSM1808911,GEO,SRA275803,07,2018,Makar,Whole embryos,2012-07-26_28hpf,Whole embryos,Shield,TL/AB,GSM1808909
SRR2087782,18916058,2875240816,76,1620,SRX1081756,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP060373,PRJNA288987,1,"",SRS979497,SAMN03840626,simple,7955,Danio rerio,GSM1808912,GEO,SRA275803,07,2018,Makar,Whole embryos,2012-07-26_5dpf,Whole embryos,Bud,TL/AB,GSM1808910
SRR2087783,18620566,2830326032,76,1599,SRX1081756,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP060373,PRJNA288987,1,"",SRS979497,SAMN03840626,simple,7955,Danio rerio,GSM1808912,GEO,SRA275803,07,2018,Makar,Whole embryos,2012-07-26_5dpf,Whole embryos,28 hours post fertilization,TL/AB,GSM1808911
SRR2087784,16746687,2545496424,76,1378,SRX1081756,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP060373,PRJNA288987,1,"",SRS979497,SAMN03840626,simple,7955,Danio rerio,GSM1808912,GEO,SRA275803,07,2018,Makar,Whole embryos,2012-07-26_5dpf,Whole embryos,5 days post fertilization,TL/AB,GSM1808912
