Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,ecotype,age,dev_stage,geo_loc_name,tissue,biomaterial_provider,growth_protocol,treatment,stress_protocol,Replicate,BioSampleModel
SRR5724616,15310654,3092752108,101,1966,SRX2940529,BJP_317_9.1_EL60r60EL60_mRNAseq,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP109986,PRJNA391262,28705956,"",SRS2301670,SAMN07260171,simple,3701,Arabidopsis,BJP_317_9.1_EL60r60EL60,Australian National University,SRA578416,08,2017,Crisp,"",RRGD Timepoint IX - recovery 60 min + repeat excess-light 60 min,Col-0,23 days,1.09,Australia,rosette,"Pogson Lab, ARC Centre of Excellence in Plant Energy Biology, Australian National University, Canberra, Australia.","Col-0 plants were cultivated in soil under a 12-hour photoperiod, 100 (±25) _ mol photons m_2 s_1 photosynthetically active radiation [PAR] and 23/22¡C (±2¡C) day/night temperatures",Timepoint IX - recovery 60 min + repeat excess-light 60 min,"10 x growth irradiance PAR was applied for the specified time period, approximately 1000 _ mol photons m_2 s_1 using a temperature controlled Conviron chamber (21¡C, 55% humidity) fitted with 4 x 250W metal halide lamps and 4 x 250W high pressure sodium lamps.",1,Plant
SRR5724615,11432003,2309264606,101,1408,SRX2940530,BJP_317_9.2_EL60r60EL60_mRNAseq,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP109986,PRJNA391262,28705956,"",SRS2301672,SAMN07260172,simple,3701,Arabidopsis,BJP_317_9.2_EL60r60EL60,Australian National University,SRA578416,08,2017,Crisp,"",RRGD Timepoint IX - recovery 60 min + repeat excess-light 60 min,Col-0,23 days,1.09,Australia,rosette,"Pogson Lab, ARC Centre of Excellence in Plant Energy Biology, Australian National University, Canberra, Australia.","Col-0 plants were cultivated in soil under a 12-hour photoperiod, 100 (±25) _ mol photons m_2 s_1 photosynthetically active radiation [PAR] and 23/22¡C (±2¡C) day/night temperatures",Timepoint IX - recovery 60 min + repeat excess-light 60 min,"10 x growth irradiance PAR was applied for the specified time period, approximately 1000 _ mol photons m_2 s_1 using a temperature controlled Conviron chamber (21¡C, 55% humidity) fitted with 4 x 250W metal halide lamps and 4 x 250W high pressure sodium lamps.",2,Plant
SRR5724614,12525795,2530210590,101,1542,SRX2940531,BJP_317_9.3_EL60r60EL60_mRNAseq,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP109986,PRJNA391262,28705956,"",SRS2301671,SAMN07260173,simple,3701,Arabidopsis,BJP_317_9.3_EL60r60EL60,Australian National University,SRA578416,08,2017,Crisp,"",RRGD Timepoint IX - recovery 60 min + repeat excess-light 60 min,Col-0,23 days,1.09,Australia,rosette,"Pogson Lab, ARC Centre of Excellence in Plant Energy Biology, Australian National University, Canberra, Australia.","Col-0 plants were cultivated in soil under a 12-hour photoperiod, 100 (±25) _ mol photons m_2 s_1 photosynthetically active radiation [PAR] and 23/22¡C (±2¡C) day/night temperatures",Timepoint IX - recovery 60 min + repeat excess-light 60 min,"10 x growth irradiance PAR was applied for the specified time period, approximately 1000 _ mol photons m_2 s_1 using a temperature controlled Conviron chamber (21¡C, 55% humidity) fitted with 4 x 250W metal halide lamps and 4 x 250W high pressure sodium lamps.",3,Plant
SRR5724613,14807235,2991061470,101,1895,SRX2940532,BJP_317_10.1_EL60r24hr_mRNAseq,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP109986,PRJNA391262,28705956,"",SRS2301673,SAMN07260174,simple,3701,Arabidopsis,BJP_317_10.1_EL60r24hr,Australian National University,SRA578416,08,2017,Crisp,"",RRGD Timepoint X - recovery 24 hr,Col-0,24 days,1.09,Australia,rosette,"Pogson Lab, ARC Centre of Excellence in Plant Energy Biology, Australian National University, Canberra, Australia.","Col-0 plants were cultivated in soil under a 12-hour photoperiod, 100 (±25) _ mol photons m_2 s_1 photosynthetically active radiation [PAR] and 23/22¡C (±2¡C) day/night temperatures",Timepoint X - recovery 24 hr,"10 x growth irradiance PAR was applied for the specified time period, approximately 1000 _ mol photons m_2 s_1 using a temperature controlled Conviron chamber (21¡C, 55% humidity) fitted with 4 x 250W metal halide lamps and 4 x 250W high pressure sodium lamps.",1,Plant
SRR5724612,11647913,2352878426,101,1436,SRX2940533,BJP_317_7.3_EL60r30_mRNAseq,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP109986,PRJNA391262,28705956,"",SRS2301674,SAMN07260167,simple,3701,Arabidopsis,BJP_317_7.3_EL60r30,Australian National University,SRA578416,08,2017,Crisp,"",RRGD Timepoint VII - recovery 30 min,Col-0,23 days,1.09,Australia,rosette,"Pogson Lab, ARC Centre of Excellence in Plant Energy Biology, Australian National University, Canberra, Australia.","Col-0 plants were cultivated in soil under a 12-hour photoperiod, 100 (±25) _ mol photons m_2 s_1 photosynthetically active radiation [PAR] and 23/22¡C (±2¡C) day/night temperatures",Timepoint VII - recovery 30 min,"10 x growth irradiance PAR was applied for the specified time period, approximately 1000 _ mol photons m_2 s_1 using a temperature controlled Conviron chamber (21¡C, 55% humidity) fitted with 4 x 250W metal halide lamps and 4 x 250W high pressure sodium lamps.",3,Plant
SRR5724611,15176510,3065655020,101,1950,SRX2940534,BJP_317_8.1_EL60r60_mRNAseq,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP109986,PRJNA391262,28705956,"",SRS2301675,SAMN07260168,simple,3701,Arabidopsis,BJP_317_8.1_EL60r60,Australian National University,SRA578416,08,2017,Crisp,"",RRGD Timepoint VIII - recovery 60 min,Col-0,23 days,1.09,Australia,rosette,"Pogson Lab, ARC Centre of Excellence in Plant Energy Biology, Australian National University, Canberra, Australia.","Col-0 plants were cultivated in soil under a 12-hour photoperiod, 100 (±25) _ mol photons m_2 s_1 photosynthetically active radiation [PAR] and 23/22¡C (±2¡C) day/night temperatures",Timepoint VIII - recovery 60 min,"10 x growth irradiance PAR was applied for the specified time period, approximately 1000 _ mol photons m_2 s_1 using a temperature controlled Conviron chamber (21¡C, 55% humidity) fitted with 4 x 250W metal halide lamps and 4 x 250W high pressure sodium lamps.",1,Plant
SRR5724610,13315723,2689776046,101,1641,SRX2940535,BJP_317_8.2_EL60r60_mRNAseq,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP109986,PRJNA391262,28705956,"",SRS2301676,SAMN07260169,simple,3701,Arabidopsis,BJP_317_8.2_EL60r60,Australian National University,SRA578416,08,2017,Crisp,"",RRGD Timepoint VIII - recovery 60 min,Col-0,23 days,1.09,Australia,rosette,"Pogson Lab, ARC Centre of Excellence in Plant Energy Biology, Australian National University, Canberra, Australia.","Col-0 plants were cultivated in soil under a 12-hour photoperiod, 100 (±25) _ mol photons m_2 s_1 photosynthetically active radiation [PAR] and 23/22¡C (±2¡C) day/night temperatures",Timepoint VIII - recovery 60 min,"10 x growth irradiance PAR was applied for the specified time period, approximately 1000 _ mol photons m_2 s_1 using a temperature controlled Conviron chamber (21¡C, 55% humidity) fitted with 4 x 250W metal halide lamps and 4 x 250W high pressure sodium lamps.",2,Plant
SRR5724609,11688393,2361055386,101,1441,SRX2940536,BJP_317_8.3_EL60r60_mRNAseq,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP109986,PRJNA391262,28705956,"",SRS2301677,SAMN07260170,simple,3701,Arabidopsis,BJP_317_8.3_EL60r60,Australian National University,SRA578416,08,2017,Crisp,"",RRGD Timepoint VIII - recovery 60 min,Col-0,23 days,1.09,Australia,rosette,"Pogson Lab, ARC Centre of Excellence in Plant Energy Biology, Australian National University, Canberra, Australia.","Col-0 plants were cultivated in soil under a 12-hour photoperiod, 100 (±25) _ mol photons m_2 s_1 photosynthetically active radiation [PAR] and 23/22¡C (±2¡C) day/night temperatures",Timepoint VIII - recovery 60 min,"10 x growth irradiance PAR was applied for the specified time period, approximately 1000 _ mol photons m_2 s_1 using a temperature controlled Conviron chamber (21¡C, 55% humidity) fitted with 4 x 250W metal halide lamps and 4 x 250W high pressure sodium lamps.",3,Plant
SRR5724608,12503880,2525783760,101,1540,SRX2940537,BJP_317_10.2_EL60r24hr_mRNAseq,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP109986,PRJNA391262,28705956,"",SRS2301678,SAMN07260175,simple,3701,Arabidopsis,BJP_317_10.2_EL60r24hr,Australian National University,SRA578416,08,2017,Crisp,"",RRGD Timepoint X - recovery 24 hr,Col-0,24 days,1.09,Australia,rosette,"Pogson Lab, ARC Centre of Excellence in Plant Energy Biology, Australian National University, Canberra, Australia.","Col-0 plants were cultivated in soil under a 12-hour photoperiod, 100 (±25) _ mol photons m_2 s_1 photosynthetically active radiation [PAR] and 23/22¡C (±2¡C) day/night temperatures",Timepoint X - recovery 24 hr,"10 x growth irradiance PAR was applied for the specified time period, approximately 1000 _ mol photons m_2 s_1 using a temperature controlled Conviron chamber (21¡C, 55% humidity) fitted with 4 x 250W metal halide lamps and 4 x 250W high pressure sodium lamps.",2,Plant
SRR5724607,13446663,2716225926,101,1676,SRX2940538,BJP_317_10.3_EL60r24hr_mRNAseq,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP109986,PRJNA391262,28705956,"",SRS2301679,SAMN07260176,simple,3701,Arabidopsis,BJP_317_10.3_EL60r24hr,Australian National University,SRA578416,08,2017,Crisp,"",RRGD Timepoint X - recovery 24 hr,Col-0,24 days,1.09,Australia,rosette,"Pogson Lab, ARC Centre of Excellence in Plant Energy Biology, Australian National University, Canberra, Australia.","Col-0 plants were cultivated in soil under a 12-hour photoperiod, 100 (±25) _ mol photons m_2 s_1 photosynthetically active radiation [PAR] and 23/22¡C (±2¡C) day/night temperatures",Timepoint X - recovery 24 hr,"10 x growth irradiance PAR was applied for the specified time period, approximately 1000 _ mol photons m_2 s_1 using a temperature controlled Conviron chamber (21¡C, 55% humidity) fitted with 4 x 250W metal halide lamps and 4 x 250W high pressure sodium lamps.",3,Plant
SRR5724606,13477862,2722528124,101,1730,SRX2940539,BJP_317_4.1_EL120_mRNAseq,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP109986,PRJNA391262,28705956,"",SRS2301681,SAMN07260156,simple,3701,Arabidopsis,BJP_317_4.1_EL120,Australian National University,SRA578416,08,2017,Crisp,"",RRGD Timepoint IV - excess-light 120 min,Col-0,23 days,1.09,Australia,rosette,"Pogson Lab, ARC Centre of Excellence in Plant Energy Biology, Australian National University, Canberra, Australia.","Col-0 plants were cultivated in soil under a 12-hour photoperiod, 100 (±25) _ mol photons m_2 s_1 photosynthetically active radiation [PAR] and 23/22¡C (±2¡C) day/night temperatures",Timepoint IV - excess-light 120 min,"10 x growth irradiance PAR was applied for the specified time period, approximately 1000 _ mol photons m_2 s_1 using a temperature controlled Conviron chamber (21¡C, 55% humidity) fitted with 4 x 250W metal halide lamps and 4 x 250W high pressure sodium lamps.",1,Plant
SRR5724605,12085393,2441249386,101,1490,SRX2940540,BJP_317_3.3_EL60_mRNAseq,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP109986,PRJNA391262,28705956,"",SRS2301680,SAMN07260155,simple,3701,Arabidopsis,BJP_317_3.3_EL60,Australian National University,SRA578416,08,2017,Crisp,"",RRGD Timepoint III - excess-light 60 min,Col-0,23 days,1.09,Australia,rosette,"Pogson Lab, ARC Centre of Excellence in Plant Energy Biology, Australian National University, Canberra, Australia.","Col-0 plants were cultivated in soil under a 12-hour photoperiod, 100 (±25) _ mol photons m_2 s_1 photosynthetically active radiation [PAR] and 23/22¡C (±2¡C) day/night temperatures",Timepoint III - excess-light 60 min,"10 x growth irradiance PAR was applied for the specified time period, approximately 1000 _ mol photons m_2 s_1 using a temperature controlled Conviron chamber (21¡C, 55% humidity) fitted with 4 x 250W metal halide lamps and 4 x 250W high pressure sodium lamps.",3,Plant
SRR5724604,12208313,2466079226,101,1506,SRX2940541,BJP_317_2.3_EL30_mRNAseq,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP109986,PRJNA391262,28705956,"",SRS2301661,SAMN07260152,simple,3701,Arabidopsis,BJP_317_2.3_EL30,Australian National University,SRA578416,08,2017,Crisp,"",RRGD Timepoint II - excess-light 30 min,Col-0,23 days,1.09,Australia,rosette,"Pogson Lab, ARC Centre of Excellence in Plant Energy Biology, Australian National University, Canberra, Australia.","Col-0 plants were cultivated in soil under a 12-hour photoperiod, 100 (±25) _ mol photons m_2 s_1 photosynthetically active radiation [PAR] and 23/22¡C (±2¡C) day/night temperatures",Timepoint II - excess-light 30 min,"10 x growth irradiance PAR was applied for the specified time period, approximately 1000 _ mol photons m_2 s_1 using a temperature controlled Conviron chamber (21¡C, 55% humidity) fitted with 4 x 250W metal halide lamps and 4 x 250W high pressure sodium lamps.",3,Plant
SRR5724603,13195800,2665551600,101,1692,SRX2940542,BJP_317_2.2_EL30_mRNAseq,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP109986,PRJNA391262,28705956,"",SRS2301666,SAMN07260151,simple,3701,Arabidopsis,BJP_317_2.2_EL30,Australian National University,SRA578416,08,2017,Crisp,"",RRGD Timepoint II - excess-light 30 min,Col-0,23 days,1.09,Australia,rosette,"Pogson Lab, ARC Centre of Excellence in Plant Energy Biology, Australian National University, Canberra, Australia.","Col-0 plants were cultivated in soil under a 12-hour photoperiod, 100 (±25) _ mol photons m_2 s_1 photosynthetically active radiation [PAR] and 23/22¡C (±2¡C) day/night temperatures",Timepoint II - excess-light 30 min,"10 x growth irradiance PAR was applied for the specified time period, approximately 1000 _ mol photons m_2 s_1 using a temperature controlled Conviron chamber (21¡C, 55% humidity) fitted with 4 x 250W metal halide lamps and 4 x 250W high pressure sodium lamps.",2,Plant
SRR5724602,13970381,2822016962,101,1791,SRX2940543,BJP_317_3.2_EL60_mRNAseq,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP109986,PRJNA391262,28705956,"",SRS2301682,SAMN07260154,simple,3701,Arabidopsis,BJP_317_3.2_EL60,Australian National University,SRA578416,08,2017,Crisp,"",RRGD Timepoint III - excess-light 60 min,Col-0,23 days,1.09,Australia,rosette,"Pogson Lab, ARC Centre of Excellence in Plant Energy Biology, Australian National University, Canberra, Australia.","Col-0 plants were cultivated in soil under a 12-hour photoperiod, 100 (±25) _ mol photons m_2 s_1 photosynthetically active radiation [PAR] and 23/22¡C (±2¡C) day/night temperatures",Timepoint III - excess-light 60 min,"10 x growth irradiance PAR was applied for the specified time period, approximately 1000 _ mol photons m_2 s_1 using a temperature controlled Conviron chamber (21¡C, 55% humidity) fitted with 4 x 250W metal halide lamps and 4 x 250W high pressure sodium lamps.",2,Plant
SRR5724601,15729264,3177311328,101,2019,SRX2940544,BJP_317_3.1_EL60_mRNAseq,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP109986,PRJNA391262,28705956,"",SRS2301660,SAMN07260153,simple,3701,Arabidopsis,BJP_317_3.1_EL60,Australian National University,SRA578416,08,2017,Crisp,"",RRGD Timepoint III - excess-light 60 min,Col-0,23 days,1.09,Australia,rosette,"Pogson Lab, ARC Centre of Excellence in Plant Energy Biology, Australian National University, Canberra, Australia.","Col-0 plants were cultivated in soil under a 12-hour photoperiod, 100 (±25) _ mol photons m_2 s_1 photosynthetically active radiation [PAR] and 23/22¡C (±2¡C) day/night temperatures",Timepoint III - excess-light 60 min,"10 x growth irradiance PAR was applied for the specified time period, approximately 1000 _ mol photons m_2 s_1 using a temperature controlled Conviron chamber (21¡C, 55% humidity) fitted with 4 x 250W metal halide lamps and 4 x 250W high pressure sodium lamps.",1,Plant
SRR5724600,16035297,3239129994,101,2056,SRX2940545,BJP_317_1.2_C_mRNAseq,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP109986,PRJNA391262,28705956,"",SRS2301669,SAMN07260148,simple,3701,Arabidopsis,BJP_317_1.2_C,Australian National University,SRA578416,08,2017,Crisp,"",RRGD Timepoint I - control light,Col-0,23 days,1.09,Australia,rosette,"Pogson Lab, ARC Centre of Excellence in Plant Energy Biology, Australian National University, Canberra, Australia.","Col-0 plants were cultivated in soil under a 12-hour photoperiod, 100 (±25) _ mol photons m_2 s_1 photosynthetically active radiation [PAR] and 23/22¡C (±2¡C) day/night temperatures",Timepoint I - control light,Control,2,Plant
