Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,Stage,separation,GEO Accession
SRR1062207,4000000,3.04e+08,76,200,SRX399800,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP034750,PRJNA232649,24705786,"",SRS520092,SAMN02486856,simple,7955,Danio rerio,GSM1299081,GEO,SRA122405,04,2014,Bazzini,Whole embryos,5h RPFs column replicate 2 run 1,Whole embryos,TUAB,48hpf,column,GSM1299090
SRR1062208,4000000,3.04e+08,76,204,SRX399800,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP034750,PRJNA232649,24705786,"",SRS520092,SAMN02486856,simple,7955,Danio rerio,GSM1299081,GEO,SRA122405,04,2014,Bazzini,Whole embryos,5h RPFs column replicate 2 run 1,Whole embryos,TUAB,12hpf,column,GSM1299091
SRR1062209,4000000,3.04e+08,76,207,SRX399800,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP034750,PRJNA232649,24705786,"",SRS520092,SAMN02486856,simple,7955,Danio rerio,GSM1299081,GEO,SRA122405,04,2014,Bazzini,Whole embryos,5h RPFs column replicate 2 run 1,Whole embryos,TUAB,12hpf,column,GSM1299092
SRR1062210,4000000,3.04e+08,76,198,SRX399800,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP034750,PRJNA232649,24705786,"",SRS520092,SAMN02486856,simple,7955,Danio rerio,GSM1299081,GEO,SRA122405,04,2014,Bazzini,Whole embryos,5h RPFs column replicate 2 run 1,Whole embryos,TUAB,24hpf,column,GSM1299093
SRR1062211,4000000,3.04e+08,76,202,SRX399800,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP034750,PRJNA232649,24705786,"",SRS520092,SAMN02486856,simple,7955,Danio rerio,GSM1299081,GEO,SRA122405,04,2014,Bazzini,Whole embryos,5h RPFs column replicate 2 run 1,Whole embryos,TUAB,48hpf,column,GSM1299094
SRR1062212,4000000,3.04e+08,76,204,SRX399800,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP034750,PRJNA232649,24705786,"",SRS520092,SAMN02486856,simple,7955,Danio rerio,GSM1299081,GEO,SRA122405,04,2014,Bazzini,Whole embryos,5h RPFs column replicate 2 run 1,Whole embryos,TUAB,5hpf,column,GSM1299095
SRR1062213,4000000,3.04e+08,76,200,SRX399800,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP034750,PRJNA232649,24705786,"",SRS520092,SAMN02486856,simple,7955,Danio rerio,GSM1299081,GEO,SRA122405,04,2014,Bazzini,Whole embryos,5h RPFs column replicate 2 run 1,Whole embryos,TUAB,5hpf,column,GSM1299096
SRR1062214,4000000,3.04e+08,76,203,SRX399800,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP034750,PRJNA232649,24705786,"",SRS520092,SAMN02486856,simple,7955,Danio rerio,GSM1299081,GEO,SRA122405,04,2014,Bazzini,Whole embryos,5h RPFs column replicate 2 run 1,Whole embryos,TUAB,5hpf,column,GSM1299097
SRR1062215,3993526,303507976,76,204,SRX399800,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP034750,PRJNA232649,24705786,"",SRS520092,SAMN02486856,simple,7955,Danio rerio,GSM1299081,GEO,SRA122405,04,2014,Bazzini,Whole embryos,5h RPFs column replicate 2 run 1,Whole embryos,TUAB,2hpf,column,GSM1299098
SRR1062216,4000000,3.04e+08,76,199,SRX399801,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP034750,PRJNA232649,24705786,"",SRS520091,SAMN02486853,simple,7955,Danio rerio,GSM1299082,GEO,SRA122405,04,2014,Bazzini,Whole embryos,5h RPFs sucrose replicate 1,Whole embryos,TUAB,12hpf,column,GSM1299099
SRR1062217,2318708,176221808,76,119,SRX399801,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP034750,PRJNA232649,24705786,"",SRS520091,SAMN02486853,simple,7955,Danio rerio,GSM1299082,GEO,SRA122405,04,2014,Bazzini,Whole embryos,5h RPFs sucrose replicate 1,Whole embryos,TUAB,24hpf,column,GSM1299100
SRR1062218,4000000,3.04e+08,76,203,SRX399801,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP034750,PRJNA232649,24705786,"",SRS520091,SAMN02486853,simple,7955,Danio rerio,GSM1299082,GEO,SRA122405,04,2014,Bazzini,Whole embryos,5h RPFs sucrose replicate 1,Whole embryos,TUAB,48hpf,column,GSM1299101
SRR1062219,4000000,3.04e+08,76,202,SRX399801,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP034750,PRJNA232649,24705786,"",SRS520091,SAMN02486853,simple,7955,Danio rerio,GSM1299082,GEO,SRA122405,04,2014,Bazzini,Whole embryos,5h RPFs sucrose replicate 1,Whole embryos,TUAB,12hpf,column,GSM1299102
SRR1062220,4000000,3.04e+08,76,200,SRX399801,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP034750,PRJNA232649,24705786,"",SRS520091,SAMN02486853,simple,7955,Danio rerio,GSM1299082,GEO,SRA122405,04,2014,Bazzini,Whole embryos,5h RPFs sucrose replicate 1,Whole embryos,TUAB,24hpf,column,GSM1299103
SRR1062221,4000000,3.04e+08,76,201,SRX399801,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP034750,PRJNA232649,24705786,"",SRS520091,SAMN02486853,simple,7955,Danio rerio,GSM1299082,GEO,SRA122405,04,2014,Bazzini,Whole embryos,5h RPFs sucrose replicate 1,Whole embryos,TUAB,48hpf,column,GSM1299104
SRR1062222,4000000,3.04e+08,76,199,SRX399801,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP034750,PRJNA232649,24705786,"",SRS520091,SAMN02486853,simple,7955,Danio rerio,GSM1299082,GEO,SRA122405,04,2014,Bazzini,Whole embryos,5h RPFs sucrose replicate 1,Whole embryos,TUAB,2hpf,column,GSM1299105
SRR1062223,4000000,3.04e+08,76,200,SRX399801,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP034750,PRJNA232649,24705786,"",SRS520091,SAMN02486853,simple,7955,Danio rerio,GSM1299082,GEO,SRA122405,04,2014,Bazzini,Whole embryos,5h RPFs sucrose replicate 1,Whole embryos,TUAB,5hpf,column,GSM1299106
SRR1062224,4000000,3.04e+08,76,204,SRX399801,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP034750,PRJNA232649,24705786,"",SRS520091,SAMN02486853,simple,7955,Danio rerio,GSM1299082,GEO,SRA122405,04,2014,Bazzini,Whole embryos,5h RPFs sucrose replicate 1,Whole embryos,TUAB,2hpf,column,GSM1299107
SRR1062225,4000000,3.04e+08,76,198,SRX399801,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP034750,PRJNA232649,24705786,"",SRS520091,SAMN02486853,simple,7955,Danio rerio,GSM1299082,GEO,SRA122405,04,2014,Bazzini,Whole embryos,5h RPFs sucrose replicate 1,Whole embryos,TUAB,48hpf,column,GSM1299108
SRR1062226,4000000,3.04e+08,76,196,SRX399802,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP034750,PRJNA232649,24705786,"",SRS520093,SAMN02486857,simple,7955,Danio rerio,GSM1299083,GEO,SRA122405,04,2014,Bazzini,Whole embryos,5h RPFs sucrose replicate 2,Whole embryos,TUAB,2hpf,column,GSM1299109
SRR1062227,4000000,3.04e+08,76,197,SRX399802,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP034750,PRJNA232649,24705786,"",SRS520093,SAMN02486857,simple,7955,Danio rerio,GSM1299083,GEO,SRA122405,04,2014,Bazzini,Whole embryos,5h RPFs sucrose replicate 2,Whole embryos,TUAB,5hpf,column,GSM1299080
SRR1062228,4000000,3.04e+08,76,201,SRX399802,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP034750,PRJNA232649,24705786,"",SRS520093,SAMN02486857,simple,7955,Danio rerio,GSM1299083,GEO,SRA122405,04,2014,Bazzini,Whole embryos,5h RPFs sucrose replicate 2,Whole embryos,TUAB,5hpf,column,GSM1299081
SRR1062229,229203,17419428,76,12,SRX399802,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP034750,PRJNA232649,24705786,"",SRS520093,SAMN02486857,simple,7955,Danio rerio,GSM1299083,GEO,SRA122405,04,2014,Bazzini,Whole embryos,5h RPFs sucrose replicate 2,Whole embryos,TUAB,5hpf,sucrose cushion,GSM1299082
SRR1062230,4000000,3.04e+08,76,202,SRX399802,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP034750,PRJNA232649,24705786,"",SRS520093,SAMN02486857,simple,7955,Danio rerio,GSM1299083,GEO,SRA122405,04,2014,Bazzini,Whole embryos,5h RPFs sucrose replicate 2,Whole embryos,TUAB,5hpf,sucrose cushion,GSM1299083
SRR1062231,4000000,3.04e+08,76,197,SRX399802,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP034750,PRJNA232649,24705786,"",SRS520093,SAMN02486857,simple,7955,Danio rerio,GSM1299083,GEO,SRA122405,04,2014,Bazzini,Whole embryos,5h RPFs sucrose replicate 2,Whole embryos,TUAB,5hpf,column,GSM1299084
SRR1062232,4000000,3.04e+08,76,202,SRX399802,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP034750,PRJNA232649,24705786,"",SRS520093,SAMN02486857,simple,7955,Danio rerio,GSM1299083,GEO,SRA122405,04,2014,Bazzini,Whole embryos,5h RPFs sucrose replicate 2,Whole embryos,TUAB,5hpf,column,GSM1299085
SRR1062233,4000000,3.04e+08,76,195,SRX399802,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP034750,PRJNA232649,24705786,"",SRS520093,SAMN02486857,simple,7955,Danio rerio,GSM1299083,GEO,SRA122405,04,2014,Bazzini,Whole embryos,5h RPFs sucrose replicate 2,Whole embryos,TUAB,5hpf,column,GSM1299086
SRR1062234,4000000,3.04e+08,76,199,SRX399802,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP034750,PRJNA232649,24705786,"",SRS520093,SAMN02486857,simple,7955,Danio rerio,GSM1299083,GEO,SRA122405,04,2014,Bazzini,Whole embryos,5h RPFs sucrose replicate 2,Whole embryos,TUAB,2hpf,column,GSM1299087
SRR1062235,4000000,3.04e+08,76,197,SRX399802,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP034750,PRJNA232649,24705786,"",SRS520093,SAMN02486857,simple,7955,Danio rerio,GSM1299083,GEO,SRA122405,04,2014,Bazzini,Whole embryos,5h RPFs sucrose replicate 2,Whole embryos,TUAB,12hpf,column,GSM1299088
SRR1062236,4000000,3.04e+08,76,198,SRX399802,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP034750,PRJNA232649,24705786,"",SRS520093,SAMN02486857,simple,7955,Danio rerio,GSM1299083,GEO,SRA122405,04,2014,Bazzini,Whole embryos,5h RPFs sucrose replicate 2,Whole embryos,TUAB,24hpf,column,GSM1299089
SRR1062237,4000000,3.04e+08,76,200,SRX399802,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP034750,PRJNA232649,24705786,"",SRS520093,SAMN02486857,simple,7955,Danio rerio,GSM1299083,GEO,SRA122405,04,2014,Bazzini,Whole embryos,5h RPFs sucrose replicate 2,Whole embryos,TUAB,48hpf,column,GSM1299090
SRR1062238,4000000,3.04e+08,76,203,SRX399803,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP034750,PRJNA232649,24705786,"",SRS520094,SAMN02486865,simple,7955,Danio rerio,GSM1299084,GEO,SRA122405,04,2014,Bazzini,Whole embryos,5h input mRNA run 1,Whole embryos,TUAB,12hpf,column,GSM1299091
SRR1062239,4000000,3.04e+08,76,203,SRX399803,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP034750,PRJNA232649,24705786,"",SRS520094,SAMN02486865,simple,7955,Danio rerio,GSM1299084,GEO,SRA122405,04,2014,Bazzini,Whole embryos,5h input mRNA run 1,Whole embryos,TUAB,12hpf,column,GSM1299092
SRR1062240,4000000,3.04e+08,76,203,SRX399803,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP034750,PRJNA232649,24705786,"",SRS520094,SAMN02486865,simple,7955,Danio rerio,GSM1299084,GEO,SRA122405,04,2014,Bazzini,Whole embryos,5h input mRNA run 1,Whole embryos,TUAB,24hpf,column,GSM1299093
SRR1062241,4000000,3.04e+08,76,203,SRX399803,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP034750,PRJNA232649,24705786,"",SRS520094,SAMN02486865,simple,7955,Danio rerio,GSM1299084,GEO,SRA122405,04,2014,Bazzini,Whole embryos,5h input mRNA run 1,Whole embryos,TUAB,48hpf,column,GSM1299094
SRR1062242,2510701,190813276,76,128,SRX399803,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP034750,PRJNA232649,24705786,"",SRS520094,SAMN02486865,simple,7955,Danio rerio,GSM1299084,GEO,SRA122405,04,2014,Bazzini,Whole embryos,5h input mRNA run 1,Whole embryos,TUAB,5hpf,column,GSM1299095
SRR1062243,4000000,3.04e+08,76,184,SRX399804,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP034750,PRJNA232649,24705786,"",SRS520095,SAMN02486854,simple,7955,Danio rerio,GSM1299085,GEO,SRA122405,04,2014,Bazzini,Whole embryos,5h RPFs column replicate 1 run 2,Whole embryos,TUAB,5hpf,column,GSM1299096
SRR1062244,4000000,3.04e+08,76,183,SRX399804,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP034750,PRJNA232649,24705786,"",SRS520095,SAMN02486854,simple,7955,Danio rerio,GSM1299085,GEO,SRA122405,04,2014,Bazzini,Whole embryos,5h RPFs column replicate 1 run 2,Whole embryos,TUAB,5hpf,column,GSM1299097
SRR1062245,4000000,3.04e+08,76,192,SRX399804,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP034750,PRJNA232649,24705786,"",SRS520095,SAMN02486854,simple,7955,Danio rerio,GSM1299085,GEO,SRA122405,04,2014,Bazzini,Whole embryos,5h RPFs column replicate 1 run 2,Whole embryos,TUAB,2hpf,column,GSM1299098
SRR1062246,4000000,3.04e+08,76,184,SRX399804,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP034750,PRJNA232649,24705786,"",SRS520095,SAMN02486854,simple,7955,Danio rerio,GSM1299085,GEO,SRA122405,04,2014,Bazzini,Whole embryos,5h RPFs column replicate 1 run 2,Whole embryos,TUAB,12hpf,column,GSM1299099
SRR1062247,4000000,3.04e+08,76,190,SRX399804,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP034750,PRJNA232649,24705786,"",SRS520095,SAMN02486854,simple,7955,Danio rerio,GSM1299085,GEO,SRA122405,04,2014,Bazzini,Whole embryos,5h RPFs column replicate 1 run 2,Whole embryos,TUAB,24hpf,column,GSM1299100
SRR1062248,1321923,100466148,76,66,SRX399804,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP034750,PRJNA232649,24705786,"",SRS520095,SAMN02486854,simple,7955,Danio rerio,GSM1299085,GEO,SRA122405,04,2014,Bazzini,Whole embryos,5h RPFs column replicate 1 run 2,Whole embryos,TUAB,48hpf,column,GSM1299101
SRR1062249,4000000,3.04e+08,76,191,SRX399804,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP034750,PRJNA232649,24705786,"",SRS520095,SAMN02486854,simple,7955,Danio rerio,GSM1299085,GEO,SRA122405,04,2014,Bazzini,Whole embryos,5h RPFs column replicate 1 run 2,Whole embryos,TUAB,12hpf,column,GSM1299102
SRR1062250,4000000,3.04e+08,76,186,SRX399804,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP034750,PRJNA232649,24705786,"",SRS520095,SAMN02486854,simple,7955,Danio rerio,GSM1299085,GEO,SRA122405,04,2014,Bazzini,Whole embryos,5h RPFs column replicate 1 run 2,Whole embryos,TUAB,24hpf,column,GSM1299103
SRR1062251,4000000,3.04e+08,76,189,SRX399804,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP034750,PRJNA232649,24705786,"",SRS520095,SAMN02486854,simple,7955,Danio rerio,GSM1299085,GEO,SRA122405,04,2014,Bazzini,Whole embryos,5h RPFs column replicate 1 run 2,Whole embryos,TUAB,48hpf,column,GSM1299104
SRR1062252,4000000,3.04e+08,76,187,SRX399804,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP034750,PRJNA232649,24705786,"",SRS520095,SAMN02486854,simple,7955,Danio rerio,GSM1299085,GEO,SRA122405,04,2014,Bazzini,Whole embryos,5h RPFs column replicate 1 run 2,Whole embryos,TUAB,2hpf,column,GSM1299105
SRR1062253,4000000,3.04e+08,76,185,SRX399804,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP034750,PRJNA232649,24705786,"",SRS520095,SAMN02486854,simple,7955,Danio rerio,GSM1299085,GEO,SRA122405,04,2014,Bazzini,Whole embryos,5h RPFs column replicate 1 run 2,Whole embryos,TUAB,5hpf,column,GSM1299106
SRR1062254,4000000,3.04e+08,76,190,SRX399804,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP034750,PRJNA232649,24705786,"",SRS520095,SAMN02486854,simple,7955,Danio rerio,GSM1299085,GEO,SRA122405,04,2014,Bazzini,Whole embryos,5h RPFs column replicate 1 run 2,Whole embryos,TUAB,2hpf,column,GSM1299107
SRR1062255,4000000,3.04e+08,76,185,SRX399804,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP034750,PRJNA232649,24705786,"",SRS520095,SAMN02486854,simple,7955,Danio rerio,GSM1299085,GEO,SRA122405,04,2014,Bazzini,Whole embryos,5h RPFs column replicate 1 run 2,Whole embryos,TUAB,48hpf,column,GSM1299108
SRR1062256,4000000,3.04e+08,76,195,SRX399804,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP034750,PRJNA232649,24705786,"",SRS520095,SAMN02486854,simple,7955,Danio rerio,GSM1299085,GEO,SRA122405,04,2014,Bazzini,Whole embryos,5h RPFs column replicate 1 run 2,Whole embryos,TUAB,2hpf,column,GSM1299109
SRR1062257,4000000,3.04e+08,76,184,SRX399805,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP034750,PRJNA232649,24705786,"",SRS520096,SAMN02486855,simple,7955,Danio rerio,GSM1299086,GEO,SRA122405,04,2014,Bazzini,Whole embryos,5h RPFs column replicate 2 run 2,Whole embryos,TUAB,5hpf,column,GSM1299080
SRR1062258,4000000,3.04e+08,76,188,SRX399805,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP034750,PRJNA232649,24705786,"",SRS520096,SAMN02486855,simple,7955,Danio rerio,GSM1299086,GEO,SRA122405,04,2014,Bazzini,Whole embryos,5h RPFs column replicate 2 run 2,Whole embryos,TUAB,5hpf,column,GSM1299081
SRR1062259,4000000,3.04e+08,76,187,SRX399805,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP034750,PRJNA232649,24705786,"",SRS520096,SAMN02486855,simple,7955,Danio rerio,GSM1299086,GEO,SRA122405,04,2014,Bazzini,Whole embryos,5h RPFs column replicate 2 run 2,Whole embryos,TUAB,5hpf,sucrose cushion,GSM1299082
SRR1062260,4000000,3.04e+08,76,191,SRX399805,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP034750,PRJNA232649,24705786,"",SRS520096,SAMN02486855,simple,7955,Danio rerio,GSM1299086,GEO,SRA122405,04,2014,Bazzini,Whole embryos,5h RPFs column replicate 2 run 2,Whole embryos,TUAB,5hpf,sucrose cushion,GSM1299083
