Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,cell line,replicate,sirna treatment,GEO Accession
SRR1257188,32718339,3271833900,100,2011,SRX522420,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041298,PRJNA244941,26338483,"",SRS594775,SAMN02729978,simple,9606,Homo sapiens,GSM1371406,GEO,SRA158793,08,2015,Jang,U2-OS Cells,WT_total_RNA_CT22_rep1,U2-OS Cells,osteosarcoma,U2-OS,1,None,GSM1371406
SRR1257189,28588951,2858895100,100,1726,SRX522421,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041298,PRJNA244941,26338483,"",SRS594776,SAMN02729980,simple,9606,Homo sapiens,GSM1371407,GEO,SRA158793,08,2015,Jang,U2-OS Cells,WT_total_RNA_CT00_rep2,U2-OS Cells,osteosarcoma,U2-OS,2,None,GSM1371407
SRR1257190,30049203,3004920300,100,1849,SRX522422,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041298,PRJNA244941,26338483,"",SRS594777,SAMN02729982,simple,9606,Homo sapiens,GSM1371408,GEO,SRA158793,08,2015,Jang,U2-OS Cells,WT_total_RNA_CT02_rep2,U2-OS Cells,osteosarcoma,U2-OS,2,None,GSM1371408
SRR1257191,30218054,3021805400,100,1822,SRX522423,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041298,PRJNA244941,26338483,"",SRS594778,SAMN02729981,simple,9606,Homo sapiens,GSM1371409,GEO,SRA158793,08,2015,Jang,U2-OS Cells,WT_total_RNA_CT04_rep2,U2-OS Cells,osteosarcoma,U2-OS,2,None,GSM1371409
SRR1257192,33972438,3397243800,100,2098,SRX522424,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041298,PRJNA244941,26338483,"",SRS594779,SAMN02729985,simple,9606,Homo sapiens,GSM1371410,GEO,SRA158793,08,2015,Jang,U2-OS Cells,WT_total_RNA_CT06_rep2,U2-OS Cells,osteosarcoma,U2-OS,2,None,GSM1371410
SRR1257193,30529841,3052984100,100,1846,SRX522425,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041298,PRJNA244941,26338483,"",SRS594780,SAMN02729984,simple,9606,Homo sapiens,GSM1371411,GEO,SRA158793,08,2015,Jang,U2-OS Cells,WT_total_RNA_CT08_rep2,U2-OS Cells,osteosarcoma,U2-OS,2,None,GSM1371411
SRR1257194,33561603,3356160300,100,2061,SRX522426,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041298,PRJNA244941,26338483,"",SRS594781,SAMN02729983,simple,9606,Homo sapiens,GSM1371412,GEO,SRA158793,08,2015,Jang,U2-OS Cells,WT_total_RNA_CT10_rep2,U2-OS Cells,osteosarcoma,U2-OS,2,None,GSM1371412
SRR1257195,30093373,3009337300,100,1814,SRX522427,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041298,PRJNA244941,26338483,"",SRS594782,SAMN02729987,simple,9606,Homo sapiens,GSM1371413,GEO,SRA158793,08,2015,Jang,U2-OS Cells,WT_total_RNA_CT12_rep2,U2-OS Cells,osteosarcoma,U2-OS,2,None,GSM1371413
SRR1257196,33370385,3337038500,100,2055,SRX522428,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041298,PRJNA244941,26338483,"",SRS594783,SAMN02729989,simple,9606,Homo sapiens,GSM1371414,GEO,SRA158793,08,2015,Jang,U2-OS Cells,WT_total_RNA_CT14_rep2,U2-OS Cells,osteosarcoma,U2-OS,2,None,GSM1371414
SRR1257197,32377099,3237709900,100,1957,SRX522429,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041298,PRJNA244941,26338483,"",SRS594784,SAMN02729986,simple,9606,Homo sapiens,GSM1371415,GEO,SRA158793,08,2015,Jang,U2-OS Cells,WT_total_RNA_CT16_rep2,U2-OS Cells,osteosarcoma,U2-OS,2,None,GSM1371415
SRR1257198,34060037,3406003700,100,2115,SRX522430,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041298,PRJNA244941,26338483,"",SRS594785,SAMN02729991,simple,9606,Homo sapiens,GSM1371416,GEO,SRA158793,08,2015,Jang,U2-OS Cells,WT_total_RNA_CT18_rep2,U2-OS Cells,osteosarcoma,U2-OS,2,None,GSM1371416
SRR1257199,30529234,3052923400,100,1862,SRX522431,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041298,PRJNA244941,26338483,"",SRS594786,SAMN02729988,simple,9606,Homo sapiens,GSM1371417,GEO,SRA158793,08,2015,Jang,U2-OS Cells,WT_total_RNA_CT20_rep2,U2-OS Cells,osteosarcoma,U2-OS,2,None,GSM1371417
SRR1257200,28879555,2887955500,100,1779,SRX522432,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041298,PRJNA244941,26338483,"",SRS594787,SAMN02729990,simple,9606,Homo sapiens,GSM1371418,GEO,SRA158793,08,2015,Jang,U2-OS Cells,WT_total_RNA_CT22_rep2,U2-OS Cells,osteosarcoma,U2-OS,2,None,GSM1371418
SRR1257201,30029609,3002960900,100,1853,SRX522433,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041298,PRJNA244941,26338483,"",SRS594788,SAMN02729994,simple,9606,Homo sapiens,GSM1371419,GEO,SRA158793,08,2015,Jang,U2-OS Cells,Bmal1_kd_total_RNA_CT00_rep1,U2-OS Cells,osteosarcoma,U2-OS,1,Bmal1 siRNA,GSM1371419
SRR1257202,33947469,3394746900,100,2115,SRX522434,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041298,PRJNA244941,26338483,"",SRS594789,SAMN02729993,simple,9606,Homo sapiens,GSM1371420,GEO,SRA158793,08,2015,Jang,U2-OS Cells,Bmal1_kd_total_RNA_CT02_rep1,U2-OS Cells,osteosarcoma,U2-OS,1,Bmal1 siRNA,GSM1371420
SRR1257203,34611402,3461140200,100,2127,SRX522435,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041298,PRJNA244941,26338483,"",SRS594790,SAMN02729992,simple,9606,Homo sapiens,GSM1371421,GEO,SRA158793,08,2015,Jang,U2-OS Cells,Bmal1_kd_total_RNA_CT04_rep1,U2-OS Cells,osteosarcoma,U2-OS,1,Bmal1 siRNA,GSM1371421
SRR1257204,41322238,4132223800,100,2580,SRX522436,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041298,PRJNA244941,26338483,"",SRS594791,SAMN02729996,simple,9606,Homo sapiens,GSM1371422,GEO,SRA158793,08,2015,Jang,U2-OS Cells,Bmal1_kd_total_RNA_CT06_rep1,U2-OS Cells,osteosarcoma,U2-OS,1,Bmal1 siRNA,GSM1371422
SRR1257205,31226240,3122624000,100,1929,SRX522437,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041298,PRJNA244941,26338483,"",SRS594792,SAMN02730002,simple,9606,Homo sapiens,GSM1371423,GEO,SRA158793,08,2015,Jang,U2-OS Cells,Bmal1_kd_total_RNA_CT08_rep1,U2-OS Cells,osteosarcoma,U2-OS,1,Bmal1 siRNA,GSM1371423
SRR1257206,33911754,3391175400,100,2109,SRX522438,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041298,PRJNA244941,26338483,"",SRS594793,SAMN02729995,simple,9606,Homo sapiens,GSM1371424,GEO,SRA158793,08,2015,Jang,U2-OS Cells,Bmal1_kd_total_RNA_CT10_rep1,U2-OS Cells,osteosarcoma,U2-OS,1,Bmal1 siRNA,GSM1371424
SRR1257207,35895001,3589500100,100,2199,SRX522439,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041298,PRJNA244941,26338483,"",SRS594795,SAMN02730031,simple,9606,Homo sapiens,GSM1371425,GEO,SRA158793,08,2015,Jang,U2-OS Cells,Bmal1_kd_total_RNA_CT12_rep1,U2-OS Cells,osteosarcoma,U2-OS,1,Bmal1 siRNA,GSM1371425
SRR1257208,35514076,3551407600,100,2209,SRX522440,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041298,PRJNA244941,26338483,"",SRS594794,SAMN02730036,simple,9606,Homo sapiens,GSM1371426,GEO,SRA158793,08,2015,Jang,U2-OS Cells,Bmal1_kd_total_RNA_CT14_rep1,U2-OS Cells,osteosarcoma,U2-OS,1,Bmal1 siRNA,GSM1371426
SRR1257209,31629965,3162996500,100,1943,SRX522441,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041298,PRJNA244941,26338483,"",SRS594796,SAMN02730038,simple,9606,Homo sapiens,GSM1371427,GEO,SRA158793,08,2015,Jang,U2-OS Cells,Bmal1_kd_total_RNA_CT16_rep1,U2-OS Cells,osteosarcoma,U2-OS,1,Bmal1 siRNA,GSM1371427
SRR1257210,30516589,3051658900,100,1916,SRX522442,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041298,PRJNA244941,26338483,"",SRS594797,SAMN02730032,simple,9606,Homo sapiens,GSM1371428,GEO,SRA158793,08,2015,Jang,U2-OS Cells,Bmal1_kd_total_RNA_CT18_rep1,U2-OS Cells,osteosarcoma,U2-OS,1,Bmal1 siRNA,GSM1371428
SRR1257211,28513966,2851396600,100,1765,SRX522443,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041298,PRJNA244941,26338483,"",SRS594798,SAMN02730042,simple,9606,Homo sapiens,GSM1371429,GEO,SRA158793,08,2015,Jang,U2-OS Cells,Bmal1_kd_total_RNA_CT20_rep1,U2-OS Cells,osteosarcoma,U2-OS,1,Bmal1 siRNA,GSM1371429
SRR1257212,30146725,3014672500,100,1878,SRX522444,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041298,PRJNA244941,26338483,"",SRS594799,SAMN02730037,simple,9606,Homo sapiens,GSM1371430,GEO,SRA158793,08,2015,Jang,U2-OS Cells,Bmal1_kd_total_RNA_CT22_rep1,U2-OS Cells,osteosarcoma,U2-OS,1,Bmal1 siRNA,GSM1371430
SRR1257213,31060141,3106014100,100,1902,SRX522445,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041298,PRJNA244941,26338483,"",SRS594800,SAMN02730039,simple,9606,Homo sapiens,GSM1371431,GEO,SRA158793,08,2015,Jang,U2-OS Cells,Bmal1_kd_total_RNA_CT00_rep2,U2-OS Cells,osteosarcoma,U2-OS,2,Bmal1 siRNA,GSM1371431
SRR1257214,29580447,2958044700,100,1876,SRX522446,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041298,PRJNA244941,26338483,"",SRS594801,SAMN02730043,simple,9606,Homo sapiens,GSM1371432,GEO,SRA158793,08,2015,Jang,U2-OS Cells,Bmal1_kd_total_RNA_CT02_rep2,U2-OS Cells,osteosarcoma,U2-OS,2,Bmal1 siRNA,GSM1371432
SRR1257215,31649121,3164912100,100,1936,SRX522447,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041298,PRJNA244941,26338483,"",SRS594802,SAMN02730040,simple,9606,Homo sapiens,GSM1371433,GEO,SRA158793,08,2015,Jang,U2-OS Cells,Bmal1_kd_total_RNA_CT04_rep2,U2-OS Cells,osteosarcoma,U2-OS,2,Bmal1 siRNA,GSM1371433
SRR1257216,30215340,3021534000,100,1921,SRX522448,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041298,PRJNA244941,26338483,"",SRS594803,SAMN02730044,simple,9606,Homo sapiens,GSM1371434,GEO,SRA158793,08,2015,Jang,U2-OS Cells,Bmal1_kd_total_RNA_CT06_rep2,U2-OS Cells,osteosarcoma,U2-OS,2,Bmal1 siRNA,GSM1371434
SRR1257217,32455195,3245519500,100,1991,SRX522449,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041298,PRJNA244941,26338483,"",SRS594804,SAMN02730045,simple,9606,Homo sapiens,GSM1371435,GEO,SRA158793,08,2015,Jang,U2-OS Cells,Bmal1_kd_total_RNA_CT08_rep2,U2-OS Cells,osteosarcoma,U2-OS,2,Bmal1 siRNA,GSM1371435
SRR1257218,27937381,2793738100,100,1771,SRX522450,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041298,PRJNA244941,26338483,"",SRS594805,SAMN02730041,simple,9606,Homo sapiens,GSM1371436,GEO,SRA158793,08,2015,Jang,U2-OS Cells,Bmal1_kd_total_RNA_CT10_rep2,U2-OS Cells,osteosarcoma,U2-OS,2,Bmal1 siRNA,GSM1371436
SRR1257219,32762674,3276267400,100,2003,SRX522451,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041298,PRJNA244941,26338483,"",SRS594806,SAMN02730049,simple,9606,Homo sapiens,GSM1371437,GEO,SRA158793,08,2015,Jang,U2-OS Cells,Bmal1_kd_total_RNA_CT12_rep2,U2-OS Cells,osteosarcoma,U2-OS,2,Bmal1 siRNA,GSM1371437
SRR1257220,50508007,5050800700,100,3289,SRX522452,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041298,PRJNA244941,26338483,"",SRS594807,SAMN02730048,simple,9606,Homo sapiens,GSM1371438,GEO,SRA158793,08,2015,Jang,U2-OS Cells,Bmal1_kd_total_RNA_CT14_rep2,U2-OS Cells,osteosarcoma,U2-OS,2,Bmal1 siRNA,GSM1371438
SRR1257221,35651925,3565192500,100,2184,SRX522453,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041298,PRJNA244941,26338483,"",SRS594808,SAMN02730046,simple,9606,Homo sapiens,GSM1371439,GEO,SRA158793,08,2015,Jang,U2-OS Cells,Bmal1_kd_total_RNA_CT16_rep2,U2-OS Cells,osteosarcoma,U2-OS,2,Bmal1 siRNA,GSM1371439
SRR1257222,46346587,4634658700,100,3040,SRX522454,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041298,PRJNA244941,26338483,"",SRS594809,SAMN02730050,simple,9606,Homo sapiens,GSM1371440,GEO,SRA158793,08,2015,Jang,U2-OS Cells,Bmal1_kd_total_RNA_CT18_rep2,U2-OS Cells,osteosarcoma,U2-OS,2,Bmal1 siRNA,GSM1371440
SRR1257223,34752119,3475211900,100,2147,SRX522455,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041298,PRJNA244941,26338483,"",SRS594810,SAMN02730052,simple,9606,Homo sapiens,GSM1371441,GEO,SRA158793,08,2015,Jang,U2-OS Cells,Bmal1_kd_total_RNA_CT20_rep2,U2-OS Cells,osteosarcoma,U2-OS,2,Bmal1 siRNA,GSM1371441
SRR1257224,38906973,3890697300,100,2468,SRX522456,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041298,PRJNA244941,26338483,"",SRS594811,SAMN02730047,simple,9606,Homo sapiens,GSM1371442,GEO,SRA158793,08,2015,Jang,U2-OS Cells,Bmal1_kd_total_RNA_CT22_rep2,U2-OS Cells,osteosarcoma,U2-OS,2,Bmal1 siRNA,GSM1371442
SRR1257225,54774995,2738749750,50,1780,SRX522457,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041298,PRJNA244941,26338483,"",SRS594812,SAMN02730056,simple,9606,Homo sapiens,GSM1371443,GEO,SRA158793,08,2015,Jang,U2-OS Cells,WT_ribo_profile_CT00_rep1,U2-OS Cells,osteosarcoma,U2-OS,1,None,GSM1371443
SRR1257226,40956566,2047828300,50,1319,SRX522458,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041298,PRJNA244941,26338483,"",SRS594813,SAMN02730053,simple,9606,Homo sapiens,GSM1371444,GEO,SRA158793,08,2015,Jang,U2-OS Cells,WT_ribo_profile_CT02_rep1,U2-OS Cells,osteosarcoma,U2-OS,1,None,GSM1371444
SRR1257227,54278098,2713904900,50,1832,SRX522459,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041298,PRJNA244941,26338483,"",SRS594814,SAMN02730051,simple,9606,Homo sapiens,GSM1371445,GEO,SRA158793,08,2015,Jang,U2-OS Cells,WT_ribo_profile_CT04_rep1,U2-OS Cells,osteosarcoma,U2-OS,1,None,GSM1371445
SRR1257228,56293495,2814674750,50,1841,SRX522460,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041298,PRJNA244941,26338483,"",SRS594815,SAMN02730057,simple,9606,Homo sapiens,GSM1371446,GEO,SRA158793,08,2015,Jang,U2-OS Cells,WT_ribo_profile_CT06_rep1,U2-OS Cells,osteosarcoma,U2-OS,1,None,GSM1371446
SRR1257229,60452943,3022647150,50,1965,SRX522461,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041298,PRJNA244941,26338483,"",SRS594816,SAMN02730054,simple,9606,Homo sapiens,GSM1371447,GEO,SRA158793,08,2015,Jang,U2-OS Cells,WT_ribo_profile_CT08_rep1,U2-OS Cells,osteosarcoma,U2-OS,1,None,GSM1371447
SRR1257230,50014831,2500741550,50,1694,SRX522462,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041298,PRJNA244941,26338483,"",SRS594817,SAMN02730060,simple,9606,Homo sapiens,GSM1371448,GEO,SRA158793,08,2015,Jang,U2-OS Cells,WT_ribo_profile_CT10_rep1,U2-OS Cells,osteosarcoma,U2-OS,1,None,GSM1371448
SRR1257231,64387335,3219366750,50,2085,SRX522463,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041298,PRJNA244941,26338483,"",SRS594818,SAMN02730058,simple,9606,Homo sapiens,GSM1371449,GEO,SRA158793,08,2015,Jang,U2-OS Cells,WT_ribo_profile_CT12_rep1,U2-OS Cells,osteosarcoma,U2-OS,1,None,GSM1371449
SRR1257232,50987403,2549370150,50,1643,SRX522464,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041298,PRJNA244941,26338483,"",SRS594819,SAMN02730055,simple,9606,Homo sapiens,GSM1371450,GEO,SRA158793,08,2015,Jang,U2-OS Cells,WT_ribo_profile_CT14_rep1,U2-OS Cells,osteosarcoma,U2-OS,1,None,GSM1371450
SRR1257233,31955852,1597792600,50,1078,SRX522465,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041298,PRJNA244941,26338483,"",SRS594820,SAMN02730062,simple,9606,Homo sapiens,GSM1371451,GEO,SRA158793,08,2015,Jang,U2-OS Cells,WT_ribo_profile_CT16_rep1,U2-OS Cells,osteosarcoma,U2-OS,1,None,GSM1371451
SRR1257234,37451421,1872571050,50,1233,SRX522466,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041298,PRJNA244941,26338483,"",SRS594821,SAMN02730061,simple,9606,Homo sapiens,GSM1371452,GEO,SRA158793,08,2015,Jang,U2-OS Cells,WT_ribo_profile_CT18_rep1,U2-OS Cells,osteosarcoma,U2-OS,1,None,GSM1371452
SRR1257235,53499709,2674985450,50,1729,SRX522467,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041298,PRJNA244941,26338483,"",SRS594822,SAMN02730008,simple,9606,Homo sapiens,GSM1371453,GEO,SRA158793,08,2015,Jang,U2-OS Cells,WT_ribo_profile_CT20_rep1,U2-OS Cells,osteosarcoma,U2-OS,1,None,GSM1371453
SRR1257236,80149801,4007490050,50,2688,SRX522468,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041298,PRJNA244941,26338483,"",SRS594823,SAMN02730005,simple,9606,Homo sapiens,GSM1371454,GEO,SRA158793,08,2015,Jang,U2-OS Cells,WT_ribo_profile_CT22_rep1,U2-OS Cells,osteosarcoma,U2-OS,1,None,GSM1371454
