Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,developmental stage,GEO Accession
SRR1272140,92938992,3345803712,36,2123,SRX533758,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP041705,PRJNA246300,25331479,"",SRS602486,SAMN02746314,simple,5691,Trypanosoma brucei,GSM1379706,GEO,SRA161745,05,2014,Jensen,Tb927 PCF in SDM79 medium,PCF mRNA replicate_2,Tb927 PCF in SDM79 medium,927,Procyclic Form,GSM1379706
SRR1272141,62687865,2256763140,36,1393,SRX533759,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP041705,PRJNA246300,25331479,"",SRS602485,SAMN02746308,simple,5691,Trypanosoma brucei,GSM1379707,GEO,SRA161745,05,2014,Jensen,Tb927 PCF in SDM79 medium,PCF mRNA replicate_3,Tb927 PCF in SDM79 medium,927,Procyclic Form,GSM1379707
SRR1272142,59694251,2148993036,36,1278,SRX533760,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP041705,PRJNA246300,25331479,"",SRS602487,SAMN02746304,simple,5691,Trypanosoma brucei,GSM1379708,GEO,SRA161745,05,2014,Jensen,Tb927 BF grown in irradiated Wistar rat,slBF mRNA replicate_1,Tb927 BF grown in irradiated Wistar rat,927,Slender bloodstream Form,GSM1379708
SRR1272143,56468981,2032883316,36,1158,SRX533761,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP041705,PRJNA246300,25331479,"",SRS602488,SAMN02746317,simple,5691,Trypanosoma brucei,GSM1379709,GEO,SRA161745,05,2014,Jensen,Tb927 BF grown in irradiated Wistar rat,slBF mRNA replicate_2,Tb927 BF grown in irradiated Wistar rat,927,Slender bloodstream Form,GSM1379709
SRR1272144,61128710,2200633560,36,1273,SRX533762,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP041705,PRJNA246300,25331479,"",SRS602489,SAMN02746310,simple,5691,Trypanosoma brucei,GSM1379710,GEO,SRA161745,05,2014,Jensen,Tb927 BF grown in irradiated Wistar rat,slBF mRNA replicate_3,Tb927 BF grown in irradiated Wistar rat,927,Slender bloodstream Form,GSM1379710
SRR1272145,79920340,2877132240,36,1779,SRX533763,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP041705,PRJNA246300,25331479,"",SRS602490,SAMN02746306,simple,5691,Trypanosoma brucei,GSM1379711,GEO,SRA161745,05,2014,Jensen,Tb427 grown in vitro in HMI-9 medium,cBF mRNA replicate_1,Tb427 grown in vitro in HMI-9 medium,427,cultrured bloodstream Form,GSM1379711
SRR1272146,42244569,1520804484,36,1001,SRX533764,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP041705,PRJNA246300,25331479,"",SRS602491,SAMN02746319,simple,5691,Trypanosoma brucei,GSM1379712,GEO,SRA161745,05,2014,Jensen,Tb427 grown in vitro in HMI-9 medium,cBF mRNA replicate_2,Tb427 grown in vitro in HMI-9 medium,427,cultrured bloodstream Form,GSM1379712
SRR1272147,101716337,3661788132,36,2254,SRX533765,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP041705,PRJNA246300,25331479,"",SRS602492,SAMN02746313,simple,5691,Trypanosoma brucei,GSM1379713,GEO,SRA161745,05,2014,Jensen,Tb427 grown in vitro in HMI-9 medium,cBF mRNA replicate_3,Tb427 grown in vitro in HMI-9 medium,427,cultrured bloodstream Form,GSM1379713
SRR1272148,16766464,603592704,36,355,SRX533766,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP041705,PRJNA246300,25331479,"",SRS602493,SAMN02746300,simple,5691,Trypanosoma brucei,GSM1379714,GEO,SRA161745,05,2014,Jensen,Tb927 PCF in SDM79 medium,PCF SpliceLeader replicate_1,Tb927 PCF in SDM79 medium,927,Procyclic Form,GSM1379714
SRR1272149,16409384,590737824,36,347,SRX533767,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP041705,PRJNA246300,25331479,"",SRS602494,SAMN02746320,simple,5691,Trypanosoma brucei,GSM1379715,GEO,SRA161745,05,2014,Jensen,Tb927 PCF in SDM79 medium,PCF SpliceLeader replicate_2,Tb927 PCF in SDM79 medium,927,Procyclic Form,GSM1379715
SRR1272150,15671042,564157512,36,329,SRX533768,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP041705,PRJNA246300,25331479,"",SRS602495,SAMN02746312,simple,5691,Trypanosoma brucei,GSM1379716,GEO,SRA161745,05,2014,Jensen,Tb927 BF grown in irradiated Wistar rat,slBF SpliceLeader replicate_1,Tb927 BF grown in irradiated Wistar rat,927,Slender bloodstream Form,GSM1379716
SRR1272151,14316743,515402748,36,298,SRX533769,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP041705,PRJNA246300,25331479,"",SRS602496,SAMN02746301,simple,5691,Trypanosoma brucei,GSM1379717,GEO,SRA161745,05,2014,Jensen,Tb427 grown in vitro in HMI-9 medium,cBF SpliceLeader replicate_1,Tb427 grown in vitro in HMI-9 medium,427,cultrured bloodstream Form,GSM1379717
