Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line/type,tissue source,developmental stage,tumor stage,molecule subtype,GEO Accession
SRR8590766,36836756,2247042116,61,934,SRX5391045,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP186252,PRJNA523167,31911279,"",SRS4378986,SAMN10965470,simple,9606,Homo sapiens,GSM3611932,GEO,SRA850276,12,2019,Vaklavas,"adult human female breast, fibrocystic disease",MCF10A Full Serum ribosome protected fragments,Human ER(+) breast cancer,T47D,breast,adult,metastatic,,GSM3611938
SRR8590767,37427360,2283068960,61,938,SRX5391045,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP186252,PRJNA523167,31911279,"",SRS4378986,SAMN10965470,simple,9606,Homo sapiens,GSM3611932,GEO,SRA850276,12,2019,Vaklavas,"adult human female breast, fibrocystic disease",MCF10A Full Serum ribosome protected fragments,Human ER(+) breast cancer,T47D,breast,adult,metastatic,,GSM3611939
SRR8590768,42190593,2573626173,61,1067,SRX5391046,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP186252,PRJNA523167,31911279,"",SRS4378987,SAMN10965469,simple,9606,Homo sapiens,GSM3611933,GEO,SRA850276,12,2019,Vaklavas,"adult human female breast, fibrocystic disease",MCF10A Serum Deprived ribosome protected fragments,Human ER(+) breast cancer,ZR75-1,breast,adult,metastatic,ribosome protected fragments,GSM3611940
SRR8590769,42868922,2615004242,61,1071,SRX5391046,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP186252,PRJNA523167,31911279,"",SRS4378987,SAMN10965469,simple,9606,Homo sapiens,GSM3611933,GEO,SRA850276,12,2019,Vaklavas,"adult human female breast, fibrocystic disease",MCF10A Serum Deprived ribosome protected fragments,Human ER(+) breast cancer,ZR75-1,breast,adult,metastatic,ribosome protected fragments,GSM3611941
SRR8590770,20471894,2088133188,51,823,SRX5391047,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP186252,PRJNA523167,31911279,"",SRS4378988,SAMN10965468,simple,9606,Homo sapiens,GSM3611934,GEO,SRA850276,12,2019,Vaklavas,"adult human female breast, fibrocystic disease",MCF10A Full Serum RNA-seq,Human ER(+) breast cancer,ZR75-1,breast,adult,metastatic,,GSM3611942
SRR8590771,28893210,2947107420,51,1135,SRX5391047,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP186252,PRJNA523167,31911279,"",SRS4378988,SAMN10965468,simple,9606,Homo sapiens,GSM3611934,GEO,SRA850276,12,2019,Vaklavas,"adult human female breast, fibrocystic disease",MCF10A Full Serum RNA-seq,Human ER(+) breast cancer,ZR75-1,breast,adult,metastatic,,GSM3611943
SRR8590772,21378777,2180635254,51,826,SRX5391047,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP186252,PRJNA523167,31911279,"",SRS4378988,SAMN10965468,simple,9606,Homo sapiens,GSM3611934,GEO,SRA850276,12,2019,Vaklavas,"adult human female breast, fibrocystic disease",MCF10A Full Serum RNA-seq,Human triple negative breast cancer,SUM159PT,breast,adult,primary tumor,ribosome protected fragments,GSM3611944
SRR8590773,29683850,3027752700,51,1166,SRX5391047,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP186252,PRJNA523167,31911279,"",SRS4378988,SAMN10965468,simple,9606,Homo sapiens,GSM3611934,GEO,SRA850276,12,2019,Vaklavas,"adult human female breast, fibrocystic disease",MCF10A Full Serum RNA-seq,Human triple negative breast cancer,SUM159PT,breast,adult,primary tumor,ribosome protected fragments,GSM3611945
SRR8590774,21505404,2193551208,51,860,SRX5391048,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP186252,PRJNA523167,31911279,"",SRS4378989,SAMN10965467,simple,9606,Homo sapiens,GSM3611935,GEO,SRA850276,12,2019,Vaklavas,"adult human female breast, fibrocystic disease",MCF10A Serum Deprived RNA-seq,Human triple negative breast cancer,SUM159PT,breast,adult,primary tumor,ribosome protected fragments,GSM3611946
SRR8590775,30316118,3092244036,51,1190,SRX5391048,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP186252,PRJNA523167,31911279,"",SRS4378989,SAMN10965467,simple,9606,Homo sapiens,GSM3611935,GEO,SRA850276,12,2019,Vaklavas,"adult human female breast, fibrocystic disease",MCF10A Serum Deprived RNA-seq,Human triple negative breast cancer,SUM159PT,breast,adult,primary tumor,ribosome protected fragments,GSM3611947
SRR8590776,22459663,2290885626,51,864,SRX5391048,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP186252,PRJNA523167,31911279,"",SRS4378989,SAMN10965467,simple,9606,Homo sapiens,GSM3611935,GEO,SRA850276,12,2019,Vaklavas,"adult human female breast, fibrocystic disease",MCF10A Serum Deprived RNA-seq,Human triple negative breast cancer,SUM159PT,breast,adult,primary tumor,,GSM3611948
SRR8590777,31136652,3175938504,51,1222,SRX5391048,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP186252,PRJNA523167,31911279,"",SRS4378989,SAMN10965467,simple,9606,Homo sapiens,GSM3611935,GEO,SRA850276,12,2019,Vaklavas,"adult human female breast, fibrocystic disease",MCF10A Serum Deprived RNA-seq,Human triple negative breast cancer,SUM159PT,breast,adult,primary tumor,,GSM3611949
SRR8590778,38723464,1974896664,51,814,SRX5391049,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP186252,PRJNA523167,31911279,"",SRS4378990,SAMN10965466,simple,9606,Homo sapiens,GSM3611936,GEO,SRA850276,12,2019,Vaklavas,Human ER(+) breast cancer,T47D Full Serum ribosome protected fragments,Human triple negative breast cancer,SUM159PT,breast,adult,primary tumor,,GSM3611950
SRR8590779,38513703,1964198853,51,804,SRX5391049,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP186252,PRJNA523167,31911279,"",SRS4378990,SAMN10965466,simple,9606,Homo sapiens,GSM3611936,GEO,SRA850276,12,2019,Vaklavas,Human ER(+) breast cancer,T47D Full Serum ribosome protected fragments,Human triple negative breast cancer,SUM159PT,breast,adult,primary tumor,,GSM3611951
SRR8590780,9574511,584045171,61,246,SRX5391050,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP186252,PRJNA523167,31911279,"",SRS4378991,SAMN10965465,simple,9606,Homo sapiens,GSM3611937,GEO,SRA850276,12,2019,Vaklavas,Human ER(+) breast cancer,T47D Charcoal Stripped Serum ribosome protected fragments,Human triple negative breast cancer,MDA-MB-231,breast,adult,metastatic,ribosome protected fragments,GSM3611952
SRR8590781,8791159,536260699,61,205,SRX5391050,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP186252,PRJNA523167,31911279,"",SRS4378991,SAMN10965465,simple,9606,Homo sapiens,GSM3611937,GEO,SRA850276,12,2019,Vaklavas,Human ER(+) breast cancer,T47D Charcoal Stripped Serum ribosome protected fragments,Human triple negative breast cancer,MDA-MB-231,breast,adult,metastatic,ribosome protected fragments,GSM3611953
SRR8590782,9437171,575667431,61,241,SRX5391050,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP186252,PRJNA523167,31911279,"",SRS4378991,SAMN10965465,simple,9606,Homo sapiens,GSM3611937,GEO,SRA850276,12,2019,Vaklavas,Human ER(+) breast cancer,T47D Charcoal Stripped Serum ribosome protected fragments,Human triple negative breast cancer,MDA-MB-231,breast,adult,metastatic,,GSM3611954
SRR8590783,8843129,539430869,61,208,SRX5391050,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP186252,PRJNA523167,31911279,"",SRS4378991,SAMN10965465,simple,9606,Homo sapiens,GSM3611937,GEO,SRA850276,12,2019,Vaklavas,Human ER(+) breast cancer,T47D Charcoal Stripped Serum ribosome protected fragments,Human triple negative breast cancer,MDA-MB-231,breast,adult,metastatic,,GSM3611955
SRR8590784,14892476,1519032552,51,627,SRX5391051,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP186252,PRJNA523167,31911279,"",SRS4378992,SAMN10965464,simple,9606,Homo sapiens,GSM3611938,GEO,SRA850276,12,2019,Vaklavas,Human ER(+) breast cancer,T47D Full Serum RNA-seq,adult human female breast,Human mammary epithelial cells (HMECs),breast,adult,no apparent disease,ribosome protected fragments,GSM3611926
SRR8590785,15426242,1573476684,51,644,SRX5391051,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP186252,PRJNA523167,31911279,"",SRS4378992,SAMN10965464,simple,9606,Homo sapiens,GSM3611938,GEO,SRA850276,12,2019,Vaklavas,Human ER(+) breast cancer,T47D Full Serum RNA-seq,adult human female breast,Human mammary epithelial cells (HMECs),breast,adult,no apparent disease,ribosome protected fragments,GSM3611927
SRR8590786,19795938,2019185676,51,785,SRX5391052,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP186252,PRJNA523167,31911279,"",SRS4378993,SAMN10965463,simple,9606,Homo sapiens,GSM3611939,GEO,SRA850276,12,2019,Vaklavas,Human ER(+) breast cancer,T47D Charcoal Stripped Serum RNA-seq,adult human female breast,Human mammary epithelial cells (HMECs),breast,adult,no apparent disease,ribosome protected fragments,GSM3611928
SRR8590787,29103941,2968601982,51,1140,SRX5391052,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP186252,PRJNA523167,31911279,"",SRS4378993,SAMN10965463,simple,9606,Homo sapiens,GSM3611939,GEO,SRA850276,12,2019,Vaklavas,Human ER(+) breast cancer,T47D Charcoal Stripped Serum RNA-seq,adult human female breast,Human mammary epithelial cells (HMECs),breast,adult,no apparent disease,,GSM3611929
SRR8590788,20470180,2087958360,51,783,SRX5391052,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP186252,PRJNA523167,31911279,"",SRS4378993,SAMN10965463,simple,9606,Homo sapiens,GSM3611939,GEO,SRA850276,12,2019,Vaklavas,Human ER(+) breast cancer,T47D Charcoal Stripped Serum RNA-seq,adult human female breast,Human mammary epithelial cells (HMECs),breast,adult,no apparent disease,,GSM3611930
SRR8590789,29843197,3044006094,51,1169,SRX5391052,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP186252,PRJNA523167,31911279,"",SRS4378993,SAMN10965463,simple,9606,Homo sapiens,GSM3611939,GEO,SRA850276,12,2019,Vaklavas,Human ER(+) breast cancer,T47D Charcoal Stripped Serum RNA-seq,adult human female breast,Human mammary epithelial cells (HMECs),breast,adult,no apparent disease,,GSM3611931
SRR8590790,60103476,2784467539,46,1206,SRX5391053,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP186252,PRJNA523167,31911279,"",SRS4378994,SAMN10965462,simple,9606,Homo sapiens,GSM3611940,GEO,SRA850276,12,2019,Vaklavas,Human ER(+) breast cancer,ZR75-1 Full Serum ribosome protected fragments,"adult human female breast, fibrocystic disease",MCF10A,breast,adult,fibrocystic disease,ribosome protected fragments,GSM3611932
SRR8590791,67052659,3019748730,45,1318,SRX5391054,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP186252,PRJNA523167,31911279,"",SRS4378996,SAMN10965461,simple,9606,Homo sapiens,GSM3611941,GEO,SRA850276,12,2019,Vaklavas,Human ER(+) breast cancer,ZR75-1 Charcoal Stripped Serum ribosome protected fragments,"adult human female breast, fibrocystic disease",MCF10A,breast,adult,fibrocystic disease,ribosome protected fragments,GSM3611933
SRR8590792,94960530,14282735927,75,5050,SRX5391055,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP186252,PRJNA523167,31911279,"",SRS4378995,SAMN10965460,simple,9606,Homo sapiens,GSM3611942,GEO,SRA850276,12,2019,Vaklavas,Human ER(+) breast cancer,ZR75-1 Full Serum RNA-seq,"adult human female breast, fibrocystic disease",MCF10A,breast,adult,fibrocystic disease,,GSM3611934
SRR8590793,95729606,14335599135,74,5072,SRX5391056,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP186252,PRJNA523167,31911279,"",SRS4378997,SAMN10965459,simple,9606,Homo sapiens,GSM3611943,GEO,SRA850276,12,2019,Vaklavas,Human ER(+) breast cancer,ZR75-1 Charcoal Stripped Serum RNA-seq,"adult human female breast, fibrocystic disease",MCF10A,breast,adult,fibrocystic disease,,GSM3611935
SRR8590794,34419133,1755375783,51,725,SRX5391057,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP186252,PRJNA523167,31911279,"",SRS4378998,SAMN10965458,simple,9606,Homo sapiens,GSM3611944,GEO,SRA850276,12,2019,Vaklavas,Human triple negative breast cancer,SUM159PT Full Serum ribosome protected fragments,Human ER(+) breast cancer,T47D,breast,adult,metastatic,ribosome protected fragments,GSM3611936
SRR8590795,34223438,1745395338,51,715,SRX5391057,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP186252,PRJNA523167,31911279,"",SRS4378998,SAMN10965458,simple,9606,Homo sapiens,GSM3611944,GEO,SRA850276,12,2019,Vaklavas,Human triple negative breast cancer,SUM159PT Full Serum ribosome protected fragments,Human ER(+) breast cancer,T47D,breast,adult,metastatic,ribosome protected fragments,GSM3611937
SRR8590796,44061160,2247119160,51,949,SRX5391058,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP186252,PRJNA523167,31911279,"",SRS4378999,SAMN10965457,simple,9606,Homo sapiens,GSM3611945,GEO,SRA850276,12,2019,Vaklavas,Human triple negative breast cancer,SUM159PT Full Serum 5 hours ribosome protected fragments,Human ER(+) breast cancer,T47D,breast,adult,metastatic,,GSM3611938
SRR8590797,43309700,2208794700,51,933,SRX5391058,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP186252,PRJNA523167,31911279,"",SRS4378999,SAMN10965457,simple,9606,Homo sapiens,GSM3611945,GEO,SRA850276,12,2019,Vaklavas,Human triple negative breast cancer,SUM159PT Full Serum 5 hours ribosome protected fragments,Human ER(+) breast cancer,T47D,breast,adult,metastatic,,GSM3611939
SRR8590798,8482375,517424875,61,199,SRX5391059,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP186252,PRJNA523167,31911279,"",SRS4379000,SAMN10965456,simple,9606,Homo sapiens,GSM3611946,GEO,SRA850276,12,2019,Vaklavas,Human triple negative breast cancer,SUM159PT Serum Deprived 1 hour ribosome protected fragments,Human ER(+) breast cancer,ZR75-1,breast,adult,metastatic,ribosome protected fragments,GSM3611940
SRR8590799,8937094,545162734,61,230,SRX5391059,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP186252,PRJNA523167,31911279,"",SRS4379000,SAMN10965456,simple,9606,Homo sapiens,GSM3611946,GEO,SRA850276,12,2019,Vaklavas,Human triple negative breast cancer,SUM159PT Serum Deprived 1 hour ribosome protected fragments,Human ER(+) breast cancer,ZR75-1,breast,adult,metastatic,ribosome protected fragments,GSM3611941
SRR8590800,8425713,513968493,61,199,SRX5391059,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP186252,PRJNA523167,31911279,"",SRS4379000,SAMN10965456,simple,9606,Homo sapiens,GSM3611946,GEO,SRA850276,12,2019,Vaklavas,Human triple negative breast cancer,SUM159PT Serum Deprived 1 hour ribosome protected fragments,Human ER(+) breast cancer,ZR75-1,breast,adult,metastatic,,GSM3611942
SRR8590801,8857645,540316345,61,227,SRX5391059,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP186252,PRJNA523167,31911279,"",SRS4379000,SAMN10965456,simple,9606,Homo sapiens,GSM3611946,GEO,SRA850276,12,2019,Vaklavas,Human triple negative breast cancer,SUM159PT Serum Deprived 1 hour ribosome protected fragments,Human ER(+) breast cancer,ZR75-1,breast,adult,metastatic,,GSM3611943
SRR8590802,54115105,2759870355,51,1243,SRX5391060,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP186252,PRJNA523167,31911279,"",SRS4379001,SAMN10965455,simple,9606,Homo sapiens,GSM3611947,GEO,SRA850276,12,2019,Vaklavas,Human triple negative breast cancer,SUM159PT Serum Deprived 24 hours ribosome protected fragments,Human triple negative breast cancer,SUM159PT,breast,adult,primary tumor,ribosome protected fragments,GSM3611944
SRR8590803,23357514,2382466428,51,982,SRX5391061,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP186252,PRJNA523167,31911279,"",SRS4379002,SAMN10965454,simple,9606,Homo sapiens,GSM3611948,GEO,SRA850276,12,2019,Vaklavas,Human triple negative breast cancer,SUM159PT Full Serum RNA-seq,Human triple negative breast cancer,SUM159PT,breast,adult,primary tumor,ribosome protected fragments,GSM3611945
SRR8590804,24327044,2481358488,51,1014,SRX5391061,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP186252,PRJNA523167,31911279,"",SRS4379002,SAMN10965454,simple,9606,Homo sapiens,GSM3611948,GEO,SRA850276,12,2019,Vaklavas,Human triple negative breast cancer,SUM159PT Full Serum RNA-seq,Human triple negative breast cancer,SUM159PT,breast,adult,primary tumor,ribosome protected fragments,GSM3611946
SRR8590805,14989886,1528968372,51,658,SRX5391062,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP186252,PRJNA523167,31911279,"",SRS4379003,SAMN10965453,simple,9606,Homo sapiens,GSM3611949,GEO,SRA850276,12,2019,Vaklavas,Human triple negative breast cancer,SUM159PT Full Serum 5 hours RNA-seq,Human triple negative breast cancer,SUM159PT,breast,adult,primary tumor,ribosome protected fragments,GSM3611947
SRR8590806,15066330,1536765660,51,662,SRX5391062,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP186252,PRJNA523167,31911279,"",SRS4379003,SAMN10965453,simple,9606,Homo sapiens,GSM3611949,GEO,SRA850276,12,2019,Vaklavas,Human triple negative breast cancer,SUM159PT Full Serum 5 hours RNA-seq,Human triple negative breast cancer,SUM159PT,breast,adult,primary tumor,,GSM3611948
SRR8590807,33321366,3398779332,51,1316,SRX5391063,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP186252,PRJNA523167,31911279,"",SRS4379004,SAMN10965452,simple,9606,Homo sapiens,GSM3611950,GEO,SRA850276,12,2019,Vaklavas,Human triple negative breast cancer,SUM159PT Serum Deprived 1 hour RNA-seq,Human triple negative breast cancer,SUM159PT,breast,adult,primary tumor,,GSM3611949
SRR8590808,23204576,2366866752,51,928,SRX5391063,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP186252,PRJNA523167,31911279,"",SRS4379004,SAMN10965452,simple,9606,Homo sapiens,GSM3611950,GEO,SRA850276,12,2019,Vaklavas,Human triple negative breast cancer,SUM159PT Serum Deprived 1 hour RNA-seq,Human triple negative breast cancer,SUM159PT,breast,adult,primary tumor,,GSM3611950
