Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,genotype,genotype simplified,replicate
SRR9952661,42803984,1733494851,40,1825,SRX6701025,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP218125,PRJNA559859,34242585,"",SRS5256027,SAMN12561543,simple,10090,Mus musculus,GSM4026936,GEO,SRA938600,01,2020,Tiu,E10.5 mouse forelimbs,Rep2_RNA_S6,E10.5 mouse forelimbs,Rps6lox/+;Trp53+/+,Rps6 WT; Trp53 WT,Replicate 2
SRR9952662,41355979,1693828857,40,1776,SRX6701026,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP218125,PRJNA559859,34242585,"",SRS5256028,SAMN12561542,simple,10090,Mus musculus,GSM4026937,GEO,SRA938600,01,2020,Tiu,E10.5 mouse forelimbs,Rep2_RNA_S6_P53,E10.5 mouse forelimbs,Rps6lox/+;Trp53-/-,Rps6 WT; Trp53 null,Replicate 2
SRR9952663,76327115,2459617004,32,3053,SRX6701027,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP218125,PRJNA559859,34242585,"",SRS5256029,SAMN12561541,simple,10090,Mus musculus,GSM4026938,GEO,SRA938600,01,2020,Tiu,E10.5 mouse forelimbs,Rep3_Ribo_Cre_S6,E10.5 mouse forelimbs,Prx1Cre;Rps6lox/+;Trp53+/+,Rps6 het; Trp53 WT,Replicate 3
SRR9952664,67112958,2115317121,31,2673,SRX6701028,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP218125,PRJNA559859,34242585,"",SRS5256030,SAMN12561565,simple,10090,Mus musculus,GSM4026939,GEO,SRA938600,01,2020,Tiu,E10.5 mouse forelimbs,Rep3_Ribo_Cre_S6_P53,E10.5 mouse forelimbs,Prx1Cre;Rps6lox/+;Trp53-/-,Rps6 het; Trp53 null,Replicate 3
SRR9952666,82122060,2609290060,31,3277,SRX6701029,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP218125,PRJNA559859,34242585,"",SRS5256031,SAMN12561564,simple,10090,Mus musculus,GSM4026940,GEO,SRA938600,01,2020,Tiu,E10.5 mouse forelimbs,Rep3_Ribo_S6,E10.5 mouse forelimbs,Rps6lox/+;Trp53+/+,Rps6 WT; Trp53 WT,Replicate 3
SRR9952667,60083797,1926082143,32,2399,SRX6701030,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP218125,PRJNA559859,34242585,"",SRS5256032,SAMN12561563,simple,10090,Mus musculus,GSM4026941,GEO,SRA938600,01,2020,Tiu,E10.5 mouse forelimbs,Rep3_Ribo_S6_P53,E10.5 mouse forelimbs,Rps6lox/+;Trp53-/-,Rps6 WT; Trp53 null,Replicate 3
SRR9952668,62992738,2549191717,40,2742,SRX6701031,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP218125,PRJNA559859,34242585,"",SRS5256033,SAMN12561562,simple,10090,Mus musculus,GSM4026942,GEO,SRA938600,01,2020,Tiu,E10.5 mouse forelimbs,Rep3_RNA_Cre_S6,E10.5 mouse forelimbs,Prx1Cre;Rps6lox/+;Trp53+/+,Rps6 het; Trp53 WT,Replicate 3
SRR9952669,61344258,2480921381,40,2666,SRX6701032,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP218125,PRJNA559859,34242585,"",SRS5256034,SAMN12561561,simple,10090,Mus musculus,GSM4026943,GEO,SRA938600,01,2020,Tiu,E10.5 mouse forelimbs,Rep3_RNA_Cre_S6_P53,E10.5 mouse forelimbs,Prx1Cre;Rps6lox/+;Trp53-/-,Rps6 het; Trp53 null,Replicate 3
SRR9952670,59467997,2386445379,40,2585,SRX6701033,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP218125,PRJNA559859,34242585,"",SRS5256035,SAMN12561560,simple,10090,Mus musculus,GSM4026944,GEO,SRA938600,01,2020,Tiu,E10.5 mouse forelimbs,Rep3_RNA_S6,E10.5 mouse forelimbs,Rps6lox/+;Trp53+/+,Rps6 WT; Trp53 WT,Replicate 3
SRR9952671,46379413,1845163511,39,2007,SRX6701034,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP218125,PRJNA559859,34242585,"",SRS5256036,SAMN12561559,simple,10090,Mus musculus,GSM4026945,GEO,SRA938600,01,2020,Tiu,E10.5 mouse forelimbs,Rep3_RNA_S6_P53,E10.5 mouse forelimbs,Rps6lox/+;Trp53-/-,Rps6 WT; Trp53 null,Replicate 3
