Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,treatment,knockdown,GEO Accession
SRR14624495,21888026,6566407800,150,1920,SRX10965451,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP320955,PRJNA732080,1,"",SRS9043212,SAMN19310897,simple,6239,Caenorhabditis elegans,GSM5331552,GEO,SRA1235449,05,2022,Makar,young adult,E02H1.1-3_mRNAseq,young adult,,E02H1.1,GSM5331552
SRR14624496,24797612,7439283600,150,2166,SRX10965452,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP320955,PRJNA732080,1,"",SRS9043213,SAMN19310896,simple,6239,Caenorhabditis elegans,GSM5331553,GEO,SRA1235449,05,2022,Makar,young adult,E02H1.1-4_mRNAseq,young adult,,E02H1.1,GSM5331553
SRR14624497,23012382,6903714600,150,2000,SRX10965453,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP320955,PRJNA732080,1,"",SRS9043214,SAMN19310895,simple,6239,Caenorhabditis elegans,GSM5331554,GEO,SRA1235449,05,2022,Makar,young adult,C27F2.4-1_mRNAseq,young adult,,C27F2.4,GSM5331554
SRR14624498,21815578,6544673400,150,1912,SRX10965454,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP320955,PRJNA732080,1,"",SRS9043215,SAMN19310894,simple,6239,Caenorhabditis elegans,GSM5331555,GEO,SRA1235449,05,2022,Makar,young adult,C27F2.4-2_mRNAseq,young adult,,C27F2.4,GSM5331555
SRR14624499,21603418,6481025400,150,1884,SRX10965455,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP320955,PRJNA732080,1,"",SRS9043216,SAMN19310893,simple,6239,Caenorhabditis elegans,GSM5331556,GEO,SRA1235449,05,2022,Makar,young adult,C27F2.4-3_mRNAseq,young adult,,C27F2.4,GSM5331556
SRR14624500,22707624,6812287200,150,2005,SRX10965456,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP320955,PRJNA732080,1,"",SRS9043217,SAMN19310892,simple,6239,Caenorhabditis elegans,GSM5331557,GEO,SRA1235449,05,2022,Makar,young adult,C27F2.4-4_mRNAseq,young adult,,C27F2.4,GSM5331557
SRR14624501,34525760,2567290768,74,970,SRX10965457,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP320955,PRJNA732080,1,"",SRS9043218,SAMN19310891,simple,6239,Caenorhabditis elegans,GSM5331558,GEO,SRA1235449,05,2022,Makar,young adult,Fed-1_RiboSeq,young adult,Fed,,GSM5331558
SRR14624502,31030399,2314200342,74,881,SRX10965458,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP320955,PRJNA732080,1,"",SRS9043219,SAMN19310903,simple,6239,Caenorhabditis elegans,GSM5331559,GEO,SRA1235449,05,2022,Makar,young adult,Fed-2_RiboSeq,young adult,Fed,,GSM5331559
SRR14624503,27038334,2006492149,74,765,SRX10965459,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP320955,PRJNA732080,1,"",SRS9043220,SAMN19310902,simple,6239,Caenorhabditis elegans,GSM5331560,GEO,SRA1235449,05,2022,Makar,young adult,Fed-3_RiboSeq,young adult,Fed,,GSM5331560
SRR14624504,25453883,1897092519,74,731,SRX10965460,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP320955,PRJNA732080,1,"",SRS9043221,SAMN19310901,simple,6239,Caenorhabditis elegans,GSM5331561,GEO,SRA1235449,05,2022,Makar,young adult,Fed-4_RiboSeq,young adult,Fed,,GSM5331561
SRR14624505,22480519,1674170173,74,635,SRX10965461,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP320955,PRJNA732080,1,"",SRS9043222,SAMN19310900,simple,6239,Caenorhabditis elegans,GSM5331562,GEO,SRA1235449,05,2022,Makar,young adult,Fed-5_RiboSeq,young adult,Fed,,GSM5331562
SRR14624506,23716860,1757501273,74,671,SRX10965462,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP320955,PRJNA732080,1,"",SRS9043223,SAMN19310976,simple,6239,Caenorhabditis elegans,GSM5331563,GEO,SRA1235449,05,2022,Makar,young adult,Fed-6_RiboSeq,young adult,Fed,,GSM5331563
SRR14624507,26246922,1954855377,74,754,SRX10965463,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP320955,PRJNA732080,1,"",SRS9043224,SAMN19310890,simple,6239,Caenorhabditis elegans,GSM5331564,GEO,SRA1235449,05,2022,Makar,young adult,Starved-1_RiboSeq,young adult,Starved,,GSM5331564
SRR14624508,23195914,1726191496,74,658,SRX10965464,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP320955,PRJNA732080,1,"",SRS9043225,SAMN19310889,simple,6239,Caenorhabditis elegans,GSM5331565,GEO,SRA1235449,05,2022,Makar,young adult,Starved-2_RiboSeq,young adult,Starved,,GSM5331565
SRR14624509,23067256,1719136247,74,662,SRX10965465,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP320955,PRJNA732080,1,"",SRS9043226,SAMN19310888,simple,6239,Caenorhabditis elegans,GSM5331566,GEO,SRA1235449,05,2022,Makar,young adult,Starved-3_RiboSeq,young adult,Starved,,GSM5331566
SRR14624477,23610521,7083156300,150,2101,SRX10965466,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP320955,PRJNA732080,1,"",SRS9043227,SAMN19310882,simple,6239,Caenorhabditis elegans,GSM5331534,GEO,SRA1235449,05,2022,Makar,young adult,Fed-1_mRNAseq,young adult,Fed,,GSM5331534
SRR14624478,22535541,6760662300,150,2003,SRX10965467,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP320955,PRJNA732080,1,"",SRS9043228,SAMN19310881,simple,6239,Caenorhabditis elegans,GSM5331535,GEO,SRA1235449,05,2022,Makar,young adult,Fed-2_mRNAseq,young adult,Fed,,GSM5331535
SRR14624479,23403253,7020975900,150,2129,SRX10965468,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP320955,PRJNA732080,1,"",SRS9043229,SAMN19310880,simple,6239,Caenorhabditis elegans,GSM5331536,GEO,SRA1235449,05,2022,Makar,young adult,Fed-3_mRNAseq,young adult,Fed,,GSM5331536
SRR14624480,23488326,7046497800,150,2109,SRX10965469,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP320955,PRJNA732080,1,"",SRS9043230,SAMN19310879,simple,6239,Caenorhabditis elegans,GSM5331537,GEO,SRA1235449,05,2022,Makar,young adult,Fed-4_mRNAseq,young adult,Fed,,GSM5331537
