Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,ENA first public,ENA last update,External Id,INSDC center alias,INSDC center name,INSDC first public,INSDC last update,INSDC status,Submitter Id,broker name,cell line,cell type,common name,developmental stage,disease,genotype,individual,organism part,phenotype,sample name,Experimental Factor: strain,Experimental Factor: library selection
ERR3403475,23462367,1196580717,51,580,ERX3427235,C3TTr_s,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP116020,PRJEB33244,1,"",ERS3547453,SAMEA5744166,simple,9606,Homo sapiens,SAMEA5744166,"MRC Toxicology Unit, University of Cambridge",ERA2022066,03,2021,Makar,"",C3TTr,2019-11-29,2019-06-28,SAMEA5744171,"MRC Toxicology Unit, University of Cambridge","MRC Toxicology Unit, University of Cambridge",2019-11-29T04:03:49Z,2019-06-28T12:18:10Z,public,E-MTAB-8100:M3RPF,ArrayExpress,H1299,lung cancer cell,human,adult,non-small cell lung carcinoma,p53 R175H,M3,lung,mutant cells over-express mutant (gain of function) p53,E-MTAB-8100:M3RPF,p53 R175H,size fractionation
ERR3403476,23871643,1217453793,51,593,ERX3427235,C3TTr_s,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP116020,PRJEB33244,1,"",ERS3547453,SAMEA5744166,simple,9606,Homo sapiens,SAMEA5744166,"MRC Toxicology Unit, University of Cambridge",ERA2022066,03,2021,Makar,"",C3TTr,2019-11-29,2019-06-28,SAMEA5744172,"MRC Toxicology Unit, University of Cambridge","MRC Toxicology Unit, University of Cambridge",2019-11-29T04:03:49Z,2019-06-28T12:18:10Z,public,E-MTAB-8100:M3TTr,ArrayExpress,H1299,lung cancer cell,human,adult,non-small cell lung carcinoma,p53 R175H,M3,lung,mutant cells over-express mutant (gain of function) p53,E-MTAB-8100:M3TTr,p53 R175H,random
ERR3403477,16458018,839358918,51,390,ERX3427236,M1RPF_s,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP116020,PRJEB33244,1,"",ERS3547454,SAMEA5744167,simple,9606,Homo sapiens,SAMEA5744167,"MRC Toxicology Unit, University of Cambridge",ERA2022066,03,2021,Makar,"",M1RPF,2019-11-29,2019-06-28,SAMEA5744173,"MRC Toxicology Unit, University of Cambridge","MRC Toxicology Unit, University of Cambridge",2019-11-29T04:03:49Z,2019-06-28T12:18:10Z,public,E-MTAB-8100:W1RPF,ArrayExpress,H1299,lung cancer cell,human,adult,non-small cell lung carcinoma,p53 WT,W1,lung,WT cells over-express wild type p53,E-MTAB-8100:W1RPF,p53 WT,size fractionation
ERR3403478,17334635,884066385,51,420,ERX3427236,M1RPF_s,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP116020,PRJEB33244,1,"",ERS3547454,SAMEA5744167,simple,9606,Homo sapiens,SAMEA5744167,"MRC Toxicology Unit, University of Cambridge",ERA2022066,03,2021,Makar,"",M1RPF,2019-11-29,2019-06-28,SAMEA5744174,"MRC Toxicology Unit, University of Cambridge","MRC Toxicology Unit, University of Cambridge",2019-11-29T04:03:49Z,2019-06-28T12:18:10Z,public,E-MTAB-8100:W1TTr,ArrayExpress,H1299,lung cancer cell,human,adult,non-small cell lung carcinoma,p53 WT,W1,lung,WT cells over-express wild type p53,E-MTAB-8100:W1TTr,p53 WT,random
ERR3403479,20175825,1028967075,51,495,ERX3427237,M1TTr_s,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP116020,PRJEB33244,1,"",ERS3547455,SAMEA5744168,simple,9606,Homo sapiens,SAMEA5744168,"MRC Toxicology Unit, University of Cambridge",ERA2022066,03,2021,Makar,"",M1TTr,2019-11-29,2019-06-28,SAMEA5744175,"MRC Toxicology Unit, University of Cambridge","MRC Toxicology Unit, University of Cambridge",2019-11-29T04:03:49Z,2019-06-28T12:18:10Z,public,E-MTAB-8100:W2RPF,ArrayExpress,H1299,lung cancer cell,human,adult,non-small cell lung carcinoma,p53 WT,W2,lung,WT cells over-express wild type p53,E-MTAB-8100:W2RPF,p53 WT,size fractionation
ERR3403480,20415960,1041213960,51,503,ERX3427237,M1TTr_s,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP116020,PRJEB33244,1,"",ERS3547455,SAMEA5744168,simple,9606,Homo sapiens,SAMEA5744168,"MRC Toxicology Unit, University of Cambridge",ERA2022066,03,2021,Makar,"",M1TTr,2019-11-29,2019-06-28,SAMEA5744176,"MRC Toxicology Unit, University of Cambridge","MRC Toxicology Unit, University of Cambridge",2019-11-29T04:03:49Z,2019-06-28T12:18:10Z,public,E-MTAB-8100:W2TTr,ArrayExpress,H1299,lung cancer cell,human,adult,non-small cell lung carcinoma,p53 WT,W2,lung,WT cells over-express wild type p53,E-MTAB-8100:W2TTr,p53 WT,random
ERR3403481,17537595,894417345,51,418,ERX3427238,M2RPF_s,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP116020,PRJEB33244,1,"",ERS3547456,SAMEA5744169,simple,9606,Homo sapiens,SAMEA5744169,"MRC Toxicology Unit, University of Cambridge",ERA2022066,03,2021,Makar,"",M2RPF,2019-11-29,2019-06-28,SAMEA5744177,"MRC Toxicology Unit, University of Cambridge","MRC Toxicology Unit, University of Cambridge",2019-11-29T04:03:49Z,2019-06-28T12:18:10Z,public,E-MTAB-8100:W3RPF,ArrayExpress,H1299,lung cancer cell,human,adult,non-small cell lung carcinoma,p53 WT,W3,lung,WT cells over-express wild type p53,E-MTAB-8100:W3RPF,p53 WT,size fractionation
ERR3403482,18463058,941615958,51,451,ERX3427238,M2RPF_s,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP116020,PRJEB33244,1,"",ERS3547456,SAMEA5744169,simple,9606,Homo sapiens,SAMEA5744169,"MRC Toxicology Unit, University of Cambridge",ERA2022066,03,2021,Makar,"",M2RPF,2019-11-29,2019-06-28,SAMEA5744178,"MRC Toxicology Unit, University of Cambridge","MRC Toxicology Unit, University of Cambridge",2019-11-29T04:03:49Z,2019-06-28T12:18:10Z,public,E-MTAB-8100:W3TTr,ArrayExpress,H1299,lung cancer cell,human,adult,non-small cell lung carcinoma,p53 WT,W3,lung,WT cells over-express wild type p53,E-MTAB-8100:W3TTr,p53 WT,random
ERR3403483,20206307,1030521657,51,496,ERX3427239,M2TTr_s,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP116020,PRJEB33244,1,"",ERS3547457,SAMEA5744170,simple,9606,Homo sapiens,SAMEA5744170,"MRC Toxicology Unit, University of Cambridge",ERA2022066,03,2021,Makar,"",M2TTr,2019-11-29,2019-06-28,SAMEA5744161,"MRC Toxicology Unit, University of Cambridge","MRC Toxicology Unit, University of Cambridge",2019-11-29T04:03:49Z,2019-06-28T12:18:10Z,public,E-MTAB-8100:C1RPF,ArrayExpress,H1299,lung cancer cell,human,adult,non-small cell lung carcinoma,p53-/-,C1,lung,control cells naturally express no p53,E-MTAB-8100:C1RPF,p53-/-,size fractionation
ERR3403484,20396421,1040217471,51,503,ERX3427239,M2TTr_s,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP116020,PRJEB33244,1,"",ERS3547457,SAMEA5744170,simple,9606,Homo sapiens,SAMEA5744170,"MRC Toxicology Unit, University of Cambridge",ERA2022066,03,2021,Makar,"",M2TTr,2019-11-29,2019-06-28,SAMEA5744162,"MRC Toxicology Unit, University of Cambridge","MRC Toxicology Unit, University of Cambridge",2019-11-29T04:03:49Z,2019-06-28T12:18:10Z,public,E-MTAB-8100:C1TTr,ArrayExpress,H1299,lung cancer cell,human,adult,non-small cell lung carcinoma,p53-/-,C1,lung,control cells naturally express no p53,E-MTAB-8100:C1TTr,p53-/-,random
ERR3403485,14586986,743936286,51,346,ERX3427240,M3RPF_s,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP116020,PRJEB33244,1,"",ERS3547458,SAMEA5744171,simple,9606,Homo sapiens,SAMEA5744171,"MRC Toxicology Unit, University of Cambridge",ERA2022066,03,2021,Makar,"",M3RPF,2019-11-29,2019-06-28,SAMEA5744163,"MRC Toxicology Unit, University of Cambridge","MRC Toxicology Unit, University of Cambridge",2019-11-29T04:03:49Z,2019-06-28T12:18:10Z,public,E-MTAB-8100:C2RPF,ArrayExpress,H1299,lung cancer cell,human,adult,non-small cell lung carcinoma,p53-/-,C2,lung,control cells naturally express no p53,E-MTAB-8100:C2RPF,p53-/-,size fractionation
ERR3403486,15392587,785021937,51,374,ERX3427240,M3RPF_s,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP116020,PRJEB33244,1,"",ERS3547458,SAMEA5744171,simple,9606,Homo sapiens,SAMEA5744171,"MRC Toxicology Unit, University of Cambridge",ERA2022066,03,2021,Makar,"",M3RPF,2019-11-29,2019-06-28,SAMEA5744164,"MRC Toxicology Unit, University of Cambridge","MRC Toxicology Unit, University of Cambridge",2019-11-29T04:03:49Z,2019-06-28T12:18:10Z,public,E-MTAB-8100:C2TTr,ArrayExpress,H1299,lung cancer cell,human,adult,non-small cell lung carcinoma,p53-/-,C2,lung,control cells naturally express no p53,E-MTAB-8100:C2TTr,p53-/-,random
ERR3403487,19420244,990432444,51,477,ERX3427241,M3TTr_s,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP116020,PRJEB33244,1,"",ERS3547459,SAMEA5744172,simple,9606,Homo sapiens,SAMEA5744172,"MRC Toxicology Unit, University of Cambridge",ERA2022066,03,2021,Makar,"",M3TTr,2019-11-29,2019-06-28,SAMEA5744165,"MRC Toxicology Unit, University of Cambridge","MRC Toxicology Unit, University of Cambridge",2019-11-29T04:03:49Z,2019-06-28T12:18:10Z,public,E-MTAB-8100:C3RPF,ArrayExpress,H1299,lung cancer cell,human,adult,non-small cell lung carcinoma,p53-/-,C3,lung,control cells naturally express no p53,E-MTAB-8100:C3RPF,p53-/-,size fractionation
ERR3403488,19732261,1006345311,51,487,ERX3427241,M3TTr_s,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP116020,PRJEB33244,1,"",ERS3547459,SAMEA5744172,simple,9606,Homo sapiens,SAMEA5744172,"MRC Toxicology Unit, University of Cambridge",ERA2022066,03,2021,Makar,"",M3TTr,2019-11-29,2019-06-28,SAMEA5744166,"MRC Toxicology Unit, University of Cambridge","MRC Toxicology Unit, University of Cambridge",2019-11-29T04:03:49Z,2019-06-28T12:18:10Z,public,E-MTAB-8100:C3TTr,ArrayExpress,H1299,lung cancer cell,human,adult,non-small cell lung carcinoma,p53-/-,C3,lung,control cells naturally express no p53,E-MTAB-8100:C3TTr,p53-/-,random
ERR3403489,28383896,1447578696,51,675,ERX3427242,W1RPF_s,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP116020,PRJEB33244,1,"",ERS3547460,SAMEA5744173,simple,9606,Homo sapiens,SAMEA5744173,"MRC Toxicology Unit, University of Cambridge",ERA2022066,03,2021,Makar,"",W1RPF,2019-11-29,2019-06-28,SAMEA5744167,"MRC Toxicology Unit, University of Cambridge","MRC Toxicology Unit, University of Cambridge",2019-11-29T04:03:49Z,2019-06-28T12:18:10Z,public,E-MTAB-8100:M1RPF,ArrayExpress,H1299,lung cancer cell,human,adult,non-small cell lung carcinoma,p53 R175H,M1,lung,mutant cells over-express mutant (gain of function) p53,E-MTAB-8100:M1RPF,p53 R175H,size fractionation
ERR3403490,30037288,1531901688,51,732,ERX3427242,W1RPF_s,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP116020,PRJEB33244,1,"",ERS3547460,SAMEA5744173,simple,9606,Homo sapiens,SAMEA5744173,"MRC Toxicology Unit, University of Cambridge",ERA2022066,03,2021,Makar,"",W1RPF,2019-11-29,2019-06-28,SAMEA5744168,"MRC Toxicology Unit, University of Cambridge","MRC Toxicology Unit, University of Cambridge",2019-11-29T04:03:49Z,2019-06-28T12:18:10Z,public,E-MTAB-8100:M1TTr,ArrayExpress,H1299,lung cancer cell,human,adult,non-small cell lung carcinoma,p53 R175H,M1,lung,mutant cells over-express mutant (gain of function) p53,E-MTAB-8100:M1TTr,p53 R175H,random
ERR3403491,19266628,982598028,51,474,ERX3427243,W1TTr_s,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP116020,PRJEB33244,1,"",ERS3547461,SAMEA5744174,simple,9606,Homo sapiens,SAMEA5744174,"MRC Toxicology Unit, University of Cambridge",ERA2022066,03,2021,Makar,"",W1TTr,2019-11-29,2019-06-28,SAMEA5744169,"MRC Toxicology Unit, University of Cambridge","MRC Toxicology Unit, University of Cambridge",2019-11-29T04:03:49Z,2019-06-28T12:18:10Z,public,E-MTAB-8100:M2RPF,ArrayExpress,H1299,lung cancer cell,human,adult,non-small cell lung carcinoma,p53 R175H,M2,lung,mutant cells over-express mutant (gain of function) p53,E-MTAB-8100:M2RPF,p53 R175H,size fractionation
ERR3403492,19361491,987436041,51,478,ERX3427243,W1TTr_s,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP116020,PRJEB33244,1,"",ERS3547461,SAMEA5744174,simple,9606,Homo sapiens,SAMEA5744174,"MRC Toxicology Unit, University of Cambridge",ERA2022066,03,2021,Makar,"",W1TTr,2019-11-29,2019-06-28,SAMEA5744170,"MRC Toxicology Unit, University of Cambridge","MRC Toxicology Unit, University of Cambridge",2019-11-29T04:03:49Z,2019-06-28T12:18:10Z,public,E-MTAB-8100:M2TTr,ArrayExpress,H1299,lung cancer cell,human,adult,non-small cell lung carcinoma,p53 R175H,M2,lung,mutant cells over-express mutant (gain of function) p53,E-MTAB-8100:M2TTr,p53 R175H,random
ERR3403493,22192463,1131815613,51,530,ERX3427244,W2RPF_s,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP116020,PRJEB33244,1,"",ERS3547462,SAMEA5744175,simple,9606,Homo sapiens,SAMEA5744175,"MRC Toxicology Unit, University of Cambridge",ERA2022066,03,2021,Makar,"",W2RPF,2019-11-29,2019-06-28,SAMEA5744171,"MRC Toxicology Unit, University of Cambridge","MRC Toxicology Unit, University of Cambridge",2019-11-29T04:03:49Z,2019-06-28T12:18:10Z,public,E-MTAB-8100:M3RPF,ArrayExpress,H1299,lung cancer cell,human,adult,non-small cell lung carcinoma,p53 R175H,M3,lung,mutant cells over-express mutant (gain of function) p53,E-MTAB-8100:M3RPF,p53 R175H,size fractionation
ERR3403494,23309950,1188807450,51,570,ERX3427244,W2RPF_s,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP116020,PRJEB33244,1,"",ERS3547462,SAMEA5744175,simple,9606,Homo sapiens,SAMEA5744175,"MRC Toxicology Unit, University of Cambridge",ERA2022066,03,2021,Makar,"",W2RPF,2019-11-29,2019-06-28,SAMEA5744172,"MRC Toxicology Unit, University of Cambridge","MRC Toxicology Unit, University of Cambridge",2019-11-29T04:03:49Z,2019-06-28T12:18:10Z,public,E-MTAB-8100:M3TTr,ArrayExpress,H1299,lung cancer cell,human,adult,non-small cell lung carcinoma,p53 R175H,M3,lung,mutant cells over-express mutant (gain of function) p53,E-MTAB-8100:M3TTr,p53 R175H,random
ERR3403495,19757131,1007613681,51,488,ERX3427245,W2TTr_s,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP116020,PRJEB33244,1,"",ERS3547463,SAMEA5744176,simple,9606,Homo sapiens,SAMEA5744176,"MRC Toxicology Unit, University of Cambridge",ERA2022066,03,2021,Makar,"",W2TTr,2019-11-29,2019-06-28,SAMEA5744173,"MRC Toxicology Unit, University of Cambridge","MRC Toxicology Unit, University of Cambridge",2019-11-29T04:03:49Z,2019-06-28T12:18:10Z,public,E-MTAB-8100:W1RPF,ArrayExpress,H1299,lung cancer cell,human,adult,non-small cell lung carcinoma,p53 WT,W1,lung,WT cells over-express wild type p53,E-MTAB-8100:W1RPF,p53 WT,size fractionation
ERR3403496,19727006,1006077306,51,490,ERX3427245,W2TTr_s,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP116020,PRJEB33244,1,"",ERS3547463,SAMEA5744176,simple,9606,Homo sapiens,SAMEA5744176,"MRC Toxicology Unit, University of Cambridge",ERA2022066,03,2021,Makar,"",W2TTr,2019-11-29,2019-06-28,SAMEA5744174,"MRC Toxicology Unit, University of Cambridge","MRC Toxicology Unit, University of Cambridge",2019-11-29T04:03:49Z,2019-06-28T12:18:10Z,public,E-MTAB-8100:W1TTr,ArrayExpress,H1299,lung cancer cell,human,adult,non-small cell lung carcinoma,p53 WT,W1,lung,WT cells over-express wild type p53,E-MTAB-8100:W1TTr,p53 WT,random
ERR3403497,13811191,704370741,51,332,ERX3427246,W3RPF_s,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP116020,PRJEB33244,1,"",ERS3547464,SAMEA5744177,simple,9606,Homo sapiens,SAMEA5744177,"MRC Toxicology Unit, University of Cambridge",ERA2022066,03,2021,Makar,"",W3RPF,2019-11-29,2019-06-28,SAMEA5744175,"MRC Toxicology Unit, University of Cambridge","MRC Toxicology Unit, University of Cambridge",2019-11-29T04:03:49Z,2019-06-28T12:18:10Z,public,E-MTAB-8100:W2RPF,ArrayExpress,H1299,lung cancer cell,human,adult,non-small cell lung carcinoma,p53 WT,W2,lung,WT cells over-express wild type p53,E-MTAB-8100:W2RPF,p53 WT,size fractionation
