Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,ENA first public,ENA last update,External Id,INSDC center alias,INSDC center name,INSDC first public,INSDC last update,INSDC status,Submitter Id,age,broker name,cell line,cell type,common name,developmental stage,environmental stress,genotype,growth condition,organism part,sample name,sex,strain,Experimental Factor: time,Experimental Factor: environmental stress,Experimental Factor: growth condition,Experimental Factor: cell line
ERR4579381,26701420,4031132266,75,1605,ERX4515038,Translatome_in vitro_normoxia_siNCBP3_2_p,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,ERP123908,PRJEB40288,1,"",ERS5055562,SAMEA7296997,simple,10116,Rattus norvegicus,SAMEA7296997,"Department of Cardiology, the Third Xiangya Hospital of Central South University",ERA2870665,10,2020,Makar,"",Translatome_in vitro_normoxia_siNCBP3_2,2020-10-23,2020-09-09,SAMEA7296997,"Department of Cardiology, the Third Xiangya Hospital of Central South University","Department of Cardiology, the Third Xiangya Hospital of Central South University",2020-10-23T04:04:07Z,2020-09-09T17:34:49Z,public,E-MTAB-9541:Translatome_in vitro_normoxia_siNCBP3_2,6 to 8,ArrayExpress,H9C2,cardiomyocyte,Norway rat,adult,normoxia,wild type genotype,in vitro,heart,E-MTAB-9541:Translatome_in vitro_normoxia_siNCBP3_2,male,,0,normoxia,in vitro,H9C2
ERR4579382,22886734,3455191462,75,1375,ERX4515039,Translatome_in vitro_SH_1_p,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,ERP123908,PRJEB40288,1,"",ERS5055563,SAMEA7296998,simple,10116,Rattus norvegicus,SAMEA7296998,"Department of Cardiology, the Third Xiangya Hospital of Central South University",ERA2870665,10,2020,Makar,"",Translatome_in vitro_SH_1,2020-10-23,2020-09-09,SAMEA7296998,"Department of Cardiology, the Third Xiangya Hospital of Central South University","Department of Cardiology, the Third Xiangya Hospital of Central South University",2020-10-23T04:04:07Z,2020-09-09T17:34:49Z,public,E-MTAB-9541:Translatome_in vitro_SH_1,6 to 8,ArrayExpress,,cardiomyocyte,Norway rat,adult,severe hypoxia,wild type genotype,in vitro,heart,E-MTAB-9541:Translatome_in vitro_SH_1,male,,24,severe hypoxia,in vitro,not applicable
ERR4579383,25588106,3862998603,75,1538,ERX4515040,Translatome_in vitro_SH_2_p,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,ERP123908,PRJEB40288,1,"",ERS5055564,SAMEA7296999,simple,10116,Rattus norvegicus,SAMEA7296999,"Department of Cardiology, the Third Xiangya Hospital of Central South University",ERA2870665,10,2020,Makar,"",Translatome_in vitro_SH_2,2020-10-23,2020-09-09,SAMEA7296999,"Department of Cardiology, the Third Xiangya Hospital of Central South University","Department of Cardiology, the Third Xiangya Hospital of Central South University",2020-10-23T04:04:07Z,2020-09-09T17:34:49Z,public,E-MTAB-9541:Translatome_in vitro_SH_2,6 to 8,ArrayExpress,,cardiomyocyte,Norway rat,adult,severe hypoxia,wild type genotype,in vitro,heart,E-MTAB-9541:Translatome_in vitro_SH_2,male,,24,severe hypoxia,in vitro,not applicable
ERR4579384,24527861,3703312213,75,1474,ERX4515041,Transcriptome_in vivo_MH_1_p,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,ERP123908,PRJEB40288,1,"",ERS5055565,SAMEA7297000,simple,10116,Rattus norvegicus,SAMEA7297000,"Department of Cardiology, the Third Xiangya Hospital of Central South University",ERA2870665,10,2020,Makar,"",Transcriptome_in vivo_MH_1,2020-10-23,2020-09-09,SAMEA7297000,"Department of Cardiology, the Third Xiangya Hospital of Central South University","Department of Cardiology, the Third Xiangya Hospital of Central South University",2020-10-23T04:04:07Z,2020-09-09T17:34:49Z,public,E-MTAB-9541:Transcriptome_in vivo_MH_1,6 to 8,ArrayExpress,,cardiomyocyte,Norway rat,adult,mild hypoxia,wild type genotype,in vivo,heart left ventricle,E-MTAB-9541:Transcriptome_in vivo_MH_1,male,Sprague-Dawley,0.17,mild hypoxia,in vivo,not applicable
ERR4579385,27242715,4113178583,75,1637,ERX4515042,Transcriptome_in vivo_MH_2_p,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,ERP123908,PRJEB40288,1,"",ERS5055566,SAMEA7297001,simple,10116,Rattus norvegicus,SAMEA7297001,"Department of Cardiology, the Third Xiangya Hospital of Central South University",ERA2870665,10,2020,Makar,"",Transcriptome_in vivo_MH_2,2020-10-23,2020-09-09,SAMEA7297001,"Department of Cardiology, the Third Xiangya Hospital of Central South University","Department of Cardiology, the Third Xiangya Hospital of Central South University",2020-10-23T04:04:07Z,2020-09-09T17:34:49Z,public,E-MTAB-9541:Transcriptome_in vivo_MH_2,6 to 8,ArrayExpress,,cardiomyocyte,Norway rat,adult,mild hypoxia,wild type genotype,in vivo,heart left ventricle,E-MTAB-9541:Transcriptome_in vivo_MH_2,male,Sprague-Dawley,0.17,mild hypoxia,in vivo,not applicable
ERR4579386,24521679,3702273635,75,1474,ERX4515043,Transcriptome_in vivo_NC_1_p,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,ERP123908,PRJEB40288,1,"",ERS5055567,SAMEA7297002,simple,10116,Rattus norvegicus,SAMEA7297002,"Department of Cardiology, the Third Xiangya Hospital of Central South University",ERA2870665,10,2020,Makar,"",Transcriptome_in vivo_NC_1,2020-10-23,2020-09-09,SAMEA7297002,"Department of Cardiology, the Third Xiangya Hospital of Central South University","Department of Cardiology, the Third Xiangya Hospital of Central South University",2020-10-23T04:04:07Z,2020-09-09T17:34:49Z,public,E-MTAB-9541:Transcriptome_in vivo_NC_1,6 to 8,ArrayExpress,,cardiomyocyte,Norway rat,adult,normoxia,wild type genotype,in vivo,heart left ventricle,E-MTAB-9541:Transcriptome_in vivo_NC_1,male,Sprague-Dawley,0,normoxia,in vivo,not applicable
ERR4579387,27284328,4119435827,75,1640,ERX4515044,Transcriptome_in vivo_NC_2_p,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,ERP123908,PRJEB40288,1,"",ERS5055568,SAMEA7297003,simple,10116,Rattus norvegicus,SAMEA7297003,"Department of Cardiology, the Third Xiangya Hospital of Central South University",ERA2870665,10,2020,Makar,"",Transcriptome_in vivo_NC_2,2020-10-23,2020-09-09,SAMEA7297003,"Department of Cardiology, the Third Xiangya Hospital of Central South University","Department of Cardiology, the Third Xiangya Hospital of Central South University",2020-10-23T04:04:07Z,2020-09-09T17:34:49Z,public,E-MTAB-9541:Transcriptome_in vivo_NC_2,6 to 8,ArrayExpress,,cardiomyocyte,Norway rat,adult,normoxia,wild type genotype,in vivo,heart left ventricle,E-MTAB-9541:Transcriptome_in vivo_NC_2,male,Sprague-Dawley,0,normoxia,in vivo,not applicable
ERR4579388,21936260,3311974291,75,1318,ERX4515045,Transcriptome_in vivo_SH_1_p,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,ERP123908,PRJEB40288,1,"",ERS5055569,SAMEA7297004,simple,10116,Rattus norvegicus,SAMEA7297004,"Department of Cardiology, the Third Xiangya Hospital of Central South University",ERA2870665,10,2020,Makar,"",Transcriptome_in vivo_SH_1,2020-10-23,2020-09-09,SAMEA7297004,"Department of Cardiology, the Third Xiangya Hospital of Central South University","Department of Cardiology, the Third Xiangya Hospital of Central South University",2020-10-23T04:04:07Z,2020-09-09T17:34:49Z,public,E-MTAB-9541:Transcriptome_in vivo_SH_1,6 to 8,ArrayExpress,,cardiomyocyte,Norway rat,adult,severe hypoxia,wild type genotype,in vivo,heart left ventricle,E-MTAB-9541:Transcriptome_in vivo_SH_1,male,Sprague-Dawley,0.5,severe hypoxia,in vivo,not applicable
ERR4579389,27482840,4149409645,75,1652,ERX4515046,Transcriptome_in vivo_SH_2_p,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,ERP123908,PRJEB40288,1,"",ERS5055570,SAMEA7297005,simple,10116,Rattus norvegicus,SAMEA7297005,"Department of Cardiology, the Third Xiangya Hospital of Central South University",ERA2870665,10,2020,Makar,"",Transcriptome_in vivo_SH_2,2020-10-23,2020-09-09,SAMEA7297005,"Department of Cardiology, the Third Xiangya Hospital of Central South University","Department of Cardiology, the Third Xiangya Hospital of Central South University",2020-10-23T04:04:07Z,2020-09-09T17:34:49Z,public,E-MTAB-9541:Transcriptome_in vivo_SH_2,6 to 8,ArrayExpress,,cardiomyocyte,Norway rat,adult,severe hypoxia,wild type genotype,in vivo,heart left ventricle,E-MTAB-9541:Transcriptome_in vivo_SH_2,male,Sprague-Dawley,0.5,severe hypoxia,in vivo,not applicable
ERR4579390,22858536,3451095928,75,1374,ERX4515047,Translatome_in vivo_MH_1_p,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,ERP123908,PRJEB40288,1,"",ERS5055571,SAMEA7297006,simple,10116,Rattus norvegicus,SAMEA7297006,"Department of Cardiology, the Third Xiangya Hospital of Central South University",ERA2870665,10,2020,Makar,"",Translatome_in vivo_MH_1,2020-10-23,2020-09-09,SAMEA7297006,"Department of Cardiology, the Third Xiangya Hospital of Central South University","Department of Cardiology, the Third Xiangya Hospital of Central South University",2020-10-23T04:04:07Z,2020-09-09T17:34:49Z,public,E-MTAB-9541:Translatome_in vivo_MH_1,6 to 8,ArrayExpress,,cardiomyocyte,Norway rat,adult,mild hypoxia,wild type genotype,in vivo,heart left ventricle,E-MTAB-9541:Translatome_in vivo_MH_1,male,Sprague-Dawley,0.17,mild hypoxia,in vivo,not applicable
