Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,antibody name,number of replicates,barcodes,shRNA,GEO Accession
SRR5515138,6390271,319465786,49,152,SRX2788518,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP106608,PRJNA385767,28920958,"",SRS2170082,SAMN06909563,simple,9606,Homo sapiens,GSM2602079,GEO,SRA560458,09,2017,Vu,MOLM13 ribosome-depleted RNA,MOLM13 METTL3 shRNA #12 RNAseq rep1,MOLM13 ribosome-depleted RNA,Acute myeloid leukemia,NA,3,NA,METTL3 shRNA #12,GSM2602079
SRR5515139,5818895,291374904,50,138,SRX2788519,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP106608,PRJNA385767,28920958,"",SRS2170083,SAMN06909562,simple,9606,Homo sapiens,GSM2602080,GEO,SRA560458,09,2017,Vu,MOLM13 ribosome-depleted RNA,MOLM13 METTL3 shRNA #12 RNAseq rep 2,MOLM13 ribosome-depleted RNA,Acute myeloid leukemia,NA,3,NA,METTL3 shRNA #12,GSM2602080
SRR5515140,7350285,368014924,50,174,SRX2788520,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP106608,PRJNA385767,28920958,"",SRS2170084,SAMN06909566,simple,9606,Homo sapiens,GSM2602081,GEO,SRA560458,09,2017,Vu,MOLM13 ribosome-depleted RNA,MOLM13 METTL3 shRNA #12 RNAseq rep 3,MOLM13 ribosome-depleted RNA,Acute myeloid leukemia,NA,3,NA,METTL3 shRNA #12,GSM2602081
SRR5515141,12628723,393555916,31,210,SRX2788521,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP106608,PRJNA385767,28920958,"",SRS2170085,SAMN06909560,simple,9606,Homo sapiens,GSM2602082,GEO,SRA560458,09,2017,Vu,MOLM13 ribosome-depleted RNA,MOLM13 Control shRNA Ribo-seq rep 1,MOLM13 ribosome-depleted RNA,Acute myeloid leukemia,NA,3,NA,Control shRNA,GSM2602082
SRR5515142,13334921,416971233,31,222,SRX2788522,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP106608,PRJNA385767,28920958,"",SRS2170086,SAMN06909561,simple,9606,Homo sapiens,GSM2602083,GEO,SRA560458,09,2017,Vu,MOLM13 ribosome-depleted RNA,MOLM13 Control shRNA Ribo-seq rep 2,MOLM13 ribosome-depleted RNA,Acute myeloid leukemia,NA,3,NA,Control shRNA,GSM2602083
SRR5515144,14951109,470060546,31,251,SRX2788523,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP106608,PRJNA385767,28920958,"",SRS2170087,SAMN06909555,simple,9606,Homo sapiens,GSM2602085,GEO,SRA560458,09,2017,Vu,MOLM13 ribosome-depleted RNA,MOLM13 METTL3 shRNA #9 Ribo-seq rep 1,MOLM13 ribosome-depleted RNA,Acute myeloid leukemia,NA,3,NA,METTL3 shRNA #9,GSM2602085
SRR5515145,14287412,448876581,31,241,SRX2788524,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP106608,PRJNA385767,28920958,"",SRS2170088,SAMN06909556,simple,9606,Homo sapiens,GSM2602086,GEO,SRA560458,09,2017,Vu,MOLM13 ribosome-depleted RNA,MOLM13 METTL3 shRNA #9 Ribo-seq rep 2,MOLM13 ribosome-depleted RNA,Acute myeloid leukemia,NA,3,NA,METTL3 shRNA #9,GSM2602086
SRR5515146,12760329,400536309,31,215,SRX2788525,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP106608,PRJNA385767,28920958,"",SRS2170089,SAMN06909559,simple,9606,Homo sapiens,GSM2602087,GEO,SRA560458,09,2017,Vu,MOLM13 ribosome-depleted RNA,MOLM13 METTL3 shRNA #9 Ribo-seq rep 3,MOLM13 ribosome-depleted RNA,Acute myeloid leukemia,NA,3,NA,METTL3 shRNA #9,GSM2602087
SRR5515147,13092520,411508494,31,220,SRX2788526,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP106608,PRJNA385767,28920958,"",SRS2170090,SAMN06909558,simple,9606,Homo sapiens,GSM2602088,GEO,SRA560458,09,2017,Vu,MOLM13 ribosome-depleted RNA,MOLM13 METTL3 shRNA #12 Ribo-seq rep1,MOLM13 ribosome-depleted RNA,Acute myeloid leukemia,NA,3,NA,METTL3 shRNA #12,GSM2602088
SRR5515148,15378791,481600517,31,257,SRX2788527,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP106608,PRJNA385767,28920958,"",SRS2170091,SAMN06909557,simple,9606,Homo sapiens,GSM2602089,GEO,SRA560458,09,2017,Vu,MOLM13 ribosome-depleted RNA,MOLM13 METTL3 shRNA #12 Ribo-seq rep 2,MOLM13 ribosome-depleted RNA,Acute myeloid leukemia,NA,3,NA,METTL3 shRNA #12,GSM2602089
SRR5515149,17368471,543794511,31,290,SRX2788528,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP106608,PRJNA385767,28920958,"",SRS2170092,SAMN06909553,simple,9606,Homo sapiens,GSM2602090,GEO,SRA560458,09,2017,Vu,MOLM13 ribosome-depleted RNA,MOLM13 METTL3 shRNA #12 Ribo-seq rep 3,MOLM13 ribosome-depleted RNA,Acute myeloid leukemia,NA,3,NA,METTL3 shRNA #12,GSM2602090
