Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,genotype
SRR22085474,50207426,1568937051,31,713,SRX18065592,GSM6696323,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP405122,PRJNA895461,36711592,"",SRS15571157,SAMN31510065,simple,4932,Saccharomyces cerevisiae,GSM6696323,"Section on Nutrient Control of Gene Expression, Eunice Kennedy Shriver National Institute of Child Health and Human Development, National Institutes of Health",SRA1530172,02,2023,Vijjamarri,Whole cells,RNA_dcp2D_Replicate_2,Whole cells,"W303 F2150 (MATa ade2-1 ura3-1 his3-11,15 trp1-1 leu2-3,112 can1-100 dcp2delta::HIS3)"
SRR22085473,50650421,1565161413,30,709,SRX18065593,GSM6696324,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP405122,PRJNA895461,36711592,"",SRS15571156,SAMN31510064,simple,4932,Saccharomyces cerevisiae,GSM6696324,"Section on Nutrient Control of Gene Expression, Eunice Kennedy Shriver National Institute of Child Health and Human Development, National Institutes of Health",SRA1530172,02,2023,Vijjamarri,Whole cells,RNA_dcp2-EE_Replicate_1,Whole cells,"W303 AKV022 (MATa ade2-1 ura3-1 his3-11,15 trp1-1 leu2-3,112 can1-100 dcp2-E149Q E153Q)"
SRR22085472,63494888,1947144868,30,882,SRX18065594,GSM6696325,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP405122,PRJNA895461,36711592,"",SRS15571158,SAMN31510063,simple,4932,Saccharomyces cerevisiae,GSM6696325,"Section on Nutrient Control of Gene Expression, Eunice Kennedy Shriver National Institute of Child Health and Human Development, National Institutes of Health",SRA1530172,02,2023,Vijjamarri,Whole cells,RNA_dcp2-EE_Replicate_2,Whole cells,"W303 AKV022 (MATa ade2-1 ura3-1 his3-11,15 trp1-1 leu2-3,112 can1-100 dcp2-E149Q E153Q)"
SRR22085471,23551554,1778150997,75,726,SRX18065595,GSM6696326,RNA-Seq,CAGE,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP405122,PRJNA895461,36711592,"",SRS15571159,SAMN31510062,simple,4932,Saccharomyces cerevisiae,GSM6696326,"Section on Nutrient Control of Gene Expression, Eunice Kennedy Shriver National Institute of Child Health and Human Development, National Institutes of Health",SRA1530172,02,2023,Vijjamarri,Whole cells,CAGE_WT_Replicate_1,Whole cells,"W303 F2147 (MATa ade2-1 ura3-1 his3-11,15 trp1-1 leu2-3,112 can1-100)"
SRR22085470,20845410,1574242856,75,644,SRX18065596,GSM6696327,RNA-Seq,CAGE,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP405122,PRJNA895461,36711592,"",SRS15571160,SAMN31510061,simple,4932,Saccharomyces cerevisiae,GSM6696327,"Section on Nutrient Control of Gene Expression, Eunice Kennedy Shriver National Institute of Child Health and Human Development, National Institutes of Health",SRA1530172,02,2023,Vijjamarri,Whole cells,CAGE_WT_Replicate_2,Whole cells,"W303 F2147 (MATa ade2-1 ura3-1 his3-11,15 trp1-1 leu2-3,112 can1-100)"
SRR22085469,20606352,1556108438,75,637,SRX18065597,GSM6696328,RNA-Seq,CAGE,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP405122,PRJNA895461,36711592,"",SRS15571161,SAMN31510060,simple,4932,Saccharomyces cerevisiae,GSM6696328,"Section on Nutrient Control of Gene Expression, Eunice Kennedy Shriver National Institute of Child Health and Human Development, National Institutes of Health",SRA1530172,02,2023,Vijjamarri,Whole cells,CAGE_dcp2D_Replicate_1,Whole cells,"W303 F2150 (MATa ade2-1 ura3-1 his3-11,15 trp1-1 leu2-3,112 can1-100 dcp2delta::HIS3)"
SRR22085468,20023956,1512086529,75,622,SRX18065598,GSM6696329,RNA-Seq,CAGE,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP405122,PRJNA895461,36711592,"",SRS15571162,SAMN31510059,simple,4932,Saccharomyces cerevisiae,GSM6696329,"Section on Nutrient Control of Gene Expression, Eunice Kennedy Shriver National Institute of Child Health and Human Development, National Institutes of Health",SRA1530172,02,2023,Vijjamarri,Whole cells,CAGE_dcp2D_Replicate_2,Whole cells,"W303 F2150 (MATa ade2-1 ura3-1 his3-11,15 trp1-1 leu2-3,112 can1-100 dcp2delta::HIS3)"
SRR22085467,20530079,1550100019,75,638,SRX18065599,GSM6696330,RNA-Seq,CAGE,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP405122,PRJNA895461,36711592,"",SRS15571163,SAMN31510058,simple,4932,Saccharomyces cerevisiae,GSM6696330,"Section on Nutrient Control of Gene Expression, Eunice Kennedy Shriver National Institute of Child Health and Human Development, National Institutes of Health",SRA1530172,02,2023,Vijjamarri,Whole cells,CAGE_xrn1D_Replicate_1,Whole cells,"W303 F2282 (MATa ade2-1 ura3-1 his3-11,15 trp1-1 leu2-3,112 can1-100 xrn1delta::ADE2)"
SRR22085466,21243201,1603724640,75,660,SRX18065600,GSM6696331,RNA-Seq,CAGE,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP405122,PRJNA895461,36711592,"",SRS15571164,SAMN31510057,simple,4932,Saccharomyces cerevisiae,GSM6696331,"Section on Nutrient Control of Gene Expression, Eunice Kennedy Shriver National Institute of Child Health and Human Development, National Institutes of Health",SRA1530172,02,2023,Vijjamarri,Whole cells,CAGE_xrn1D_Replicate_2,Whole cells,"W303 F2282 (MATa ade2-1 ura3-1 his3-11,15 trp1-1 leu2-3,112 can1-100 xrn1delta::ADE2)"
SRR22085465,65902896,6590289600,50,1943,SRX18065601,GSM6696332,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP405122,PRJNA895461,36711592,"",SRS15571165,SAMN31510056,simple,4932,Saccharomyces cerevisiae,GSM6696332,"Section on Nutrient Control of Gene Expression, Eunice Kennedy Shriver National Institute of Child Health and Human Development, National Institutes of Health",SRA1530172,02,2023,Vijjamarri,Whole cells,T_RNA_WT_Replicate_1,Whole cells,"W303 F2147 (MATa ade2-1 ura3-1 his3-11,15 trp1-1 leu2-3,112 can1-100)"
SRR22085464,77364598,7736459800,50,2326,SRX18065602,GSM6696333,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP405122,PRJNA895461,36711592,"",SRS15571166,SAMN31510055,simple,4932,Saccharomyces cerevisiae,GSM6696333,"Section on Nutrient Control of Gene Expression, Eunice Kennedy Shriver National Institute of Child Health and Human Development, National Institutes of Health",SRA1530172,02,2023,Vijjamarri,Whole cells,T_RNA_WT_Replicate_2,Whole cells,"W303 F2147 (MATa ade2-1 ura3-1 his3-11,15 trp1-1 leu2-3,112 can1-100)"
SRR22085463,68151332,6815133200,50,2020,SRX18065603,GSM6696334,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP405122,PRJNA895461,36711592,"",SRS15571168,SAMN31510054,simple,4932,Saccharomyces cerevisiae,GSM6696334,"Section on Nutrient Control of Gene Expression, Eunice Kennedy Shriver National Institute of Child Health and Human Development, National Institutes of Health",SRA1530172,02,2023,Vijjamarri,Whole cells,T_RNA_dcp2D_Replicate_1,Whole cells,"W303 F2150 (MATa ade2-1 ura3-1 his3-11,15 trp1-1 leu2-3,112 can1-100 dcp2delta::HIS3)"
SRR22085462,72376376,7237637600,50,2168,SRX18065604,GSM6696335,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP405122,PRJNA895461,36711592,"",SRS15571167,SAMN31510053,simple,4932,Saccharomyces cerevisiae,GSM6696335,"Section on Nutrient Control of Gene Expression, Eunice Kennedy Shriver National Institute of Child Health and Human Development, National Institutes of Health",SRA1530172,02,2023,Vijjamarri,Whole cells,T_RNA_dcp2D_Replicate_2,Whole cells,"W303 F2150 (MATa ade2-1 ura3-1 his3-11,15 trp1-1 leu2-3,112 can1-100 dcp2delta::HIS3)"
SRR22085461,113359129,11335912900,50,3329,SRX18065605,GSM6696336,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP405122,PRJNA895461,36711592,"",SRS15571169,SAMN31510052,simple,4932,Saccharomyces cerevisiae,GSM6696336,"Section on Nutrient Control of Gene Expression, Eunice Kennedy Shriver National Institute of Child Health and Human Development, National Institutes of Health",SRA1530172,02,2023,Vijjamarri,Whole cells,T_RNA_xrn1D_Replicate_1,Whole cells,"W303 F2282 (MATa ade2-1 ura3-1 his3-11,15 trp1-1 leu2-3,112 can1-100 xrn1delta::ADE2)"
