Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,ENA first public,ENA last update,External Id,INSDC center alias,INSDC center name,INSDC first public,INSDC last update,INSDC status,Submitter Id,cell line,cell type,common name,sample name,experimental factor: infection
ERR2603014,38695967,2902197525,75,1104,ERX2619670,"Cytoplasmic RNA-Seq of LoVo cells at time 10h post-infection), replicate 1",RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP108595,PRJEB26593,1,"",ERS2518605,SAMEA4698433,simple,9606,Homo sapiens,SAMEA4698433,ERA1502185,05,2020,Makar,"",LoVo cells 10h after infection by Listeria monocytogenes strain LL195 - Replicate 2,2020-05-28,2018-05-30,SAMEA4698433,IBENS,"Institut de Biologie de Ecole normale superieure (IBENS), France",2020-05-28T17:07:15Z,2018-05-30T09:37:49Z,public,10h-r2,LoVo ATCC CCL-229,Epithelial (colon adenocarcinoma),human,10h-r2,"Listeria monocytogenes LL195, 10 h"
ERR2603015,38582690,2893701750,75,1103,ERX2619671,"Cytoplasmic RNA-Seq of LoVo cells at time 10h post-infection), replicate 1",RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP108595,PRJEB26593,1,"",ERS2518606,SAMEA4698434,simple,9606,Homo sapiens,SAMEA4698434,ERA1502185,05,2020,Makar,"",LoVo cells 10h after infection by Listeria monocytogenes strain LL195 - Replicate 3,2020-05-28,2018-05-30,SAMEA4698434,IBENS,"Institut de Biologie de Ecole normale superieure (IBENS), France",2020-05-28T17:07:15Z,2018-05-30T09:37:50Z,public,10h-r3,LoVo ATCC CCL-229,Epithelial (colon adenocarcinoma),human,10h-r3,"Listeria monocytogenes LL195, 10 h"
ERR2603016,43279864,1287672558,29,1442,ERX2619672,"Ribosome profiling (RiboSeq) of ribosome footprints from LoVo cells at time 0h (mock infection), replicate 1",RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP108595,PRJEB26593,1,"",ERS2518595,SAMEA4698423,simple,9606,Homo sapiens,SAMEA4698423,ERA1502185,05,2020,Makar,"","Non-infected LoVo cells, Replicate 1",2020-05-28,2018-05-30,SAMEA4698423,IBENS,"Institut de Biologie de Ecole normale superieure (IBENS), France",2020-05-28T17:07:15Z,2018-05-30T09:37:49Z,public,0h-r1,LoVo ATCC CCL-229,Epithelial (colon adenocarcinoma),human,0h-r1,
ERR2603017,54067560,1595685866,29,1789,ERX2619673,"Ribosome profiling (RiboSeq) of ribosome footprints from LoVo cells at time 0h (mock infection), replicate 2",RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP108595,PRJEB26593,1,"",ERS2518596,SAMEA4698424,simple,9606,Homo sapiens,SAMEA4698424,ERA1502185,05,2020,Makar,"","Non-infected LoVo cells, Replicate 2",2020-05-28,2018-05-30,SAMEA4698424,IBENS,"Institut de Biologie de Ecole normale superieure (IBENS), France",2020-05-28T17:07:15Z,2018-05-30T09:37:49Z,public,0h-r2,LoVo ATCC CCL-229,Epithelial (colon adenocarcinoma),human,0h-r2,
ERR2603018,38913298,1137158598,29,1298,ERX2619674,"Ribosome profiling (RiboSeq) of ribosome footprints from LoVo cells at time 0h (mock infection), replicate 3",RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP108595,PRJEB26593,1,"",ERS2518597,SAMEA4698425,simple,9606,Homo sapiens,SAMEA4698425,ERA1502185,05,2020,Makar,"","Non-infected LoVo cells, Replicate 3",2020-05-28,2018-05-30,SAMEA4698425,IBENS,"Institut de Biologie de Ecole normale superieure (IBENS), France",2020-05-28T17:07:15Z,2018-05-30T09:37:49Z,public,0h-r3,LoVo ATCC CCL-229,Epithelial (colon adenocarcinoma),human,0h-r3,
ERR2603019,48034579,1415792285,29,1589,ERX2619675,"Ribosome profiling (RiboSeq) of ribosome footprints from LoVo cells at time 2h post-infection), replicate 1",RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP108595,PRJEB26593,1,"",ERS2518598,SAMEA4698426,simple,9606,Homo sapiens,SAMEA4698426,ERA1502185,05,2020,Makar,"",LoVo cells 2h after infection by Listeria monocytogenes strain LL195 - Replicate 1,2020-05-28,2018-05-30,SAMEA4698426,IBENS,"Institut de Biologie de Ecole normale superieure (IBENS), France",2020-05-28T17:07:15Z,2018-05-30T09:37:49Z,public,2h-r1,LoVo ATCC CCL-229,Epithelial (colon adenocarcinoma),human,2h-r1,"Listeria monocytogenes LL195, 2 h"
ERR2603020,55977053,1682594873,30,1892,ERX2619676,"Ribosome profiling (RiboSeq) of ribosome footprints from LoVo cells at time 2h post-infection), replicate 2",RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP108595,PRJEB26593,1,"",ERS2518599,SAMEA4698427,simple,9606,Homo sapiens,SAMEA4698427,ERA1502185,05,2020,Makar,"",LoVo cells 2h after infection by Listeria monocytogenes strain LL195 - Replicate 2,2020-05-28,2018-05-30,SAMEA4698427,IBENS,"Institut de Biologie de Ecole normale superieure (IBENS), France",2020-05-28T17:07:15Z,2018-05-30T09:37:49Z,public,2h-r2,LoVo ATCC CCL-229,Epithelial (colon adenocarcinoma),human,2h-r2,"Listeria monocytogenes LL195, 2 h"
ERR2603021,36519762,1072544267,29,1218,ERX2619677,"Ribosome profiling (RiboSeq) of ribosome footprints from LoVo cells at time 2h post-infection), replicate 3",RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP108595,PRJEB26593,1,"",ERS2518600,SAMEA4698428,simple,9606,Homo sapiens,SAMEA4698428,ERA1502185,05,2020,Makar,"",LoVo cells 2h after infection by Listeria monocytogenes strain LL195 - Replicate 3,2020-05-28,2018-05-30,SAMEA4698428,IBENS,"Institut de Biologie de Ecole normale superieure (IBENS), France",2020-05-28T17:07:15Z,2018-05-30T09:37:49Z,public,2h-r3,LoVo ATCC CCL-229,Epithelial (colon adenocarcinoma),human,2h-r3,"Listeria monocytogenes LL195, 2 h"
ERR2603022,41444539,1232868408,29,1392,ERX2619678,"Ribosome profiling (RiboSeq) of ribosome footprints from LoVo cells at time 5h post-infection), replicate 1",RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP108595,PRJEB26593,1,"",ERS2518601,SAMEA4698429,simple,9606,Homo sapiens,SAMEA4698429,ERA1502185,05,2020,Makar,"",LoVo cells 5h after infection by Listeria monocytogenes strain LL195 - Replicate 1,2020-05-28,2018-05-30,SAMEA4698429,IBENS,"Institut de Biologie de Ecole normale superieure (IBENS), France",2020-05-28T17:07:15Z,2018-05-30T09:37:49Z,public,5h-r1,LoVo ATCC CCL-229,Epithelial (colon adenocarcinoma),human,5h-r1,"Listeria monocytogenes LL195, 5 h"
ERR2603023,50653765,1517290960,29,1711,ERX2619679,"Ribosome profiling (RiboSeq) of ribosome footprints from LoVo cells at time 5h post-infection), replicate 2",RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP108595,PRJEB26593,1,"",ERS2518602,SAMEA4698430,simple,9606,Homo sapiens,SAMEA4698430,ERA1502185,05,2020,Makar,"",LoVo cells 5h after infection by Listeria monocytogenes strain LL195 - Replicate 2,2020-05-28,2018-05-30,SAMEA4698430,IBENS,"Institut de Biologie de Ecole normale superieure (IBENS), France",2020-05-28T17:07:15Z,2018-05-30T09:37:49Z,public,5h-r2,LoVo ATCC CCL-229,Epithelial (colon adenocarcinoma),human,5h-r2,"Listeria monocytogenes LL195, 5 h"
ERR2603024,42766719,1242349575,29,1412,ERX2619680,"Ribosome profiling (RiboSeq) of ribosome footprints from LoVo cells at time 5h post-infection), replicate 3",RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP108595,PRJEB26593,1,"",ERS2518603,SAMEA4698431,simple,9606,Homo sapiens,SAMEA4698431,ERA1502185,05,2020,Makar,"",LoVo cells 5h after infection by Listeria monocytogenes strain LL195 - Replicate 3,2020-05-28,2018-05-30,SAMEA4698431,IBENS,"Institut de Biologie de Ecole normale superieure (IBENS), France",2020-05-28T17:07:15Z,2018-05-30T09:37:49Z,public,5h-r3,LoVo ATCC CCL-229,Epithelial (colon adenocarcinoma),human,5h-r3,"Listeria monocytogenes LL195, 5 h"
ERR2603025,37852768,1135147102,29,1274,ERX2619681,"Ribosome profiling (RiboSeq) of ribosome footprints from LoVo cells at time 10h post-infection), replicate 1",RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP108595,PRJEB26593,1,"",ERS2518604,SAMEA4698432,simple,9606,Homo sapiens,SAMEA4698432,ERA1502185,05,2020,Makar,"",LoVo cells 10h after infection by Listeria monocytogenes strain LL195 - Replicate 1,2020-05-28,2018-05-30,SAMEA4698432,IBENS,"Institut de Biologie de Ecole normale superieure (IBENS), France",2020-05-28T17:07:15Z,2018-05-30T09:37:49Z,public,10h-r1,LoVo ATCC CCL-229,Epithelial (colon adenocarcinoma),human,10h-r1,"Listeria monocytogenes LL195, 10 h"
ERR2603026,38132274,1191070736,31,1342,ERX2619682,"Ribosome profiling (RiboSeq) of ribosome footprints from LoVo cells at time 10h post-infection), replicate 1",RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP108595,PRJEB26593,1,"",ERS2518605,SAMEA4698433,simple,9606,Homo sapiens,SAMEA4698433,ERA1502185,05,2020,Makar,"",LoVo cells 10h after infection by Listeria monocytogenes strain LL195 - Replicate 2,2020-05-28,2018-05-30,SAMEA4698433,IBENS,"Institut de Biologie de Ecole normale superieure (IBENS), France",2020-05-28T17:07:15Z,2018-05-30T09:37:49Z,public,10h-r2,LoVo ATCC CCL-229,Epithelial (colon adenocarcinoma),human,10h-r2,"Listeria monocytogenes LL195, 10 h"
ERR2603027,42030480,1217871290,28,1383,ERX2619683,"Ribosome profiling (RiboSeq) of ribosome footprints from LoVo cells at time 10h post-infection), replicate 1",RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP108595,PRJEB26593,1,"",ERS2518606,SAMEA4698434,simple,9606,Homo sapiens,SAMEA4698434,ERA1502185,05,2020,Makar,"",LoVo cells 10h after infection by Listeria monocytogenes strain LL195 - Replicate 3,2020-05-28,2018-05-30,SAMEA4698434,IBENS,"Institut de Biologie de Ecole normale superieure (IBENS), France",2020-05-28T17:07:15Z,2018-05-30T09:37:50Z,public,10h-r3,LoVo ATCC CCL-229,Epithelial (colon adenocarcinoma),human,10h-r3,"Listeria monocytogenes LL195, 10 h"
