Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,tissue,group,batch,Sex,GEO Accession
SRR12536479,25005790,7551748580,151,3205,SRX9026225,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 1000,SRP279108,PRJNA659794,33057013,"",SRS7277661,SAMN15927405,simple,10090,Mus musculus,GSM4750973,GEO,SRA1118235,09,2020,McCullough,CRH TRAPSeq,18,CRH TRAPSeq,Crh-TRAP,Central Amygdala,FC,1,female,GSM4750973
SRR12536480,24158941,7296000182,151,3122,SRX9026226,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 1000,SRP279108,PRJNA659794,33057013,"",SRS7277662,SAMN15927404,simple,10090,Mus musculus,GSM4750974,GEO,SRA1118235,09,2020,McCullough,CRH TRAPSeq,19,CRH TRAPSeq,Crh-TRAP,Central Amygdala,FC,1,female,GSM4750974
SRR12536481,23052884,6961970968,151,2953,SRX9026227,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 1000,SRP279108,PRJNA659794,33057013,"",SRS7277663,SAMN15927402,simple,10090,Mus musculus,GSM4750975,GEO,SRA1118235,09,2020,McCullough,CRH TRAPSeq,21,CRH TRAPSeq,Crh-TRAP,Central Amygdala,EXT,2,female,GSM4750975
SRR12536482,25363846,7659881492,151,3252,SRX9026228,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 1000,SRP279108,PRJNA659794,33057013,"",SRS7277664,SAMN15927401,simple,10090,Mus musculus,GSM4750976,GEO,SRA1118235,09,2020,McCullough,CRH TRAPSeq,22,CRH TRAPSeq,Crh-TRAP,Central Amygdala,EXT,3,male,GSM4750976
SRR12536483,24127852,7286611304,151,3117,SRX9026229,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 1000,SRP279108,PRJNA659794,33057013,"",SRS7277665,SAMN15927400,simple,10090,Mus musculus,GSM4750977,GEO,SRA1118235,09,2020,McCullough,CRH TRAPSeq,23,CRH TRAPSeq,Crh-TRAP,Central Amygdala,EXT,3,female,GSM4750977
SRR12536484,25585364,7726779928,151,3293,SRX9026230,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 1000,SRP279108,PRJNA659794,33057013,"",SRS7277666,SAMN15927399,simple,10090,Mus musculus,GSM4750978,GEO,SRA1118235,09,2020,McCullough,CRH TRAPSeq,24,CRH TRAPSeq,Crh-TRAP,Central Amygdala,EXT,5,female,GSM4750978
SRR12536485,23692845,7155239190,151,3037,SRX9026231,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 1000,SRP279108,PRJNA659794,33057013,"",SRS7277667,SAMN15927398,simple,10090,Mus musculus,GSM4750979,GEO,SRA1118235,09,2020,McCullough,CRH TRAPSeq,25,CRH TRAPSeq,Crh-TRAP,Central Amygdala,EXT,3,male,GSM4750979
SRR12536486,23038065,6957495630,151,2983,SRX9026232,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 1000,SRP279108,PRJNA659794,33057013,"",SRS7277668,SAMN15927397,simple,10090,Mus musculus,GSM4750980,GEO,SRA1118235,09,2020,McCullough,CRH TRAPSeq,26,CRH TRAPSeq,Crh-TRAP,Central Amygdala,EXT,1,female,GSM4750980
SRR12536487,21618644,6528830488,151,2809,SRX9026233,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 1000,SRP279108,PRJNA659794,33057013,"",SRS7277669,SAMN15927395,simple,10090,Mus musculus,GSM4750981,GEO,SRA1118235,09,2020,McCullough,CRH TRAPSeq,28,CRH TRAPSeq,Crh-TRAP,Central Amygdala,EXT,1,female,GSM4750981
SRR12536488,22539671,6806980642,151,2918,SRX9026234,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 1000,SRP279108,PRJNA659794,33057013,"",SRS7277670,SAMN15927394,simple,10090,Mus musculus,GSM4750982,GEO,SRA1118235,09,2020,McCullough,CRH TRAPSeq,31,CRH TRAPSeq,Crh-TRAP,Central Amygdala,TA,2,male,GSM4750982
SRR12536489,23471111,7088275522,151,3046,SRX9026235,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 1000,SRP279108,PRJNA659794,33057013,"",SRS7277671,SAMN15927393,simple,10090,Mus musculus,GSM4750983,GEO,SRA1118235,09,2020,McCullough,CRH TRAPSeq,32,CRH TRAPSeq,Crh-TRAP,Central Amygdala,TA,2,male,GSM4750983
SRR12536490,26764788,8082965976,151,3444,SRX9026236,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 1000,SRP279108,PRJNA659794,33057013,"",SRS7277672,SAMN15927392,simple,10090,Mus musculus,GSM4750984,GEO,SRA1118235,09,2020,McCullough,CRH TRAPSeq,33,CRH TRAPSeq,Crh-TRAP,Central Amygdala,TA,2,male,GSM4750984
SRR12536491,25044125,7563325750,151,3232,SRX9026237,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 1000,SRP279108,PRJNA659794,33057013,"",SRS7277673,SAMN15927391,simple,10090,Mus musculus,GSM4750985,GEO,SRA1118235,09,2020,McCullough,CRH TRAPSeq,34,CRH TRAPSeq,Crh-TRAP,Central Amygdala,TA,2,male,GSM4750985
SRR12536492,25607003,7733314906,151,3288,SRX9026238,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 1000,SRP279108,PRJNA659794,33057013,"",SRS7277674,SAMN15927389,simple,10090,Mus musculus,GSM4750986,GEO,SRA1118235,09,2020,McCullough,CRH TRAPSeq,35,CRH TRAPSeq,Crh-TRAP,Central Amygdala,TA,1,male,GSM4750986
SRR12536493,24252615,7324289730,151,3122,SRX9026239,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 1000,SRP279108,PRJNA659794,33057013,"",SRS7277675,SAMN15927388,simple,10090,Mus musculus,GSM4750987,GEO,SRA1118235,09,2020,McCullough,CRH TRAPSeq,36,CRH TRAPSeq,Crh-TRAP,Central Amygdala,TA,5,male,GSM4750987
SRR12536494,24502248,7399678896,151,3141,SRX9026240,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 1000,SRP279108,PRJNA659794,33057013,"",SRS7277676,SAMN15927381,simple,10090,Mus musculus,GSM4750988,GEO,SRA1118235,09,2020,McCullough,CRH TRAPSeq,37,CRH TRAPSeq,Crh-TRAP,Central Amygdala,TA,5,male,GSM4750988
SRR12536495,25854027,7807916154,151,3330,SRX9026241,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 1000,SRP279108,PRJNA659794,33057013,"",SRS7277677,SAMN15927380,simple,10090,Mus musculus,GSM4750989,GEO,SRA1118235,09,2020,McCullough,CRH TRAPSeq,38,CRH TRAPSeq,Crh-TRAP,Central Amygdala,TA,5,male,GSM4750989
SRR12536496,25995499,7850640698,151,3363,SRX9026242,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 1000,SRP279108,PRJNA659794,33057013,"",SRS7277678,SAMN15927379,simple,10090,Mus musculus,GSM4750990,GEO,SRA1118235,09,2020,McCullough,CRH TRAPSeq,39,CRH TRAPSeq,Crh-TRAP,Central Amygdala,TA,5,male,GSM4750990
SRR12536497,26480788,7997197976,151,3409,SRX9026243,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 1000,SRP279108,PRJNA659794,33057013,"",SRS7277679,SAMN15927387,simple,10090,Mus musculus,GSM4750991,GEO,SRA1118235,09,2020,McCullough,CRH TRAPSeq,40,CRH TRAPSeq,Crh-TRAP,Central Amygdala,TA,5,male,GSM4750991
SRR12536498,23126972,6984345544,151,3017,SRX9026244,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 1000,SRP279108,PRJNA659794,33057013,"",SRS7277680,SAMN15927386,simple,10090,Mus musculus,GSM4750992,GEO,SRA1118235,09,2020,McCullough,CRH TRAPSeq,42,CRH TRAPSeq,Crh-TRAP,Central Amygdala,FC,2,male,GSM4750992
SRR12536499,22367315,6754929130,151,2928,SRX9026245,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 1000,SRP279108,PRJNA659794,33057013,"",SRS7277681,SAMN15927384,simple,10090,Mus musculus,GSM4750993,GEO,SRA1118235,09,2020,McCullough,CRH TRAPSeq,43,CRH TRAPSeq,Crh-TRAP,Central Amygdala,FC,2,male,GSM4750993
SRR12536500,22323293,6741634486,151,2900,SRX9026246,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 1000,SRP279108,PRJNA659794,33057013,"",SRS7277682,SAMN15927383,simple,10090,Mus musculus,GSM4750994,GEO,SRA1118235,09,2020,McCullough,CRH TRAPSeq,44,CRH TRAPSeq,Crh-TRAP,Central Amygdala,EXT,3,male,GSM4750994
SRR12536501,22313576,6738699952,151,2901,SRX9026247,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 1000,SRP279108,PRJNA659794,33057013,"",SRS7277683,SAMN15927382,simple,10090,Mus musculus,GSM4750995,GEO,SRA1118235,09,2020,McCullough,CRH TRAPSeq,45,CRH TRAPSeq,Crh-TRAP,Central Amygdala,FC,5,male,GSM4750995
SRR12536502,23396252,7065668104,151,3040,SRX9026248,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 1000,SRP279108,PRJNA659794,33057013,"",SRS7277684,SAMN15927378,simple,10090,Mus musculus,GSM4750996,GEO,SRA1118235,09,2020,McCullough,CRH TRAPSeq,47,CRH TRAPSeq,Crh-TRAP,Central Amygdala,FC,5,male,GSM4750996
SRR12536503,23872408,7209467216,151,3108,SRX9026249,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 1000,SRP279108,PRJNA659794,33057013,"",SRS7277685,SAMN15927377,simple,10090,Mus musculus,GSM4750997,GEO,SRA1118235,09,2020,McCullough,CRH TRAPSeq,48,CRH TRAPSeq,Crh-TRAP,Central Amygdala,FC,5,male,GSM4750997
SRR12536504,24655971,7446103242,151,3152,SRX9026250,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 1000,SRP279108,PRJNA659794,33057013,"",SRS7277686,SAMN15927376,simple,10090,Mus musculus,GSM4750998,GEO,SRA1118235,09,2020,McCullough,CRH TRAPSeq,49,CRH TRAPSeq,Crh-TRAP,Central Amygdala,FC,1,male,GSM4750998
SRR12536505,23032189,6955721078,151,2966,SRX9026251,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 1000,SRP279108,PRJNA659794,33057013,"",SRS7277687,SAMN15927375,simple,10090,Mus musculus,GSM4750999,GEO,SRA1118235,09,2020,McCullough,CRH TRAPSeq,51,CRH TRAPSeq,Crh-TRAP,Central Amygdala,EXT,2,male,GSM4750999
SRR12536506,22217504,6709686208,151,2855,SRX9026252,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 1000,SRP279108,PRJNA659794,33057013,"",SRS7277688,SAMN15927374,simple,10090,Mus musculus,GSM4751000,GEO,SRA1118235,09,2020,McCullough,CRH TRAPSeq,52,CRH TRAPSeq,Crh-TRAP,Central Amygdala,EXT,2,male,GSM4751000
SRR12536507,24274496,7330897792,151,3099,SRX9026253,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 1000,SRP279108,PRJNA659794,33057013,"",SRS7277689,SAMN15927373,simple,10090,Mus musculus,GSM4751001,GEO,SRA1118235,09,2020,McCullough,CRH TRAPSeq,53,CRH TRAPSeq,Crh-TRAP,Central Amygdala,EXT,3,female,GSM4751001
SRR12536508,24199436,7308229672,151,3097,SRX9026254,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 1000,SRP279108,PRJNA659794,33057013,"",SRS7277690,SAMN15927372,simple,10090,Mus musculus,GSM4751002,GEO,SRA1118235,09,2020,McCullough,CRH TRAPSeq,55,CRH TRAPSeq,Crh-TRAP,Central Amygdala,EXT,4,male,GSM4751002
SRR12536509,21307951,6435001202,151,2740,SRX9026255,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 1000,SRP279108,PRJNA659794,33057013,"",SRS7277691,SAMN15927371,simple,10090,Mus musculus,GSM4751003,GEO,SRA1118235,09,2020,McCullough,CRH TRAPSeq,57,CRH TRAPSeq,Crh-TRAP,Central Amygdala,EXT,5,male,GSM4751003
SRR12536510,21849842,6598652284,151,2816,SRX9026256,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 1000,SRP279108,PRJNA659794,33057013,"",SRS7277692,SAMN15927370,simple,10090,Mus musculus,GSM4751004,GEO,SRA1118235,09,2020,McCullough,CRH TRAPSeq,58,CRH TRAPSeq,Crh-TRAP,Central Amygdala,EXT,5,male,GSM4751004
SRR12536511,19932567,6019635234,151,2574,SRX9026257,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 1000,SRP279108,PRJNA659794,33057013,"",SRS7277693,SAMN15927369,simple,10090,Mus musculus,GSM4751005,GEO,SRA1118235,09,2020,McCullough,CRH TRAPSeq,59,CRH TRAPSeq,Crh-TRAP,Central Amygdala,EXT,5,male,GSM4751005
SRR12536512,19748839,5964149378,151,2549,SRX9026258,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 1000,SRP279108,PRJNA659794,33057013,"",SRS7277694,SAMN15927368,simple,10090,Mus musculus,GSM4751006,GEO,SRA1118235,09,2020,McCullough,CRH TRAPSeq,60,CRH TRAPSeq,Crh-TRAP,Central Amygdala,EXT,5,male,GSM4751006
