Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,ENA-FIRST-PUBLIC,ENA-LAST-UPDATE,External Id,INSDC center alias,INSDC center name,INSDC first public,INSDC last update,INSDC status,RNA source,Submitter Id,broker name,fraction,library,replicate,sample name,Experimental Factor: compound,Experimental Factor: dose,Experimental Factor: fraction,Experimental Factor: protocol
ERR10323178,27481499,2775631399,101,918,ERX9855528,AT.rep2.ribo.80s.libB_s,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP141549,PRJEB56594,1,"",ERS13545782,SAMEA111452384,simple,284812,Schizosaccharomyces pombe 972h-,SAMEA111452384,"Department of Biochemistry University of Cambridge, UK",ERA18517134,01,2023,Makar,"",AT.rep2.ribo.80s.libB,2023-01-20,2023-01-20,SAMEA111452384,"Department of Biochemistry University of Cambridge, UK","Department of Biochemistry University of Cambridge, UK",2023-01-20T20:30:33Z,2023-01-20T20:30:33Z,public,RNase-protected-fragment,E-MTAB-12264:AT.rep2.ribo.80s.libB,ArrayExpress,80s,B,2,E-MTAB-12264:AT.rep2.ribo.80s.libB,amitrole,10,80s,TCP-seq
ERR10323179,12406431,1253049531,101,411,ERX9855529,AT.rep2.ribo.80s.libC_s,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP141549,PRJEB56594,1,"",ERS13545783,SAMEA111452385,simple,284812,Schizosaccharomyces pombe 972h-,SAMEA111452385,"Department of Biochemistry University of Cambridge, UK",ERA18517134,01,2023,Makar,"",AT.rep2.ribo.80s.libC,2023-01-20,2023-01-20,SAMEA111452385,"Department of Biochemistry University of Cambridge, UK","Department of Biochemistry University of Cambridge, UK",2023-01-20T20:30:33Z,2023-01-20T20:30:33Z,public,RNase-protected-fragment,E-MTAB-12264:AT.rep2.ribo.80s.libC,ArrayExpress,80s,C,2,E-MTAB-12264:AT.rep2.ribo.80s.libC,amitrole,10,80s,TCP-seq
ERR10323180,9091559,918247459,101,266,ERX9855530,AT.rep2.ribo.80s.libD_s,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP141549,PRJEB56594,1,"",ERS13545784,SAMEA111452386,simple,284812,Schizosaccharomyces pombe 972h-,SAMEA111452386,"Department of Biochemistry University of Cambridge, UK",ERA18517134,01,2023,Makar,"",AT.rep2.ribo.80s.libD,2023-01-20,2023-01-20,SAMEA111452386,"Department of Biochemistry University of Cambridge, UK","Department of Biochemistry University of Cambridge, UK",2023-01-20T20:30:33Z,2023-01-20T20:30:33Z,public,RNase-protected-fragment,E-MTAB-12264:AT.rep2.ribo.80s.libD,ArrayExpress,80s,D,2,E-MTAB-12264:AT.rep2.ribo.80s.libD,amitrole,10,80s,TCP-seq
ERR10323181,13678031,1381481131,101,409,ERX9855531,AT.rep2.ribo.80s.libE_s,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP141549,PRJEB56594,1,"",ERS13545785,SAMEA111452387,simple,284812,Schizosaccharomyces pombe 972h-,SAMEA111452387,"Department of Biochemistry University of Cambridge, UK",ERA18517134,01,2023,Makar,"",AT.rep2.ribo.80s.libE,2023-01-20,2023-01-20,SAMEA111452387,"Department of Biochemistry University of Cambridge, UK","Department of Biochemistry University of Cambridge, UK",2023-01-20T20:30:33Z,2023-01-20T20:30:33Z,public,RNase-protected-fragment,E-MTAB-12264:AT.rep2.ribo.80s.libE,ArrayExpress,80s,E,2,E-MTAB-12264:AT.rep2.ribo.80s.libE,amitrole,10,80s,TCP-seq
ERR10323182,12003871,1212390971,101,362,ERX9855532,AT.rep2.ribo.80s.libF_s,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP141549,PRJEB56594,1,"",ERS13545786,SAMEA111452388,simple,284812,Schizosaccharomyces pombe 972h-,SAMEA111452388,"Department of Biochemistry University of Cambridge, UK",ERA18517134,01,2023,Makar,"",AT.rep2.ribo.80s.libF,2023-01-20,2023-01-20,SAMEA111452388,"Department of Biochemistry University of Cambridge, UK","Department of Biochemistry University of Cambridge, UK",2023-01-20T20:30:33Z,2023-01-20T20:30:33Z,public,RNase-protected-fragment,E-MTAB-12264:AT.rep2.ribo.80s.libF,ArrayExpress,80s,F,2,E-MTAB-12264:AT.rep2.ribo.80s.libF,amitrole,10,80s,TCP-seq
ERR10323214,13511336,1351133600,50,413,ERX9855533,AT.rep2.rna_p,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP141549,PRJEB56594,1,"",ERS13545787,SAMEA111452389,simple,284812,Schizosaccharomyces pombe 972h-,SAMEA111452389,"Department of Biochemistry University of Cambridge, UK",ERA18517134,01,2023,Makar,"",AT.rep2.rna,2023-01-20,2023-01-20,SAMEA111452389,"Department of Biochemistry University of Cambridge, UK","Department of Biochemistry University of Cambridge, UK",2023-01-20T20:30:33Z,2023-01-20T20:30:33Z,public,rRNA_depleted_total_RNA,E-MTAB-12264:AT.rep2.rna,ArrayExpress,,,2,E-MTAB-12264:AT.rep2.rna,amitrole,10,not applicable,total RNA-seq
ERR10323183,6762050,682967050,101,208,ERX9855534,AT.rep3.ribo.40s.libA_s,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP141549,PRJEB56594,1,"",ERS13545788,SAMEA111452390,simple,284812,Schizosaccharomyces pombe 972h-,SAMEA111452390,"Department of Biochemistry University of Cambridge, UK",ERA18517134,01,2023,Makar,"",AT.rep3.ribo.40s.libA,2023-01-20,2023-01-20,SAMEA111452390,"Department of Biochemistry University of Cambridge, UK","Department of Biochemistry University of Cambridge, UK",2023-01-20T20:30:33Z,2023-01-20T20:30:33Z,public,RNase-protected-fragment,E-MTAB-12264:AT.rep3.ribo.40s.libA,ArrayExpress,40s,A,3,E-MTAB-12264:AT.rep3.ribo.40s.libA,amitrole,10,40s,TCP-seq
ERR10323184,15333409,1548674309,101,446,ERX9855535,AT.rep3.ribo.40s.libB_s,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP141549,PRJEB56594,1,"",ERS13545789,SAMEA111452391,simple,284812,Schizosaccharomyces pombe 972h-,SAMEA111452391,"Department of Biochemistry University of Cambridge, UK",ERA18517134,01,2023,Makar,"",AT.rep3.ribo.40s.libB,2023-01-20,2023-01-20,SAMEA111452391,"Department of Biochemistry University of Cambridge, UK","Department of Biochemistry University of Cambridge, UK",2023-01-20T20:30:33Z,2023-01-20T20:30:33Z,public,RNase-protected-fragment,E-MTAB-12264:AT.rep3.ribo.40s.libB,ArrayExpress,40s,B,3,E-MTAB-12264:AT.rep3.ribo.40s.libB,amitrole,10,40s,TCP-seq
ERR10323185,25705886,2596294486,101,749,ERX9855536,AT.rep3.ribo.40s.libC_s,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP141549,PRJEB56594,1,"",ERS13545790,SAMEA111452392,simple,284812,Schizosaccharomyces pombe 972h-,SAMEA111452392,"Department of Biochemistry University of Cambridge, UK",ERA18517134,01,2023,Makar,"",AT.rep3.ribo.40s.libC,2023-01-20,2023-01-20,SAMEA111452392,"Department of Biochemistry University of Cambridge, UK","Department of Biochemistry University of Cambridge, UK",2023-01-20T20:30:33Z,2023-01-20T20:30:33Z,public,RNase-protected-fragment,E-MTAB-12264:AT.rep3.ribo.40s.libC,ArrayExpress,40s,C,3,E-MTAB-12264:AT.rep3.ribo.40s.libC,amitrole,10,40s,TCP-seq
ERR10323186,3247049,327951949,101,99,ERX9855537,AT.rep3.ribo.80s.libA_s,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP141549,PRJEB56594,1,"",ERS13545791,SAMEA111452393,simple,284812,Schizosaccharomyces pombe 972h-,SAMEA111452393,"Department of Biochemistry University of Cambridge, UK",ERA18517134,01,2023,Makar,"",AT.rep3.ribo.80s.libA,2023-01-20,2023-01-20,SAMEA111452393,"Department of Biochemistry University of Cambridge, UK","Department of Biochemistry University of Cambridge, UK",2023-01-20T20:30:33Z,2023-01-20T20:30:33Z,public,RNase-protected-fragment,E-MTAB-12264:AT.rep3.ribo.80s.libA,ArrayExpress,80s,A,3,E-MTAB-12264:AT.rep3.ribo.80s.libA,amitrole,10,80s,TCP-seq
ERR10323187,5910777,596988477,101,177,ERX9855538,AT.rep3.ribo.80s.libB_s,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP141549,PRJEB56594,1,"",ERS13545792,SAMEA111452394,simple,284812,Schizosaccharomyces pombe 972h-,SAMEA111452394,"Department of Biochemistry University of Cambridge, UK",ERA18517134,01,2023,Makar,"",AT.rep3.ribo.80s.libB,2023-01-20,2023-01-20,SAMEA111452394,"Department of Biochemistry University of Cambridge, UK","Department of Biochemistry University of Cambridge, UK",2023-01-20T20:30:33Z,2023-01-20T20:30:33Z,public,RNase-protected-fragment,E-MTAB-12264:AT.rep3.ribo.80s.libB,ArrayExpress,80s,B,3,E-MTAB-12264:AT.rep3.ribo.80s.libB,amitrole,10,80s,TCP-seq
ERR10323188,7642629,771905529,101,230,ERX9855539,AT.rep3.ribo.80s.libC_s,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP141549,PRJEB56594,1,"",ERS13545793,SAMEA111452395,simple,284812,Schizosaccharomyces pombe 972h-,SAMEA111452395,"Department of Biochemistry University of Cambridge, UK",ERA18517134,01,2023,Makar,"",AT.rep3.ribo.80s.libC,2023-01-20,2023-01-20,SAMEA111452395,"Department of Biochemistry University of Cambridge, UK","Department of Biochemistry University of Cambridge, UK",2023-01-20T20:30:33Z,2023-01-20T20:30:33Z,public,RNase-protected-fragment,E-MTAB-12264:AT.rep3.ribo.80s.libC,ArrayExpress,80s,C,3,E-MTAB-12264:AT.rep3.ribo.80s.libC,amitrole,10,80s,TCP-seq
ERR10323215,12051734,1205173400,50,375,ERX9855540,AT.rep3.rna_p,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP141549,PRJEB56594,1,"",ERS13545794,SAMEA111452396,simple,284812,Schizosaccharomyces pombe 972h-,SAMEA111452396,"Department of Biochemistry University of Cambridge, UK",ERA18517134,01,2023,Makar,"",AT.rep3.rna,2023-01-20,2023-01-20,SAMEA111452396,"Department of Biochemistry University of Cambridge, UK","Department of Biochemistry University of Cambridge, UK",2023-01-20T20:30:33Z,2023-01-20T20:30:33Z,public,rRNA_depleted_total_RNA,E-MTAB-12264:AT.rep3.rna,ArrayExpress,,,3,E-MTAB-12264:AT.rep3.rna,amitrole,10,not applicable,total RNA-seq
ERR10323189,91895836,9281479436,101,2572,ERX9855541,untreated.rep1.ribo.40s.libA_s,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP141549,PRJEB56594,1,"",ERS13545795,SAMEA111452397,simple,284812,Schizosaccharomyces pombe 972h-,SAMEA111452397,"Department of Biochemistry University of Cambridge, UK",ERA18517134,01,2023,Makar,"",untreated.rep1.ribo.40s.libA,2023-01-20,2023-01-20,SAMEA111452397,"Department of Biochemistry University of Cambridge, UK","Department of Biochemistry University of Cambridge, UK",2023-01-20T20:30:33Z,2023-01-20T20:30:33Z,public,RNase-protected-fragment,E-MTAB-12264:untreated.rep1.ribo.40s.libA,ArrayExpress,40s,A,1,E-MTAB-12264:untreated.rep1.ribo.40s.libA,none,,40s,TCP-seq
ERR10323190,2222439,224466339,101,65,ERX9855542,untreated.rep1.ribo.40s.libA2_s,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP141549,PRJEB56594,1,"",ERS13545796,SAMEA111452398,simple,284812,Schizosaccharomyces pombe 972h-,SAMEA111452398,"Department of Biochemistry University of Cambridge, UK",ERA18517134,01,2023,Makar,"",untreated.rep1.ribo.40s.libA2,2023-01-20,2023-01-20,SAMEA111452398,"Department of Biochemistry University of Cambridge, UK","Department of Biochemistry University of Cambridge, UK",2023-01-20T20:30:33Z,2023-01-20T20:30:33Z,public,RNase-protected-fragment,E-MTAB-12264:untreated.rep1.ribo.40s.libA2,ArrayExpress,40s,A2,1,E-MTAB-12264:untreated.rep1.ribo.40s.libA2,none,,40s,TCP-seq
