Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,sample_name,biomaterial_provider,cell_line,genetic_modification,growth_condition,biological_replicate
DRR277026,26330536,634932980,24,279,DRX266610,Ribo-seq,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,DRP007154,PRJDB11308,1,"",DRS179359,SAMD00283265,simple,9606,Homo sapiens,SAMD00283265,KYUSH-MIB,DRA011626,04,2021,Makar,"",WT HEK293T,WT HEK293T,ATCC,HEK293T,WT,Normal,
DRR277027,55523279,1446346407,26,611,DRX266611,Ribo-seq,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,DRP007154,PRJDB11308,1,"",DRS179359,SAMD00283265,simple,9606,Homo sapiens,SAMD00283265,KYUSH-MIB,DRA011626,04,2021,Makar,"",WT HEK293T,WT HEK293T,ATCC,HEK293T,WT,Normal,
DRR277028,51151886,1336589255,26,577,DRX266612,Ribo-seq,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,DRP007154,PRJDB11308,1,"",DRS179359,SAMD00283265,simple,9606,Homo sapiens,SAMD00283265,KYUSH-MIB,DRA011626,04,2021,Makar,"",WT HEK293T,WT HEK293T,ATCC,HEK293T,WT,Normal,
DRR277029,47379956,2416377756,51,734,DRX266613,Ribo-seq,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,DRP007154,PRJDB11308,1,"",DRS179359,SAMD00283265,simple,9606,Homo sapiens,SAMD00283265,KYUSH-MIB,DRA011626,04,2021,Makar,"",WT HEK293T,WT HEK293T,ATCC,HEK293T,WT,Normal,
DRR277030,26124264,1332337464,51,407,DRX266614,Ribo-seq,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,DRP007154,PRJDB11308,1,"",DRS179359,SAMD00283265,simple,9606,Homo sapiens,SAMD00283265,KYUSH-MIB,DRA011626,04,2021,Makar,"",WT HEK293T,WT HEK293T,ATCC,HEK293T,WT,Normal,
DRR277031,20236423,531336432,26,221,DRX266615,Ribo-seq,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,DRP007154,PRJDB11308,1,"",DRS179361,SAMD00283267,simple,9606,Homo sapiens,SAMD00283267,KYUSH-MIB,DRA011626,04,2021,Makar,"",eIF2A KO HEK293T #1,eIF2A KO HEK293T rep 1,ATCC,HEK293T,eIF2A KO,Normal,1
DRR277032,59673248,1600976723,26,683,DRX266616,Ribo-seq,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,DRP007154,PRJDB11308,1,"",DRS179361,SAMD00283267,simple,9606,Homo sapiens,SAMD00283267,KYUSH-MIB,DRA011626,04,2021,Makar,"",eIF2A KO HEK293T #1,eIF2A KO HEK293T rep 1,ATCC,HEK293T,eIF2A KO,Normal,1
DRR277033,47266145,2410573395,51,733,DRX266617,RNA-seq,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,DRP007154,PRJDB11308,1,"",DRS179361,SAMD00283267,simple,9606,Homo sapiens,SAMD00283267,KYUSH-MIB,DRA011626,04,2021,Makar,"",eIF2A KO HEK293T #1,eIF2A KO HEK293T rep 1,ATCC,HEK293T,eIF2A KO,Normal,1
DRR277034,30678230,1564589730,51,475,DRX266618,RNA-seq,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,DRP007154,PRJDB11308,1,"",DRS179361,SAMD00283267,simple,9606,Homo sapiens,SAMD00283267,KYUSH-MIB,DRA011626,04,2021,Makar,"",eIF2A KO HEK293T #1,eIF2A KO HEK293T rep 1,ATCC,HEK293T,eIF2A KO,Normal,1
DRR277035,28658398,731737475,25,314,DRX266619,Ribo-seq,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,DRP007154,PRJDB11308,1,"",DRS179362,SAMD00283268,simple,9606,Homo sapiens,SAMD00283268,KYUSH-MIB,DRA011626,04,2021,Makar,"",eIF2A KO HEK293T #2,eIF2A KO HEK293T rep 2,ATCC,HEK293T,eIF2A KO,Normal,2
DRR277036,43479066,1137361331,26,491,DRX266620,Ribo-seq,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,DRP007154,PRJDB11308,1,"",DRS179362,SAMD00283268,simple,9606,Homo sapiens,SAMD00283268,KYUSH-MIB,DRA011626,04,2021,Makar,"",eIF2A KO HEK293T #2,eIF2A KO HEK293T rep 2,ATCC,HEK293T,eIF2A KO,Normal,2
DRR277037,49296127,2514102477,51,763,DRX266621,RNA-seq,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,DRP007154,PRJDB11308,1,"",DRS179362,SAMD00283268,simple,9606,Homo sapiens,SAMD00283268,KYUSH-MIB,DRA011626,04,2021,Makar,"",eIF2A KO HEK293T #2,eIF2A KO HEK293T rep 2,ATCC,HEK293T,eIF2A KO,Normal,2
DRR277038,23841042,1215893142,51,372,DRX266622,RNA-seq,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,DRP007154,PRJDB11308,1,"",DRS179362,SAMD00283268,simple,9606,Homo sapiens,SAMD00283268,KYUSH-MIB,DRA011626,04,2021,Makar,"",eIF2A KO HEK293T #2,eIF2A KO HEK293T rep 2,ATCC,HEK293T,eIF2A KO,Normal,2
DRR277039,35608687,894067421,25,378,DRX266623,Ribo-seq,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,DRP007154,PRJDB11308,1,"",DRS179363,SAMD00283269,simple,9606,Homo sapiens,SAMD00283269,KYUSH-MIB,DRA011626,04,2021,Makar,"",eIF2D KO HEK293T #1,eIF2D KO HEK293T rep 1,ATCC,HEK293T,eIF2D KO,Normal,1
DRR277040,49228232,1269907580,25,551,DRX266624,Ribo-seq,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,DRP007154,PRJDB11308,1,"",DRS179363,SAMD00283269,simple,9606,Homo sapiens,SAMD00283269,KYUSH-MIB,DRA011626,04,2021,Makar,"",eIF2D KO HEK293T #1,eIF2D KO HEK293T rep 1,ATCC,HEK293T,eIF2D KO,Normal,1
DRR277041,59124043,3015326193,51,909,DRX266625,RNA-seq,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,DRP007154,PRJDB11308,1,"",DRS179363,SAMD00283269,simple,9606,Homo sapiens,SAMD00283269,KYUSH-MIB,DRA011626,04,2021,Makar,"",eIF2D KO HEK293T #1,eIF2D KO HEK293T rep 1,ATCC,HEK293T,eIF2D KO,Normal,1
DRR277042,25768390,1314187890,51,402,DRX266626,RNA-seq,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,DRP007154,PRJDB11308,1,"",DRS179363,SAMD00283269,simple,9606,Homo sapiens,SAMD00283269,KYUSH-MIB,DRA011626,04,2021,Makar,"",eIF2D KO HEK293T #1,eIF2D KO HEK293T rep 1,ATCC,HEK293T,eIF2D KO,Normal,1
DRR277043,62063402,1587968563,25,672,DRX266627,Ribo-seq,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,DRP007154,PRJDB11308,1,"",DRS179364,SAMD00283270,simple,9606,Homo sapiens,SAMD00283270,KYUSH-MIB,DRA011626,04,2021,Makar,"",eIF2D KO HEK293T #2,eIF2D KO HEK293T rep 2,ATCC,HEK293T,eIF2D KO,Normal,2
DRR277044,53280058,1401909457,26,575,DRX266628,Ribo-seq,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,DRP007154,PRJDB11308,1,"",DRS179364,SAMD00283270,simple,9606,Homo sapiens,SAMD00283270,KYUSH-MIB,DRA011626,04,2021,Makar,"",eIF2D KO HEK293T #2,eIF2D KO HEK293T rep 2,ATCC,HEK293T,eIF2D KO,Normal,2
DRR277045,54767000,2793117000,51,846,DRX266629,RNA-seq,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,DRP007154,PRJDB11308,1,"",DRS179364,SAMD00283270,simple,9606,Homo sapiens,SAMD00283270,KYUSH-MIB,DRA011626,04,2021,Makar,"",eIF2D KO HEK293T #2,eIF2D KO HEK293T rep 2,ATCC,HEK293T,eIF2D KO,Normal,2
DRR277046,25035141,1276792191,51,390,DRX266630,RNA-seq,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,DRP007154,PRJDB11308,1,"",DRS179364,SAMD00283270,simple,9606,Homo sapiens,SAMD00283270,KYUSH-MIB,DRA011626,04,2021,Makar,"",eIF2D KO HEK293T #2,eIF2D KO HEK293T rep 2,ATCC,HEK293T,eIF2D KO,Normal,2
DRR277047,46529766,1193001513,25,489,DRX266631,Ribo-seq,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,DRP007154,PRJDB11308,1,"",DRS179365,SAMD00283271,simple,9606,Homo sapiens,SAMD00283271,KYUSH-MIB,DRA011626,04,2021,Makar,"","eIF2A, eIF2D DKO HEK293T rep 1",eIF2A eIF2D DKO HEK293T rep 1,ATCC,HEK293T,eIF2A eIF2D DKO,Normal,1
DRR277048,35443008,934245824,26,401,DRX266632,Ribo-seq,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,DRP007154,PRJDB11308,1,"",DRS179365,SAMD00283271,simple,9606,Homo sapiens,SAMD00283271,KYUSH-MIB,DRA011626,04,2021,Makar,"","eIF2A, eIF2D DKO HEK293T rep 1",eIF2A eIF2D DKO HEK293T rep 1,ATCC,HEK293T,eIF2A eIF2D DKO,Normal,1
DRR277049,48572308,2477187708,51,753,DRX266633,RNA-seq,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,DRP007154,PRJDB11308,1,"",DRS179365,SAMD00283271,simple,9606,Homo sapiens,SAMD00283271,KYUSH-MIB,DRA011626,04,2021,Makar,"","eIF2A, eIF2D DKO HEK293T rep 1",eIF2A eIF2D DKO HEK293T rep 1,ATCC,HEK293T,eIF2A eIF2D DKO,Normal,1
DRR277050,31938315,1628854065,51,495,DRX266634,RNA-seq,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,DRP007154,PRJDB11308,1,"",DRS179365,SAMD00283271,simple,9606,Homo sapiens,SAMD00283271,KYUSH-MIB,DRA011626,04,2021,Makar,"","eIF2A, eIF2D DKO HEK293T rep 1",eIF2A eIF2D DKO HEK293T rep 1,ATCC,HEK293T,eIF2A eIF2D DKO,Normal,1
DRR277051,54647184,1524917239,27,599,DRX266635,Ribo-seq,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,DRP007154,PRJDB11308,1,"",DRS179366,SAMD00283272,simple,9606,Homo sapiens,SAMD00283272,KYUSH-MIB,DRA011626,04,2021,Makar,"","eIF2A, eIF2D DKO HEK293T rep 2",eIF2A eIF2D DKO HEK293T rep 2,ATCC,HEK293T,eIF2A eIF2D DKO,Normal,2
DRR277052,57946603,1509498441,26,651,DRX266636,Ribo-seq,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,DRP007154,PRJDB11308,1,"",DRS179366,SAMD00283272,simple,9606,Homo sapiens,SAMD00283272,KYUSH-MIB,DRA011626,04,2021,Makar,"","eIF2A, eIF2D DKO HEK293T rep 2",eIF2A eIF2D DKO HEK293T rep 2,ATCC,HEK293T,eIF2A eIF2D DKO,Normal,2
DRR277053,49628588,2531057988,51,768,DRX266637,RNA-seq,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,DRP007154,PRJDB11308,1,"",DRS179366,SAMD00283272,simple,9606,Homo sapiens,SAMD00283272,KYUSH-MIB,DRA011626,04,2021,Makar,"","eIF2A, eIF2D DKO HEK293T rep 2",eIF2A eIF2D DKO HEK293T rep 2,ATCC,HEK293T,eIF2A eIF2D DKO,Normal,2
DRR277054,24430905,1245976155,51,381,DRX266638,RNA-seq,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,DRP007154,PRJDB11308,1,"",DRS179366,SAMD00283272,simple,9606,Homo sapiens,SAMD00283272,KYUSH-MIB,DRA011626,04,2021,Makar,"","eIF2A, eIF2D DKO HEK293T rep 2",eIF2A eIF2D DKO HEK293T rep 2,ATCC,HEK293T,eIF2A eIF2D DKO,Normal,2
DRR277055,49198915,1158906235,23,509,DRX266639,Ribo-seq,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,DRP007154,PRJDB11308,1,"",DRS179367,SAMD00283273,simple,9606,Homo sapiens,SAMD00283273,KYUSH-MIB,DRA011626,04,2021,Makar,"",WT HEK293T arsenite,WT HEK293T arsenite,ATCC,HEK293T,WT,Arsenite treatment,
DRR277056,34698419,847450374,24,370,DRX266640,Ribo-seq,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,DRP007154,PRJDB11308,1,"",DRS179367,SAMD00283273,simple,9606,Homo sapiens,SAMD00283273,KYUSH-MIB,DRA011626,04,2021,Makar,"",WT HEK293T arsenite,WT HEK293T arsenite,ATCC,HEK293T,WT,Arsenite treatment,
DRR277057,38618416,1969539216,51,615,DRX266641,RNA-seq,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,DRP007154,PRJDB11308,1,"",DRS179367,SAMD00283273,simple,9606,Homo sapiens,SAMD00283273,KYUSH-MIB,DRA011626,04,2021,Makar,"",WT HEK293T arsenite,WT HEK293T arsenite,ATCC,HEK293T,WT,Arsenite treatment,
DRR277058,54472482,2778096582,51,860,DRX266642,RNA-seq,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,DRP007154,PRJDB11308,1,"",DRS179367,SAMD00283273,simple,9606,Homo sapiens,SAMD00283273,KYUSH-MIB,DRA011626,04,2021,Makar,"",WT HEK293T arsenite,WT HEK293T arsenite,ATCC,HEK293T,WT,Arsenite treatment,
DRR277059,28183206,660969920,23,290,DRX266643,Ribo-seq,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,DRP007154,PRJDB11308,1,"",DRS179368,SAMD00283274,simple,9606,Homo sapiens,SAMD00283274,KYUSH-MIB,DRA011626,04,2021,Makar,"",eIF2A KO HEK293T rep 1 arsenite,eIF2A KO HEK293T rep 1 arsenite,ATCC,HEK293T,eIF2A KO,Arsenite treatment,1
DRR277060,59124643,1441835708,24,630,DRX266644,Ribo-seq,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,DRP007154,PRJDB11308,1,"",DRS179368,SAMD00283274,simple,9606,Homo sapiens,SAMD00283274,KYUSH-MIB,DRA011626,04,2021,Makar,"",eIF2A KO HEK293T rep 1 arsenite,eIF2A KO HEK293T rep 1 arsenite,ATCC,HEK293T,eIF2A KO,Arsenite treatment,1
DRR277061,48315168,2464073568,51,764,DRX266645,RNA-seq,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,DRP007154,PRJDB11308,1,"",DRS179368,SAMD00283274,simple,9606,Homo sapiens,SAMD00283274,KYUSH-MIB,DRA011626,04,2021,Makar,"",eIF2A KO HEK293T rep 1 arsenite,eIF2A KO HEK293T rep 1 arsenite,ATCC,HEK293T,eIF2A KO,Arsenite treatment,1
DRR277062,43819297,2234784147,51,694,DRX266646,RNA-seq,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,DRP007154,PRJDB11308,1,"",DRS179368,SAMD00283274,simple,9606,Homo sapiens,SAMD00283274,KYUSH-MIB,DRA011626,04,2021,Makar,"",eIF2A KO HEK293T rep 1 arsenite,eIF2A KO HEK293T rep 1 arsenite,ATCC,HEK293T,eIF2A KO,Arsenite treatment,1
DRR277063,28438281,670967115,23,293,DRX266647,Ribo-seq,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,DRP007154,PRJDB11308,1,"",DRS179369,SAMD00283275,simple,9606,Homo sapiens,SAMD00283275,KYUSH-MIB,DRA011626,04,2021,Makar,"",eIF2A KO HEK293T rep 2 arsenite,eIF2A KO HEK293T rep 2 arsenite,ATCC,HEK293T,eIF2A KO,Arsenite treatment,2
DRR277064,101304975,2265336988,22,1042,DRX266648,Ribo-seq,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,DRP007154,PRJDB11308,1,"",DRS179369,SAMD00283275,simple,9606,Homo sapiens,SAMD00283275,KYUSH-MIB,DRA011626,04,2021,Makar,"",eIF2A KO HEK293T rep 2 arsenite,eIF2A KO HEK293T rep 2 arsenite,ATCC,HEK293T,eIF2A KO,Arsenite treatment,2
DRR277065,39790215,2029300965,51,632,DRX266649,RNA-seq,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,DRP007154,PRJDB11308,1,"",DRS179369,SAMD00283275,simple,9606,Homo sapiens,SAMD00283275,KYUSH-MIB,DRA011626,04,2021,Makar,"",eIF2A KO HEK293T rep 2 arsenite,eIF2A KO HEK293T rep 2 arsenite,ATCC,HEK293T,eIF2A KO,Arsenite treatment,2
DRR277066,41538686,2118472986,51,658,DRX266650,RNA-seq,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,DRP007154,PRJDB11308,1,"",DRS179369,SAMD00283275,simple,9606,Homo sapiens,SAMD00283275,KYUSH-MIB,DRA011626,04,2021,Makar,"",eIF2A KO HEK293T rep 2 arsenite,eIF2A KO HEK293T rep 2 arsenite,ATCC,HEK293T,eIF2A KO,Arsenite treatment,2
DRR277067,40995418,1000399422,24,437,DRX266651,Ribo-seq,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,DRP007154,PRJDB11308,1,"",DRS179370,SAMD00283276,simple,9606,Homo sapiens,SAMD00283276,KYUSH-MIB,DRA011626,04,2021,Makar,"",eIF2D KO HEK293T rep 1 arsenite,eIF2D KO HEK293T rep 1 arsenite,ATCC,HEK293T,eIF2D KO,Arsenite treatment,1
DRR277068,38186961,885680514,23,393,DRX266652,Ribo-seq,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,DRP007154,PRJDB11308,1,"",DRS179370,SAMD00283276,simple,9606,Homo sapiens,SAMD00283276,KYUSH-MIB,DRA011626,04,2021,Makar,"",eIF2D KO HEK293T rep 1 arsenite,eIF2D KO HEK293T rep 1 arsenite,ATCC,HEK293T,eIF2D KO,Arsenite treatment,1
DRR277069,49443926,2521640226,51,784,DRX266653,RNA-seq,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,DRP007154,PRJDB11308,1,"",DRS179370,SAMD00283276,simple,9606,Homo sapiens,SAMD00283276,KYUSH-MIB,DRA011626,04,2021,Makar,"",eIF2D KO HEK293T rep 1 arsenite,eIF2D KO HEK293T rep 1 arsenite,ATCC,HEK293T,eIF2D KO,Arsenite treatment,1
DRR277070,36516502,1862341602,51,582,DRX266654,RNA-seq,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,DRP007154,PRJDB11308,1,"",DRS179370,SAMD00283276,simple,9606,Homo sapiens,SAMD00283276,KYUSH-MIB,DRA011626,04,2021,Makar,"",eIF2D KO HEK293T rep 1 arsenite,eIF2D KO HEK293T rep 1 arsenite,ATCC,HEK293T,eIF2D KO,Arsenite treatment,1
DRR277071,41915530,1046434086,24,450,DRX266655,Ribo-seq,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,DRP007154,PRJDB11308,1,"",DRS179371,SAMD00283277,simple,9606,Homo sapiens,SAMD00283277,KYUSH-MIB,DRA011626,04,2021,Makar,"",eIF2D KO HEK293T rep 2 arsenite,eIF2D KO HEK293T rep 2 arsenite,ATCC,HEK293T,eIF2D KO,Arsenite treatment,2
DRR277072,35293218,812577396,23,364,DRX266656,Ribo-seq,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,DRP007154,PRJDB11308,1,"",DRS179371,SAMD00283277,simple,9606,Homo sapiens,SAMD00283277,KYUSH-MIB,DRA011626,04,2021,Makar,"",eIF2D KO HEK293T rep 2 arsenite,eIF2D KO HEK293T rep 2 arsenite,ATCC,HEK293T,eIF2D KO,Arsenite treatment,2
