Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,media,strain,treatment,GEO Accession
SRR5766392,12502025,836287648,66,308,SRX2965787,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP110707,PRJNA392312,29198561,"",SRS2322816,SAMN07291139,simple,4932,Saccharomyces cerevisiae,GSM2689487,GEO,SRA582294,06,2017,Chou,Yeast,Ribo_pus7D_1,Yeast,YPD,BY4741 with pus7D::kanMX,Cycloheximide,GSM2689487
SRR5766393,11983329,804461379,67,304,SRX2965788,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP110707,PRJNA392312,29198561,"",SRS2322817,SAMN07291138,simple,4932,Saccharomyces cerevisiae,GSM2689488,GEO,SRA582294,06,2017,Chou,Yeast,Ribo_BY4741_3,Yeast,YPD,BY4741,Cycloheximide,GSM2689488
SRR5766394,10680762,713533558,66,260,SRX2965789,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP110707,PRJNA392312,29198561,"",SRS2322818,SAMN07291137,simple,4932,Saccharomyces cerevisiae,GSM2689489,GEO,SRA582294,06,2017,Chou,Yeast,Ribo_urm1D_1,Yeast,YPD,BY4741 with urm1D::kanMX,Cycloheximide,GSM2689489
SRR5766395,12562086,844183093,67,306,SRX2965790,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP110707,PRJNA392312,29198561,"",SRS2322819,SAMN07291141,simple,4932,Saccharomyces cerevisiae,GSM2689490,GEO,SRA582294,06,2017,Chou,Yeast,Ribo_rit1D_1,Yeast,YPD,BY4741 with rit1D::kanMX,Cycloheximide,GSM2689490
SRR5766396,21253757,1425557086,67,511,SRX2965791,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP110707,PRJNA392312,29198561,"",SRS2322820,SAMN07291127,simple,4932,Saccharomyces cerevisiae,GSM2689491,GEO,SRA582294,06,2017,Chou,Yeast,Ribo_BY4741_4,Yeast,YPD,BY4741,Cycloheximide,GSM2689491
SRR5766397,36194161,2428146626,67,860,SRX2965792,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP110707,PRJNA392312,29198561,"",SRS2322821,SAMN07291126,simple,4932,Saccharomyces cerevisiae,GSM2689492,GEO,SRA582294,06,2017,Chou,Yeast,Ribo_trm4D_2,Yeast,YPD,BY4741 with trm4D::kanMX,Cycloheximide,GSM2689492
SRR5766398,36266850,2442831668,67,872,SRX2965793,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP110707,PRJNA392312,29198561,"",SRS2322822,SAMN07291147,simple,4932,Saccharomyces cerevisiae,GSM2689493,GEO,SRA582294,06,2017,Chou,Yeast,Ribo_trm7D_2,Yeast,YPD,BY4741 with trm7D::kanMX,Cycloheximide,GSM2689493
SRR5766399,18922228,1273164165,67,471,SRX2965794,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP110707,PRJNA392312,29198561,"",SRS2322823,SAMN07291142,simple,4932,Saccharomyces cerevisiae,GSM2689494,GEO,SRA582294,06,2017,Chou,Yeast,Ribo_trm732D_2,Yeast,YPD,BY4741 with trm732D::kanMX,Cycloheximide,GSM2689494
SRR5766400,17319070,1157029205,66,419,SRX2965795,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP110707,PRJNA392312,29198561,"",SRS2322824,SAMN07291146,simple,4932,Saccharomyces cerevisiae,GSM2689495,GEO,SRA582294,06,2017,Chou,Yeast,Ribo_rtt10D_2,Yeast,YPD,BY4741 with rtt10D::kanMX,Cycloheximide,GSM2689495
SRR5766401,18866434,1258394078,66,457,SRX2965796,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP110707,PRJNA392312,29198561,"",SRS2322825,SAMN07291144,simple,4932,Saccharomyces cerevisiae,GSM2689496,GEO,SRA582294,06,2017,Chou,Yeast,Ribo_BY4741_5,Yeast,YPD,BY4741,Cycloheximide,GSM2689496
SRR5766402,19558832,1308490666,66,475,SRX2965797,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP110707,PRJNA392312,29198561,"",SRS2322826,SAMN07291145,simple,4932,Saccharomyces cerevisiae,GSM2689497,GEO,SRA582294,06,2017,Chou,Yeast,Ribo_elp1D_2,Yeast,YPD,BY4741 with elp1D::kanMX,Cycloheximide,GSM2689497
SRR5766403,22620433,1515390105,66,543,SRX2965798,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP110707,PRJNA392312,29198561,"",SRS2322827,SAMN07291143,simple,4932,Saccharomyces cerevisiae,GSM2689498,GEO,SRA582294,06,2017,Chou,Yeast,Ribo_elp3D_2,Yeast,YPD,BY4741 with elp3D::kanMX,Cycloheximide,GSM2689498
SRR5766404,21226232,1403833718,66,510,SRX2965799,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP110707,PRJNA392312,29198561,"",SRS2322828,SAMN07291140,simple,4932,Saccharomyces cerevisiae,GSM2689499,GEO,SRA582294,06,2017,Chou,Yeast,Ribo_kti11D_2,Yeast,YPD,BY4741 with kti11D::kanMX,Cycloheximide,GSM2689499
SRR5766405,19918696,1324337941,66,475,SRX2965800,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP110707,PRJNA392312,29198561,"",SRS2322829,SAMN07291151,simple,4932,Saccharomyces cerevisiae,GSM2689500,GEO,SRA582294,06,2017,Chou,Yeast,Ribo_pus1D_2,Yeast,YPD,BY4741 with pus1D::kanMX,Cycloheximide,GSM2689500
SRR5766406,22110497,1479538895,66,533,SRX2965801,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP110707,PRJNA392312,29198561,"",SRS2322830,SAMN07291152,simple,4932,Saccharomyces cerevisiae,GSM2689501,GEO,SRA582294,06,2017,Chou,Yeast,Ribo_pus7D_2,Yeast,YPD,BY4741 with pus7D::kanMX,Cycloheximide,GSM2689501
SRR5766407,24509305,1629054310,66,596,SRX2965802,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP110707,PRJNA392312,29198561,"",SRS2322831,SAMN07291149,simple,4932,Saccharomyces cerevisiae,GSM2689502,GEO,SRA582294,06,2017,Chou,Yeast,Ribo_BY4741_6,Yeast,YPD,BY4741,Cycloheximide,GSM2689502
SRR5766408,23532573,1581333014,67,567,SRX2965803,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP110707,PRJNA392312,29198561,"",SRS2322832,SAMN07291153,simple,4932,Saccharomyces cerevisiae,GSM2689503,GEO,SRA582294,06,2017,Chou,Yeast,Ribo_urm1D_2,Yeast,YPD,BY4741 with urm1D::kanMX,Cycloheximide,GSM2689503
SRR5766409,22997566,1523319444,66,553,SRX2965804,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP110707,PRJNA392312,29198561,"",SRS2322833,SAMN07291150,simple,4932,Saccharomyces cerevisiae,GSM2689504,GEO,SRA582294,06,2017,Chou,Yeast,Ribo_rit1D_2,Yeast,YPD,BY4741 with rit1D::kanMX,Cycloheximide,GSM2689504
SRR5766410,16316874,1061405026,65,430,SRX2965805,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP110707,PRJNA392312,29198561,"",SRS2322834,SAMN07291154,simple,4932,Saccharomyces cerevisiae,GSM2689505,GEO,SRA582294,06,2017,Chou,Yeast,Ribo_BY4741_7,Yeast,YPD,BY4741,Cycloheximide,GSM2689505
SRR5766411,19308092,1243488721,64,505,SRX2965806,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP110707,PRJNA392312,29198561,"",SRS2322835,SAMN07291155,simple,4932,Saccharomyces cerevisiae,GSM2689506,GEO,SRA582294,06,2017,Chou,Yeast,Ribo_BY4741_8,Yeast,YPD,BY4741,Cycloheximide,GSM2689506
SRR5766412,20221510,1314097119,64,533,SRX2965807,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP110707,PRJNA392312,29198561,"",SRS2322836,SAMN07291148,simple,4932,Saccharomyces cerevisiae,GSM2689507,GEO,SRA582294,06,2017,Chou,Yeast,Ribo_trm3D_1,Yeast,YPD,BY4741 with trm3D::kanMX,Cycloheximide,GSM2689507
SRR5766413,17360443,1109114365,63,451,SRX2965808,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP110707,PRJNA392312,29198561,"",SRS2322837,SAMN07291134,simple,4932,Saccharomyces cerevisiae,GSM2689508,GEO,SRA582294,06,2017,Chou,Yeast,Ribo_trm1D_1,Yeast,YPD,BY4741 with trm1D::kanMX,Cycloheximide,GSM2689508
SRR5766414,17450041,1133215571,64,461,SRX2965809,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP110707,PRJNA392312,29198561,"",SRS2322838,SAMN07291236,simple,4932,Saccharomyces cerevisiae,GSM2689509,GEO,SRA582294,06,2017,Chou,Yeast,Ribo_trm11D_1,Yeast,YPD,BY4741 with trm11D::kanMX,Cycloheximide,GSM2689509
SRR5766415,18302497,1192133245,65,482,SRX2965810,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP110707,PRJNA392312,29198561,"",SRS2322839,SAMN07291131,simple,4932,Saccharomyces cerevisiae,GSM2689510,GEO,SRA582294,06,2017,Chou,Yeast,Ribo_trm12D_1,Yeast,YPD,BY4741 with trm12D::kanMX,Cycloheximide,GSM2689510
SRR5766416,15231095,996744638,65,408,SRX2965811,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP110707,PRJNA392312,29198561,"",SRS2322840,SAMN07291133,simple,4932,Saccharomyces cerevisiae,GSM2689511,GEO,SRA582294,06,2017,Chou,Yeast,Ribo_trm10D_1,Yeast,YPD,BY4741 with trm10D::kanMX,Cycloheximide,GSM2689511
SRR5766417,17563095,1147617545,65,470,SRX2965812,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP110707,PRJNA392312,29198561,"",SRS2322841,SAMN07291156,simple,4932,Saccharomyces cerevisiae,GSM2689512,GEO,SRA582294,06,2017,Chou,Yeast,Ribo_trm44D_1,Yeast,YPD,BY4741 with trm44D::kanMX,Cycloheximide,GSM2689512
SRR5766418,15888729,1026346081,64,413,SRX2965813,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP110707,PRJNA392312,29198561,"",SRS2322842,SAMN07291129,simple,4932,Saccharomyces cerevisiae,GSM2689513,GEO,SRA582294,06,2017,Chou,Yeast,Ribo_trm2D_1,Yeast,YPD,BY4741 with trm2D::kanMX,Cycloheximide,GSM2689513
SRR5766419,18409268,1202068676,65,486,SRX2965814,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP110707,PRJNA392312,29198561,"",SRS2322843,SAMN07291132,simple,4932,Saccharomyces cerevisiae,GSM2689514,GEO,SRA582294,06,2017,Chou,Yeast,Ribo_pus3D_1,Yeast,YPD,BY4741 with pus3D::kanMX,Cycloheximide,GSM2689514
SRR5766420,17746524,1142930541,64,470,SRX2965815,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP110707,PRJNA392312,29198561,"",SRS2322844,SAMN07291130,simple,4932,Saccharomyces cerevisiae,GSM2689515,GEO,SRA582294,06,2017,Chou,Yeast,Ribo_pus9D_1,Yeast,YPD,BY4741 with pus9D::kanMX,Cycloheximide,GSM2689515
SRR5766421,16522895,1077220420,65,443,SRX2965816,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP110707,PRJNA392312,29198561,"",SRS2322845,SAMN07291160,simple,4932,Saccharomyces cerevisiae,GSM2689516,GEO,SRA582294,06,2017,Chou,Yeast,Ribo_pus2D_1,Yeast,YPD,BY4741 with pus2D::kanMX,Cycloheximide,GSM2689516
SRR5766422,16242515,1055614714,64,436,SRX2965817,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP110707,PRJNA392312,29198561,"",SRS2322846,SAMN07291239,simple,4932,Saccharomyces cerevisiae,GSM2689517,GEO,SRA582294,06,2017,Chou,Yeast,Ribo_elp4D_1,Yeast,YPD,BY4741 with elp4D::kanMX,Cycloheximide,GSM2689517
SRR5766423,14552009,949843484,65,387,SRX2965818,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP110707,PRJNA392312,29198561,"",SRS2322847,SAMN07291240,simple,4932,Saccharomyces cerevisiae,GSM2689518,GEO,SRA582294,06,2017,Chou,Yeast,Ribo_kti12D_1,Yeast,YPD,BY4741 with kti12D::kanMX,Cycloheximide,GSM2689518
SRR5766424,15406062,988477434,64,400,SRX2965819,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP110707,PRJNA392312,29198561,"",SRS2322848,SAMN07291157,simple,4932,Saccharomyces cerevisiae,GSM2689519,GEO,SRA582294,06,2017,Chou,Yeast,Ribo_sit4D_1,Yeast,YPD,BY4741 with sit4D::kanMX,Cycloheximide,GSM2689519
SRR5766425,12851615,823532552,64,332,SRX2965820,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP110707,PRJNA392312,29198561,"",SRS2322849,SAMN07291158,simple,4932,Saccharomyces cerevisiae,GSM2689520,GEO,SRA582294,06,2017,Chou,Yeast,Ribo_sap185D_1,Yeast,YPD,BY4741 with sap185D::kanMX,Cycloheximide,GSM2689520
SRR5766426,15123793,968337123,64,391,SRX2965821,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP110707,PRJNA392312,29198561,"",SRS2322850,SAMN07291159,simple,4932,Saccharomyces cerevisiae,GSM2689521,GEO,SRA582294,06,2017,Chou,Yeast,Ribo_sap190D_1,Yeast,YPD,BY4741 with sap190D::kanMX,Cycloheximide,GSM2689521
SRR5766427,15255470,980797861,64,399,SRX2965822,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP110707,PRJNA392312,29198561,"",SRS2322851,SAMN07291238,simple,4932,Saccharomyces cerevisiae,GSM2689522,GEO,SRA582294,06,2017,Chou,Yeast,Ribo_uba4D_1,Yeast,YPD,BY4741 with uba4D::kanMX,Cycloheximide,GSM2689522
SRR5766428,12933676,832757007,64,340,SRX2965823,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP110707,PRJNA392312,29198561,"",SRS2322852,SAMN07291237,simple,4932,Saccharomyces cerevisiae,GSM2689523,GEO,SRA582294,06,2017,Chou,Yeast,Ribo_ncs2D_1,Yeast,YPD,BY4741 with ncs2D::kanMX,Cycloheximide,GSM2689523
SRR5766429,13173960,856249071,65,352,SRX2965824,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP110707,PRJNA392312,29198561,"",SRS2322853,SAMN07291164,simple,4932,Saccharomyces cerevisiae,GSM2689524,GEO,SRA582294,06,2017,Chou,Yeast,Ribo_isu1D_1,Yeast,YPD,BY4741 with isu1D::kanMX,Cycloheximide,GSM2689524
SRR5766430,14067560,913203046,64,371,SRX2965825,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP110707,PRJNA392312,29198561,"",SRS2322854,SAMN07291161,simple,4932,Saccharomyces cerevisiae,GSM2689525,GEO,SRA582294,06,2017,Chou,Yeast,Ribo_isu2D_1,Yeast,YPD,BY4741 with isu2D::kanMX,Cycloheximide,GSM2689525
SRR5766431,15292747,984918655,64,397,SRX2965826,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP110707,PRJNA392312,29198561,"",SRS2322855,SAMN07291162,simple,4932,Saccharomyces cerevisiae,GSM2689526,GEO,SRA582294,06,2017,Chou,Yeast,Ribo_tum1D_1,Yeast,YPD,BY4741 with tum1D::kanMX,Cycloheximide,GSM2689526
SRR5766432,15811344,913993712,57,354,SRX2965827,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP110707,PRJNA392312,29198561,"",SRS2322856,SAMN07291167,simple,4932,Saccharomyces cerevisiae,GSM2689527,GEO,SRA582294,06,2017,Chou,Yeast,Ribo_tad1D_1,Yeast,YPD,BY4741 with tad1D::kanMX,Cycloheximide,GSM2689527
SRR5766433,15809425,907919428,57,356,SRX2965828,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP110707,PRJNA392312,29198561,"",SRS2322857,SAMN07291172,simple,4932,Saccharomyces cerevisiae,GSM2689528,GEO,SRA582294,06,2017,Chou,Yeast,Ribo_trm140D_1,Yeast,YPD,BY4741 with trm140D::kanMX,Cycloheximide,GSM2689528
SRR5766434,16905735,973315279,57,384,SRX2965829,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP110707,PRJNA392312,29198561,"",SRS2322858,SAMN07291166,simple,4932,Saccharomyces cerevisiae,GSM2689529,GEO,SRA582294,06,2017,Chou,Yeast,Ribo_dus1D_1,Yeast,YPD,BY4741 with dus1D::kanMX,Cycloheximide,GSM2689529
SRR5766435,13849725,798769148,57,318,SRX2965830,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP110707,PRJNA392312,29198561,"",SRS2322859,SAMN07291163,simple,4932,Saccharomyces cerevisiae,GSM2689530,GEO,SRA582294,06,2017,Chou,Yeast,Ribo_dus3D_1,Yeast,YPD,BY4741 with dus3D::kanMX,Cycloheximide,GSM2689530
SRR5766436,16148270,935923249,57,369,SRX2965831,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP110707,PRJNA392312,29198561,"",SRS2322860,SAMN07291165,simple,4932,Saccharomyces cerevisiae,GSM2689531,GEO,SRA582294,06,2017,Chou,Yeast,Ribo_dus4D_1,Yeast,YPD,BY4741 with dus4D::kanMX,Cycloheximide,GSM2689531
SRR5766437,17279388,1008615501,58,391,SRX2965832,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP110707,PRJNA392312,29198561,"",SRS2322861,SAMN07291168,simple,4932,Saccharomyces cerevisiae,GSM2689532,GEO,SRA582294,06,2017,Chou,Yeast,Ribo_tyw3D_1,Yeast,YPD,BY4741 with tyw3D::kanMX,Cycloheximide,GSM2689532
SRR5766438,15578785,901621891,57,355,SRX2965833,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP110707,PRJNA392312,29198561,"",SRS2322863,SAMN07291169,simple,4932,Saccharomyces cerevisiae,GSM2689533,GEO,SRA582294,06,2017,Chou,Yeast,Ribo_tyw4D_1,Yeast,YPD,BY4741 with tyw4D::kanMX,Cycloheximide,GSM2689533
SRR5766439,17490603,1014858211,58,398,SRX2965834,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP110707,PRJNA392312,29198561,"",SRS2322862,SAMN07291170,simple,4932,Saccharomyces cerevisiae,GSM2689534,GEO,SRA582294,06,2017,Chou,Yeast,Ribo_elp6D_1,Yeast,YPD,BY4741 with elp6D::kanMX,Cycloheximide,GSM2689534
SRR5766440,17273458,995071824,57,391,SRX2965835,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP110707,PRJNA392312,29198561,"",SRS2322864,SAMN07291176,simple,4932,Saccharomyces cerevisiae,GSM2689535,GEO,SRA582294,06,2017,Chou,Yeast,Ribo_trm82D_1,Yeast,YPD,BY4741 with trm82D::kanMX,Cycloheximide,GSM2689535
SRR5766441,17372228,1005271981,57,392,SRX2965836,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP110707,PRJNA392312,29198561,"",SRS2322865,SAMN07291171,simple,4932,Saccharomyces cerevisiae,GSM2689536,GEO,SRA582294,06,2017,Chou,Yeast,Ribo_elp2D_1,Yeast,YPD,BY4741 with elp2D::kanMX,Cycloheximide,GSM2689536
SRR5766442,15579010,881067027,56,348,SRX2965837,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP110707,PRJNA392312,29198561,"",SRS2322867,SAMN07291174,simple,4932,Saccharomyces cerevisiae,GSM2689537,GEO,SRA582294,06,2017,Chou,Yeast,Ribo_ncs6D_1,Yeast,YPD,BY4741 with ncs6D::kanMX,Cycloheximide,GSM2689537
SRR5766443,15242220,867730259,56,338,SRX2965838,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP110707,PRJNA392312,29198561,"",SRS2322866,SAMN07291175,simple,4932,Saccharomyces cerevisiae,GSM2689538,GEO,SRA582294,06,2017,Chou,Yeast,Ribo_pus4D_1,Yeast,YPD,BY4741 with pus4D::kanMX,Cycloheximide,GSM2689538
SRR5766444,16758027,960900060,57,375,SRX2965839,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP110707,PRJNA392312,29198561,"",SRS2322868,SAMN07291173,simple,4932,Saccharomyces cerevisiae,GSM2689539,GEO,SRA582294,06,2017,Chou,Yeast,Ribo_pus5D_1,Yeast,YPD,BY4741 with pus5D::kanMX,Cycloheximide,GSM2689539
SRR5766445,13780759,786858825,57,305,SRX2965840,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP110707,PRJNA392312,29198561,"",SRS2322869,SAMN07291189,simple,4932,Saccharomyces cerevisiae,GSM2689540,GEO,SRA582294,06,2017,Chou,Yeast,Ribo_trm8D_1,Yeast,YPD,BY4741 with trm8D::kanMX,Cycloheximide,GSM2689540
