Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue/cell type,strain,genotype,gender,GEO Accession
SRR5863610,8067777,822913254,51,387,SRX3032117,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP113494,PRJNA395590,28772121,"",SRS2380962,SAMN07411351,simple,10090,Mus musculus,GSM2716790,GEO,SRA590793,08,2017,Thomson,Hippocampus,WT_IN3,CA1 pyramidal cells,CA1 pyramidal cells,C57BL/6,WT,male,GSM2716802
SRR5863611,8774303,894978906,51,412,SRX3032117,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP113494,PRJNA395590,28772121,"",SRS2380962,SAMN07411351,simple,10090,Mus musculus,GSM2716790,GEO,SRA590793,08,2017,Thomson,Hippocampus,WT_IN3,CA1 pyramidal cells,CA1 pyramidal cells,C57BL/6,WT,male,GSM2716803
SRR5863612,8299117,846509934,51,394,SRX3032117,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP113494,PRJNA395590,28772121,"",SRS2380962,SAMN07411351,simple,10090,Mus musculus,GSM2716790,GEO,SRA590793,08,2017,Thomson,Hippocampus,WT_IN3,CA1 pyramidal cells,CA1 pyramidal cells,C57BL/6,WT,male,GSM2716804
SRR5863613,8800734,897674868,51,414,SRX3032117,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP113494,PRJNA395590,28772121,"",SRS2380962,SAMN07411351,simple,10090,Mus musculus,GSM2716790,GEO,SRA590793,08,2017,Thomson,Hippocampus,WT_IN3,CA1 pyramidal cells,CA1 pyramidal cells,C57BL/6,WT,male,GSM2716805
SRR5863614,9523138,1428470700,75,527,SRX3032118,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP113494,PRJNA395590,28772121,"",SRS2380963,SAMN07411350,simple,10090,Mus musculus,GSM2716791,GEO,SRA590793,08,2017,Thomson,Hippocampus,WT_IN4,CA1 pyramidal cells,CA1 pyramidal cells,C57BL/6,Fmr1 KO,male,GSM2716806
SRR5863615,9629920,1444488000,75,517,SRX3032118,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP113494,PRJNA395590,28772121,"",SRS2380963,SAMN07411350,simple,10090,Mus musculus,GSM2716791,GEO,SRA590793,08,2017,Thomson,Hippocampus,WT_IN4,CA1 pyramidal cells,CA1 pyramidal cells,C57BL/6,Fmr1 KO,male,GSM2716807
SRR5863616,9744795,1461719250,75,523,SRX3032118,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP113494,PRJNA395590,28772121,"",SRS2380963,SAMN07411350,simple,10090,Mus musculus,GSM2716791,GEO,SRA590793,08,2017,Thomson,Hippocampus,WT_IN4,CA1 pyramidal cells,CA1 pyramidal cells,C57BL/6,Fmr1 KO,male,GSM2716808
SRR5863617,9712306,1456845900,75,528,SRX3032118,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP113494,PRJNA395590,28772121,"",SRS2380963,SAMN07411350,simple,10090,Mus musculus,GSM2716791,GEO,SRA590793,08,2017,Thomson,Hippocampus,WT_IN4,CA1 pyramidal cells,CA1 pyramidal cells,C57BL/6,Fmr1 KO,male,GSM2716809
SRR5863618,9424203,1413630450,75,523,SRX3032118,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP113494,PRJNA395590,28772121,"",SRS2380963,SAMN07411350,simple,10090,Mus musculus,GSM2716791,GEO,SRA590793,08,2017,Thomson,Hippocampus,WT_IN4,CA1 pyramidal cells,CA1 pyramidal cells,C57BL/6,Fmr1 KO,male,GSM2716810
SRR5863619,9004047,1350607050,75,512,SRX3032118,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP113494,PRJNA395590,28772121,"",SRS2380963,SAMN07411350,simple,10090,Mus musculus,GSM2716791,GEO,SRA590793,08,2017,Thomson,Hippocampus,WT_IN4,CA1 pyramidal cells,CA1 pyramidal cells,C57BL/6,Fmr1 KO,male,GSM2716811
SRR5863620,10586003,1587900450,75,583,SRX3032119,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP113494,PRJNA395590,28772121,"",SRS2380964,SAMN07411349,simple,10090,Mus musculus,GSM2716792,GEO,SRA590793,08,2017,Thomson,Hippocampus,WT_IN5,Hippocampus,Hippocampus,C57BL/6,WT,male,GSM2716788
SRR5863621,10702913,1605436950,75,571,SRX3032119,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP113494,PRJNA395590,28772121,"",SRS2380964,SAMN07411349,simple,10090,Mus musculus,GSM2716792,GEO,SRA590793,08,2017,Thomson,Hippocampus,WT_IN5,Hippocampus,Hippocampus,C57BL/6,WT,male,GSM2716789
SRR5863622,10808726,1621308900,75,577,SRX3032119,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP113494,PRJNA395590,28772121,"",SRS2380964,SAMN07411349,simple,10090,Mus musculus,GSM2716792,GEO,SRA590793,08,2017,Thomson,Hippocampus,WT_IN5,Hippocampus,Hippocampus,C57BL/6,WT,male,GSM2716790
SRR5863623,10784814,1617722100,75,585,SRX3032119,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP113494,PRJNA395590,28772121,"",SRS2380964,SAMN07411349,simple,10090,Mus musculus,GSM2716792,GEO,SRA590793,08,2017,Thomson,Hippocampus,WT_IN5,Hippocampus,Hippocampus,C57BL/6,WT,male,GSM2716791
SRR5863624,10477626,1571643900,75,581,SRX3032119,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP113494,PRJNA395590,28772121,"",SRS2380964,SAMN07411349,simple,10090,Mus musculus,GSM2716792,GEO,SRA590793,08,2017,Thomson,Hippocampus,WT_IN5,Hippocampus,Hippocampus,C57BL/6,WT,male,GSM2716792
SRR5863625,9988342,1498251300,75,568,SRX3032119,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP113494,PRJNA395590,28772121,"",SRS2380964,SAMN07411349,simple,10090,Mus musculus,GSM2716792,GEO,SRA590793,08,2017,Thomson,Hippocampus,WT_IN5,Hippocampus,Hippocampus,C57BL/6,WT,male,GSM2716793
SRR5863626,9935023,1490253450,75,547,SRX3032120,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP113494,PRJNA395590,28772121,"",SRS2380965,SAMN07411348,simple,10090,Mus musculus,GSM2716793,GEO,SRA590793,08,2017,Thomson,Hippocampus,WT_IN6,Hippocampus,Hippocampus,C57BL/6,Fmr1 KO,male,GSM2716794
SRR5863627,10063868,1509580200,75,536,SRX3032120,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP113494,PRJNA395590,28772121,"",SRS2380965,SAMN07411348,simple,10090,Mus musculus,GSM2716793,GEO,SRA590793,08,2017,Thomson,Hippocampus,WT_IN6,Hippocampus,Hippocampus,C57BL/6,Fmr1 KO,male,GSM2716795
SRR5863628,10232023,1534803450,75,545,SRX3032120,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP113494,PRJNA395590,28772121,"",SRS2380965,SAMN07411348,simple,10090,Mus musculus,GSM2716793,GEO,SRA590793,08,2017,Thomson,Hippocampus,WT_IN6,Hippocampus,Hippocampus,C57BL/6,Fmr1 KO,male,GSM2716796
SRR5863629,10206668,1531000200,75,552,SRX3032120,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP113494,PRJNA395590,28772121,"",SRS2380965,SAMN07411348,simple,10090,Mus musculus,GSM2716793,GEO,SRA590793,08,2017,Thomson,Hippocampus,WT_IN6,Hippocampus,Hippocampus,C57BL/6,Fmr1 KO,male,GSM2716797
SRR5863630,9872242,1480836300,75,547,SRX3032120,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP113494,PRJNA395590,28772121,"",SRS2380965,SAMN07411348,simple,10090,Mus musculus,GSM2716793,GEO,SRA590793,08,2017,Thomson,Hippocampus,WT_IN6,Hippocampus,Hippocampus,C57BL/6,Fmr1 KO,male,GSM2716798
SRR5863631,9422525,1413378750,75,535,SRX3032120,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP113494,PRJNA395590,28772121,"",SRS2380965,SAMN07411348,simple,10090,Mus musculus,GSM2716793,GEO,SRA590793,08,2017,Thomson,Hippocampus,WT_IN6,Hippocampus,Hippocampus,C57BL/6,Fmr1 KO,male,GSM2716799
SRR5863632,7826454,798298308,51,354,SRX3032121,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP113494,PRJNA395590,28772121,"",SRS2380966,SAMN07411342,simple,10090,Mus musculus,GSM2716794,GEO,SRA590793,08,2017,Thomson,Hippocampus,KO_IN1,CA1 pyramidal cells,CA1 pyramidal cells,C57BL/6,WT,male,GSM2716800
SRR5863633,7821326,797775252,51,353,SRX3032121,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP113494,PRJNA395590,28772121,"",SRS2380966,SAMN07411342,simple,10090,Mus musculus,GSM2716794,GEO,SRA590793,08,2017,Thomson,Hippocampus,KO_IN1,CA1 pyramidal cells,CA1 pyramidal cells,C57BL/6,WT,male,GSM2716801
SRR5863634,8300794,846680988,51,392,SRX3032121,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP113494,PRJNA395590,28772121,"",SRS2380966,SAMN07411342,simple,10090,Mus musculus,GSM2716794,GEO,SRA590793,08,2017,Thomson,Hippocampus,KO_IN1,CA1 pyramidal cells,CA1 pyramidal cells,C57BL/6,WT,male,GSM2716802
SRR5863635,8348425,851539350,51,386,SRX3032121,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP113494,PRJNA395590,28772121,"",SRS2380966,SAMN07411342,simple,10090,Mus musculus,GSM2716794,GEO,SRA590793,08,2017,Thomson,Hippocampus,KO_IN1,CA1 pyramidal cells,CA1 pyramidal cells,C57BL/6,WT,male,GSM2716803
SRR5863636,8523250,869371500,51,399,SRX3032121,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP113494,PRJNA395590,28772121,"",SRS2380966,SAMN07411342,simple,10090,Mus musculus,GSM2716794,GEO,SRA590793,08,2017,Thomson,Hippocampus,KO_IN1,CA1 pyramidal cells,CA1 pyramidal cells,C57BL/6,WT,male,GSM2716804
SRR5863637,8343113,850997526,51,387,SRX3032121,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP113494,PRJNA395590,28772121,"",SRS2380966,SAMN07411342,simple,10090,Mus musculus,GSM2716794,GEO,SRA590793,08,2017,Thomson,Hippocampus,KO_IN1,CA1 pyramidal cells,CA1 pyramidal cells,C57BL/6,WT,male,GSM2716805
SRR5863638,9432257,962090214,51,424,SRX3032122,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP113494,PRJNA395590,28772121,"",SRS2380967,SAMN07411343,simple,10090,Mus musculus,GSM2716795,GEO,SRA590793,08,2017,Thomson,Hippocampus,KO_IN2,CA1 pyramidal cells,CA1 pyramidal cells,C57BL/6,Fmr1 KO,male,GSM2716806
SRR5863639,9434616,962330832,51,424,SRX3032122,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP113494,PRJNA395590,28772121,"",SRS2380967,SAMN07411343,simple,10090,Mus musculus,GSM2716795,GEO,SRA590793,08,2017,Thomson,Hippocampus,KO_IN2,CA1 pyramidal cells,CA1 pyramidal cells,C57BL/6,Fmr1 KO,male,GSM2716807
SRR5863640,10386900,1059463800,51,487,SRX3032122,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP113494,PRJNA395590,28772121,"",SRS2380967,SAMN07411343,simple,10090,Mus musculus,GSM2716795,GEO,SRA590793,08,2017,Thomson,Hippocampus,KO_IN2,CA1 pyramidal cells,CA1 pyramidal cells,C57BL/6,Fmr1 KO,male,GSM2716808
SRR5863641,10085882,1028759964,51,465,SRX3032122,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP113494,PRJNA395590,28772121,"",SRS2380967,SAMN07411343,simple,10090,Mus musculus,GSM2716795,GEO,SRA590793,08,2017,Thomson,Hippocampus,KO_IN2,CA1 pyramidal cells,CA1 pyramidal cells,C57BL/6,Fmr1 KO,male,GSM2716809
SRR5863642,10633063,1084572426,51,494,SRX3032122,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP113494,PRJNA395590,28772121,"",SRS2380967,SAMN07411343,simple,10090,Mus musculus,GSM2716795,GEO,SRA590793,08,2017,Thomson,Hippocampus,KO_IN2,CA1 pyramidal cells,CA1 pyramidal cells,C57BL/6,Fmr1 KO,male,GSM2716810
SRR5863643,10087999,1028975898,51,466,SRX3032122,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP113494,PRJNA395590,28772121,"",SRS2380967,SAMN07411343,simple,10090,Mus musculus,GSM2716795,GEO,SRA590793,08,2017,Thomson,Hippocampus,KO_IN2,CA1 pyramidal cells,CA1 pyramidal cells,C57BL/6,Fmr1 KO,male,GSM2716811
SRR5863644,9523055,971351610,51,438,SRX3032123,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP113494,PRJNA395590,28772121,"",SRS2380968,SAMN07411344,simple,10090,Mus musculus,GSM2716796,GEO,SRA590793,08,2017,Thomson,Hippocampus,KO_IN3,Hippocampus,Hippocampus,C57BL/6,WT,male,GSM2716788
SRR5863645,9523666,971413932,51,438,SRX3032123,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP113494,PRJNA395590,28772121,"",SRS2380968,SAMN07411344,simple,10090,Mus musculus,GSM2716796,GEO,SRA590793,08,2017,Thomson,Hippocampus,KO_IN3,Hippocampus,Hippocampus,C57BL/6,WT,male,GSM2716789
SRR5863646,10290381,1049618862,51,499,SRX3032123,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP113494,PRJNA395590,28772121,"",SRS2380968,SAMN07411344,simple,10090,Mus musculus,GSM2716796,GEO,SRA590793,08,2017,Thomson,Hippocampus,KO_IN3,Hippocampus,Hippocampus,C57BL/6,WT,male,GSM2716790
SRR5863647,10162025,1036526550,51,476,SRX3032123,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP113494,PRJNA395590,28772121,"",SRS2380968,SAMN07411344,simple,10090,Mus musculus,GSM2716796,GEO,SRA590793,08,2017,Thomson,Hippocampus,KO_IN3,Hippocampus,Hippocampus,C57BL/6,WT,male,GSM2716791
SRR5863648,10540794,1075160988,51,504,SRX3032123,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP113494,PRJNA395590,28772121,"",SRS2380968,SAMN07411344,simple,10090,Mus musculus,GSM2716796,GEO,SRA590793,08,2017,Thomson,Hippocampus,KO_IN3,Hippocampus,Hippocampus,C57BL/6,WT,male,GSM2716792
SRR5863649,10153951,1035703002,51,476,SRX3032123,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP113494,PRJNA395590,28772121,"",SRS2380968,SAMN07411344,simple,10090,Mus musculus,GSM2716796,GEO,SRA590793,08,2017,Thomson,Hippocampus,KO_IN3,Hippocampus,Hippocampus,C57BL/6,WT,male,GSM2716793
SRR5863650,9899074,1484861100,75,549,SRX3032124,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP113494,PRJNA395590,28772121,"",SRS2380969,SAMN07411345,simple,10090,Mus musculus,GSM2716797,GEO,SRA590793,08,2017,Thomson,Hippocampus,KO_IN4,Hippocampus,Hippocampus,C57BL/6,Fmr1 KO,male,GSM2716794
SRR5863651,9993748,1499062200,75,538,SRX3032124,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP113494,PRJNA395590,28772121,"",SRS2380969,SAMN07411345,simple,10090,Mus musculus,GSM2716797,GEO,SRA590793,08,2017,Thomson,Hippocampus,KO_IN4,Hippocampus,Hippocampus,C57BL/6,Fmr1 KO,male,GSM2716795
SRR5863652,10101550,1515232500,75,544,SRX3032124,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP113494,PRJNA395590,28772121,"",SRS2380969,SAMN07411345,simple,10090,Mus musculus,GSM2716797,GEO,SRA590793,08,2017,Thomson,Hippocampus,KO_IN4,Hippocampus,Hippocampus,C57BL/6,Fmr1 KO,male,GSM2716796
SRR5863653,10069121,1510368150,75,549,SRX3032124,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP113494,PRJNA395590,28772121,"",SRS2380969,SAMN07411345,simple,10090,Mus musculus,GSM2716797,GEO,SRA590793,08,2017,Thomson,Hippocampus,KO_IN4,Hippocampus,Hippocampus,C57BL/6,Fmr1 KO,male,GSM2716797
SRR5863654,9728479,1459271850,75,542,SRX3032124,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP113494,PRJNA395590,28772121,"",SRS2380969,SAMN07411345,simple,10090,Mus musculus,GSM2716797,GEO,SRA590793,08,2017,Thomson,Hippocampus,KO_IN4,Hippocampus,Hippocampus,C57BL/6,Fmr1 KO,male,GSM2716798
SRR5863655,9258978,1388846700,75,528,SRX3032124,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP113494,PRJNA395590,28772121,"",SRS2380969,SAMN07411345,simple,10090,Mus musculus,GSM2716797,GEO,SRA590793,08,2017,Thomson,Hippocampus,KO_IN4,Hippocampus,Hippocampus,C57BL/6,Fmr1 KO,male,GSM2716799
SRR5863656,9999558,1499933700,75,562,SRX3032125,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP113494,PRJNA395590,28772121,"",SRS2380970,SAMN07411346,simple,10090,Mus musculus,GSM2716798,GEO,SRA590793,08,2017,Thomson,Hippocampus,KO_IN5,CA1 pyramidal cells,CA1 pyramidal cells,C57BL/6,WT,male,GSM2716800
SRR5863657,10227600,1534140000,75,550,SRX3032125,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP113494,PRJNA395590,28772121,"",SRS2380970,SAMN07411346,simple,10090,Mus musculus,GSM2716798,GEO,SRA590793,08,2017,Thomson,Hippocampus,KO_IN5,CA1 pyramidal cells,CA1 pyramidal cells,C57BL/6,WT,male,GSM2716801
SRR5863658,10358240,1553736000,75,557,SRX3032125,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP113494,PRJNA395590,28772121,"",SRS2380970,SAMN07411346,simple,10090,Mus musculus,GSM2716798,GEO,SRA590793,08,2017,Thomson,Hippocampus,KO_IN5,CA1 pyramidal cells,CA1 pyramidal cells,C57BL/6,WT,male,GSM2716802
