Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,antibody,phase,GEO Accession
SRR3284453,19291425,964571250,50,432,SRX1655606,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP072205,PRJNA316065,28091612,"",SRS1355989,SAMN04574681,simple,10029,Cricetulus griseus,GSM2096524,GEO,SRA392885,12,2016,Kallehauge,Chinese hamster ovary cells,Day3_rep3_RiboSeq,Chinese hamster ovary cells,CS13-1.0,IgG,Stationary phase,GSM2096529
SRR3284454,19422733,971136650,50,435,SRX1655606,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP072205,PRJNA316065,28091612,"",SRS1355989,SAMN04574681,simple,10029,Cricetulus griseus,GSM2096524,GEO,SRA392885,12,2016,Kallehauge,Chinese hamster ovary cells,Day3_rep3_RiboSeq,Chinese hamster ovary cells,CS13-1.0,IgG,Stationary phase,GSM2096530
SRR3284455,19639426,981971300,50,452,SRX1655607,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP072205,PRJNA316065,28091612,"",SRS1355988,SAMN04574682,simple,10029,Cricetulus griseus,GSM2096525,GEO,SRA392885,12,2016,Kallehauge,Chinese hamster ovary cells,Day6_rep1_RNAseq,Chinese hamster ovary cells,CS13-1.0,IgG,Exponential phase,GSM2096519
SRR3284456,19266916,963345800,50,443,SRX1655607,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP072205,PRJNA316065,28091612,"",SRS1355988,SAMN04574682,simple,10029,Cricetulus griseus,GSM2096525,GEO,SRA392885,12,2016,Kallehauge,Chinese hamster ovary cells,Day6_rep1_RNAseq,Chinese hamster ovary cells,CS13-1.0,IgG,Exponential phase,GSM2096520
SRR3284457,18926003,946300150,50,436,SRX1655608,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP072205,PRJNA316065,28091612,"",SRS1355987,SAMN04574683,simple,10029,Cricetulus griseus,GSM2096526,GEO,SRA392885,12,2016,Kallehauge,Chinese hamster ovary cells,Day6_rep2_RNAseq,Chinese hamster ovary cells,CS13-1.0,IgG,Exponential phase,GSM2096521
SRR3284458,18561336,928066800,50,427,SRX1655608,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP072205,PRJNA316065,28091612,"",SRS1355987,SAMN04574683,simple,10029,Cricetulus griseus,GSM2096526,GEO,SRA392885,12,2016,Kallehauge,Chinese hamster ovary cells,Day6_rep2_RNAseq,Chinese hamster ovary cells,CS13-1.0,IgG,Exponential phase,GSM2096522
SRR3284459,19603742,980187100,50,454,SRX1655609,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP072205,PRJNA316065,28091612,"",SRS1355984,SAMN04574684,simple,10029,Cricetulus griseus,GSM2096527,GEO,SRA392885,12,2016,Kallehauge,Chinese hamster ovary cells,Day6_rep3_RNAseq,Chinese hamster ovary cells,CS13-1.0,IgG,Exponential phase,GSM2096523
SRR3284460,19289937,964496850,50,446,SRX1655609,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP072205,PRJNA316065,28091612,"",SRS1355984,SAMN04574684,simple,10029,Cricetulus griseus,GSM2096527,GEO,SRA392885,12,2016,Kallehauge,Chinese hamster ovary cells,Day6_rep3_RNAseq,Chinese hamster ovary cells,CS13-1.0,IgG,Exponential phase,GSM2096524
SRR3284461,20613791,1030689550,50,470,SRX1655610,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP072205,PRJNA316065,28091612,"",SRS1355986,SAMN04574685,simple,10029,Cricetulus griseus,GSM2096528,GEO,SRA392885,12,2016,Kallehauge,Chinese hamster ovary cells,Day6_rep1_RiboSeq,Chinese hamster ovary cells,CS13-1.0,IgG,Stationary phase,GSM2096525
SRR3284462,20269158,1013457900,50,461,SRX1655610,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP072205,PRJNA316065,28091612,"",SRS1355986,SAMN04574685,simple,10029,Cricetulus griseus,GSM2096528,GEO,SRA392885,12,2016,Kallehauge,Chinese hamster ovary cells,Day6_rep1_RiboSeq,Chinese hamster ovary cells,CS13-1.0,IgG,Stationary phase,GSM2096526
SRR3284463,21571876,1078593800,50,487,SRX1655611,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP072205,PRJNA316065,28091612,"",SRS1355985,SAMN04574686,simple,10029,Cricetulus griseus,GSM2096529,GEO,SRA392885,12,2016,Kallehauge,Chinese hamster ovary cells,Day6_rep2_RiboSeq,Chinese hamster ovary cells,CS13-1.0,IgG,Stationary phase,GSM2096527
SRR3284464,21275904,1063795200,50,480,SRX1655611,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP072205,PRJNA316065,28091612,"",SRS1355985,SAMN04574686,simple,10029,Cricetulus griseus,GSM2096529,GEO,SRA392885,12,2016,Kallehauge,Chinese hamster ovary cells,Day6_rep2_RiboSeq,Chinese hamster ovary cells,CS13-1.0,IgG,Stationary phase,GSM2096528
SRR3284465,17349782,867489100,50,387,SRX1655612,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP072205,PRJNA316065,28091612,"",SRS1355983,SAMN04574687,simple,10029,Cricetulus griseus,GSM2096530,GEO,SRA392885,12,2016,Kallehauge,Chinese hamster ovary cells,Day6_rep3_RiboSeq,Chinese hamster ovary cells,CS13-1.0,IgG,Stationary phase,GSM2096529
SRR3284466,17475360,873768000,50,390,SRX1655612,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP072205,PRJNA316065,28091612,"",SRS1355983,SAMN04574687,simple,10029,Cricetulus griseus,GSM2096530,GEO,SRA392885,12,2016,Kallehauge,Chinese hamster ovary cells,Day6_rep3_RiboSeq,Chinese hamster ovary cells,CS13-1.0,IgG,Stationary phase,GSM2096530
