Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,primer set,GEO Accession
SRR1520321,14436394,390396551,27,266,SRX657370,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP044649,PRJNA255669,25056308,"",SRS662561,SAMN02927616,simple,4932,Saccharomyces cerevisiae,GSM1439594,GEO,SRA176056,08,2014,Gerashchenko,cultured cell suspension,oxidative_1/16x_CHX,cultured cell suspension,BY4741,Set #1,GSM1439594
SRR1520322,11926968,332082709,27,230,SRX657371,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP044649,PRJNA255669,25056308,"",SRS662562,SAMN02927617,simple,4932,Saccharomyces cerevisiae,GSM1439595,GEO,SRA176056,08,2014,Gerashchenko,cultured cell suspension,oxidative_1/4x_CHX,cultured cell suspension,BY4741,Set #1,GSM1439595
SRR1520323,10893351,298156293,27,194,SRX657372,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP044649,PRJNA255669,25056308,"",SRS662563,SAMN02927618,simple,4932,Saccharomyces cerevisiae,GSM1439596,GEO,SRA176056,08,2014,Gerashchenko,cultured cell suspension,oxidative_1x_CHX,cultured cell suspension,BY4741,Set #2,GSM1439596
SRR1520324,12478763,347356754,27,269,SRX657373,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP044649,PRJNA255669,25056308,"",SRS662564,SAMN02927619,simple,4932,Saccharomyces cerevisiae,GSM1439597,GEO,SRA176056,08,2014,Gerashchenko,cultured cell suspension,oxidative_8x_CHX,cultured cell suspension,BY4741,Set #2,GSM1439597
SRR1520325,21340725,590447422,27,457,SRX657374,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP044649,PRJNA255669,25056308,"",SRS662565,SAMN02927620,simple,4932,Saccharomyces cerevisiae,GSM1439598,GEO,SRA176056,08,2014,Gerashchenko,cultured cell suspension,oxidative_100x_CHX_rep1,cultured cell suspension,BY4741,Set #2,GSM1439598
SRR1520326,18475679,511137436,27,395,SRX657375,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP044649,PRJNA255669,25056308,"",SRS662566,SAMN02927621,simple,4932,Saccharomyces cerevisiae,GSM1439599,GEO,SRA176056,08,2014,Gerashchenko,cultured cell suspension,oxidative_100x_CHX_rep2,cultured cell suspension,BY4741,Set #2,GSM1439599
SRR1520327,9667089,261945035,27,169,SRX657376,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP044649,PRJNA255669,25056308,"",SRS662567,SAMN02927622,simple,4932,Saccharomyces cerevisiae,GSM1439600,GEO,SRA176056,08,2014,Gerashchenko,cultured cell suspension,heatshock_noCHX,cultured cell suspension,BY4741,Set #2,GSM1439600
SRR1520328,6198925,169735471,27,111,SRX657377,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP044649,PRJNA255669,25056308,"",SRS662568,SAMN02927623,simple,4932,Saccharomyces cerevisiae,GSM1439601,GEO,SRA176056,08,2014,Gerashchenko,cultured cell suspension,heatshock_1x_CHX,cultured cell suspension,BY4741,Set #2,GSM1439601
SRR1520329,17281467,483656161,27,337,SRX657378,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP044649,PRJNA255669,25056308,"",SRS662569,SAMN02927624,simple,4932,Saccharomyces cerevisiae,GSM1439602,GEO,SRA176056,08,2014,Gerashchenko,cultured cell suspension,complete_SD_media,cultured cell suspension,BY4741,Set #1,GSM1439602
SRR1520330,10229478,272722175,26,186,SRX657379,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP044649,PRJNA255669,25056308,"",SRS662570,SAMN02927625,simple,4932,Saccharomyces cerevisiae,GSM1439603,GEO,SRA176056,08,2014,Gerashchenko,cultured cell suspension,SD_no_aminoacids,cultured cell suspension,BY4741,Set #1,GSM1439603
SRR1520331,18564729,505082433,27,328,SRX657380,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP044649,PRJNA255669,25056308,"",SRS662571,SAMN02927626,simple,4932,Saccharomyces cerevisiae,GSM1439604,GEO,SRA176056,08,2014,Gerashchenko,cultured cell suspension,SD_no_aminoacids_plus_His_Met_Leu,cultured cell suspension,BY4741,Set #2,GSM1439604
SRR1520332,3875811,107097300,27,73,SRX657381,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP044649,PRJNA255669,25056308,"",SRS662572,SAMN02927627,simple,4932,Saccharomyces cerevisiae,GSM1439605,GEO,SRA176056,08,2014,Gerashchenko,cultured cell suspension,edeine_noCHX,cultured cell suspension,BY4741,Set #1,GSM1439605
SRR1520333,10152217,281022325,27,186,SRX657382,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP044649,PRJNA255669,25056308,"",SRS662573,SAMN02927628,simple,4932,Saccharomyces cerevisiae,GSM1439606,GEO,SRA176056,08,2014,Gerashchenko,cultured cell suspension,aurin_noCHX,cultured cell suspension,BY4741,Set #1,GSM1439606
SRR1520334,10854993,299690868,27,189,SRX657383,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP044649,PRJNA255669,25056308,"",SRS662574,SAMN02927629,simple,4932,Saccharomyces cerevisiae,GSM1439607,GEO,SRA176056,08,2014,Gerashchenko,cultured cell suspension,small_subunit,cultured cell suspension,BY4741,Set #1,GSM1439607
