Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,experiment type,genotype,rip antibody,GEO Accession
SRR9019693,16032682,817666782,51,549,SRX5797789,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP195632,PRJNA541324,31944153,"",SRS4728933,SAMN11582995,simple,9606,Homo sapiens,GSM3753511,GEO,SRA883373,01,2020,Lyabin,Human embryonic kidney,"Ribo-Seq wt+HA-YB-1 (RP_wt_YB1), run 2",Human embryonic kidney,HEK293T,Ribo-Seq,wild type+HA-YB-1,,GSM3753515
SRR9019694,22179372,1552556040,70,601,SRX5797790,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP195632,PRJNA541324,31944153,"",SRS4728934,SAMN11582994,simple,9606,Homo sapiens,GSM3753512,GEO,SRA883373,01,2020,Lyabin,Human embryonic kidney,"Size-matched RNA-Seq wt+HA-YB-1 (RP_tot_wt_YB1), run 1",Human embryonic kidney,HEK293T,Size-matched RNA-Seq,wild type+HA-YB-1,,GSM3753516
SRR9019695,16619371,847587921,51,559,SRX5797791,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP195632,PRJNA541324,31944153,"",SRS4728935,SAMN11582993,simple,9606,Homo sapiens,GSM3753513,GEO,SRA883373,01,2020,Lyabin,Human embryonic kidney,"Size-matched RNA-Seq wt+HA-YB-1 (RP_tot_wt_YB1), run 2",Human embryonic kidney,HEK293T,Size-matched RNA-Seq,wild type+HA-YB-1,,GSM3753517
SRR9019696,19022702,970157802,51,658,SRX5797792,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP195632,PRJNA541324,31944153,"",SRS4728936,SAMN11582992,simple,9606,Homo sapiens,GSM3753514,GEO,SRA883373,01,2020,Lyabin,Human embryonic kidney,"Ribo-Seq deltaYB-1 (RP_del), run 1",Human embryonic kidney,HEK293T,Ribo-Seq,deltaYB-1,,GSM3753518
SRR9019697,19152152,976759752,51,660,SRX5797793,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP195632,PRJNA541324,31944153,"",SRS4728937,SAMN11582991,simple,9606,Homo sapiens,GSM3753515,GEO,SRA883373,01,2020,Lyabin,Human embryonic kidney,"Ribo-Seq deltaYB-1 (RP_del), run 2",Human embryonic kidney,HEK293T,Ribo-Seq,deltaYB-1,,GSM3753520
SRR9019698,25976617,3247077125,125,1751,SRX5797794,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP195632,PRJNA541324,31944153,"",SRS4728938,SAMN11582990,simple,9606,Homo sapiens,GSM3753516,GEO,SRA883373,01,2020,Lyabin,Human embryonic kidney,"Ribo-Seq deltaYB-1 (RP_del), run 3",Human embryonic kidney,HEK293T,Ribo-Seq,deltaYB-1,,GSM3753522
SRR9019699,34011186,1734570486,51,1154,SRX5797795,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP195632,PRJNA541324,31944153,"",SRS4728939,SAMN11582989,simple,9606,Homo sapiens,GSM3753517,GEO,SRA883373,01,2020,Lyabin,Human embryonic kidney,"Size-matched RNA-Seq deltaYB-1 (RP_tot_del), run 1",Human embryonic kidney,HEK293T,Size-matched RNA-Seq,deltaYB-1,,GSM3753523
SRR9019700,34397442,1754269542,51,1164,SRX5797796,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP195632,PRJNA541324,31944153,"",SRS4728940,SAMN11582988,simple,9606,Homo sapiens,GSM3753518,GEO,SRA883373,01,2020,Lyabin,Human embryonic kidney,"Size-matched RNA-Seq deltaYB-1 (RP_tot_del), run 2",Human embryonic kidney,HEK293T,Size-matched RNA-Seq,deltaYB-1,,GSM3753524
SRR9019701,48906185,3423432950,70,1355,SRX5797797,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP195632,PRJNA541324,31944153,"",SRS4728941,SAMN11582987,simple,9606,Homo sapiens,GSM3753519,GEO,SRA883373,01,2020,Lyabin,Human embryonic kidney,"Ribo-Seq deltaYB-1+HA (RP_del_HA), run 1",Human embryonic kidney,HEK293T,Ribo-Seq,deltaYB-1+HA,,GSM3753530
SRR9019702,17201661,877284711,51,597,SRX5797798,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP195632,PRJNA541324,31944153,"",SRS4728942,SAMN11582986,simple,9606,Homo sapiens,GSM3753520,GEO,SRA883373,01,2020,Lyabin,Human embryonic kidney,"Ribo-Seq deltaYB-1+HA (RP_del_HA), run 2",Human embryonic kidney,HEK293T,Ribo-Seq,deltaYB-1+HA,,GSM3753531
SRR9019703,27972256,1958057920,70,752,SRX5797799,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP195632,PRJNA541324,31944153,"",SRS4728943,SAMN11582985,simple,9606,Homo sapiens,GSM3753521,GEO,SRA883373,01,2020,Lyabin,Human embryonic kidney,"Size-matched RNA-Seq deltaYB-1+HA (RP_tot_del_HA), run 1",Human embryonic kidney,HEK293T,Size-matched RNA-Seq,deltaYB-1+HA,,GSM3753537
SRR9019704,15661876,798755676,51,527,SRX5797800,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP195632,PRJNA541324,31944153,"",SRS4728944,SAMN11582984,simple,9606,Homo sapiens,GSM3753522,GEO,SRA883373,01,2020,Lyabin,Human embryonic kidney,"Size-matched RNA-Seq deltaYB-1+HA (RP_tot_del_HA), run 2",Human embryonic kidney,HEK293T,Size-matched RNA-Seq,deltaYB-1+HA,,GSM3753538
SRR9019705,8760053,446762703,51,278,SRX5797801,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP195632,PRJNA541324,31944153,"",SRS4728945,SAMN11582983,simple,9606,Homo sapiens,GSM3753523,GEO,SRA883373,01,2020,Lyabin,Human embryonic kidney,"YB-1 RIP-Seq wt PolyA (IP_YB1_polyA), run 1",Human embryonic kidney,HEK293T,RIP-Seq,wild type,"YB-1 (#4202, CST)",GSM3753501
SRR9019706,8982685,458116935,51,284,SRX5797802,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP195632,PRJNA541324,31944153,"",SRS4728946,SAMN11582982,simple,9606,Homo sapiens,GSM3753524,GEO,SRA883373,01,2020,Lyabin,Human embryonic kidney,"YB-1 RIP-Seq wt PolyA (IP_YB1_polyA), run 2",Human embryonic kidney,HEK293T,RIP-Seq,wild type,"YB-1 (#4202, CST)",GSM3753502
SRR9019707,17361282,1302096150,75,458,SRX5797803,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP195632,PRJNA541324,31944153,"",SRS4728947,SAMN11583026,simple,9606,Homo sapiens,GSM3753525,GEO,SRA883373,01,2020,Lyabin,Human embryonic kidney,"YB-1 RIP-Seq wt Total (IP_YB1_H), run 1",Human embryonic kidney,HEK293T,RIP-Seq,wild type,"YB-1 (#4202, CST)",GSM3753503
SRR9019708,2928520,175711200,60,76,SRX5797804,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP195632,PRJNA541324,31944153,"",SRS4728948,SAMN11583025,simple,9606,Homo sapiens,GSM3753526,GEO,SRA883373,01,2020,Lyabin,Human embryonic kidney,"YB-1 RIP-Seq wt Total (IP_YB1_H), run 2",Human embryonic kidney,HEK293T,RIP-Seq,wild type,"YB-1 (#4202, CST)",GSM3753504
SRR9019709,10970087,822756525,75,300,SRX5797805,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP195632,PRJNA541324,31944153,"",SRS4728949,SAMN11583024,simple,9606,Homo sapiens,GSM3753527,GEO,SRA883373,01,2020,Lyabin,Human embryonic kidney,YB-3 RIP-Seq wt PolyA (IP_YB3_polyA),Human embryonic kidney,HEK293T,RIP-Seq,wild type,"YB-3 (#A303-070A, Bethyl)",GSM3753505
SRR9019710,15245425,1143406875,75,397,SRX5797806,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP195632,PRJNA541324,31944153,"",SRS4728950,SAMN11583023,simple,9606,Homo sapiens,GSM3753528,GEO,SRA883373,01,2020,Lyabin,Human embryonic kidney,"YB-3 RIP-Seq wt Total (IP_YB3_H), run 1",Human embryonic kidney,HEK293T,RIP-Seq,wild type,"YB-3 (#A303-070A, Bethyl)",GSM3753507
SRR9019711,2872817,172369020,60,74,SRX5797807,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP195632,PRJNA541324,31944153,"",SRS4728951,SAMN11583022,simple,9606,Homo sapiens,GSM3753529,GEO,SRA883373,01,2020,Lyabin,Human embryonic kidney,"YB-3 RIP-Seq wt Total (IP_YB3_H), run 2",Human embryonic kidney,HEK293T,RIP-Seq,wild type,"YB-3 (#A303-070A, Bethyl)",GSM3753509
SRR9019712,11146891,568491441,51,361,SRX5797808,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP195632,PRJNA541324,31944153,"",SRS4728952,SAMN11583021,simple,9606,Homo sapiens,GSM3753530,GEO,SRA883373,01,2020,Lyabin,Human embryonic kidney,"RNA-Seq wt polyA rep1 (total_polyA_1), run 1",Human embryonic kidney,HEK293T,RNA-Seq,wild type,,GSM3753511
SRR9019713,11236116,573041916,51,362,SRX5797809,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP195632,PRJNA541324,31944153,"",SRS4728953,SAMN11583014,simple,9606,Homo sapiens,GSM3753531,GEO,SRA883373,01,2020,Lyabin,Human embryonic kidney,"RNA-Seq wt polyA rep1 (total_polyA_1), run 2",Human embryonic kidney,HEK293T,RNA-Seq,wild type,,GSM3753513
SRR9019714,10146546,760990950,75,280,SRX5797810,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP195632,PRJNA541324,31944153,"",SRS4728954,SAMN11583020,simple,9606,Homo sapiens,GSM3753532,GEO,SRA883373,01,2020,Lyabin,Human embryonic kidney,RNA-Seq wt polyA rep2 (total_polyA_2),Human embryonic kidney,HEK293T,RNA-Seq,wild type,,GSM3753514
SRR9019715,3855331,231319860,60,101,SRX5797811,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP195632,PRJNA541324,31944153,"",SRS4728955,SAMN11583019,simple,9606,Homo sapiens,GSM3753533,GEO,SRA883373,01,2020,Lyabin,Human embryonic kidney,"RNA-Seq wt Total rep1 (total_H_1), run 1",Human embryonic kidney,HEK293T,RNA-Seq,wild type,,GSM3753515
SRR9019716,60751521,4556364075,75,1648,SRX5797812,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP195632,PRJNA541324,31944153,"",SRS4728956,SAMN11583018,simple,9606,Homo sapiens,GSM3753534,GEO,SRA883373,01,2020,Lyabin,Human embryonic kidney,"RNA-Seq wt Total rep1 (total_H_1), run 2",Human embryonic kidney,HEK293T,RNA-Seq,wild type,,GSM3753516
SRR9019717,85639380,6422953500,75,2327,SRX5797813,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP195632,PRJNA541324,31944153,"",SRS4728957,SAMN11583017,simple,9606,Homo sapiens,GSM3753535,GEO,SRA883373,01,2020,Lyabin,Human embryonic kidney,RNA-Seq wt Total rep2 (total_H_2),Human embryonic kidney,HEK293T,RNA-Seq,wild type,,GSM3753517
SRR9019718,11356591,851744325,75,309,SRX5797814,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP195632,PRJNA541324,31944153,"",SRS4728958,SAMN11583016,simple,9606,Homo sapiens,GSM3753536,GEO,SRA883373,01,2020,Lyabin,Human embryonic kidney,YB-3 RIP-Seq deltaYB-1 PolyA (IP_YB3_polyA_del),Human embryonic kidney,HEK293T,RIP-Seq,deltaYB-1,"YB-3 (#A303-070A, Bethyl)",GSM3753518
SRR9019719,10272018,523872918,51,332,SRX5797815,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP195632,PRJNA541324,31944153,"",SRS4728959,SAMN11583015,simple,9606,Homo sapiens,GSM3753537,GEO,SRA883373,01,2020,Lyabin,Human embryonic kidney,"RNA-Seq deltaYB-1 polyA rep1 (total_polyA_del_1), run 1",Human embryonic kidney,HEK293T,RNA-Seq,deltaYB-1,,GSM3753520
SRR9019720,10542083,537646233,51,339,SRX5797816,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP195632,PRJNA541324,31944153,"",SRS4728960,SAMN11583013,simple,9606,Homo sapiens,GSM3753538,GEO,SRA883373,01,2020,Lyabin,Human embryonic kidney,"RNA-Seq deltaYB-1 polyA rep1 (total_polyA_del_1), run 2",Human embryonic kidney,HEK293T,RNA-Seq,deltaYB-1,,GSM3753522
SRR9019721,12031284,902346300,75,331,SRX5797817,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP195632,PRJNA541324,31944153,"",SRS4728961,SAMN11583012,simple,9606,Homo sapiens,GSM3753539,GEO,SRA883373,01,2020,Lyabin,Human embryonic kidney,RNA-Seq deltaYB-1 polyA rep2 (total_polyA_del_2),Human embryonic kidney,HEK293T,RNA-Seq,deltaYB-1,,GSM3753523
SRR9019722,20320934,1524070050,75,538,SRX5797818,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP195632,PRJNA541324,31944153,"",SRS4728962,SAMN11583011,simple,9606,Homo sapiens,GSM3753540,GEO,SRA883373,01,2020,Lyabin,Human embryonic kidney,"YB-1 RIP-Seq wt Total (Bethyl1_YB1), run 1",Human embryonic kidney,HEK293T,RIP-Seq,wild type,"YB-1 (#A303-230A, Bethyl)",GSM3753524
SRR9019723,1402451,84147060,60,37,SRX5797819,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP195632,PRJNA541324,31944153,"",SRS4728963,SAMN11583010,simple,9606,Homo sapiens,GSM3753541,GEO,SRA883373,01,2020,Lyabin,Human embryonic kidney,"YB-1 RIP-Seq wt Total (Bethyl1_YB1), run 2",Human embryonic kidney,HEK293T,RIP-Seq,wild type,"YB-1 (#A303-230A, Bethyl)",GSM3753530
