Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,genetic background,genotype,antibody,cell type,treatment,GEO Accession
SRR15070642,34712728,1353796392,39,477,SRX11380701,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP327516,PRJNA744888,37137667,"",SRS9425573,SAMN20121784,simple,10090,Mus musculus,GSM5430382,GEO,SRA1256467,05,2023,Flemr,embryonic stem (ES) cells,"BCLIPseq of EIF4A3 in wt mES cells, replicate 1",embryonic stem (ES) cells,hybrid 129-C57BL/6,"wt, 3A-tagged Eif4a3","anti FLAG (Sigma F1804), M280 Streptavidin Dynabeads (ThermoFisher 11206D)",,,GSM5430382
SRR15070643,34835469,1323747822,38,465,SRX11380702,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP327516,PRJNA744888,37137667,"",SRS9425572,SAMN20121783,simple,10090,Mus musculus,GSM5430383,GEO,SRA1256467,05,2023,Flemr,embryonic stem (ES) cells,"BCLIPseq of EIF4A3 in wt mES cells, replicate 2",embryonic stem (ES) cells,hybrid 129-C57BL/6,"wt, 3A-tagged Eif4a3","anti FLAG (Sigma F1804), M280 Streptavidin Dynabeads (ThermoFisher 11206D)",,,GSM5430383
SRR15070645,22537262,878953218,39,319,SRX11380703,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP327516,PRJNA744888,37137667,"",SRS9425574,SAMN20121782,simple,10090,Mus musculus,GSM5430384,GEO,SRA1256467,05,2023,Flemr,embryonic stem (ES) cells,"BCLIPseq of NRDE2 in SmE-depleted mES cells, replicate 1",embryonic stem (ES) cells,hybrid 129-C57BL/6,"SmE-FKBP12F36V, 3A-tagged Nrde2","anti FLAG (Sigma F1804), M280 Streptavidin Dynabeads (ThermoFisher 11206D)",,,GSM5430384
SRR15070646,32849577,1248283926,38,440,SRX11380704,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP327516,PRJNA744888,37137667,"",SRS9425575,SAMN20121781,simple,10090,Mus musculus,GSM5430385,GEO,SRA1256467,05,2023,Flemr,embryonic stem (ES) cells,"BCLIPseq of NRDE2 in SmE-depleted mES cells, replicate 2",embryonic stem (ES) cells,hybrid 129-C57BL/6,"SmE-FKBP12F36V, 3A-tagged Nrde2","anti FLAG (Sigma F1804), M280 Streptavidin Dynabeads (ThermoFisher 11206D)",,,GSM5430385
SRR15070648,23901376,884350912,37,318,SRX11380705,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP327516,PRJNA744888,37137667,"",SRS9425576,SAMN20121780,simple,10090,Mus musculus,GSM5430386,GEO,SRA1256467,05,2023,Flemr,embryonic stem (ES) cells,"BCLIPseq of CCDC174 in Nrde2 knockout mES cells, replicate 1",embryonic stem (ES) cells,hybrid 129-C57BL/6,"Nrde2 knockout, 3A-tagged Ccdc174","anti FLAG (Sigma F1804), M280 Streptavidin Dynabeads (ThermoFisher 11206D)",,,GSM5430386
SRR15070650,33431134,1203520824,36,435,SRX11380706,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP327516,PRJNA744888,37137667,"",SRS9425577,SAMN20121779,simple,10090,Mus musculus,GSM5430387,GEO,SRA1256467,05,2023,Flemr,embryonic stem (ES) cells,"BCLIPseq of CCDC174 in Nrde2 knockout mES cells, replicate 2",embryonic stem (ES) cells,hybrid 129-C57BL/6,"Nrde2 knockout, 3A-tagged Ccdc174","anti FLAG (Sigma F1804), M280 Streptavidin Dynabeads (ThermoFisher 11206D)",,,GSM5430387
SRR15219605,47121193,2403180843,51,921,SRX11525556,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP327516,PRJNA744888,37137667,"",SRS9562918,SAMN20353360,simple,10090,Mus musculus,GSM5467912,GEO,SRA1256467,05,2023,Flemr,embryonic stem (ES) cells,"RNAseq in wt (conditional Nrde2 knockout) mES cells, replicate 1",embryonic stem (ES) cells,hybrid 129-C57BL/6,wt,,embryonic stem (ES) cells,,GSM5467912
SRR15219606,54641805,2786732055,51,1064,SRX11525557,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP327516,PRJNA744888,37137667,"",SRS9562919,SAMN20353359,simple,10090,Mus musculus,GSM5467913,GEO,SRA1256467,05,2023,Flemr,embryonic stem (ES) cells,"RNAseq in wt (conditional Nrde2 knockout) mES cells, replicate 2",embryonic stem (ES) cells,hybrid 129-C57BL/6,wt,,embryonic stem (ES) cells,,GSM5467913
SRR15219607,52746263,2690059413,51,1028,SRX11525558,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP327516,PRJNA744888,37137667,"",SRS9562920,SAMN20353358,simple,10090,Mus musculus,GSM5467914,GEO,SRA1256467,05,2023,Flemr,embryonic stem (ES) cells,"RNAseq in Nrde2 knockout mES cells, replicate 1",embryonic stem (ES) cells,hybrid 129-C57BL/6,Nrde2 knockout,,embryonic stem (ES) cells,,GSM5467914
SRR15219608,54998938,2804945838,51,1073,SRX11525559,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP327516,PRJNA744888,37137667,"",SRS9562921,SAMN20353357,simple,10090,Mus musculus,GSM5467915,GEO,SRA1256467,05,2023,Flemr,embryonic stem (ES) cells,"RNAseq in Nrde2 knockout mES cells, replicate 2",embryonic stem (ES) cells,hybrid 129-C57BL/6,Nrde2 knockout,,embryonic stem (ES) cells,,GSM5467915
SRR15219609,54728501,2791153551,51,1062,SRX11525560,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP327516,PRJNA744888,37137667,"",SRS9562922,SAMN20353356,simple,10090,Mus musculus,GSM5467916,GEO,SRA1256467,05,2023,Flemr,embryonic stem (ES) cells,"RNAseq in Nrde2d200 mES cells, replicate 1",embryonic stem (ES) cells,hybrid 129-C57BL/6,N-terminal 200 amino acid deletion of Nrde2,,embryonic stem (ES) cells,,GSM5467916
SRR15219610,50389746,2569877046,51,980,SRX11525561,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP327516,PRJNA744888,37137667,"",SRS9562923,SAMN20353355,simple,10090,Mus musculus,GSM5467917,GEO,SRA1256467,05,2023,Flemr,embryonic stem (ES) cells,"RNAseq in Nrde2d200 mES cells, replicate 2",embryonic stem (ES) cells,hybrid 129-C57BL/6,N-terminal 200 amino acid deletion of Nrde2,,embryonic stem (ES) cells,,GSM5467917
SRR15219611,52990350,2702507850,51,1016,SRX11525562,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP327516,PRJNA744888,37137667,"",SRS9562924,SAMN20353354,simple,10090,Mus musculus,GSM5467918,GEO,SRA1256467,05,2023,Flemr,embryonic stem (ES) cells,"RNAseq in Nrde2D174R mES cells, replicate 1",embryonic stem (ES) cells,hybrid 129-C57BL/6,Nrde2 D174R mutation,,embryonic stem (ES) cells,,GSM5467918
SRR15219612,51078056,2604980856,51,980,SRX11525563,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP327516,PRJNA744888,37137667,"",SRS9562925,SAMN20353386,simple,10090,Mus musculus,GSM5467919,GEO,SRA1256467,05,2023,Flemr,embryonic stem (ES) cells,"RNAseq in Nrde2D174R mES cells, replicate 2",embryonic stem (ES) cells,hybrid 129-C57BL/6,Nrde2 D174R mutation,,embryonic stem (ES) cells,,GSM5467919
SRR15219613,53314635,2719046385,51,1027,SRX11525564,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP327516,PRJNA744888,37137667,"",SRS9562926,SAMN20353385,simple,10090,Mus musculus,GSM5467920,GEO,SRA1256467,05,2023,Flemr,embryonic stem (ES) cells,"RNAseq in wt (conditional Mtrex knockout) mES cells, replicate 1",embryonic stem (ES) cells,hybrid 129-C57BL/6,wt,,embryonic stem (ES) cells,,GSM5467920
SRR15219614,50190488,2559714888,51,969,SRX11525565,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP327516,PRJNA744888,37137667,"",SRS9562927,SAMN20353384,simple,10090,Mus musculus,GSM5467921,GEO,SRA1256467,05,2023,Flemr,embryonic stem (ES) cells,"RNAseq in wt (conditional Mtrex knockout) mES cells, replicate 2",embryonic stem (ES) cells,hybrid 129-C57BL/6,wt,,embryonic stem (ES) cells,,GSM5467921
SRR15219615,59633458,3041306358,51,1151,SRX11525566,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP327516,PRJNA744888,37137667,"",SRS9562928,SAMN20353383,simple,10090,Mus musculus,GSM5467922,GEO,SRA1256467,05,2023,Flemr,embryonic stem (ES) cells,"RNAseq in Mtrex knockout mES cells, replicate 1",embryonic stem (ES) cells,hybrid 129-C57BL/6,Mtrex knockout,,embryonic stem (ES) cells,,GSM5467922
SRR15219616,46639445,2378611695,51,901,SRX11525567,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP327516,PRJNA744888,37137667,"",SRS9562929,SAMN20353382,simple,10090,Mus musculus,GSM5467923,GEO,SRA1256467,05,2023,Flemr,embryonic stem (ES) cells,"RNAseq in Mtrex knockout mES cells, replicate 2",embryonic stem (ES) cells,hybrid 129-C57BL/6,Mtrex knockout,,embryonic stem (ES) cells,,GSM5467923
SRR15219617,55079312,2809044912,51,1036,SRX11525568,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP327516,PRJNA744888,37137667,"",SRS9562930,SAMN20353381,simple,10090,Mus musculus,GSM5467924,GEO,SRA1256467,05,2023,Flemr,embryonic stem (ES) cells,"RNAseq in untreated wt (Ccdc174-FKBP12F36V fusion) mES cells, replicate 1",embryonic stem (ES) cells,hybrid 129-C57BL/6,Ccdc174-FKBP12F36V,,embryonic stem (ES) cells,untreated,GSM5467924
SRR15219618,53387392,2722756992,51,1000,SRX11525569,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP327516,PRJNA744888,37137667,"",SRS9562931,SAMN20353380,simple,10090,Mus musculus,GSM5467925,GEO,SRA1256467,05,2023,Flemr,embryonic stem (ES) cells,"RNAseq in untreated wt (Ccdc174-FKBP12F36V fusion) mES cells, replicate 2",embryonic stem (ES) cells,hybrid 129-C57BL/6,Ccdc174-FKBP12F36V,,embryonic stem (ES) cells,untreated,GSM5467925
SRR15219619,56561199,2884621149,51,1060,SRX11525570,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP327516,PRJNA744888,37137667,"",SRS9562932,SAMN20353379,simple,10090,Mus musculus,GSM5467926,GEO,SRA1256467,05,2023,Flemr,embryonic stem (ES) cells,"RNAseq in CHX-treated wt (Ccdc174-FKBP12F36V fusion) mES cells, replicate 1",embryonic stem (ES) cells,hybrid 129-C57BL/6,Ccdc174-FKBP12F36V,,embryonic stem (ES) cells,CHX-treated,GSM5467926
SRR15219620,54688190,2789097690,51,1025,SRX11525571,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP327516,PRJNA744888,37137667,"",SRS9562933,SAMN20353378,simple,10090,Mus musculus,GSM5467927,GEO,SRA1256467,05,2023,Flemr,embryonic stem (ES) cells,"RNAseq in CHX-treated wt (Ccdc174-FKBP12F36V fusion) mES cells, replicate 2",embryonic stem (ES) cells,hybrid 129-C57BL/6,Ccdc174-FKBP12F36V,,embryonic stem (ES) cells,CHX-treated,GSM5467927
SRR15219621,54428600,2775858600,51,1028,SRX11525572,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP327516,PRJNA744888,37137667,"",SRS9562934,SAMN20353377,simple,10090,Mus musculus,GSM5467928,GEO,SRA1256467,05,2023,Flemr,embryonic stem (ES) cells,"RNAseq in untreated Ccdc174-depleted mES cells, replicate 1",embryonic stem (ES) cells,hybrid 129-C57BL/6,Ccdc174-FKBP12F36V,,embryonic stem (ES) cells,untreated,GSM5467928
SRR15219622,53766271,2742079821,51,1014,SRX11525573,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP327516,PRJNA744888,37137667,"",SRS9562935,SAMN20353376,simple,10090,Mus musculus,GSM5467929,GEO,SRA1256467,05,2023,Flemr,embryonic stem (ES) cells,"RNAseq in untreated Ccdc174-depleted mES cells, replicate 2",embryonic stem (ES) cells,hybrid 129-C57BL/6,Ccdc174-FKBP12F36V,,embryonic stem (ES) cells,untreated,GSM5467929
SRR15219623,55296670,2820130170,51,1038,SRX11525574,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP327516,PRJNA744888,37137667,"",SRS9562936,SAMN20353375,simple,10090,Mus musculus,GSM5467930,GEO,SRA1256467,05,2023,Flemr,embryonic stem (ES) cells,"RNAseq in CHX-treated Ccdc174-depleted mES cells, replicate 1",embryonic stem (ES) cells,hybrid 129-C57BL/6,Ccdc174-FKBP12F36V,,embryonic stem (ES) cells,CHX-treated,GSM5467930
SRR15219624,53682120,2737788120,51,1006,SRX11525575,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP327516,PRJNA744888,37137667,"",SRS9562937,SAMN20353373,simple,10090,Mus musculus,GSM5467931,GEO,SRA1256467,05,2023,Flemr,embryonic stem (ES) cells,"RNAseq in CHX-treated Ccdc174-depleted mES cells, replicate 2",embryonic stem (ES) cells,hybrid 129-C57BL/6,Ccdc174-FKBP12F36V,,embryonic stem (ES) cells,CHX-treated,GSM5467931
SRR15219625,53446383,2725765533,51,1008,SRX11525576,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP327516,PRJNA744888,37137667,"",SRS9562938,SAMN20353372,simple,10090,Mus musculus,GSM5467932,GEO,SRA1256467,05,2023,Flemr,embryonic stem (ES) cells,"RNAseq in untreated wt (conditional Nrde2 knockout) mES cells, replicate 1",embryonic stem (ES) cells,hybrid 129-C57BL/6,wt,,embryonic stem (ES) cells,untreated,GSM5467932
SRR15219626,52781335,2691848085,51,993,SRX11525577,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP327516,PRJNA744888,37137667,"",SRS9562939,SAMN20353371,simple,10090,Mus musculus,GSM5467933,GEO,SRA1256467,05,2023,Flemr,embryonic stem (ES) cells,"RNAseq in untreated wt (conditional Nrde2 knockout) mES cells, replicate 2",embryonic stem (ES) cells,hybrid 129-C57BL/6,wt,,embryonic stem (ES) cells,untreated,GSM5467933
SRR15219627,54725011,2790975561,51,1030,SRX11525578,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP327516,PRJNA744888,37137667,"",SRS9562940,SAMN20353370,simple,10090,Mus musculus,GSM5467934,GEO,SRA1256467,05,2023,Flemr,embryonic stem (ES) cells,"RNAseq in CHX-treated wt (conditional Nrde2 knockout) mES cells, replicate 1",embryonic stem (ES) cells,hybrid 129-C57BL/6,wt,,embryonic stem (ES) cells,CHX-treated,GSM5467934
SRR15219628,54924390,2801143890,51,1036,SRX11525579,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP327516,PRJNA744888,37137667,"",SRS9562941,SAMN20353369,simple,10090,Mus musculus,GSM5467935,GEO,SRA1256467,05,2023,Flemr,embryonic stem (ES) cells,"RNAseq in CHX-treated wt (conditional Nrde2 knockout) mES cells, replicate 2",embryonic stem (ES) cells,hybrid 129-C57BL/6,wt,,embryonic stem (ES) cells,CHX-treated,GSM5467935
SRR15219629,48548474,2475972174,51,917,SRX11525580,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP327516,PRJNA744888,37137667,"",SRS9562942,SAMN20353368,simple,10090,Mus musculus,GSM5467936,GEO,SRA1256467,05,2023,Flemr,embryonic stem (ES) cells,"RNAseq in untreated Nrde2 knockout mES cells, replicate 1",embryonic stem (ES) cells,hybrid 129-C57BL/6,Nrde2 knockout,,embryonic stem (ES) cells,untreated,GSM5467936
SRR15219630,52620794,2683660494,51,985,SRX11525581,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP327516,PRJNA744888,37137667,"",SRS9562943,SAMN20353367,simple,10090,Mus musculus,GSM5467937,GEO,SRA1256467,05,2023,Flemr,embryonic stem (ES) cells,"RNAseq in untreated Nrde2 knockout mES cells, replicate 2",embryonic stem (ES) cells,hybrid 129-C57BL/6,Nrde2 knockout,,embryonic stem (ES) cells,untreated,GSM5467937
SRR15219631,52570964,2681119164,51,992,SRX11525582,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP327516,PRJNA744888,37137667,"",SRS9562944,SAMN20353366,simple,10090,Mus musculus,GSM5467938,GEO,SRA1256467,05,2023,Flemr,embryonic stem (ES) cells,"RNAseq in CHX-treated Nrde2 knockout mES cells, replicate 1",embryonic stem (ES) cells,hybrid 129-C57BL/6,Nrde2 knockout,,embryonic stem (ES) cells,CHX-treated,GSM5467938
SRR15219632,51437567,2623315917,51,966,SRX11525583,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP327516,PRJNA744888,37137667,"",SRS9562945,SAMN20353365,simple,10090,Mus musculus,GSM5467939,GEO,SRA1256467,05,2023,Flemr,embryonic stem (ES) cells,"RNAseq in CHX-treated Nrde2 knockout mES cells, replicate 2",embryonic stem (ES) cells,hybrid 129-C57BL/6,Nrde2 knockout,,embryonic stem (ES) cells,CHX-treated,GSM5467939
SRR15219633,83872251,3271017789,39,1566,SRX11525584,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP327516,PRJNA744888,37137667,"",SRS9562946,SAMN20353364,simple,10090,Mus musculus,GSM5467940,GEO,SRA1256467,05,2023,Flemr,embryonic stem (ES) cells,Ribosome profiling in wt mES cells_ replicate 1,embryonic stem (ES) cells,hybrid 129-C57BL/6,wt,,embryonic stem (ES) cells,,GSM5467940
SRR15219634,83920001,3188960038,38,1517,SRX11525585,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP327516,PRJNA744888,37137667,"",SRS9562947,SAMN20353363,simple,10090,Mus musculus,GSM5467941,GEO,SRA1256467,05,2023,Flemr,embryonic stem (ES) cells,Ribosome profiling in wt mES cells_ replicate 2,embryonic stem (ES) cells,hybrid 129-C57BL/6,wt,,embryonic stem (ES) cells,,GSM5467941
SRR15219635,64260871,2377652227,37,1153,SRX11525586,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP327516,PRJNA744888,37137667,"",SRS9562948,SAMN20353362,simple,10090,Mus musculus,GSM5467942,GEO,SRA1256467,05,2023,Flemr,embryonic stem (ES) cells,Ribosome profiling in Nrde2 knockout mES cells_ replicate 1,embryonic stem (ES) cells,hybrid 129-C57BL/6,Nrde2 knockout,,embryonic stem (ES) cells,,GSM5467942
SRR15219636,76342985,2748347460,36,1348,SRX11525587,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP327516,PRJNA744888,37137667,"",SRS9562949,SAMN20353361,simple,10090,Mus musculus,GSM5467943,GEO,SRA1256467,05,2023,Flemr,embryonic stem (ES) cells,Ribosome profiling in Nrde2 knockout mES cells_ replicate 2,embryonic stem (ES) cells,hybrid 129-C57BL/6,Nrde2 knockout,,embryonic stem (ES) cells,,GSM5467943
