Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,cell type,treatment
SRR21524732,24736715,7421014500,150,2267,SRX17527126,GSM6571645,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP396614,PRJNA879184,1,"",SRS15076538,SAMN30797535,simple,10090,Mus musculus,GSM6571645,"LMT LAB, Sun Yat-sen University (North Campus)",SRA1495649,10,2022,Makar,substantia nigra,"SN, Astrocyte, saline, ASSN-S2",substantia nigra,substantia nigra,Astrocyte,saline
SRR21524731,24640865,7392259500,150,2257,SRX17527127,GSM6571646,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP396614,PRJNA879184,1,"",SRS15076539,SAMN30797534,simple,10090,Mus musculus,GSM6571646,"LMT LAB, Sun Yat-sen University (North Campus)",SRA1495649,10,2022,Makar,substantia nigra,"SN, Astrocyte, saline, ASSN-S3",substantia nigra,substantia nigra,Astrocyte,saline
SRR21524730,25107395,7532218500,150,2232,SRX17527128,GSM6571647,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP396614,PRJNA879184,1,"",SRS15076540,SAMN30797533,simple,10090,Mus musculus,GSM6571647,"LMT LAB, Sun Yat-sen University (North Campus)",SRA1495649,10,2022,Makar,substantia nigra,"SN, Astrocyte, MPTP, ASSN-M1",substantia nigra,substantia nigra,Astrocyte,MPTP
SRR21524729,23657242,7097172600,150,2136,SRX17527129,GSM6571648,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP396614,PRJNA879184,1,"",SRS15076541,SAMN30797532,simple,10090,Mus musculus,GSM6571648,"LMT LAB, Sun Yat-sen University (North Campus)",SRA1495649,10,2022,Makar,substantia nigra,"SN, Astrocyte, MPTP, ASSN-M2",substantia nigra,substantia nigra,Astrocyte,MPTP
SRR21524728,23140836,6942250800,150,2063,SRX17527130,GSM6571649,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP396614,PRJNA879184,1,"",SRS15076542,SAMN30797531,simple,10090,Mus musculus,GSM6571649,"LMT LAB, Sun Yat-sen University (North Campus)",SRA1495649,10,2022,Makar,substantia nigra,"SN, Astrocyte, MPTP, ASSN-M3",substantia nigra,substantia nigra,Astrocyte,MPTP
SRR21524727,29569473,8870841900,150,2674,SRX17527131,GSM6571650,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP396614,PRJNA879184,1,"",SRS15076543,SAMN30797530,simple,10090,Mus musculus,GSM6571650,"LMT LAB, Sun Yat-sen University (North Campus)",SRA1495649,10,2022,Makar,striatum,"STR, Astrocyte, saline, ASSTR-S1",striatum,striatum,Astrocyte,saline
SRR21524726,31133837,9340151100,150,2790,SRX17527132,GSM6571651,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP396614,PRJNA879184,1,"",SRS15076544,SAMN30797529,simple,10090,Mus musculus,GSM6571651,"LMT LAB, Sun Yat-sen University (North Campus)",SRA1495649,10,2022,Makar,striatum,"STR, Astrocyte, saline, ASSTR-S2",striatum,striatum,Astrocyte,saline
SRR21524725,29196773,8759031900,150,2692,SRX17527133,GSM6571652,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP396614,PRJNA879184,1,"",SRS15076545,SAMN30797528,simple,10090,Mus musculus,GSM6571652,"LMT LAB, Sun Yat-sen University (North Campus)",SRA1495649,10,2022,Makar,striatum,"STR, Astrocyte, saline, ASSTR-S3",striatum,striatum,Astrocyte,saline
SRR21524724,24302972,7290891600,150,2192,SRX17527134,GSM6571653,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP396614,PRJNA879184,1,"",SRS15076546,SAMN30797527,simple,10090,Mus musculus,GSM6571653,"LMT LAB, Sun Yat-sen University (North Campus)",SRA1495649,10,2022,Makar,striatum,"STR, Astrocyte, MPTP, ASSTR-M1",striatum,striatum,Astrocyte,MPTP
SRR21524723,25409959,7622987700,150,2272,SRX17527135,GSM6571654,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP396614,PRJNA879184,1,"",SRS15076547,SAMN30797526,simple,10090,Mus musculus,GSM6571654,"LMT LAB, Sun Yat-sen University (North Campus)",SRA1495649,10,2022,Makar,striatum,"STR, Astrocyte, MPTP, ASSTR-M2",striatum,striatum,Astrocyte,MPTP
SRR21524722,24579049,7373714700,150,2271,SRX17527136,GSM6571655,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP396614,PRJNA879184,1,"",SRS15076548,SAMN30797525,simple,10090,Mus musculus,GSM6571655,"LMT LAB, Sun Yat-sen University (North Campus)",SRA1495649,10,2022,Makar,striatum,"STR, Astrocyte, MPTP, ASSTR-M3",striatum,striatum,Astrocyte,MPTP
SRR21524721,23720485,7116145500,150,2069,SRX17527137,GSM6571656,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP396614,PRJNA879184,1,"",SRS15076549,SAMN30797524,simple,10090,Mus musculus,GSM6571656,"LMT LAB, Sun Yat-sen University (North Campus)",SRA1495649,10,2022,Makar,substantia nigra,"SN, Microglia, saline, MGSN-S1",substantia nigra,substantia nigra,Microglia,saline
SRR21524720,23261592,6978477600,150,2091,SRX17527138,GSM6571657,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP396614,PRJNA879184,1,"",SRS15076550,SAMN30797523,simple,10090,Mus musculus,GSM6571657,"LMT LAB, Sun Yat-sen University (North Campus)",SRA1495649,10,2022,Makar,substantia nigra,"SN, Microglia, saline, MGSN-S2",substantia nigra,substantia nigra,Microglia,saline
SRR21524719,23648865,7094659500,150,2103,SRX17527139,GSM6571658,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP396614,PRJNA879184,1,"",SRS15076551,SAMN30797522,simple,10090,Mus musculus,GSM6571658,"LMT LAB, Sun Yat-sen University (North Campus)",SRA1495649,10,2022,Makar,substantia nigra,"SN, Microglia, saline, MGSN-S3",substantia nigra,substantia nigra,Microglia,saline
SRR21524718,22777725,6833317500,150,1989,SRX17527140,GSM6571659,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP396614,PRJNA879184,1,"",SRS15076552,SAMN30797521,simple,10090,Mus musculus,GSM6571659,"LMT LAB, Sun Yat-sen University (North Campus)",SRA1495649,10,2022,Makar,substantia nigra,"SN, Microglia, MPTP, MGSN-M1",substantia nigra,substantia nigra,Microglia,MPTP
SRR21524717,23625073,7087521900,150,2119,SRX17527141,GSM6571660,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP396614,PRJNA879184,1,"",SRS15076553,SAMN30797520,simple,10090,Mus musculus,GSM6571660,"LMT LAB, Sun Yat-sen University (North Campus)",SRA1495649,10,2022,Makar,substantia nigra,"SN, Microglia, MPTP, MGSN-M2",substantia nigra,substantia nigra,Microglia,MPTP
SRR21524716,23890058,7167017400,150,2119,SRX17527142,GSM6571661,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP396614,PRJNA879184,1,"",SRS15076555,SAMN30797519,simple,10090,Mus musculus,GSM6571661,"LMT LAB, Sun Yat-sen University (North Campus)",SRA1495649,10,2022,Makar,substantia nigra,"SN, Microglia, MPTP, MGSN-M3",substantia nigra,substantia nigra,Microglia,MPTP
SRR21524715,21233865,6370159500,150,1941,SRX17527143,GSM6571662,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP396614,PRJNA879184,1,"",SRS15076554,SAMN30797518,simple,10090,Mus musculus,GSM6571662,"LMT LAB, Sun Yat-sen University (North Campus)",SRA1495649,10,2022,Makar,striatum,"STR, Microglia, saline, MGSTRS1",striatum,striatum,Microglia,saline
SRR21524714,21702404,6510721200,150,1994,SRX17527144,GSM6571663,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP396614,PRJNA879184,1,"",SRS15076557,SAMN30797517,simple,10090,Mus musculus,GSM6571663,"LMT LAB, Sun Yat-sen University (North Campus)",SRA1495649,10,2022,Makar,striatum,"STR, Microglia, saline, MGSTRS2",striatum,striatum,Microglia,saline
SRR21524713,23413366,7024009800,150,2088,SRX17527145,GSM6571664,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP396614,PRJNA879184,1,"",SRS15076556,SAMN30797516,simple,10090,Mus musculus,GSM6571664,"LMT LAB, Sun Yat-sen University (North Campus)",SRA1495649,10,2022,Makar,striatum,"STR, Microglia, saline, MGSTRS3",striatum,striatum,Microglia,saline
SRR21524712,25806743,7742022900,150,2296,SRX17527146,GSM6571665,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP396614,PRJNA879184,1,"",SRS15076558,SAMN30797515,simple,10090,Mus musculus,GSM6571665,"LMT LAB, Sun Yat-sen University (North Campus)",SRA1495649,10,2022,Makar,striatum,"STR, Microglia, saline, MGSTRS4",striatum,striatum,Microglia,saline
SRR21524711,20378036,6113410800,150,1796,SRX17527147,GSM6571666,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP396614,PRJNA879184,1,"",SRS15076559,SAMN30797514,simple,10090,Mus musculus,GSM6571666,"LMT LAB, Sun Yat-sen University (North Campus)",SRA1495649,10,2022,Makar,striatum,"STR, Microglia, MPTP, MGSTRM1",striatum,striatum,Microglia,MPTP
SRR21524710,21763161,6528948300,150,1969,SRX17527148,GSM6571667,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP396614,PRJNA879184,1,"",SRS15076560,SAMN30797513,simple,10090,Mus musculus,GSM6571667,"LMT LAB, Sun Yat-sen University (North Campus)",SRA1495649,10,2022,Makar,striatum,"STR, Microglia, MPTP, MGSTRM2",striatum,striatum,Microglia,MPTP
SRR21524709,21116360,6334908000,150,1877,SRX17527149,GSM6571668,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP396614,PRJNA879184,1,"",SRS15076561,SAMN30797512,simple,10090,Mus musculus,GSM6571668,"LMT LAB, Sun Yat-sen University (North Campus)",SRA1495649,10,2022,Makar,striatum,"STR, Microglia, MPTP, MGSTRM3",striatum,striatum,Microglia,MPTP
SRR21524708,23751352,7125405600,150,2174,SRX17527150,GSM6571669,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP396614,PRJNA879184,1,"",SRS15076562,SAMN30797511,simple,10090,Mus musculus,GSM6571669,"LMT LAB, Sun Yat-sen University (North Campus)",SRA1495649,10,2022,Makar,substantia nigra,"SN, Saline, ISN_S",substantia nigra,substantia nigra,All,saline
SRR21524707,23332780,6999834000,150,2164,SRX17527151,GSM6571670,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP396614,PRJNA879184,1,"",SRS15076563,SAMN30797510,simple,10090,Mus musculus,GSM6571670,"LMT LAB, Sun Yat-sen University (North Campus)",SRA1495649,10,2022,Makar,substantia nigra,"SN, MPTP, ISN_M",substantia nigra,substantia nigra,All,MPTP
SRR21524706,23074695,6922408500,150,2100,SRX17527152,GSM6571671,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP396614,PRJNA879184,1,"",SRS15076564,SAMN30797509,simple,10090,Mus musculus,GSM6571671,"LMT LAB, Sun Yat-sen University (North Campus)",SRA1495649,10,2022,Makar,striatum,"STR, Saline, ISTR_S",striatum,striatum,All,saline
SRR21524705,25958616,7787584800,150,2366,SRX17527153,GSM6571672,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP396614,PRJNA879184,1,"",SRS15076565,SAMN30797508,simple,10090,Mus musculus,GSM6571672,"LMT LAB, Sun Yat-sen University (North Campus)",SRA1495649,10,2022,Makar,striatum,"STR, MPTP, ISTR_M",striatum,striatum,All,MPTP
