Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,strain,isolate,breed,cultivar,ecotype,age,dev_stage,sex,tissue,biomaterial_provider,cell_line,cell_type,collected_by,replicates,BioSampleModel
SRR15558305,42782989,12834896700,150,4005,SRX11856448,JKD1_ATACseq,ATAC-seq,ChIP,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP333531,PRJNA748842,1,"",SRS9867270,SAMN20893686,simple,9606,Homo sapiens,JKD1_ATACseq,Sun Yat-sen University Cancer Center,SRA1281730,02,2022,Makar,"",JKD1_ATACseq,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,haiyan zhang,Jurkat,not applicable,haiyan zhang,Jurkat shYTHDF2_ATACseq rep1,Human
SRR15558304,44191580,13257474000,150,4187,SRX11856449,JKD2_ATACseq,ATAC-seq,ChIP,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP333531,PRJNA748842,1,"",SRS9867271,SAMN20893687,simple,9606,Homo sapiens,JKD2_ATACseq,Sun Yat-sen University Cancer Center,SRA1281730,02,2022,Makar,"",JKD2_ATACseq,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,haiyan zhang,Jurkat,not applicable,haiyan zhang,Jurkat shYTHDF2_ATACseq rep2,Human
SRR15803303,23673066,7101919800,150,2110,SRX12095747,FL1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP333531,PRJNA748842,1,"",SRS10074740,SAMN21353170,simple,10090,Mus musculus,FL1,Sun Yat-sen University Cancer Center,SRA1290068,02,2022,Makar,"",FL1,C57BL/6,not applicable,not applicable,not applicable,not applicable,8W,not applicable,male,spleen,zhicong zhao,not applicable,primary CD8 T cells,zhicong zhao,YTHDF2 F/F CD8 T RNAseq rep1,Model organism or animal
SRR15803302,24078701,7223610300,150,2146,SRX12095748,FL2,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP333531,PRJNA748842,1,"",SRS10074739,SAMN21353171,simple,10090,Mus musculus,FL2,Sun Yat-sen University Cancer Center,SRA1290068,02,2022,Makar,"",FL2,C57BL/6,not applicable,not applicable,not applicable,not applicable,8W,not applicable,male,spleen,zhicong zhao,not applicable,primary CD8 T cells,zhicong zhao,YTHDF2 F/F CD8 T RNAseq rep2,Model organism or animal
SRR15803301,19903389,5971016700,150,1770,SRX12095749,CD8 T_RIP1_RIPseq,RIP-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP333531,PRJNA748842,1,"",SRS10074741,SAMN21353180,simple,10090,Mus musculus,CD8 T_RIP1_RIPseq,Sun Yat-sen University Cancer Center,SRA1290068,02,2022,Makar,"",CD8 T_RIP1_RIPseq,C57BL/6,not applicable,not applicable,not applicable,not applicable,8W,not applicable,male,spleen,haiyan zhang,not applicable,primary CD8 T cells,haiyan zhang,active CD8 T_RIP_RIPseq rep1,Model organism or animal
SRR15803300,17957508,5387252400,150,1589,SRX12095750,CD8 T_RIP2_RIPseq,RIP-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP333531,PRJNA748842,1,"",SRS10074742,SAMN21353181,simple,10090,Mus musculus,CD8 T_RIP2_RIPseq,Sun Yat-sen University Cancer Center,SRA1290068,02,2022,Makar,"",CD8 T_RIP2_RIPseq,C57BL/6,not applicable,not applicable,not applicable,not applicable,8W,not applicable,male,spleen,haiyan zhang,not applicable,primary CD8 T cells,haiyan zhang,active CD8 T_RIP_RIPseq rep2,Model organism or animal
SRR15803299,42472200,12741660000,150,4058,SRX12095751,CKO1_ATACseq,ATAC-seq,ChIP,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP333531,PRJNA748842,1,"",SRS10074744,SAMN21353182,simple,10090,Mus musculus,CKO1_ATACseq,Sun Yat-sen University Cancer Center,SRA1290068,02,2022,Makar,"",CKO1_ATACseq,C57BL/6,not applicable,not applicable,not applicable,not applicable,8W,not applicable,male,spleen,haiyan zhang,not applicable,primary CD8 T cells,haiyan zhang,CKO CD8 T ATACseq rep1,Model organism or animal
SRR15803298,42961864,12888559200,150,4081,SRX12095752,CKO2_ATACseq,ATAC-seq,ChIP,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP333531,PRJNA748842,1,"",SRS10074745,SAMN21353183,simple,10090,Mus musculus,CKO2_ATACseq,Sun Yat-sen University Cancer Center,SRA1290068,02,2022,Makar,"",CKO2_ATACseq,C57BL/6,not applicable,not applicable,not applicable,not applicable,8W,not applicable,male,spleen,haiyan zhang,not applicable,primary CD8 T cells,haiyan zhang,CKO CD8 T ATACseq rep2,Model organism or animal
SRR15803297,43568757,13070627100,150,4029,SRX12095753,FL1_ATACseq,ATAC-seq,ChIP,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP333531,PRJNA748842,1,"",SRS10074743,SAMN21353184,simple,10090,Mus musculus,FL1_ATACseq,Sun Yat-sen University Cancer Center,SRA1290068,02,2022,Makar,"",FL1_ATACseq,C57BL/6,not applicable,not applicable,not applicable,not applicable,8W,not applicable,male,spleen,haiyan zhang,not applicable,primary CD8 T cells,haiyan zhang,YTHDF2 F/F CD8 T ATACseq rep1,Model organism or animal
SRR15803296,46404117,13921235100,150,4471,SRX12095754,FL2_ATACseq,ATAC-seq,ChIP,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP333531,PRJNA748842,1,"",SRS10074746,SAMN21353185,simple,10090,Mus musculus,FL2_ATACseq,Sun Yat-sen University Cancer Center,SRA1290068,02,2022,Makar,"",FL2_ATACseq,C57BL/6,not applicable,not applicable,not applicable,not applicable,8W,not applicable,male,spleen,haiyan zhang,not applicable,primary CD8 T cells,haiyan zhang,YTHDF2 F/F CD8 T ATACseq rep2,Model organism or animal
SRR15803295,41443631,3108272325,75,902,SRX12095755,CKO1_RPF_Riboseq,OTHER,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP333531,PRJNA748842,1,"",SRS10074747,SAMN21353186,simple,10090,Mus musculus,CKO1_RPF_Riboseq,Sun Yat-sen University Cancer Center,SRA1290068,02,2022,Makar,"",CKO1_RPF_Riboseq,C57BL/6,not applicable,not applicable,not applicable,not applicable,8W,not applicable,male,spleen,haiyan zhang,not applicable,primary CD8 T cells,haiyan zhang,YTHDF2 CKO CD8 T_RPF_Riboseq rep1,Model organism or animal
SRR15803294,60460001,4534500075,75,1310,SRX12095756,CKO2_RPF_Riboseq,OTHER,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP333531,PRJNA748842,1,"",SRS10074749,SAMN21353187,simple,10090,Mus musculus,CKO2_RPF_Riboseq,Sun Yat-sen University Cancer Center,SRA1290068,02,2022,Makar,"",CKO2_RPF_Riboseq,C57BL/6,not applicable,not applicable,not applicable,not applicable,8W,not applicable,male,spleen,haiyan zhang,not applicable,primary CD8 T cells,haiyan zhang,YTHDF2 CKO CD8 T_RPF_Riboseq rep2,Model organism or animal
SRR15803293,51779203,3883440225,75,1135,SRX12095757,FL1_RPF_Riboseq,OTHER,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP333531,PRJNA748842,1,"",SRS10074748,SAMN21353188,simple,10090,Mus musculus,FL1_RPF_Riboseq,Sun Yat-sen University Cancer Center,SRA1290068,02,2022,Makar,"",FL1_RPF_Riboseq,C57BL/6,not applicable,not applicable,not applicable,not applicable,8W,not applicable,male,spleen,haiyan zhang,not applicable,primary CD8 T cells,haiyan zhang,YTHDF2 F/F CD8 T_RPF_Riboseq rep1,Model organism or animal
SRR15803292,66948137,5021110275,75,1433,SRX12095758,FL2_RPF_Riboseq,OTHER,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP333531,PRJNA748842,1,"",SRS10074750,SAMN21353189,simple,10090,Mus musculus,FL2_RPF_Riboseq,Sun Yat-sen University Cancer Center,SRA1290068,02,2022,Makar,"",FL2_RPF_Riboseq,C57BL/6,not applicable,not applicable,not applicable,not applicable,8W,not applicable,male,spleen,haiyan zhang,not applicable,primary CD8 T cells,haiyan zhang,YTHDF2 F/F CD8 T_RPF_Riboseq rep2,Model organism or animal
SRR15803291,24704000,7411200000,150,2197,SRX12095759,CKO1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP333531,PRJNA748842,1,"",SRS10074751,SAMN21353172,simple,10090,Mus musculus,CKO1,Sun Yat-sen University Cancer Center,SRA1290068,02,2022,Makar,"",CKO1,C57BL/6,not applicable,not applicable,not applicable,not applicable,8W,not applicable,male,spleen,zhicong zhao,not applicable,primary CD8 T cells,zhicong zhao,YTHDF2 CKO CD8 T RNAseq rep1,Model organism or animal
SRR15803290,24126852,7238055600,150,2177,SRX12095760,CKO1_totalRNA_Riboseq,OTHER,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP333531,PRJNA748842,1,"",SRS10074752,SAMN21353190,simple,10090,Mus musculus,CKO1_totalRNA_Riboseq,Sun Yat-sen University Cancer Center,SRA1290068,02,2022,Makar,"",CKO1_totalRNA_Riboseq,C57BL/6,not applicable,not applicable,not applicable,not applicable,8W,not applicable,male,spleen,haiyan zhang,not applicable,primary CD8 T cells,haiyan zhang,YTHDF2 CKO CD8 T_totalRNA_Riboseq rep1,Model organism or animal
SRR15803289,22530085,6759025500,150,2049,SRX12095761,CKO2_totalRNA_Riboseq,OTHER,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP333531,PRJNA748842,1,"",SRS10074753,SAMN21353191,simple,10090,Mus musculus,CKO2_totalRNA_Riboseq,Sun Yat-sen University Cancer Center,SRA1290068,02,2022,Makar,"",CKO2_totalRNA_Riboseq,C57BL/6,not applicable,not applicable,not applicable,not applicable,8W,not applicable,male,spleen,haiyan zhang,not applicable,primary CD8 T cells,haiyan zhang,YTHDF2 CKO CD8 T_totalRNA_Riboseq rep2,Model organism or animal
SRR15803288,20904690,6271407000,150,1843,SRX12095762,FL1_totalRNA_Riboseq,OTHER,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP333531,PRJNA748842,1,"",SRS10074759,SAMN21353192,simple,10090,Mus musculus,FL1_totalRNA_Riboseq,Sun Yat-sen University Cancer Center,SRA1290068,02,2022,Makar,"",FL1_totalRNA_Riboseq,C57BL/6,not applicable,not applicable,not applicable,not applicable,8W,not applicable,male,spleen,haiyan zhang,not applicable,primary CD8 T cells,haiyan zhang,YTHDF2 F/F CD8 T_totalRNA_Riboseq rep1,Model organism or animal
SRR15803287,23543765,7063129500,150,2078,SRX12095763,FL2_totalRNA_Riboseq,OTHER,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP333531,PRJNA748842,1,"",SRS10074754,SAMN21353193,simple,10090,Mus musculus,FL2_totalRNA_Riboseq,Sun Yat-sen University Cancer Center,SRA1290068,02,2022,Makar,"",FL2_totalRNA_Riboseq,C57BL/6,not applicable,not applicable,not applicable,not applicable,8W,not applicable,male,spleen,haiyan zhang,not applicable,primary CD8 T cells,haiyan zhang,YTHDF2 F/F CD8 T_totalRNA_Riboseq rep2,Model organism or animal
SRR15803286,30224890,9067467000,150,2682,SRX12095764,CKO_CD8 T_CR,OTHER,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP333531,PRJNA748842,1,"",SRS10074755,SAMN21353194,simple,10090,Mus musculus,CKO_CD8 T_CR,Sun Yat-sen University Cancer Center,SRA1290068,02,2022,Makar,"",CKO_CD8 T_CR,C57BL/6,not applicable,not applicable,not applicable,not applicable,8W,not applicable,male,spleen,haiyan zhang,not applicable,primary CD8 T cells,haiyan zhang,YTHDF2 CKO CD8T CUT&RUN H3K4me1,Model organism or animal
SRR15803285,38294090,11488227000,150,3280,SRX12095765,FL_CD8 T_CR,OTHER,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP333531,PRJNA748842,1,"",SRS10074762,SAMN21353195,simple,10090,Mus musculus,FL_CD8 T_CR,Sun Yat-sen University Cancer Center,SRA1290068,02,2022,Makar,"",FL_CD8 T_CR,C57BL/6,not applicable,not applicable,not applicable,not applicable,8W,not applicable,male,spleen,haiyan zhang,not applicable,primary CD8 T cells,haiyan zhang,YTHDF2 F/F CD8T CUT&RUN H3K4me1,Model organism or animal
SRR15803284,363724416,109117324800,150,33236,SRX12095766,mix scRNAseq _samlple _GEX,RNA-Seq,cDNA,TRANSCRIPTOMIC SINGLE CELL,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP333531,PRJNA748842,1,"",SRS10074756,SAMN21353196,simple,10090,Mus musculus,mix scRNAseq _samlple _GEX,Sun Yat-sen University Cancer Center,SRA1290068,02,2022,Makar,"",mix scRNAseq _samlple _GEX,C57BL/6,not applicable,not applicable,not applicable,not applicable,8W,not applicable,female,MC38 tumour,haiyan zhang,not applicable,tumour infiltrating CD3 T cells,haiyan zhang,mix( YTHDF2 F/F and YTHDF2 CKO) scRNAseq _samlple _GEX,Model organism or animal
SRR15803283,48367173,14510151900,150,4359,SRX12095767,mix scRNAseq _samlple _TCR,RNA-Seq,cDNA,TRANSCRIPTOMIC SINGLE CELL,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP333531,PRJNA748842,1,"",SRS10074758,SAMN21353197,simple,10090,Mus musculus,mix scRNAseq _samlple _TCR,Sun Yat-sen University Cancer Center,SRA1290068,02,2022,Makar,"",mix scRNAseq _samlple _TCR,C57BL/6,not applicable,not applicable,not applicable,not applicable,8W,not applicable,female,MC38 tumour,haiyan zhang,not applicable,tumour infiltrating CD3 T cells,haiyan zhang,mix( YTHDF2 F/F and YTHDF2 CKO) scRNAseq _samlple_TCR,Model organism or animal
SRR15803282,24558325,7367497500,150,2196,SRX12095768,CKO2,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP333531,PRJNA748842,1,"",SRS10074757,SAMN21353173,simple,10090,Mus musculus,CKO2,Sun Yat-sen University Cancer Center,SRA1290068,02,2022,Makar,"",CKO2,C57BL/6,not applicable,not applicable,not applicable,not applicable,8W,not applicable,male,spleen,zhicong zhao,not applicable,primary CD8 T cells,zhicong zhao,YTHDF2 CKO CD8 T RNAseq rep2,Model organism or animal
SRR15803281,26036285,7862958070,151,2467,SRX12095769,active_input_meRIPseq,RIP-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP333531,PRJNA748842,1,"",SRS10074760,SAMN21353174,simple,10090,Mus musculus,active_input_meRIPseq,Sun Yat-sen University Cancer Center,SRA1290068,02,2022,Makar,"",active_input_meRIPseq,C57BL/6,not applicable,not applicable,not applicable,not applicable,8W,not applicable,male,spleen,zhicong zhao,not applicable,primary CD8 T cells,zhicong zhao,active CD8 T_input_meRIPseq,Model organism or animal
SRR15803280,23780622,7181747844,151,2259,SRX12095770,active_IP_meRIPseq,RIP-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP333531,PRJNA748842,1,"",SRS10074761,SAMN21353175,simple,10090,Mus musculus,active_IP_meRIPseq,Sun Yat-sen University Cancer Center,SRA1290068,02,2022,Makar,"",active_IP_meRIPseq,C57BL/6,not applicable,not applicable,not applicable,not applicable,8W,not applicable,male,spleen,zhicong zhao,not applicable,primary CD8 T cells,zhicong zhao,active CD8 T_IP_meRIPseq,Model organism or animal
SRR15803279,43721756,13116526800,150,4678,SRX12095771,naive_input_meRIPseq,RIP-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP333531,PRJNA748842,1,"",SRS10074763,SAMN21353176,simple,10090,Mus musculus,naive_input_meRIPseq,Sun Yat-sen University Cancer Center,SRA1290068,02,2022,Makar,"",naive_input_meRIPseq,C57BL/6,not applicable,not applicable,not applicable,not applicable,8W,not applicable,male,spleen,zhicong zhao,not applicable,primary CD8 T cells,zhicong zhao,nave CD8 T_input_meRIPseq,Model organism or animal
SRR15803278,41449266,12434779800,150,4399,SRX12095772,naive_IP_meRIPseq,RIP-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP333531,PRJNA748842,1,"",SRS10074764,SAMN21353177,simple,10090,Mus musculus,naive_IP_meRIPseq,Sun Yat-sen University Cancer Center,SRA1290068,02,2022,Makar,"",naive_IP_meRIPseq,C57BL/6,not applicable,not applicable,not applicable,not applicable,8W,not applicable,male,spleen,zhicong zhao,not applicable,primary CD8 T cells,zhicong zhao,nave CD8 T_IP_meRIPseq,Model organism or animal
SRR15803277,14987187,4496156100,150,1328,SRX12095773,CD8 T_input1_RIPseq,RIP-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP333531,PRJNA748842,1,"",SRS10074765,SAMN21353178,simple,10090,Mus musculus,CD8 T_input1_RIPseq,Sun Yat-sen University Cancer Center,SRA1290068,02,2022,Makar,"",CD8 T_input1_RIPseq,C57BL/6,not applicable,not applicable,not applicable,not applicable,8W,not applicable,male,spleen,haiyan zhang,not applicable,primary CD8 T cells,haiyan zhang,active CD8 T_input_RIPseq rep1,Model organism or animal
SRR15803276,19592445,5877733500,150,1748,SRX12095774,CD8 T_input2_RIPseq,RIP-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP333531,PRJNA748842,1,"",SRS10074766,SAMN21353179,simple,10090,Mus musculus,CD8 T_input2_RIPseq,Sun Yat-sen University Cancer Center,SRA1290068,02,2022,Makar,"",CD8 T_input2_RIPseq,C57BL/6,not applicable,not applicable,not applicable,not applicable,8W,not applicable,male,spleen,haiyan zhang,not applicable,primary CD8 T cells,haiyan zhang,active CD8 T_input_RIPseq rep2,Model organism or animal
