Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,genotype/variation,ploidy,culture condition,timepoint,experiment type,molecule subtype,GEO Accession
SRR9897243,23687609,1184380450,50,401,SRX6649017,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP217268,PRJNA558435,32432546,"",SRS5210854,SAMN12478366,simple,4932,Saccharomyces cerevisiae,GSM4006527,GEO,SRA931998,04,2020,Maitra,Transcriptional_Profile_45 fL,02A_TP_RPL22B,Transcriptional_Profile_45 fL,"rpl22b{delta}::KanMX/rpl22b{delta}::KanMX, BY4743 otherwise",diploid,"Growth at 30°C in YPD (1% w/v yeast extract, 2% w/v peptone, 2% w/v dextrose)",45 fL,Transcriptional Profiling,PolyA RNA,GSM4006527
SRR9897244,22610260,1130513000,50,396,SRX6649018,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP217268,PRJNA558435,32432546,"",SRS5210855,SAMN12478365,simple,4932,Saccharomyces cerevisiae,GSM4006528,GEO,SRA931998,04,2020,Maitra,Transcriptional_Profile_45 fL,02B_TP_RPL22B,Transcriptional_Profile_45 fL,"rpl22b{delta}::KanMX/rpl22b{delta}::KanMX, BY4743 otherwise",diploid,"Growth at 30°C in YPD (1% w/v yeast extract, 2% w/v peptone, 2% w/v dextrose)",45 fL,Transcriptional Profiling,PolyA RNA,GSM4006528
SRR9897245,24324687,1216234350,50,451,SRX6649019,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP217268,PRJNA558435,32432546,"",SRS5210856,SAMN12478364,simple,4932,Saccharomyces cerevisiae,GSM4006529,GEO,SRA931998,04,2020,Maitra,Transcriptional_Profile_45 fL,02C_TP_RPL22B,Transcriptional_Profile_45 fL,"rpl22b{delta}::KanMX/rpl22b{delta}::KanMX, BY4743 otherwise",diploid,"Growth at 30°C in YPD (1% w/v yeast extract, 2% w/v peptone, 2% w/v dextrose)",45 fL,Transcriptional Profiling,PolyA RNA,GSM4006529
SRR9897246,52898336,2644916800,50,913,SRX6649020,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP217268,PRJNA558435,32432546,"",SRS5210857,SAMN12478363,simple,4932,Saccharomyces cerevisiae,GSM4006530,GEO,SRA931998,04,2020,Maitra,Transcriptional_Profile_50 fL,03A_TP_RPL22B,Transcriptional_Profile_50 fL,"rpl22b{delta}::KanMX/rpl22b{delta}::KanMX, BY4743 otherwise",diploid,"Growth at 30°C in YPD (1% w/v yeast extract, 2% w/v peptone, 2% w/v dextrose)",50 fL,Transcriptional Profiling,PolyA RNA,GSM4006530
SRR9897247,19786430,989321500,50,351,SRX6649021,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP217268,PRJNA558435,32432546,"",SRS5210858,SAMN12478362,simple,4932,Saccharomyces cerevisiae,GSM4006531,GEO,SRA931998,04,2020,Maitra,Transcriptional_Profile_50 fL,03B_TP_RPL22B,Transcriptional_Profile_50 fL,"rpl22b{delta}::KanMX/rpl22b{delta}::KanMX, BY4743 otherwise",diploid,"Growth at 30°C in YPD (1% w/v yeast extract, 2% w/v peptone, 2% w/v dextrose)",50 fL,Transcriptional Profiling,PolyA RNA,GSM4006531
SRR9897248,32620765,1631038250,50,615,SRX6649022,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP217268,PRJNA558435,32432546,"",SRS5210859,SAMN12478361,simple,4932,Saccharomyces cerevisiae,GSM4006532,GEO,SRA931998,04,2020,Maitra,Transcriptional_Profile_50 fL,03C_TP_RPL22B,Transcriptional_Profile_50 fL,"rpl22b{delta}::KanMX/rpl22b{delta}::KanMX, BY4743 otherwise",diploid,"Growth at 30°C in YPD (1% w/v yeast extract, 2% w/v peptone, 2% w/v dextrose)",50 fL,Transcriptional Profiling,PolyA RNA,GSM4006532
SRR9897249,32247920,1612396000,50,558,SRX6649023,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP217268,PRJNA558435,32432546,"",SRS5210860,SAMN12478360,simple,4932,Saccharomyces cerevisiae,GSM4006533,GEO,SRA931998,04,2020,Maitra,Transcriptional_Profile_55 fL,04A_TP_RPL22B,Transcriptional_Profile_55 fL,"rpl22b{delta}::KanMX/rpl22b{delta}::KanMX, BY4743 otherwise",diploid,"Growth at 30°C in YPD (1% w/v yeast extract, 2% w/v peptone, 2% w/v dextrose)",55 fL,Transcriptional Profiling,PolyA RNA,GSM4006533
SRR9897250,25528200,1276410000,50,464,SRX6649024,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP217268,PRJNA558435,32432546,"",SRS5210861,SAMN12478359,simple,4932,Saccharomyces cerevisiae,GSM4006534,GEO,SRA931998,04,2020,Maitra,Transcriptional_Profile_55 fL,04B_TP_RPL22B,Transcriptional_Profile_55 fL,"rpl22b{delta}::KanMX/rpl22b{delta}::KanMX, BY4743 otherwise",diploid,"Growth at 30°C in YPD (1% w/v yeast extract, 2% w/v peptone, 2% w/v dextrose)",55 fL,Transcriptional Profiling,PolyA RNA,GSM4006534
SRR9897251,22182388,1109119400,50,441,SRX6649025,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP217268,PRJNA558435,32432546,"",SRS5210862,SAMN12478358,simple,4932,Saccharomyces cerevisiae,GSM4006535,GEO,SRA931998,04,2020,Maitra,Transcriptional_Profile_55 fL,04C_TP_RPL22B,Transcriptional_Profile_55 fL,"rpl22b{delta}::KanMX/rpl22b{delta}::KanMX, BY4743 otherwise",diploid,"Growth at 30°C in YPD (1% w/v yeast extract, 2% w/v peptone, 2% w/v dextrose)",55 fL,Transcriptional Profiling,PolyA RNA,GSM4006535
SRR9897252,34716179,1735808950,50,571,SRX6649026,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP217268,PRJNA558435,32432546,"",SRS5210863,SAMN12478390,simple,4932,Saccharomyces cerevisiae,GSM4006536,GEO,SRA931998,04,2020,Maitra,Transcriptional_Profile_60 fL,05A_TP_RPL22B,Transcriptional_Profile_60 fL,"rpl22b{delta}::KanMX/rpl22b{delta}::KanMX, BY4743 otherwise",diploid,"Growth at 30°C in YPD (1% w/v yeast extract, 2% w/v peptone, 2% w/v dextrose)",60 fL,Transcriptional Profiling,PolyA RNA,GSM4006536
SRR9897253,24438244,1221912200,50,423,SRX6649027,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP217268,PRJNA558435,32432546,"",SRS5210864,SAMN12478389,simple,4932,Saccharomyces cerevisiae,GSM4006537,GEO,SRA931998,04,2020,Maitra,Transcriptional_Profile_60 fL,05B_TP_RPL22B,Transcriptional_Profile_60 fL,"rpl22b{delta}::KanMX/rpl22b{delta}::KanMX, BY4743 otherwise",diploid,"Growth at 30°C in YPD (1% w/v yeast extract, 2% w/v peptone, 2% w/v dextrose)",60 fL,Transcriptional Profiling,PolyA RNA,GSM4006537
SRR9897254,10222613,511130650,50,193,SRX6649028,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP217268,PRJNA558435,32432546,"",SRS5210865,SAMN12478388,simple,4932,Saccharomyces cerevisiae,GSM4006538,GEO,SRA931998,04,2020,Maitra,Transcriptional_Profile_60 fL,05C_TP_RPL22B,Transcriptional_Profile_60 fL,"rpl22b{delta}::KanMX/rpl22b{delta}::KanMX, BY4743 otherwise",diploid,"Growth at 30°C in YPD (1% w/v yeast extract, 2% w/v peptone, 2% w/v dextrose)",60 fL,Transcriptional Profiling,PolyA RNA,GSM4006538
SRR9897255,76468861,3823443050,50,1291,SRX6649029,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP217268,PRJNA558435,32432546,"",SRS5210866,SAMN12478387,simple,4932,Saccharomyces cerevisiae,GSM4006539,GEO,SRA931998,04,2020,Maitra,Transcriptional_Profile_65 fL,06A_TP_RPL22B,Transcriptional_Profile_65 fL,"rpl22b{delta}::KanMX/rpl22b{delta}::KanMX, BY4743 otherwise",diploid,"Growth at 30°C in YPD (1% w/v yeast extract, 2% w/v peptone, 2% w/v dextrose)",65 fL,Transcriptional Profiling,PolyA RNA,GSM4006539
SRR9897256,83633295,4181664750,50,1479,SRX6649030,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP217268,PRJNA558435,32432546,"",SRS5210867,SAMN12478386,simple,4932,Saccharomyces cerevisiae,GSM4006540,GEO,SRA931998,04,2020,Maitra,Transcriptional_Profile_65 fL,06B_TP_RPL22B,Transcriptional_Profile_65 fL,"rpl22b{delta}::KanMX/rpl22b{delta}::KanMX, BY4743 otherwise",diploid,"Growth at 30°C in YPD (1% w/v yeast extract, 2% w/v peptone, 2% w/v dextrose)",65 fL,Transcriptional Profiling,PolyA RNA,GSM4006540
SRR9897257,16165050,808252500,50,288,SRX6649031,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP217268,PRJNA558435,32432546,"",SRS5210868,SAMN12478385,simple,4932,Saccharomyces cerevisiae,GSM4006541,GEO,SRA931998,04,2020,Maitra,Transcriptional_Profile_65 fL,06C_TP_RPL22B,Transcriptional_Profile_65 fL,"rpl22b{delta}::KanMX/rpl22b{delta}::KanMX, BY4743 otherwise",diploid,"Growth at 30°C in YPD (1% w/v yeast extract, 2% w/v peptone, 2% w/v dextrose)",65 fL,Transcriptional Profiling,PolyA RNA,GSM4006541
SRR9897258,36519971,1825998550,50,615,SRX6649032,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP217268,PRJNA558435,32432546,"",SRS5210869,SAMN12478384,simple,4932,Saccharomyces cerevisiae,GSM4006542,GEO,SRA931998,04,2020,Maitra,Transcriptional_Profile_70 fL,07A_TP_RPL22B,Transcriptional_Profile_70 fL,"rpl22b{delta}::KanMX/rpl22b{delta}::KanMX, BY4743 otherwise",diploid,"Growth at 30°C in YPD (1% w/v yeast extract, 2% w/v peptone, 2% w/v dextrose)",70 fL,Transcriptional Profiling,PolyA RNA,GSM4006542
SRR9897259,48392477,2419623850,50,879,SRX6649033,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP217268,PRJNA558435,32432546,"",SRS5210870,SAMN12478383,simple,4932,Saccharomyces cerevisiae,GSM4006543,GEO,SRA931998,04,2020,Maitra,Transcriptional_Profile_70 fL,07B_TP_RPL22B,Transcriptional_Profile_70 fL,"rpl22b{delta}::KanMX/rpl22b{delta}::KanMX, BY4743 otherwise",diploid,"Growth at 30°C in YPD (1% w/v yeast extract, 2% w/v peptone, 2% w/v dextrose)",70 fL,Transcriptional Profiling,PolyA RNA,GSM4006543
SRR9897260,17036891,851844550,50,292,SRX6649034,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP217268,PRJNA558435,32432546,"",SRS5210871,SAMN12478382,simple,4932,Saccharomyces cerevisiae,GSM4006544,GEO,SRA931998,04,2020,Maitra,Transcriptional_Profile_70 fL,07C_TP_RPL22B,Transcriptional_Profile_70 fL,"rpl22b{delta}::KanMX/rpl22b{delta}::KanMX, BY4743 otherwise",diploid,"Growth at 30°C in YPD (1% w/v yeast extract, 2% w/v peptone, 2% w/v dextrose)",70 fL,Transcriptional Profiling,PolyA RNA,GSM4006544
SRR9897261,22303754,1115187700,50,379,SRX6649035,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP217268,PRJNA558435,32432546,"",SRS5210872,SAMN12478381,simple,4932,Saccharomyces cerevisiae,GSM4006545,GEO,SRA931998,04,2020,Maitra,Transcriptional_Profile_75 fL,08A_TP_RPL22B,Transcriptional_Profile_75 fL,"rpl22b{delta}::KanMX/rpl22b{delta}::KanMX, BY4743 otherwise",diploid,"Growth at 30°C in YPD (1% w/v yeast extract, 2% w/v peptone, 2% w/v dextrose)",75 fL,Transcriptional Profiling,PolyA RNA,GSM4006545
SRR9897262,12598506,629925300,50,213,SRX6649036,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP217268,PRJNA558435,32432546,"",SRS5210873,SAMN12478380,simple,4932,Saccharomyces cerevisiae,GSM4006546,GEO,SRA931998,04,2020,Maitra,Transcriptional_Profile_75 fL,08B_TP_RPL22B,Transcriptional_Profile_75 fL,"rpl22b{delta}::KanMX/rpl22b{delta}::KanMX, BY4743 otherwise",diploid,"Growth at 30°C in YPD (1% w/v yeast extract, 2% w/v peptone, 2% w/v dextrose)",75 fL,Transcriptional Profiling,PolyA RNA,GSM4006546
SRR9897263,12838234,641911700,50,230,SRX6649037,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP217268,PRJNA558435,32432546,"",SRS5210874,SAMN12478379,simple,4932,Saccharomyces cerevisiae,GSM4006547,GEO,SRA931998,04,2020,Maitra,Transcriptional_Profile_75 fL,08C_TP_RPL22B,Transcriptional_Profile_75 fL,"rpl22b{delta}::KanMX/rpl22b{delta}::KanMX, BY4743 otherwise",diploid,"Growth at 30°C in YPD (1% w/v yeast extract, 2% w/v peptone, 2% w/v dextrose)",75 fL,Transcriptional Profiling,PolyA RNA,GSM4006547
SRR9897264,4641628,232081400,50,77,SRX6649038,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP217268,PRJNA558435,32432546,"",SRS5210875,SAMN12478378,simple,4932,Saccharomyces cerevisiae,GSM4006548,GEO,SRA931998,04,2020,Maitra,Ribosome_Profile_40 fL,01A_RP_RPL34A,Ribosome_Profile_40 fL,"rpl34a{delta}::KanMX/rpl34a{delta}::KanMX, BY4743 otherwise",diploid,"Growth at 30°C in YPD (1% w/v yeast extract, 2% w/v peptone, 2% w/v dextrose)",40 fL,Ribosome Profiling,Protected RNA,GSM4006548
SRR9897265,52344493,2617224650,50,904,SRX6649039,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP217268,PRJNA558435,32432546,"",SRS5210876,SAMN12478377,simple,4932,Saccharomyces cerevisiae,GSM4006549,GEO,SRA931998,04,2020,Maitra,Ribosome_Profile_40 fL,01B_RP_RPL34A,Ribosome_Profile_40 fL,"rpl34a{delta}::KanMX/rpl34a{delta}::KanMX, BY4743 otherwise",diploid,"Growth at 30°C in YPD (1% w/v yeast extract, 2% w/v peptone, 2% w/v dextrose)",40 fL,Ribosome Profiling,Protected RNA,GSM4006549
SRR9897266,17029379,851468950,50,316,SRX6649040,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP217268,PRJNA558435,32432546,"",SRS5210877,SAMN12478376,simple,4932,Saccharomyces cerevisiae,GSM4006550,GEO,SRA931998,04,2020,Maitra,Ribosome_Profile_40 fL,01C_RP_RPL34A,Ribosome_Profile_40 fL,"rpl34a{delta}::KanMX/rpl34a{delta}::KanMX, BY4743 otherwise",diploid,"Growth at 30°C in YPD (1% w/v yeast extract, 2% w/v peptone, 2% w/v dextrose)",40 fL,Ribosome Profiling,Protected RNA,GSM4006550
SRR9897267,4293135,214656750,50,69,SRX6649041,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP217268,PRJNA558435,32432546,"",SRS5210878,SAMN12478375,simple,4932,Saccharomyces cerevisiae,GSM4006551,GEO,SRA931998,04,2020,Maitra,Ribosome_Profile_45 fL,02A_RP_RPL34A,Ribosome_Profile_45 fL,"rpl34a{delta}::KanMX/rpl34a{delta}::KanMX, BY4743 otherwise",diploid,"Growth at 30°C in YPD (1% w/v yeast extract, 2% w/v peptone, 2% w/v dextrose)",45 fL,Ribosome Profiling,Protected RNA,GSM4006551
SRR9897268,24213139,1210656950,50,210,SRX6649042,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP217268,PRJNA558435,32432546,"",SRS5210879,SAMN12478409,simple,4932,Saccharomyces cerevisiae,GSM4006552,GEO,SRA931998,04,2020,Maitra,Ribosome_Profile_45 fL,02B_RP_RPL34A,Ribosome_Profile_45 fL,"rpl34a{delta}::KanMX/rpl34a{delta}::KanMX, BY4743 otherwise",diploid,"Growth at 30°C in YPD (1% w/v yeast extract, 2% w/v peptone, 2% w/v dextrose)",45 fL,Ribosome Profiling,Protected RNA,GSM4006552
SRR9897269,13017021,650851050,50,169,SRX6649043,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP217268,PRJNA558435,32432546,"",SRS5210880,SAMN12478408,simple,4932,Saccharomyces cerevisiae,GSM4006553,GEO,SRA931998,04,2020,Maitra,Ribosome_Profile_45 fL,02C_RP_RPL34A,Ribosome_Profile_45 fL,"rpl34a{delta}::KanMX/rpl34a{delta}::KanMX, BY4743 otherwise",diploid,"Growth at 30°C in YPD (1% w/v yeast extract, 2% w/v peptone, 2% w/v dextrose)",45 fL,Ribosome Profiling,Protected RNA,GSM4006553
SRR9897270,8636773,431838650,50,140,SRX6649044,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP217268,PRJNA558435,32432546,"",SRS5210881,SAMN12478407,simple,4932,Saccharomyces cerevisiae,GSM4006554,GEO,SRA931998,04,2020,Maitra,Ribosome_Profile_50 fL,03A_RP_RPL34A,Ribosome_Profile_50 fL,"rpl34a{delta}::KanMX/rpl34a{delta}::KanMX, BY4743 otherwise",diploid,"Growth at 30°C in YPD (1% w/v yeast extract, 2% w/v peptone, 2% w/v dextrose)",50 fL,Ribosome Profiling,Protected RNA,GSM4006554
SRR9897271,23938995,1196949750,50,231,SRX6649045,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP217268,PRJNA558435,32432546,"",SRS5210882,SAMN12478406,simple,4932,Saccharomyces cerevisiae,GSM4006555,GEO,SRA931998,04,2020,Maitra,Ribosome_Profile_50 fL,03B_RP_RPL34A,Ribosome_Profile_50 fL,"rpl34a{delta}::KanMX/rpl34a{delta}::KanMX, BY4743 otherwise",diploid,"Growth at 30°C in YPD (1% w/v yeast extract, 2% w/v peptone, 2% w/v dextrose)",50 fL,Ribosome Profiling,Protected RNA,GSM4006555
SRR9897272,16159108,807955400,50,294,SRX6649046,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP217268,PRJNA558435,32432546,"",SRS5210883,SAMN12478405,simple,4932,Saccharomyces cerevisiae,GSM4006556,GEO,SRA931998,04,2020,Maitra,Ribosome_Profile_50 fL,03C_RP_RPL34A,Ribosome_Profile_50 fL,"rpl34a{delta}::KanMX/rpl34a{delta}::KanMX, BY4743 otherwise",diploid,"Growth at 30°C in YPD (1% w/v yeast extract, 2% w/v peptone, 2% w/v dextrose)",50 fL,Ribosome Profiling,Protected RNA,GSM4006556
SRR9897273,1863305,93165250,50,33,SRX6649047,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP217268,PRJNA558435,32432546,"",SRS5210884,SAMN12478404,simple,4932,Saccharomyces cerevisiae,GSM4006557,GEO,SRA931998,04,2020,Maitra,Ribosome_Profile_55 fL,04A_RP_RPL34A,Ribosome_Profile_55 fL,"rpl34a{delta}::KanMX/rpl34a{delta}::KanMX, BY4743 otherwise",diploid,"Growth at 30°C in YPD (1% w/v yeast extract, 2% w/v peptone, 2% w/v dextrose)",55 fL,Ribosome Profiling,Protected RNA,GSM4006557
