Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,breed,isolation_source,collection_date,geo_loc_name,tissue,temp,information,BioSampleModel
SRR7132284,25643396,3846509400,150,1496,SRX4053277,St14_b,RNA-Seq,PolyA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP144935,PRJNA466150,30115809,"",SRS3270294,SAMN09091245,simple,7227,Drosophila melanogaster,St14_b,Carnegie Institution for Science,SRA700696,07,2018,Greenblatt,"","",not applicable,not applicable,2018-03,USA,stage 14 oocyte,25C,Defolliculated stage 14 oocyte replicate #2,Invertebrate
SRR7132283,28755241,2156643075,75,772,SRX4053278,St14_c,RNA-Seq,PolyA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP144935,PRJNA466150,30115809,"",SRS3270295,SAMN09091246,simple,7227,Drosophila melanogaster,St14_c,Carnegie Institution for Science,SRA700696,07,2018,Greenblatt,"","",not applicable,not applicable,2018-03,USA,stage 14 oocyte,25C,Defolliculated stage 14 oocyte replicate #3,Invertebrate
SRR7132282,43990333,3299274975,75,1100,SRX4053279,F_mRNA_2,RNA-Seq,PolyA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP144935,PRJNA466150,30115809,"",SRS3270296,SAMN09091239,simple,7227,Drosophila melanogaster,F_mRNA_2,Carnegie Institution for Science,SRA700696,07,2018,Greenblatt,"","",not applicable,not applicable,2016-11,USA,ovary,25C,Fmr1 RNAi #1 mRNA-seq replicate #2,Invertebrate
SRR7132281,42952819,3221461425,75,1073,SRX4053280,F_mRNA_1,RNA-Seq,PolyA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP144935,PRJNA466150,30115809,"",SRS3270297,SAMN09091238,simple,7227,Drosophila melanogaster,F_mRNA_1,Carnegie Institution for Science,SRA700696,07,2018,Greenblatt,"","",not applicable,not applicable,2016-11,USA,ovary,25C,Fmr1 RNAi #1 mRNA-seq replicate #1,Invertebrate
SRR7132280,45800131,3435009825,75,1149,SRX4053281,F_mRNA_4,RNA-Seq,PolyA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP144935,PRJNA466150,30115809,"",SRS3270298,SAMN09091241,simple,7227,Drosophila melanogaster,F_mRNA_4,Carnegie Institution for Science,SRA700696,07,2018,Greenblatt,"","",not applicable,not applicable,2016-11,USA,ovary,25C,Fmr1 RNAi #2 mRNA-seq replicate #1,Invertebrate
SRR7132279,39401723,2955129225,75,988,SRX4053282,F_mRNA_3,RNA-Seq,PolyA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP144935,PRJNA466150,30115809,"",SRS3270299,SAMN09091240,simple,7227,Drosophila melanogaster,F_mRNA_3,Carnegie Institution for Science,SRA700696,07,2018,Greenblatt,"","",not applicable,not applicable,2016-11,USA,ovary,25C,Fmr1 RNAi #1 mRNA-seq replicate #3,Invertebrate
SRR7132278,41719216,3128941200,75,1063,SRX4053283,C_mRNA_1,RNA-Seq,PolyA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP144935,PRJNA466150,30115809,"",SRS3270300,SAMN09091235,simple,7227,Drosophila melanogaster,C_mRNA_1,Carnegie Institution for Science,SRA700696,07,2018,Greenblatt,"","",not applicable,not applicable,2016-11,USA,ovary,25C,Control (mCherry RNAi) mRNA-seq replicate #1,Invertebrate
SRR7132277,53840664,4038049800,75,1347,SRX4053284,F_FP_7,OTHER,MNase,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP144935,PRJNA466150,30115809,"",SRS3270324,SAMN09091234,simple,7227,Drosophila melanogaster,F_FP_7,Carnegie Institution for Science,SRA700696,07,2018,Greenblatt,"","",not applicable,not applicable,2016-07,USA,ovary,25C,Fmr1 RNAi #2 Ribosome Footprints replicate #4,Invertebrate
SRR7132276,45705693,3427926975,75,1141,SRX4053285,C_mRNA_3,RNA-Seq,PolyA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP144935,PRJNA466150,30115809,"",SRS3270301,SAMN09091237,simple,7227,Drosophila melanogaster,C_mRNA_3,Carnegie Institution for Science,SRA700696,07,2018,Greenblatt,"","",not applicable,not applicable,2016-11,USA,ovary,25C,Control (mCherry RNAi) mRNA-seq replicate #3,Invertebrate
SRR7132275,40232620,3017446500,75,1004,SRX4053286,C_mRNA_2,RNA-Seq,PolyA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP144935,PRJNA466150,30115809,"",SRS3270302,SAMN09091236,simple,7227,Drosophila melanogaster,C_mRNA_2,Carnegie Institution for Science,SRA700696,07,2018,Greenblatt,"","",not applicable,not applicable,2016-11,USA,ovary,25C,Control (mCherry RNAi) mRNA-seq replicate #2,Invertebrate
SRR7132274,40359971,3026997825,75,1009,SRX4053287,F_mRNA_6,RNA-Seq,PolyA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP144935,PRJNA466150,30115809,"",SRS3270303,SAMN09091243,simple,7227,Drosophila melanogaster,F_mRNA_6,Carnegie Institution for Science,SRA700696,07,2018,Greenblatt,"","",not applicable,not applicable,2016-11,USA,ovary,25C,Fmr1 RNAi #2 mRNA-seq replicate #3,Invertebrate
SRR7132273,43305574,3247918050,75,1093,SRX4053288,F_mRNA_5,RNA-Seq,PolyA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP144935,PRJNA466150,30115809,"",SRS3270304,SAMN09091242,simple,7227,Drosophila melanogaster,F_mRNA_5,Carnegie Institution for Science,SRA700696,07,2018,Greenblatt,"","",not applicable,not applicable,2016-11,USA,ovary,25C,Fmr1 RNAi #2 mRNA-seq replicate #2,Invertebrate
