Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,gender,age,timepoint,tissue,insert type,molecule subtype,GEO Accession
SRR1930198,44632590,4507891590,101,2717,SRX969087,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP056576,PRJNA279465,26486724,"",SRS884338,SAMN03448028,simple,10090,Mus musculus,GSM1644086,GEO,SRA248812,10,2015,Janich,"RPZT10_1; ZT10, ribosome footprint","RPZT10_1; ZT10, ribosome footprint, rep1","RPZT10_1; ZT10, ribosome footprint",C57BL/6JRj,male,11-12 weeks,ZT10,liver,ribosome footprint,ribosome protected RNA,GSM1644086
SRR1930199,69378421,7007220521,101,4102,SRX969088,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP056576,PRJNA279465,26486724,"",SRS884334,SAMN03448008,simple,10090,Mus musculus,GSM1644087,GEO,SRA248812,10,2015,Janich,"RPZT10_2; ZT10, ribosome footprint","RPZT10_2; ZT10, ribosome footprint, rep2","RPZT10_2; ZT10, ribosome footprint",C57BL/6JRj,male,11-12 weeks,ZT10,liver,ribosome footprint,ribosome protected RNA,GSM1644087
SRR1930200,33419619,3375381519,101,2167,SRX969089,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP056576,PRJNA279465,26486724,"",SRS884333,SAMN03448005,simple,10090,Mus musculus,GSM1644088,GEO,SRA248812,10,2015,Janich,"RPZT12_1; ZT12, ribosome footprint","RPZT12_1; ZT12, ribosome footprint, rep1","RPZT12_1; ZT12, ribosome footprint",C57BL/6JRj,male,11-12 weeks,ZT12,liver,ribosome footprint,ribosome protected RNA,GSM1644088
SRR1930201,35633658,3598999458,101,2341,SRX969090,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP056576,PRJNA279465,26486724,"",SRS884331,SAMN03448044,simple,10090,Mus musculus,GSM1644089,GEO,SRA248812,10,2015,Janich,"RPZT12_2; ZT12, ribosome footprint","RPZT12_2; ZT12, ribosome footprint, rep2","RPZT12_2; ZT12, ribosome footprint",C57BL/6JRj,male,11-12 weeks,ZT12,liver,ribosome footprint,ribosome protected RNA,GSM1644089
SRR1930202,44333775,4477711275,101,2860,SRX969091,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP056576,PRJNA279465,26486724,"",SRS884332,SAMN03448033,simple,10090,Mus musculus,GSM1644090,GEO,SRA248812,10,2015,Janich,"RPZT14_1; ZT14, ribosome footprint","RPZT14_1; ZT14, ribosome footprint, rep1","RPZT14_1; ZT14, ribosome footprint",C57BL/6JRj,male,11-12 weeks,ZT14,liver,ribosome footprint,ribosome protected RNA,GSM1644090
SRR1930203,32856099,3318465999,101,2128,SRX969092,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP056576,PRJNA279465,26486724,"",SRS884330,SAMN03448036,simple,10090,Mus musculus,GSM1644091,GEO,SRA248812,10,2015,Janich,"RPZT14_2; ZT14, ribosome footprint","RPZT14_2; ZT14, ribosome footprint, rep2","RPZT14_2; ZT14, ribosome footprint",C57BL/6JRj,male,11-12 weeks,ZT14,liver,ribosome footprint,ribosome protected RNA,GSM1644091
SRR1930204,45089631,4554052731,101,2900,SRX969093,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP056576,PRJNA279465,26486724,"",SRS884329,SAMN03448014,simple,10090,Mus musculus,GSM1644092,GEO,SRA248812,10,2015,Janich,"RPZT16_1; ZT16, ribosome footprint","RPZT16_1; ZT16, ribosome footprint, rep1","RPZT16_1; ZT16, ribosome footprint",C57BL/6JRj,male,11-12 weeks,ZT16,liver,ribosome footprint,ribosome protected RNA,GSM1644092
SRR1930205,52993962,5352390162,101,3421,SRX969094,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP056576,PRJNA279465,26486724,"",SRS884328,SAMN03448004,simple,10090,Mus musculus,GSM1644093,GEO,SRA248812,10,2015,Janich,"RPZT16_2; ZT16, ribosome footprint","RPZT16_2; ZT16, ribosome footprint, rep2","RPZT16_2; ZT16, ribosome footprint",C57BL/6JRj,male,11-12 weeks,ZT16,liver,ribosome footprint,ribosome protected RNA,GSM1644093
SRR1930206,47166047,4763770747,101,2454,SRX969095,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP056576,PRJNA279465,26486724,"",SRS884327,SAMN03448018,simple,10090,Mus musculus,GSM1644094,GEO,SRA248812,10,2015,Janich,"RPZT18_1; ZT18, ribosome footprint","RPZT18_1; ZT18, ribosome footprint, rep1","RPZT18_1; ZT18, ribosome footprint",C57BL/6JRj,male,11-12 weeks,ZT18,liver,ribosome footprint,ribosome protected RNA,GSM1644094
SRR1930207,48413026,4889715626,101,2517,SRX969096,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP056576,PRJNA279465,26486724,"",SRS884326,SAMN03448029,simple,10090,Mus musculus,GSM1644095,GEO,SRA248812,10,2015,Janich,"RPZT18_2; ZT18, ribosome footprint","RPZT18_2; ZT18, ribosome footprint, rep2","RPZT18_2; ZT18, ribosome footprint",C57BL/6JRj,male,11-12 weeks,ZT18,liver,ribosome footprint,ribosome protected RNA,GSM1644095
SRR1930208,42240734,4266314134,101,2746,SRX969097,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP056576,PRJNA279465,26486724,"",SRS884325,SAMN03448031,simple,10090,Mus musculus,GSM1644096,GEO,SRA248812,10,2015,Janich,"RPZT20_1; ZT20, ribosome footprint","RPZT20_1; ZT20, ribosome footprint, rep1","RPZT20_1; ZT20, ribosome footprint",C57BL/6JRj,male,11-12 weeks,ZT20,liver,ribosome footprint,ribosome protected RNA,GSM1644096
SRR1930209,6750105,681760605,101,358,SRX969098,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP056576,PRJNA279465,26486724,"",SRS884324,SAMN03448011,simple,10090,Mus musculus,GSM1644097,GEO,SRA248812,10,2015,Janich,"RPZT20_2; ZT20, ribosome footprint","RPZT20_2; ZT20, ribosome footprint, rep2","RPZT20_2; ZT20, ribosome footprint",C57BL/6JRj,male,11-12 weeks,ZT20,liver,ribosome footprint,ribosome protected RNA,GSM1644097
SRR1930210,6031379,609169279,101,398,SRX969098,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP056576,PRJNA279465,26486724,"",SRS884324,SAMN03448011,simple,10090,Mus musculus,GSM1644097,GEO,SRA248812,10,2015,Janich,"RPZT20_2; ZT20, ribosome footprint","RPZT20_2; ZT20, ribosome footprint, rep2","RPZT22_1; ZT22, ribosome footprint",C57BL/6JRj,male,11-12 weeks,ZT22,liver,ribosome footprint,ribosome protected RNA,GSM1644098
SRR1930211,21657525,2187410025,101,1175,SRX969098,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP056576,PRJNA279465,26486724,"",SRS884324,SAMN03448011,simple,10090,Mus musculus,GSM1644097,GEO,SRA248812,10,2015,Janich,"RPZT20_2; ZT20, ribosome footprint","RPZT20_2; ZT20, ribosome footprint, rep2","RPZT22_2; ZT22, ribosome footprint",C57BL/6JRj,male,11-12 weeks,ZT22,liver,ribosome footprint,ribosome protected RNA,GSM1644099
SRR1930212,12395674,1251963074,101,659,SRX969099,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP056576,PRJNA279465,26486724,"",SRS884323,SAMN03448038,simple,10090,Mus musculus,GSM1644098,GEO,SRA248812,10,2015,Janich,"RPZT22_1; ZT22, ribosome footprint","RPZT22_1; ZT22, ribosome footprint, rep1","TR_ZT0_1; ZT0, total RNA",C57BL/6JRj,male,11-12 weeks,ZT0,liver,total RNA,total RNA,GSM1644100
SRR1930213,30851029,3115953929,101,1671,SRX969099,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP056576,PRJNA279465,26486724,"",SRS884323,SAMN03448038,simple,10090,Mus musculus,GSM1644098,GEO,SRA248812,10,2015,Janich,"RPZT22_1; ZT22, ribosome footprint","RPZT22_1; ZT22, ribosome footprint, rep1","TR_ZT0_2; ZT0, total RNA",C57BL/6JRj,male,11-12 weeks,ZT0,liver,total RNA,total RNA,GSM1644101
SRR1930214,10824709,1093295609,101,574,SRX969100,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP056576,PRJNA279465,26486724,"",SRS884322,SAMN03448006,simple,10090,Mus musculus,GSM1644099,GEO,SRA248812,10,2015,Janich,"RPZT22_2; ZT22, ribosome footprint","RPZT22_2; ZT22, ribosome footprint, rep2","TR_ZT2_1; ZT2, total RNA",C57BL/6JRj,male,11-12 weeks,ZT2,liver,total RNA,total RNA,GSM1644102
SRR1930215,26953192,2722272392,101,1461,SRX969100,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP056576,PRJNA279465,26486724,"",SRS884322,SAMN03448006,simple,10090,Mus musculus,GSM1644099,GEO,SRA248812,10,2015,Janich,"RPZT22_2; ZT22, ribosome footprint","RPZT22_2; ZT22, ribosome footprint, rep2","TR_ZT2_2; ZT2, total RNA",C57BL/6JRj,male,11-12 weeks,ZT2,liver,total RNA,total RNA,GSM1644103
SRR1930216,45344157,4579759857,101,2726,SRX969101,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP056576,PRJNA279465,26486724,"",SRS884321,SAMN03448030,simple,10090,Mus musculus,GSM1644100,GEO,SRA248812,10,2015,Janich,"TR_ZT0_1; ZT0, total RNA","TR_ZT0_1; ZT0, total RNA, rep1","TR_ZT4_1; ZT4, total RNA",C57BL/6JRj,male,11-12 weeks,ZT4,liver,total RNA,total RNA,GSM1644104
SRR1930217,29195864,2948782264,101,1776,SRX969102,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP056576,PRJNA279465,26486724,"",SRS884320,SAMN03448032,simple,10090,Mus musculus,GSM1644101,GEO,SRA248812,10,2015,Janich,"TR_ZT0_2; ZT0, total RNA","TR_ZT0_2; ZT0, total RNA, rep2","TR_ZT4_2; ZT4, total RNA",C57BL/6JRj,male,11-12 weeks,ZT4,liver,total RNA,total RNA,GSM1644105
SRR1930218,10819217,1092740917,101,545,SRX969102,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP056576,PRJNA279465,26486724,"",SRS884320,SAMN03448032,simple,10090,Mus musculus,GSM1644101,GEO,SRA248812,10,2015,Janich,"TR_ZT0_2; ZT0, total RNA","TR_ZT0_2; ZT0, total RNA, rep2","TR_ZT6_1; ZT6, total RNA",C57BL/6JRj,male,11-12 weeks,ZT6,liver,total RNA,total RNA,GSM1644106
SRR1930219,47452256,4792677856,101,2818,SRX969103,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP056576,PRJNA279465,26486724,"",SRS884319,SAMN03448037,simple,10090,Mus musculus,GSM1644102,GEO,SRA248812,10,2015,Janich,"TR_ZT2_1; ZT2, total RNA","TR_ZT2_1; ZT2, total RNA, rep1","TR_ZT6_2; ZT6, total RNA",C57BL/6JRj,male,11-12 weeks,ZT6,liver,total RNA,total RNA,GSM1644107
SRR1930220,29525054,2982030454,101,1781,SRX969104,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP056576,PRJNA279465,26486724,"",SRS884318,SAMN03448010,simple,10090,Mus musculus,GSM1644103,GEO,SRA248812,10,2015,Janich,"TR_ZT2_2; ZT2, total RNA","TR_ZT2_2; ZT2, total RNA, rep2","TR_ZT8_1; ZT8, total RNA",C57BL/6JRj,male,11-12 weeks,ZT8,liver,total RNA,total RNA,GSM1644108
SRR1930221,49646987,5014345687,101,3007,SRX969105,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP056576,PRJNA279465,26486724,"",SRS884317,SAMN03448022,simple,10090,Mus musculus,GSM1644104,GEO,SRA248812,10,2015,Janich,"TR_ZT4_1; ZT4, total RNA","TR_ZT4_1; ZT4, total RNA, rep1","TR_ZT8_2; ZT8, total RNA",C57BL/6JRj,male,11-12 weeks,ZT8,liver,total RNA,total RNA,GSM1644109
SRR1930222,49650378,5014688178,101,2999,SRX969106,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP056576,PRJNA279465,26486724,"",SRS884316,SAMN03448016,simple,10090,Mus musculus,GSM1644105,GEO,SRA248812,10,2015,Janich,"TR_ZT4_2; ZT4, total RNA","TR_ZT4_2; ZT4, total RNA, rep2","TRZT10_1; ZT10, total RNA",C57BL/6JRj,male,11-12 weeks,ZT10,liver,total RNA,total RNA,GSM1644110
SRR1930223,59685254,6028210654,101,3587,SRX969107,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP056576,PRJNA279465,26486724,"",SRS884315,SAMN03448012,simple,10090,Mus musculus,GSM1644106,GEO,SRA248812,10,2015,Janich,"TR_ZT6_1; ZT6, total RNA","TR_ZT6_1; ZT6, total RNA, rep1","TRZT10_2; ZT10, total RNA",C57BL/6JRj,male,11-12 weeks,ZT10,liver,total RNA,total RNA,GSM1644111
SRR1930224,51762324,5227994724,101,3024,SRX969108,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP056576,PRJNA279465,26486724,"",SRS884314,SAMN03448020,simple,10090,Mus musculus,GSM1644107,GEO,SRA248812,10,2015,Janich,"TR_ZT6_2; ZT6, total RNA","TR_ZT6_2; ZT6, total RNA, rep2","TRZT12_1; ZT12, total RNA",C57BL/6JRj,male,11-12 weeks,ZT12,liver,total RNA,total RNA,GSM1644112
SRR1930225,54865423,5541407723,101,3231,SRX969109,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP056576,PRJNA279465,26486724,"",SRS884313,SAMN03448009,simple,10090,Mus musculus,GSM1644108,GEO,SRA248812,10,2015,Janich,"TR_ZT8_1; ZT8, total RNA","TR_ZT8_1; ZT8, total RNA, rep1","TRZT12_2; ZT12, total RNA",C57BL/6JRj,male,11-12 weeks,ZT12,liver,total RNA,total RNA,GSM1644113
SRR1930226,57985406,5856526006,101,3537,SRX969110,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP056576,PRJNA279465,26486724,"",SRS884312,SAMN03448013,simple,10090,Mus musculus,GSM1644109,GEO,SRA248812,10,2015,Janich,"TR_ZT8_2; ZT8, total RNA","TR_ZT8_2; ZT8, total RNA, rep2","TRZT14_1; ZT14, total RNA",C57BL/6JRj,male,11-12 weeks,ZT14,liver,total RNA,total RNA,GSM1644114
SRR1930227,43862620,4430124620,101,2761,SRX969111,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP056576,PRJNA279465,26486724,"",SRS884311,SAMN03448034,simple,10090,Mus musculus,GSM1644110,GEO,SRA248812,10,2015,Janich,"TRZT10_1; ZT10, total RNA","TRZT10_1; ZT10, total RNA, rep1","TRZT14_2; ZT14, total RNA",C57BL/6JRj,male,11-12 weeks,ZT14,liver,total RNA,total RNA,GSM1644115
SRR1930228,59594851,6019079951,101,3625,SRX969112,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP056576,PRJNA279465,26486724,"",SRS884310,SAMN03448042,simple,10090,Mus musculus,GSM1644111,GEO,SRA248812,10,2015,Janich,"TRZT10_2; ZT10, total RNA","TRZT10_2; ZT10, total RNA, rep2","TRZT16_1; ZT16, total RNA",C57BL/6JRj,male,11-12 weeks,ZT16,liver,total RNA,total RNA,GSM1644116
SRR1930229,36973092,3734282292,101,2411,SRX969113,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP056576,PRJNA279465,26486724,"",SRS884309,SAMN03448023,simple,10090,Mus musculus,GSM1644112,GEO,SRA248812,10,2015,Janich,"TRZT12_1; ZT12, total RNA","TRZT12_1; ZT12, total RNA, rep1","TRZT16_2; ZT16, total RNA",C57BL/6JRj,male,11-12 weeks,ZT16,liver,total RNA,total RNA,GSM1644117
SRR1930230,42491127,4291603827,101,2778,SRX969114,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP056576,PRJNA279465,26486724,"",SRS884308,SAMN03448041,simple,10090,Mus musculus,GSM1644113,GEO,SRA248812,10,2015,Janich,"TRZT12_2; ZT12, total RNA","TRZT12_2; ZT12, total RNA, rep2","TRZT18_1; ZT18, total RNA",C57BL/6JRj,male,11-12 weeks,ZT18,liver,total RNA,total RNA,GSM1644118
SRR1930231,39625471,4002172571,101,2522,SRX969115,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP056576,PRJNA279465,26486724,"",SRS884307,SAMN03448007,simple,10090,Mus musculus,GSM1644114,GEO,SRA248812,10,2015,Janich,"TRZT14_1; ZT14, total RNA","TRZT14_1; ZT14, total RNA, rep1","TRZT18_2; ZT18, total RNA",C57BL/6JRj,male,11-12 weeks,ZT18,liver,total RNA,total RNA,GSM1644119
SRR1930232,51592050,5210797050,101,3362,SRX969116,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP056576,PRJNA279465,26486724,"",SRS884306,SAMN03448019,simple,10090,Mus musculus,GSM1644115,GEO,SRA248812,10,2015,Janich,"TRZT14_2; ZT14, total RNA","TRZT14_2; ZT14, total RNA, rep2","TRZT20_1; ZT20, total RNA",C57BL/6JRj,male,11-12 weeks,ZT20,liver,total RNA,total RNA,GSM1644120
SRR1930233,39043902,3943434102,101,2507,SRX969117,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP056576,PRJNA279465,26486724,"",SRS884305,SAMN03448025,simple,10090,Mus musculus,GSM1644116,GEO,SRA248812,10,2015,Janich,"TRZT16_1; ZT16, total RNA","TRZT16_1; ZT16, total RNA, rep1","TRZT20_2; ZT20, total RNA",C57BL/6JRj,male,11-12 weeks,ZT20,liver,total RNA,total RNA,GSM1644121
SRR1930234,46020762,4648096962,101,2957,SRX969118,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP056576,PRJNA279465,26486724,"",SRS884304,SAMN03448043,simple,10090,Mus musculus,GSM1644117,GEO,SRA248812,10,2015,Janich,"TRZT16_2; ZT16, total RNA","TRZT16_2; ZT16, total RNA, rep2","TRZT22_1; ZT22, total RNA",C57BL/6JRj,male,11-12 weeks,ZT22,liver,total RNA,total RNA,GSM1644122
SRR1930235,53489966,5402486566,101,3232,SRX969119,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP056576,PRJNA279465,26486724,"",SRS884303,SAMN03448003,simple,10090,Mus musculus,GSM1644118,GEO,SRA248812,10,2015,Janich,"TRZT18_1; ZT18, total RNA","TRZT18_1; ZT18, total RNA, rep1","TRZT22_2; ZT22, total RNA",C57BL/6JRj,male,11-12 weeks,ZT22,liver,total RNA,total RNA,GSM1644123
SRR1930236,40633578,4103991378,101,2574,SRX969119,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP056576,PRJNA279465,26486724,"",SRS884303,SAMN03448003,simple,10090,Mus musculus,GSM1644118,GEO,SRA248812,10,2015,Janich,"TRZT18_1; ZT18, total RNA","TRZT18_1; ZT18, total RNA, rep1","RP_ZT0_1; ZT0, ribosome footprint",C57BL/6JRj,male,11-12 weeks,ZT0,liver,ribosome footprint,ribosome protected RNA,GSM1644076
