Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,age at harvest,mouse genotype,tissue,GEO Accession
SRR13091567,11406620,570331000,50,339,SRX9537476,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP293462,PRJNA679768,37349305,"",SRS7743737,SAMN16845957,simple,10090,Mus musculus,GSM4916289,GEO,SRA1161831,05,2023,Fame,ChP-tagged mRNAs,SAM_2: Adult-3 (P60) 9am supernatant,ChP-tagged mRNAs,60 days,FoxJ1:cre x bacTRAP (EGFP:L10a),choroid plexus (ChP),GSM4916294
SRR13091568,11232296,561614800,50,342,SRX9537476,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP293462,PRJNA679768,37349305,"",SRS7743737,SAMN16845957,simple,10090,Mus musculus,GSM4916289,GEO,SRA1161831,05,2023,Fame,ChP-tagged mRNAs,SAM_2: Adult-3 (P60) 9am supernatant,ChP-tagged mRNAs,60 days,FoxJ1:cre x bacTRAP (EGFP:L10a),choroid plexus (ChP),GSM4916295
SRR13091569,10373661,518683050,50,314,SRX9537477,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP293462,PRJNA679768,37349305,"",SRS7743738,SAMN16845956,simple,10090,Mus musculus,GSM4916290,GEO,SRA1161831,05,2023,Fame,ChP-tagged mRNAs,PM_0: Adult-1 (P60) 9pm TRAP,ChP-tagged mRNAs,60 days,FoxJ1:cre x bacTRAP (EGFP:L10a),choroid plexus (ChP),GSM4916284
SRR13091570,10198516,509925800,50,316,SRX9537477,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP293462,PRJNA679768,37349305,"",SRS7743738,SAMN16845956,simple,10090,Mus musculus,GSM4916290,GEO,SRA1161831,05,2023,Fame,ChP-tagged mRNAs,PM_0: Adult-1 (P60) 9pm TRAP,ChP-tagged mRNAs,60 days,FoxJ1:cre x bacTRAP (EGFP:L10a),choroid plexus (ChP),GSM4916285
SRR13091571,10934716,546735800,50,329,SRX9537478,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP293462,PRJNA679768,37349305,"",SRS7743739,SAMN16845955,simple,10090,Mus musculus,GSM4916291,GEO,SRA1161831,05,2023,Fame,ChP-tagged mRNAs,PM_1: Adult-2 (P60) 9pm TRAP,ChP-tagged mRNAs,60 days,FoxJ1:cre x bacTRAP (EGFP:L10a),choroid plexus (ChP),GSM4916286
SRR13091572,10750372,537518600,50,331,SRX9537478,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP293462,PRJNA679768,37349305,"",SRS7743739,SAMN16845955,simple,10090,Mus musculus,GSM4916291,GEO,SRA1161831,05,2023,Fame,ChP-tagged mRNAs,PM_1: Adult-2 (P60) 9pm TRAP,ChP-tagged mRNAs,60 days,FoxJ1:cre x bacTRAP (EGFP:L10a),choroid plexus (ChP),GSM4916287
SRR13091573,8691880,434594000,50,260,SRX9537479,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP293462,PRJNA679768,37349305,"",SRS7743740,SAMN16845954,simple,10090,Mus musculus,GSM4916292,GEO,SRA1161831,05,2023,Fame,ChP-tagged mRNAs,PM_2: Adult-3 (P60) 9pm TRAP,ChP-tagged mRNAs,60 days,FoxJ1:cre x bacTRAP (EGFP:L10a),choroid plexus (ChP),GSM4916288
SRR13091574,8546613,427330650,50,262,SRX9537479,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP293462,PRJNA679768,37349305,"",SRS7743740,SAMN16845954,simple,10090,Mus musculus,GSM4916292,GEO,SRA1161831,05,2023,Fame,ChP-tagged mRNAs,PM_2: Adult-3 (P60) 9pm TRAP,ChP-tagged mRNAs,60 days,FoxJ1:cre x bacTRAP (EGFP:L10a),choroid plexus (ChP),GSM4916289
SRR13091575,10937136,546856800,50,326,SRX9537480,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP293462,PRJNA679768,37349305,"",SRS7743741,SAMN16845953,simple,10090,Mus musculus,GSM4916293,GEO,SRA1161831,05,2023,Fame,ChP-tagged mRNAs,SPM_0: Adult-1 (P60) 9pm supernatant,ChP-tagged mRNAs,60 days,FoxJ1:cre x bacTRAP (EGFP:L10a),choroid plexus (ChP),GSM4916290
SRR13091576,10778263,538913150,50,329,SRX9537480,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP293462,PRJNA679768,37349305,"",SRS7743741,SAMN16845953,simple,10090,Mus musculus,GSM4916293,GEO,SRA1161831,05,2023,Fame,ChP-tagged mRNAs,SPM_0: Adult-1 (P60) 9pm supernatant,ChP-tagged mRNAs,60 days,FoxJ1:cre x bacTRAP (EGFP:L10a),choroid plexus (ChP),GSM4916291
SRR13091577,11837914,591895700,50,350,SRX9537481,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP293462,PRJNA679768,37349305,"",SRS7743742,SAMN16845952,simple,10090,Mus musculus,GSM4916294,GEO,SRA1161831,05,2023,Fame,ChP-tagged mRNAs,SPM_1: Adult-2 (P60) 9pm supernatant,ChP-tagged mRNAs,60 days,FoxJ1:cre x bacTRAP (EGFP:L10a),choroid plexus (ChP),GSM4916292
SRR13091578,11673425,583671250,50,354,SRX9537481,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP293462,PRJNA679768,37349305,"",SRS7743742,SAMN16845952,simple,10090,Mus musculus,GSM4916294,GEO,SRA1161831,05,2023,Fame,ChP-tagged mRNAs,SPM_1: Adult-2 (P60) 9pm supernatant,ChP-tagged mRNAs,60 days,FoxJ1:cre x bacTRAP (EGFP:L10a),choroid plexus (ChP),GSM4916293
SRR13091579,7917283,395864150,50,233,SRX9537482,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP293462,PRJNA679768,37349305,"",SRS7743743,SAMN16845951,simple,10090,Mus musculus,GSM4916295,GEO,SRA1161831,05,2023,Fame,ChP-tagged mRNAs,SPM_2: Adult-3 (P60) 9pm supernatant,ChP-tagged mRNAs,60 days,FoxJ1:cre x bacTRAP (EGFP:L10a),choroid plexus (ChP),GSM4916294
SRR13091580,7787845,389392250,50,236,SRX9537482,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP293462,PRJNA679768,37349305,"",SRS7743743,SAMN16845951,simple,10090,Mus musculus,GSM4916295,GEO,SRA1161831,05,2023,Fame,ChP-tagged mRNAs,SPM_2: Adult-3 (P60) 9pm supernatant,ChP-tagged mRNAs,60 days,FoxJ1:cre x bacTRAP (EGFP:L10a),choroid plexus (ChP),GSM4916295
